[00:00.000 --> 00:04.000]  President Bush is speaking today about the new financial rescue package.
[00:04.000 --> 00:11.000]  He says Congress took a big step in providing the tools necessary to bring some stability into the marketplace.
[00:11.000 --> 00:15.000]  And Bush says the benefits of the package will not be felt immediately.
[00:15.000 --> 00:21.000]  Gotta get credit flowing, of course, so that people feel comfortable about conducting business.
[00:21.000 --> 00:23.000]  Obama's judgment.
[00:23.000 --> 00:27.000]  John McCain and Barack Obama hold the second of three debates, Tuesday night in Tennessee.
[00:27.000 --> 00:34.000]  The next election tomorrow by the nation's highest court, the U.S. Supreme Court will take on cases about tobacco and dirty words on television
[00:34.000 --> 00:37.000]  when it begins a new term tomorrow in Washington, D.C.
[00:37.000 --> 00:40.000]  A lower court will decide who will buy and battle the Bacovia.
[00:40.000 --> 00:44.000]  Citigroup has reportedly planned to purchase his struggling bag for more than $2 billion.
[00:44.000 --> 00:50.000]  However, a $15 billion buyout by San Francisco-based Wells Fargo was announced Friday.
[00:50.000 --> 00:54.000]  This is IRN-USA Radio News.
[00:54.000 --> 00:57.000]  The following from News Broadcast Network.
[00:57.000 --> 01:05.000]  The nation's largest lawyers organization is calling on all Americans to commemorate the 221st anniversary of the signing of the U.S. Constitution,
[01:05.000 --> 01:07.000]  A.B.A. President H. Thomas Wells.
[01:07.000 --> 01:16.000]  It is essential that all Americans, especially young people, understand the importance of exercising their vote as effective participants in our nation's civic life.
[01:16.000 --> 01:20.000]  For more information, go to www.abaconstitution.org.
[01:20.000 --> 01:22.000]  I'm John Tritton.
[01:22.000 --> 01:27.000]  Infants, adolescents, and young adults are at the highest risk of contracting meningococcal meningitis.
[01:27.000 --> 01:34.000]  Dr. Paul Offit, Chief of the Division of Infectious Diseases and Director of the Vaccine Education Center at the Children's Hospital of Philadelphia.
[01:34.000 --> 01:38.000]  There are about 3,000 cases of meningococcal disease every year in the United States.
[01:38.000 --> 01:42.000]  Prompt medical attention can be the difference between life and death.
[01:42.000 --> 01:45.000]  Vaccination is the only way to prevent this serious infection.
[01:45.000 --> 01:52.000]  To learn more, visit the National Meningitis Association website at nmaus.org.
[01:52.000 --> 01:54.000]  I'm Lee Shepard.
[01:54.000 --> 01:59.000]  An attack on U.S. forces during a raid in Mosul leaves casualties.
[01:59.000 --> 02:03.000]  11 Iraqis were killed. That included three women and three children.
[02:03.000 --> 02:05.000]  Correspondent Kim Gamal reporting from Baghdad.
[02:05.000 --> 02:09.000]  Another mishap in Iraq involving expensive American military gear.
[02:09.000 --> 02:13.000]  Two Black Hawk helicopters crashed upon landing near Baghdad.
[02:13.000 --> 02:17.000]  One Iraqi soldier was killed. Two American and two Iraqi soldiers were injured.
[02:17.000 --> 02:22.000]  This is the second major helicopter crash involving Americans in weeks.
[02:22.000 --> 02:26.000]  Last month, seven U.S. soldiers were killed in a crash in southern Iraq.
[02:26.000 --> 02:29.000]  Enemy fire was not believed to be involved.
[02:29.000 --> 02:33.000]  Connie Lawn, IRN USA Radio News, Washington.
[02:33.000 --> 02:40.000]  Recent government data shows the areas hardest hit by Hurricane Ike last month were industrial centers near Houston and Port Arthur, Texas.
[02:40.000 --> 02:43.000]  And production facilities off the Louisiana coast.
[02:43.000 --> 02:47.000]  At least a half million dollars of crude oil spilled into the Gulf and elsewhere.
[02:47.000 --> 03:12.000]  This is an analysis online. Log on to IRN News.com.
[03:17.000 --> 03:30.000]  A major children's health care study could lead to significant savings in the nation's health care costs.
[03:30.000 --> 03:34.000]  The research could be carried out on children from before birth to age 21.
[03:34.000 --> 03:41.000]  National institutes of health officials say the study's goal is to focus on hereditary and environmental factors.
[03:41.000 --> 03:43.000]  That can affect development later.
[03:43.000 --> 03:50.000]  Europe is struggling with its ongoing financial crisis as Germany and other countries move to restore confidence in failing banks.
[03:50.000 --> 03:56.000]  Germany said it would follow the lead of Ireland and Greece by guaranteeing all private bank accounts.
