[00:00:25.865 --> 00:00:26.705]  The year is 2020.
[00:00:26.705 --> 00:00:34.289]  We are watching a foreign, multinational, communist Chinese takeover of the United States take place.
[00:00:34.289 --> 00:00:44.253]  And we are here in the really sacred hollows of one of the most important and historical monuments in the United States, the Lincoln Memorial.
[00:00:44.253 --> 00:00:47.154]  Now, why is the Lincoln Memorial so incredibly important?
[00:00:47.154 --> 00:00:50.516]  Because it was, back at that time,
[00:00:51.667 --> 00:00:56.692]  In the 1860s, the powerful multinational forces tried to split the United States up.
[00:00:56.692 --> 00:00:58.413]  Now, some would call Lincoln a tyrant.
[00:00:58.413 --> 00:01:00.676]  Others would call him a hero.
[00:01:00.676 --> 00:01:10.305]  But it's a fact that he was fighting against multinational forces, the British namely, who had already attempted to break this country up in the War of 1812, and later against Andrew Jackson.
[00:01:10.305 --> 00:01:13.608]  That's why I'm starting this broadcast today from D.C.
[00:01:13.608 --> 00:01:16.330]  to bring into context the historic moment we're in.
[00:01:17.091 --> 00:01:20.455]  The country is fighting for its life.
[00:01:20.455 --> 00:01:23.438]  And anyone that denies that is lying to you.
[00:01:23.438 --> 00:01:25.360]  Joe Biden is not a legitimate president.
[00:01:25.360 --> 00:01:27.202]  He's not a legitimate president-elect.
[00:01:27.202 --> 00:01:32.308]  Even if Joe Biden had won this election for his square, which he hasn't, the fraud's overwhelming, he is a communist Chinese agent.
[00:01:33.302 --> 00:01:39.949]  Where there was no evidence of Trump with the Russians, there is total evidence of Joe Biden and the Communist Chinese and the Russians.
[00:01:39.949 --> 00:01:47.858]  If Donald Trump had done 1% of what Joe Biden has done with foreign powers to sell off the interests of this country, I would say that Donald Trump should be in prison.
[00:01:47.858 --> 00:01:51.222]  But Donald Trump has done absolutely none of it.
[00:01:51.222 --> 00:01:52.384]  That's why we stand here.
[00:01:53.599 --> 00:02:03.165]  And use this as a very powerful illustration of the fact that our country is not on the verge of a civil war.
[00:02:03.165 --> 00:02:09.149]  It is in the midst of a civil war and the factions against America and against Trump are globalist.
[00:02:09.149 --> 00:02:13.412]  So this is not like the Southerners who had some arguments, but were probably in the wrong in many ways.
[00:02:13.412 --> 00:02:23.219]  This is communist Chinese backed, this revolution against America with 3 million innocent Muslims in death camps, a million Christians and a million Buddhists.
[00:02:24.349 --> 00:02:30.053]  And that is the entire leftist model of the entire planet with the Castle Society, the Social Credit Score, and all the rest of it.
[00:02:30.053 --> 00:02:33.635]  So I'm going to give you a little bit of a tour around D.C.
[00:02:33.635 --> 00:02:42.741]  in the first few segments and break the latest news and huge developments and play some clips of the big speeches that happened here yesterday and the second Million Maga march that was very successful.
[00:02:42.741 --> 00:02:44.742]  And then Harris and Smith's going to be taking over.
[00:02:44.742 --> 00:02:52.047]  But again, I want to encourage you all on this live Sunday transmission to realize history's happening now, and if you acquiesce to this takeover,
[00:02:52.907 --> 00:02:54.308]  You have absolutely no future.
[00:02:54.308 --> 00:02:55.928]  This isn't like past elections.
[00:02:55.928 --> 00:02:58.269]  This isn't like past crises this country faced.
[00:02:58.269 --> 00:03:09.974]  It's a greater threat than what we had in the Civil War because at least the Southern and Northern cultures came out of the same country and were brothers and were sisters and were fathers and mothers and it was brother against brother sometimes.
[00:03:09.974 --> 00:03:13.255]  But it was two cultures that were very similar who had major disagreements.
[00:03:14.482 --> 00:03:22.487]  With the globalist takeover and the globalist model, it is outside multinational forces that are doing this and trying to destroy our country.
[00:03:22.487 --> 00:03:25.929]  And so that's why we're here pointing this out.
[00:03:25.929 --> 00:03:29.292]  That's why we're here trying to get people to realize that we are in the midst
[00:03:29.992 --> 00:03:32.073]  of a foreign multinational takeover of our country.
[00:03:32.073 --> 00:03:32.934]  So we're going to go to break.
[00:03:32.934 --> 00:03:35.496]  We're going to come back with a live feed and a lot more today.
[00:03:35.496 --> 00:03:42.460]  Please tell your friends and family tune in to this Sunday transmission because history is happening right now and if we ring the alarm bells as modern Paul Revere's, we can reverse this.
[00:03:42.460 --> 00:03:44.221]  If we don't, there is no hope.
[00:03:44.221 --> 00:03:46.303]  So again, we're live on Sunday.
[00:03:46.303 --> 00:03:47.243]  Thank you for tuning in.
[00:03:47.243 --> 00:03:48.284]  We'll be right back on the other side.
[00:03:48.284 --> 00:03:58.190]  A lot of patriots in here.
[00:04:11.068 --> 00:04:19.574]  Our forebearers did not have separation of church and state as they spent it.
[00:04:19.574 --> 00:04:24.337]  It means the state has no jurisdiction over any of us.
[00:04:27.242 --> 00:04:32.064]  Our relationship with God is sacred and is eternal.
[00:04:32.064 --> 00:04:35.126]  So no, whatever happens, we will never give up.
[00:04:35.126 --> 00:04:36.126]  We will never surrender.
[00:04:36.126 --> 00:04:50.213]  We will never back down to the satanic, pedophile, globalist New World Order and their walking dead, reanimated corpse Joe Biden.
[00:04:50.213 --> 00:04:52.794]  And we will never recognize him.
[00:05:01.204 --> 00:05:06.305]  Just in time for Christmas, a lot of our best-selling products are back in stock.
[00:05:06.305 --> 00:05:10.947]  The Privacy Pockets are back in stock and massively discounted at $19.95.
[00:05:10.947 --> 00:05:13.007]  A great stocking stuffer, a great gift.
[00:05:13.007 --> 00:05:15.968]  Alpha Power sold out for a year because of the lockdown.
[00:05:15.968 --> 00:05:18.429]  A lot of the key patented ingredients weren't available.
[00:05:18.429 --> 00:05:20.329]  It is now back in stock.
[00:05:20.329 --> 00:05:27.131]  Another great product that's been selling out because people realize it's got so many great vitamins and minerals and saw palmetto is Prostagard.
[00:05:27.911 --> 00:05:31.292]  It's good for not just men, but it's good for women's clans as well.
[00:05:31.292 --> 00:05:32.032]  Check it out.
[00:05:32.032 --> 00:05:34.753]  They're all massively discounted at InfoWarsTore.com.
[00:05:34.753 --> 00:05:39.994]  And of course, some of the big ones are X2 and X3, the pure, clean iodines that are so essential.
[00:05:39.994 --> 00:05:41.654]  So many people are deficient in iodine.
[00:05:41.654 --> 00:05:44.955]  It's essential to your immune system and so much more.
[00:05:44.955 --> 00:05:46.335]  InfoWarsTore.com.
[00:05:46.335 --> 00:05:48.856]  All of these products are discounted from $30 to
[00:05:50.537 --> 00:05:52.080]  Thank you so much for your support.
[00:06:17.834 --> 00:06:23.337]  If you are receiving this transmission, you are the resistance.
[00:06:23.337 --> 00:06:28.039]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:35.094 --> 00:06:37.576]  Thank you for joining us on this Sunday edition.
[00:06:37.576 --> 00:06:39.278]  It is the 13th day of December, 2020.
[00:06:39.278 --> 00:06:42.021]  We're 40 days out from the inauguration.
[00:06:42.021 --> 00:06:55.554]  Isn't it interesting that we have Joe Biden saying he's not going to be at the inauguration at the classic place that you do it in front of the Capitol, just a mile or so down the road from here, that he's going to do a virtual
[00:06:57.693 --> 00:07:06.876]  But they're building the inauguration stage there regardless, because the election is not over yet.
[00:07:06.876 --> 00:07:17.739]  And we have to understand something, even as I've said a hundred times, even if Joe Biden actually won this election, which he didn't, he has to be opposed because he is a communist Chinese agent on record.
[00:07:17.739 --> 00:07:24.141]  And we the people up front need to continue to defend Trump and defend our election rights and not let our rights be stolen from us.
[00:07:25.029 --> 00:07:35.876]  But the bigger issue is the fact that Joe Biden is a globalist that said that Communist China should run every facet of our lives.
[00:07:35.876 --> 00:07:39.158]  And if we continue to... Come on over here!
[00:07:39.158 --> 00:07:39.858]  Get on air with us!
[00:07:39.858 --> 00:07:41.339]  Come on!
[00:07:41.339 --> 00:07:42.420]  Oh, you got one?
[00:07:42.420 --> 00:07:44.801]  Is that your IQ?
[00:07:44.801 --> 00:07:45.421]  That's your big IQ?
[00:07:45.421 --> 00:07:50.625]  Hey, we're not antifa like you that are anti-free speech!
[00:07:50.625 --> 00:07:52.326]  You're on air, smart man!
[00:07:52.326 --> 00:07:52.766]  Come on over here!
[00:07:53.945 --> 00:07:55.126]  Oh, wear your little panty mask?
[00:07:55.126 --> 00:07:56.466]  No, no, no.
[00:07:56.466 --> 00:07:57.807]  Oh, I'm coming after you.
[00:07:57.807 --> 00:07:59.108]  You're the one who ran your mouth.
[00:07:59.108 --> 00:08:02.950]  You're the one who wears a little panty diaper over your face.
[00:08:02.950 --> 00:08:07.612]  Yeah, you wear your little slave diaper over your face there, buddy.
[00:08:07.612 --> 00:08:08.753]  Huh?
[00:08:08.753 --> 00:08:09.373]  Come on over.
[00:08:09.373 --> 00:08:11.474]  Get interviewed by us, big man.
[00:08:11.474 --> 00:08:12.375]  Or is that all you got?
[00:08:12.375 --> 00:08:14.116]  Your one finger and IQ, huh?
[00:08:16.047 --> 00:08:18.209]  Okay, so a lot of great fans out here.
[00:08:18.209 --> 00:08:18.609]  USA!
[00:08:18.609 --> 00:08:18.869]  USA!
[00:08:18.869 --> 00:08:19.049]  USA!
[00:08:19.049 --> 00:08:19.389]  USA!
[00:08:19.389 --> 00:08:19.790]  USA!
[00:08:19.790 --> 00:08:20.210]  USA!
[00:08:20.210 --> 00:08:20.390]  USA!
[00:08:26.195 --> 00:08:28.817]  So we're out here, unscripted folks, no teleprompter.
[00:08:28.817 --> 00:08:30.098]  Let's just go to this now.
[00:08:30.098 --> 00:08:33.660]  Let's go to my speech at the Jericho event that was amazing.
[00:08:33.660 --> 00:08:34.741]  Tens of thousands there.
[00:08:34.741 --> 00:08:36.082]  Owen Schroer also spoke.
[00:08:36.082 --> 00:08:38.183]  Let's go to some highlights of those speeches.
[00:08:38.183 --> 00:08:48.971]  Then we're going to come back and I'll get into the chi-coms and the globalists, the next leg of the fight, and what America's facing if Joe Biden gets in, or Trump's very limited path to overturning this fraud that really lies in our hands.
[00:08:48.971 --> 00:08:52.954]  So here are those two pieces of information, and we'll be right back on the other side.
