[00:00.000 --> 00:01.000]  I'm great.
[00:01.000 --> 00:06.720]  A picture of gold in 2007 and beyond, and how to seize this great opportunity.
[00:06.720 --> 00:13.280]  Just call 1-800-289-2646, that's 1-800-B-U-I-C-O-I-N.
[00:13.280 --> 00:17.560]  When it comes to your financial future, don't follow the government lead, instead take the
[00:17.560 --> 00:19.400]  lead yourself.
[00:19.400 --> 00:40.440]  Pick up the phone and dial 1-800-289-2646.
[00:40.440 --> 00:45.240]  Big Brother, mainstream media, government cover-ups.
[00:45.240 --> 00:46.240]  You want answers?
[00:46.240 --> 00:54.760]  Well, so does he, he's Alex Jones on the GCN Radio Network, and now, live from Austin,
[00:54.760 --> 01:06.560]  Texas, Alex Jones.
[01:06.560 --> 01:09.240]  We have a very important guest joining us today.
[01:09.240 --> 01:15.600]  He's a father of a serviceman who has refused to be redeployed to Iraq, because he's stating
[01:15.600 --> 01:21.360]  on the record that he will not follow illegal orders, and so we'll be talking to the serviceman's
[01:21.360 --> 01:23.360]  father coming up in the second hour.
[01:23.360 --> 01:30.320]  In the meantime, I want to play an O'Reilly factor clip to break down and analyze the
[01:30.320 --> 01:38.440]  low-grade, moron-level propaganda that O'Reilly uses, but that's why he's so effective.
[01:38.440 --> 01:48.560]  He's playing to that 40% to 50% of the American population who literally are mind-numbed robots.
[01:48.560 --> 01:54.560]  They literally just watch television, go to work, and believe whatever the media and the
[01:54.560 --> 01:59.760]  government say, because I mean, I don't watch a lot of television, but I do watch little
[01:59.760 --> 02:05.360]  news clips of key commentators and track the information, so I watch a few clips of a rally
[02:05.360 --> 02:11.560]  every week, and he's getting more and more mindless, more and more simplistic.
[02:11.560 --> 02:17.000]  I mean, they could basically have a robot doll that would just sit there and say, you're
[02:17.000 --> 02:21.920]  an idiot, you're a kook, you're a minority, no one agrees with you, you're a kook, you're
[02:21.920 --> 02:27.840]  an idiot, you're a moron, you're a very small group, the American people hate you, you're
[02:27.840 --> 02:31.760]  a terrorist, you support terrorists.
[02:31.760 --> 02:34.520]  That's all he says.
[02:34.520 --> 02:41.120]  Once you get paid like $10 million a year to just sit there and repeat that, it's unbelievable.
[02:41.120 --> 02:46.640]  Then we have another clip, Lou Dobbs on fire last night saying they're bringing in one
[02:46.640 --> 02:51.520]  world government, that it's a new world order, and the destruction of the U.S., because a
[02:51.520 --> 02:57.520]  new report was issued yesterday by the globalist saying, we're not done with the North American
[02:57.520 --> 03:01.960]  Union, they want to go ahead and merge it now into the Pan-American Union.
[03:01.960 --> 03:06.080]  So for a year and a half, we've been inside the North American Union, now they're already
[03:06.080 --> 03:11.240]  trying to merge it into the Pan-American Union, but they got to kill Hugo Chavez first, which
[03:11.240 --> 03:14.800]  they've been trying to do, so we'll see what happens there.
[03:14.800 --> 03:19.840]  But I tell you, it feels really good to have major newspapers and people like Lou Dobbs
[03:19.840 --> 03:26.720]  reporting the truth, because it's shocking and amazing mind-numbed robots, the brainwash
[03:26.720 --> 03:33.160]  type out there, who believe whatever's on TV, just not anything we talk about isn't true.
[03:33.160 --> 03:36.960]  But then as soon as it's on television, it must be true, and they're literally having
[03:36.960 --> 03:42.040]  problems computing right now, because the White House admits we're in the North American
[03:42.040 --> 03:48.480]  Union, the documents are there and available, it is now getting out to the public, and it
[03:48.480 --> 03:53.920]  is making people out there take a double take, because, wait a minute, he told the truth
[03:53.920 --> 03:57.920]  about the embassy program, he told the truth about the North American Union, he told the
[03:57.920 --> 04:06.080]  truth about so many other issues, and now he's telling the truth about this, you see,
[04:06.080 --> 04:11.760]  so many people won't check out my claims, and so for years, they'll just think I'm
[04:11.760 --> 04:18.600]  up here making this stuff up, believe me, I wish every day that I was making this up,
[04:18.600 --> 04:22.600]  we're not, we don't have words to describe how serious it is.
[04:22.600 --> 04:29.680]  The Neocons attacked Somalia yesterday, anybody they attack is called Al-Qaeda, also a really
[04:29.680 --> 04:34.520]  scary report here out of the Austin American statesman that I missed, and it was also
[04:34.520 --> 04:42.520]  picked up by UPI, this came out a few weeks ago, and it's up on prisonplanet.com, a headline
[04:42.520 --> 04:51.000]  mishap in dismantling nuclear warhead, warhead almost detonates in Texas, again, none of
