[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:27.000]  Are we seeing the Earth? Are we seeing the Earth now?
[00:27.000 --> 00:42.000]  Yeah, we see the Earth. We know what's going on on this planet. We studied human history. We've studied the corrupt ruling class in all of their entitled arrogance and insider crony capitalist eugenics corruption.
[00:42.000 --> 00:53.000]  Thank you so much for joining us on this live Sunday Transmission. And believe me, we've got incredibly, incredibly important information for you today.
[00:53.000 --> 01:03.000]  It is, of course, four o'clock central and one minute now. That's five o'clock Eastern, two o'clock Pacific, three o'clock mountain.
[01:03.000 --> 01:13.000]  But wherever you're listening in the world, thank you for joining us. It is the 27th day of November 2011, and we're going to be here for the next two hours.
[01:13.000 --> 01:23.000]  And stature engine, stature thinking processes, because when I get back from this break, it is just unbelievable quickening and acceleration.
[01:23.000 --> 01:35.000]  And six months from now, this quickening, this acceleration in world events will look tame. Strap yourselves in, get right with God, because the world is going to get crazier and crazier.
[01:35.000 --> 01:55.000]  We are entering world government run by absolutely the most villainous, verminous form of snake like wicked doers that you could possibly imagine.
[01:55.000 --> 02:06.000]  The hedge of protection is being removed from Western nations, and evil is flooding in right now like so much swamp water.
[02:06.000 --> 02:10.000]  Unbelievable information today.
[02:10.000 --> 02:27.000]  Hey, I want to look at something we've been aware of for a while, but finally got a lot of attention. And not only is the story huge, but the response by the trolls and their deception is very, very telling and it's very informative.
[02:27.000 --> 02:40.000]  And by exposing deception, those out there listening will learn how to detect it and learn the playbook of the enemy, and then you can teach others and be aware of it because the people perish for lack of knowledge.
[02:40.000 --> 02:48.000]  The truth will set you free. Knowledge is power. You know all the cliches. They're cliches because they're true.
[02:48.000 --> 02:58.000]  Senate moves to allow military to intern Americans without trial in DAA detention revision would turn America into a battlefield. Now, Ron Paul's come out and said that's what this does.
[02:58.000 --> 03:01.000]  The ACLU has.
[03:01.000 --> 03:13.000]  And within minutes of our article going up, there were trolls on there. The usual suspects lying and saying it doesn't say what Ron Paul,
[03:13.000 --> 03:25.000]  the ACLU info wars.com have said because the bill is written by slime bag lawyers and the people coming into the site were already there with their playbook of lies.
[03:25.000 --> 03:35.000]  Now that shows you were hurting these people when they have the New York Times come out and say that my film the Obama deception is linked to the White House shooter or that the
[03:35.000 --> 03:47.000]  Tucson shootings, my fault, or if you slip on a banana peel, it's our fault. That's because we're over the enemy target. We're dropping info weapons on them.
[03:47.000 --> 03:57.000]  We're hurting their mountain of lies. We're blasting them to kingdom come. And so they're firing every bit of flak they can at us because we are over the target.
[03:57.000 --> 04:06.000]  The shot eyes, the whole nine yards, we're going in, nothing stopping us. We're committed and boy, does it feel good to just be committed and not be afraid, not care.
[04:06.000 --> 04:10.000]  But the consequences are so I'm going to break this down today.
[04:10.000 --> 04:16.000]  Then I'm going to get into Newt Gennrich. I've been meaning to do this for a while and there's so much dirt on him that.
[04:16.000 --> 04:22.000]  I tend to get so busy with other research that I don't go recompile all the stuff I've run across over the years.
[04:22.000 --> 04:30.000]  And so I keep procrastinating on doing this because I'm so busy. So I just did an hour of digging through my research last night and a day.
[04:30.000 --> 04:43.000]  And I've got like 15 pieces of evidence of just total globalism, total treason, total just open his own statements for world government, the end of America, carbon taxes, Bill Clinton loving him, all of it.
[04:43.000 --> 04:52.000]  So we're going to just give you a nice uppercut to Newt Gennrich like we did for Mitt Romney, Ricky Perry and all the rest of these globalist stuges.
[04:52.000 --> 04:59.000]  That's coming up. And then I got pulled over by the state police. I'll tell you about that. Stay with us.
[04:59.000 --> 05:06.000]  When you're out on the road, the last place you want to be is on the road.
[05:06.000 --> 05:11.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[05:11.000 --> 05:19.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[05:19.000 --> 05:28.000]  They so pride in every stitch guarantee you love the way they fit.
[05:28.000 --> 05:33.000]  They put a diamond gusset in the crotch where you need it most.
[05:33.000 --> 05:42.000]  Blue diamond gussets got it, others don't.
[05:42.000 --> 05:45.000]  Made in the USA with unparalleled quality.
[05:45.000 --> 05:51.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[05:51.000 --> 05:54.000]  Order yours at gusset.com.
[05:54.000 --> 06:03.000]  Diamond gusset jeans got it, others don't.
[06:03.000 --> 06:09.000]  You are listening to an Infowars.com frontline report.
[06:09.000 --> 06:21.000]  If you are receiving this transmission, you are the resistance.
[06:21.000 --> 06:31.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide its Alex Jones.
[06:31.000 --> 06:37.000]  That's right. I don't come to you from the United States of America and the Republic for which it stands.
[06:37.000 --> 06:43.000]  I come to you from deep inside occupied United States, occupied Texas.
[06:43.000 --> 06:52.000]  I come to you from the former capital of my state where electronic voting machines in the county for at least 15 years have been proven and certified to be complete frauds.
[06:52.000 --> 07:01.000]  I've been there challenging the election results myself at Travis County when the state admits it's a fraud but says they can go ahead with it.
[07:01.000 --> 07:06.000]  I live in an occupied country and I want my Republic back.
[07:06.000 --> 07:14.000]  And watching these globalists blame the Bill of Rights and Constitution for all of our problems and blaming free market capitalism for all of our problems.
