[00:00:07.052 --> 00:00:11.434]  Waging war on corruption.
[00:00:11.434 --> 00:00:19.818]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:28.939 --> 00:00:31.341]  Wayne Madsen was on with us about four months ago.
[00:00:31.341 --> 00:00:33.903]  He was on with us a couple years ago as well.
[00:00:33.903 --> 00:00:37.966]  He was on with us a decade ago.
[00:00:37.966 --> 00:00:46.552]  And even before that, back in the late 1990s, he was exposing what was going on with the National Security Agency.
[00:00:48.311 --> 00:00:55.433]  And how it was spying on corporations, how it was spying on individuals, how it was spying on foreign leaders.
[00:00:55.433 --> 00:01:02.495]  Now, Wayne should know he was part of secret internal NSA security, known as the Q Group today.
[00:01:02.495 --> 00:01:04.735]  That's how he knows about things like the Q Group.
[00:01:04.735 --> 00:01:13.017]  It had a different name back then, so that's why he was the type of person that would know way more than somebody like Snowden.
[00:01:13.017 --> 00:01:14.718]  But he's always had to be very, very careful
[00:01:16.150 --> 00:01:27.792]  And not release any information he has, just like Dr. Bob Bowman, the former head of Star Wars, could only point out what they had accidentally leaked or improperly declassified.
[00:01:30.464 --> 00:01:34.607]  And so it was Wayne Madsen that first exposed the Q-grip.
[00:01:34.607 --> 00:01:36.669]  They pulled it down off the London Guardian.
[00:01:36.669 --> 00:01:42.974]  And then of course, months later, Time Magazine, Newsweek, CNN, they could all report on it, but Whitewash it.
[00:01:42.974 --> 00:01:48.519]  He will be joining us in an in-depth look, as much as he can say, about inside the National Security Agency.
[00:01:50.108 --> 00:02:01.976]  Coming up, and what this really signifies, because you'd think you'd see Wayne Madsen, who's on record being one of the biggest NSA whistleblowers of all time, back when they didn't arrest you for it in the 1990s.
[00:02:01.976 --> 00:02:08.601]  James Bamford got a lot of his info, best-selling author on the subject, from him.
[00:02:08.601 --> 00:02:10.862]  But now, obviously, he cannot give out the info.
[00:02:10.862 --> 00:02:11.142]  They will.
[00:02:11.142 --> 00:02:14.745]  They will kill you or arrest you, because what they're doing is so criminal.
[00:02:15.871 --> 00:02:17.432]  And how they're using the data.
[00:02:17.432 --> 00:02:24.018]  We saw the asinine statement yesterday by the White House that they don't use spying data for economic reasons.
[00:02:24.018 --> 00:02:31.083]  And then the inferred propaganda is, oh we really do, but it's for America.
[00:02:31.083 --> 00:02:38.529]  Everything the globalists are doing is to have inside knowledge to shut the Republic down on record.
[00:02:38.529 --> 00:02:40.791]  Agenda 21.
[00:02:40.791 --> 00:02:41.372]  Speaking of that,
[00:02:42.964 --> 00:02:46.767]  Kit Daniels, I was told about this by the Texas Land Commissioner, Jerry Patterson.
[00:02:46.767 --> 00:02:50.530]  Heard him talking about it at the Alamo a few weeks ago at an open carry rally.
[00:02:50.530 --> 00:02:52.692]  We looked into it and it's worse than what we were first told.
[00:02:54.517 --> 00:03:03.142]  The city of San Antonio is looking to turn most of the city over to United Nations Agenda 21 World Heritage Site Management.
[00:03:03.142 --> 00:03:07.024]  And when you do that, you go under treaty to UNESCO.
[00:03:07.024 --> 00:03:08.565]  I am an expert on this.
[00:03:08.565 --> 00:03:14.248]  My first film was America Destroyed by Design that came out in 1997, 16 years ago.
[00:03:17.947 --> 00:03:26.372]  That shows all the documentation, the congressional committees, the UN treaties, the park rangers threatening to arrest me for politely asking about it.
[00:03:26.372 --> 00:03:29.574]  This is what authoritarians these people are.
[00:03:29.574 --> 00:03:32.696]  And so we're also going to embed the whole things on YouTube.
[00:03:32.696 --> 00:03:34.497]  My film America Destroyed by Design.
[00:03:36.530 --> 00:03:40.274]  Where a 40 pound lighter Alex Jones breaks it all down.
[00:03:40.274 --> 00:03:45.459]  But this just shows the control system that we deal with as a society.
