[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[00:30.000 --> 01:00.000]  From the front lines of the information war it's Alex Jones. It's Saturday December 10th. The year is 2022 and this is an emergency transmission. I'm asking all of you to take the streams of this from infowars.com and band.video and the archive of it once it's band.video
[01:00.000 --> 01:30.000]  Saturday December 10th worldwide emergency transmission. We are about to interview the Global Health Alliance Wuhan whistleblower, the former chief scientist, the vice president of the EcoHealth Alliance that ran the whole operation with the COVID development and the rollout. This is absolute smoking gun information. We're interviewing for an hour.
[01:30.000 --> 02:00.000]  Commercial free coming up in 20 minutes. Dr. Andrew G. Huff, former EcoHealth Alliance vice president and senior scientist. And he's the guy where 90% of the info that's all been proven to be right came out from an incredible, incredible story, incredible information. The truth about Wuhan, how uncovered the biggest lie in history. That is coming up in T-minus 20 minutes. Then Steve Quayle to talk about
[02:00.000 --> 02:30.000]  the Russia escalation, what's happening with the currency, the economy, and so much more today. And I know the heart of people, the core of people that tune in regularly are super informed, some of you more than I am. But remember our main job, my job, I think it should be your job if you show to take this mission is to get this information out to as many people as you can. So take clips of the show, cut it up, re upload it, share it, share the live feed.
[02:30.000 --> 03:00.000]  This is what you do. Just get this information out because the public is so hungry for the truth right now. And their minds and souls are so open for the truth. And so our most important work, even though we've all done incredible work together, this is one family, pro-human family. Our most important work is now happening and is to come. Okay. Let me just give you a prelude of what's coming up with Dr. Huff. Huge article and key video clips on info.
[03:00.000 --> 03:30.000]  Global Wars.com with Senator Johnson's ongoing hearings, doctors and victims to tell massive death and adverse reactions from the so-called COVID vaccines. Super critical report with Dr. Peter McCullough and others right there for you. Just devastating. Meanwhile, undercover video. World Health Summit member admits global lockdown is not based in science. So it's all about control.
[03:30.000 --> 04:00.000]  It's all about power. That's also on info wars.com. And then all the different illegal gain of function going on. Even Forbes says gain of function experiments at Boston university create a deadly new COVID strain virus. Who thought this was a good idea? That's all coming up. Well, the depopulationist thought that this was a good idea to give them total power and control on their road of depopulating us.
[04:00.000 --> 04:30.000]  How they're getting away with all this by information control. And now that information control is now being massively exposed as well. And hit some other news before we go to our two guests today. And here is Margaret Johnston on China's hesitancy to use mRNA vaccine technology at Senator Johnson's hearings. Here's that clip.
[04:30.000 --> 04:58.000]  Margaret, do you have any thoughts on where China could be going? Well, I'm very concerned about where China's going. I have many good friends in China. And I look at the zero COVID policy and the effect that's had on human rights of people being forced to stay home for months on end. The Uyghurs have been home since August without adequate food replenishment.
[04:59.000 --> 05:24.000]  And so I've been concerned about that. Now we're seeing that the National Health Commission is starting to ease up on some of the COVID restrictions. That's good to see in terms of the zero COVID constraints. But the really concerning thing is that they haven't got vaccines that will protect their population.
