[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[00:06.000 --> 00:32.000]  You are like everybody's dream of America. You live like the rags, well you didn't really have rags,
[00:32.000 --> 00:37.000]  but I mean all the riches and everything that America can offer, you got it.
[00:37.000 --> 00:40.000]  Well I've had a good time, I've enjoyed myself, I've enjoyed my life.
[00:40.000 --> 00:44.000]  So you've sort of become like a folk hero. I mean people, there's someone in this audience,
[00:44.000 --> 00:49.000]  I was reading the audience list, some man who's a businessman, you can tell me who you are later,
[00:49.000 --> 00:53.000]  who went to New York and just wanted to stand by your building hoping some of the luck would run off.
[00:53.000 --> 00:55.000]  Is that true? Is he in this audience?
[00:55.000 --> 00:56.000]  He's in this audience.
[00:56.000 --> 00:57.000]  We have to find him.
[00:57.000 --> 01:01.000]  Yeah, and so how do you explain that? Or is there an explanation?
[01:01.000 --> 01:04.000]  You know, I believe that you make your own luck to a large extent.
[01:04.000 --> 01:08.000]  The word luck is a very important word, very important. There's no more important word than luck.
[01:08.000 --> 01:15.000]  Sadly, the American dream is dead.
[01:19.000 --> 01:29.000]  But if I get elected president, I will bring it back bigger and better and stronger
[01:29.000 --> 01:36.000]  than ever before and we will make America great again. Thank you, thank you very much.
[01:36.000 --> 01:46.000]  Critics often say that Donald Trump is a shallow showman, an egomaniac who wanted to be president just for the sake of it.
[01:46.000 --> 01:54.000]  They say he only got into politics to serve himself and his businesses and that he lacks the experience
[01:54.000 --> 01:59.000]  and knowledge required to perform the role of president of the United States.
[01:59.000 --> 02:08.000]  He's inconsistent, they'll say, with the only consistency being that he's out for numero uno, Trump.
[02:08.000 --> 02:14.000]  But is this true? Why did Trump run for president? And how can we know for sure?
[02:14.000 --> 02:25.000]  Well, if you listen to his own words, the man speaks for himself and says exactly why he wants to make America great again.
[02:25.000 --> 02:32.000]  Trump likes the attention he gets from crowds, from the establishment and from the press, but he is very sensitive about the press.
[02:32.000 --> 02:38.000]  I don't think they portrayed what I'm really all about, necessarily.
[02:38.000 --> 02:44.000]  I've never seen press reporting as I have with regard to me.
[02:44.000 --> 02:48.000]  I hope the general public understands how inherently dishonest the press in this country is.
[02:48.000 --> 02:53.000]  I think a lot of the press is very dishonest. The news gets away with murder, the news media.
[02:53.000 --> 02:57.000]  I find the press is extremely dishonest, okay? Very dishonest.
[02:57.000 --> 03:00.000]  There's tremendous dishonesty in the media.
[03:00.000 --> 03:05.000]  These are very, very dishonest people.
[03:05.000 --> 03:10.000]  We are fighting the fake news. It's fake, phony, fake.
[03:10.000 --> 03:15.000]  The news about me is largely phony. It's false.
[03:15.000 --> 03:17.000]  Does that get under your skin?
[03:17.000 --> 03:21.000]  No, because you see, I think I'm right. And when I think I'm right, nothing bothers me.
[03:21.000 --> 03:26.000]  When I see a total rip-off of this country by Japan, where they literally have no defense budget,
[03:26.000 --> 03:31.000]  where we have to borrow money from them in order to get them oil and defend the Persian Gulf,
[03:31.000 --> 03:35.000]  where most of the oil goes to Japan and other countries, not us. We get 4% of oil.
[03:35.000 --> 03:39.000]  When I see Kuwait, a total rip-off, we're bringing in the Bridgeton.
[03:39.000 --> 03:43.000]  You remember the Bridgeton? Their oil minister sat back and he laughed at how much money he's going to make.
[03:43.000 --> 03:46.000]  Why are we getting some of that money? Why are we getting it?
[03:46.000 --> 03:52.000]  They're taking in billions and billions of dollars, and we can't even land a helicopter in Kuwaiti soil.
[03:52.000 --> 03:56.000]  You tell me that's right. Saudi Arabia was making a billion dollars a day.
[03:56.000 --> 03:59.000]  Saudi Arabia, they wouldn't even be there except for us.
[03:59.000 --> 04:03.000]  And in Saudi Arabia, we couldn't even use their minesweepers, so you know it.
[04:03.000 --> 04:06.000]  We defend Saudi Arabia. They wouldn't even be there.
[04:06.000 --> 04:09.000]  Saudi Arabia, without us, is gone.
[04:09.000 --> 04:14.000]  So we defend Saudi Arabia. Every time there's a problem, we send our ships, we go crazy, right?
[04:14.000 --> 04:17.000]  We spend a fortune. We get paid peanuts for this.
[04:17.000 --> 04:25.000]  This is a five-minute version of a 20-minute version that's up on band.video, titled Trump Then and Now.
[04:25.000 --> 04:33.000]  And it is very, very powerful because it shows the consistency of him saying things 35 years ago, 20 years ago,
[04:33.000 --> 04:37.000]  and then saying them today and actually getting it done.
[04:37.000 --> 04:41.000]  And that's why they hate Trump so much, is you may disagree with him on some things,
[04:41.000 --> 04:46.000]  but he actually says what he means and then tries to carry it out, and in most cases succeeds.
[04:46.000 --> 04:51.000]  It's like M-Full Wars. We deliver. Straight shooting.
[04:51.000 --> 04:56.000]  We're here only because you spread the word and support us. You are the M-Full War, and I salute you.
[05:22.000 --> 05:28.000]  Focus the people on taking action against the globalist because I'm committed to a future for humanity,
[05:28.000 --> 05:34.000]  and I know you are as well. So thank you in 2019 for standing with us because you are the M-Full War,
[05:34.000 --> 05:38.000]  and I want to thank you for committing to stand with us in 2020 however you can.
[05:38.000 --> 05:42.000]  For the bottom of my heart, for my family, and for the great crew at M-Full Wars,
