[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:30.000 --> 00:36.000]  Welcome to the Alex Jones Show. I'm your fill-in host for today, Mike Adams, the health ranger here in Austin, Texas,
[00:36.000 --> 00:41.000]  joining the War for Liberty, standing up for your right to speak your mind.
[00:41.000 --> 00:48.000]  Today's show is a special on censorship, tyranny, on parade, and thank you for joining us. Alex is out today,
[00:48.000 --> 00:54.000]  but of course he'll be back soon. We've got so much to cover today. This segment, of course, isn't carried by all affiliates,
[00:54.000 --> 01:00.000]  so the real big bombshell headlines begin after the coming break, but let me tell you what's coming up today.
[01:00.000 --> 01:08.000]  We've got a teaser announcement of a new uncensored video community that's being announced.
[01:08.000 --> 01:15.000]  We've got a list of 10 things that you can do right now to help fight tyranny and censorship being pushed by leftist tech companies
[01:15.000 --> 01:18.000]  like YouTube, Google, Facebook, and Twitter, and others.
[01:18.000 --> 01:28.000]  We've also got a report today in the third hour, shocking finding about how aborted babies are literally being flushed down city sewers,
[01:28.000 --> 01:36.000]  turned into bio sludge, and put back on our food crops as fertilizer. That's not hyperbole. It's not an exaggeration.
[01:36.000 --> 01:40.000]  It is a 100% true shocking story. We'll be bringing you that.
[01:40.000 --> 01:49.000]  And much more, we've got Jim Hof coming up from the Gateway Pundit. He's coming up in the second hour in an interview with Jim about censorship and tyranny.
[01:49.000 --> 01:55.000]  And I'll be taking your listener calls today, so feel free to call in. We're going to line up the phone lines and take a lot of calls from you.
[01:55.000 --> 02:04.000]  I'm going to love to hear from you. It has been four, almost five years since I last hosted this show, and I think probably you're wondering why.
[02:04.000 --> 02:11.000]  I remember when I last hosted in 2013, a lot of people said, hey, where did the health ranger go? How come he's not filling in anymore?
[02:11.000 --> 02:19.000]  And I'm back. I got to say, for the last few years, I focused on different things. I built a laboratory, a science lab.
[02:19.000 --> 02:25.000]  It's a world-class scientific analysis laboratory using mass spec instruments and so on.
[02:25.000 --> 02:29.000]  I learned how to fly airplanes. I did a lot of interesting things.
[02:29.000 --> 02:38.000]  But coming back now, four years later, just seeing the InfoWars operation, it is so much larger. It is so professional.
[02:38.000 --> 02:45.000]  The people here are on task. They are super dedicated to this job. It's really impressive to me.
[02:45.000 --> 02:51.000]  I mean, this, Alex has built, I mean, not alone. I mean, with your help and other people's input.
[02:51.000 --> 02:59.000]  But Alex has built a world-class news organization here that I believe as we move into the collapse of the mainstream media
[02:59.000 --> 03:07.000]  and the complete discrediting of CNN, which is now using gangs' style tactics to try to shut down InfoWars,
[03:07.000 --> 03:13.000]  I see InfoWars as being the replacement, the truth media for America, so to speak.
[03:13.000 --> 03:18.000]  And I say this as an independent observer, you know, an outside person coming in to guest host.
[03:18.000 --> 03:23.000]  And I'm not part of the InfoWars operation, but I believe in the mission of liberty
[03:23.000 --> 03:28.000]  and I see this operation as something incredibly powerful for America.
[03:28.000 --> 03:34.000]  And it's no wonder CNN is trying to shut down InfoWars that all of these operations are committing, you know,
[03:34.000 --> 03:41.000]  economic sabotage to try to make sure that InfoWars doesn't make any money, and yet you are standing up as the resistance.
[03:41.000 --> 03:45.000]  You're supporting the InfoWars store. You're giving InfoWars a revenue stream.
[03:45.000 --> 03:50.000]  You're making sure they've got the money to fight back and fight for your liberties and fight for your right to speak
[03:50.000 --> 03:53.000]  and fighting against the lies of the mainstream media.
[03:53.000 --> 04:02.000]  You know, this is teleprompter-free, genuine, authentic, pro-liberty, pro-America broadcast central right here.
[04:02.000 --> 04:05.000]  That's what this is. And that's why I'm excited to be here today.
[04:05.000 --> 04:09.000]  And that's why I want to take your calls because I want to hear from you. I'm excited to be back.
[04:09.000 --> 04:12.000]  I thank Alex for inviting me back to be part of this.
[04:12.000 --> 04:17.000]  I knew I couldn't stay away forever. You know, the fight for liberty needs all of us, all of our voices.
[04:17.000 --> 04:23.000]  And I'm being targeted now, too. I was censored on Saturday. YouTube shut down my entire account.
[04:23.000 --> 04:30.000]  Terminated my whole account. It was called The Health Ranger. Terminated on Tuesday, on Saturday.
[04:30.000 --> 04:35.000]  And here we are trying to fight for liberty in free speech, but we're being attacked at every angle.
[04:35.000 --> 04:38.000]  So when we come back, the bombshells really begin. Stay tuned.
[04:38.000 --> 04:42.000]  This is the Alex Jones Show. Mike Adams, filling in today.
[05:00.000 --> 05:04.000]  Feel your body with carnivore, the new digestive enzyme product by InfoWars Life.
[05:04.000 --> 05:09.000]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients
[05:09.000 --> 05:12.000]  by breaking down foods into easily absorbable components.
[05:12.000 --> 05:17.000]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[05:17.000 --> 05:20.000]  Digestive enzyme production declines as we age.
[05:20.000 --> 05:24.000]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[05:24.000 --> 05:27.000]  Enjoy the full potential of protein-rich foods again.
[05:27.000 --> 05:35.000]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[05:35.000 --> 05:43.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[05:43.000 --> 05:50.000]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates, so you can fully digest all types of meals.
[05:50.000 --> 05:54.000]  Don't let a meal go to waste. Use carnivore by InfoWars Life.
[05:54.000 --> 06:01.000]  Head to InfoWarsLife.com and secure your bottle now. That's InfoWarsLife.com.
[06:01.000 --> 06:07.000]  From the front lines of the Information War, it's Alex Jones.
[06:12.000 --> 06:19.000]  I'm going to try to be as calm as I can on this Tuesday broadcast. This is Alex Jones reporting from the road.
[06:19.000 --> 06:25.000]  Mike Adams of Natural News is about to be hosting the transmission here in just a few minutes.
[06:25.000 --> 06:36.000]  I need to address several giant deceptions by mainstream media, by corporate dinosaur-pressitude media, because they're pointed directly at we the people.
[06:36.000 --> 06:45.000]  These attacks on InfoWars, in their own words, are precedent-setting cases to shut down the free Internet as we know it.
[06:45.000 --> 06:53.000]  Now, let me just briefly recap what's happened in the last two weeks.
[06:53.000 --> 07:03.000]  Two false CEOC complaints were filed against me. The lawyer on the case is Hillary Lottemar Clinton's personal lawyer.
[07:03.000 --> 07:08.000]  You cannot make this up, and they are completely fraudulent in fact.
[07:08.000 --> 07:18.000]  On top of that, there have been eight Democratic Party-financed lawsuits against me in InfoWars in the last year.
[07:18.000 --> 07:30.000]  A new lawsuit was filed yesterday by the man that claims he has the trademark for Pepe the Frog, claiming I infringed on it when we don't even use the frog as a symbol or promote it.
[07:30.000 --> 07:47.000]  But we did sell an art poster that a listener made titled Make America Great Again that had a bunch of images of symbols that were popular during the campaign that are part of popular culture and completely protected by fair use.
[07:47.000 --> 08:04.000]  It's like saying you can't paint a picture of John Wayne, or you can't paint a picture of Abraham Lincoln, or you can't paint a picture of Axel Rhodes, of the rock band guns and roses, or you can't paint a picture of Donald Trump.
[08:04.000 --> 08:16.000]  So it's a frivolous lawsuit. But that just gives you an idea, the level of this where it was a lawsuit every month, now it's a lawsuit every week, and they're all frivolous and they all get thrown out of court.
[08:16.000 --> 08:28.000]  But it takes hundreds of thousands of dollars to get that done each time, and the Democrats admit that their plan is to shut us down with lawsuits.
[08:28.000 --> 08:38.000]  And they're doing this to a lot of other prominent conservatives, a lot of other prominent libertarians. They're sending a message that if you stand up and you tell the truth, we're going to shut you down.
[08:38.000 --> 08:50.000]  So, nine lawsuits, fake EOC filings, which will become a lawsuit if it goes to the next level, so that's ten lawsuits, excuse me, correction.
[08:50.000 --> 08:59.000]  Ten lawsuits since Trump was elected. But notice, now it's one every week. It took a year to do eight, now it's one every week.
[08:59.000 --> 09:10.000]  This is the strategy. It's the Democratic Party and their cohorts. There is no morals. There is no decency. There is no honor.
[09:10.000 --> 09:17.000]  There is just do whatever they want. Just like the Nazis said, everybody, they were attacking were subhuman.
[09:17.000 --> 09:24.000]  And so they had a right to be vicious and hateful and evil, and not play by any rules. It's the same thing with the Democrats.
[09:24.000 --> 09:29.000]  They have all said that we are Nazis, so now they can act like Nazis.
[09:29.000 --> 09:42.000]  Now, the reason I raised this is I haven't taken off a family vacation close to a year, and I'm just taking a few days off of my children, and I'm responding to this, and I'm getting hundreds of phone calls from the press,
[09:42.000 --> 09:47.000]  hundreds of emails are coming into the office. We can't even keep track of it all.
[09:47.000 --> 09:53.000]  And in the midst of all of this, here's the biggest fraud of them all.
