[00:00.000 --> 00:28.800]  InfoWars, tomorrow's news today.
[00:28.880 --> 00:33.760]  Trump spoke to a crowd of around 50,000 people yesterday. The corporate media said 25,000. I've
[00:33.760 --> 00:40.640]  seen the numbers. It was at least 50,000. We had some crew there covering it. And he did a great
[00:40.640 --> 00:46.240]  job. He also on Friday after we criticized him for his death and destruction comment, tweeting
[00:46.240 --> 00:51.920]  a picture of a baseball bat. And we don't need that. He deleted it. So that's a good thing.
[00:51.920 --> 00:56.080]  We're winning this nonviolently. We don't need to step into the provocateur actions.
[00:56.720 --> 00:59.360]  And speaking of that, before we play a few of these clips,
[01:01.200 --> 01:06.240]  there is a new video that's been released of the Metro Police behaving just like Ray Epps,
[01:07.200 --> 01:09.840]  telling people break in, go over the barriers, go into the building.
[01:10.560 --> 01:15.120]  So we have the new videos coming out of that. I mean, this was a total and complete setup.
[01:15.120 --> 01:20.160]  We've got that tonight. But here's a few clips of Trump in Central Texas last night in Waco.
[01:21.200 --> 01:24.720]  He said either the deep state destroys America or we destroy the deep state. Totally true.
[01:25.440 --> 01:27.360]  Says this is the final battle. Here's the clips.
[01:30.640 --> 01:38.160]  Either the deep state destroys America or we destroy the deep state. That's the way it's got
[01:38.160 --> 01:45.760]  to be. We're at a very pivotal point in our country. Either we descend into a lawless abyss
[01:45.760 --> 01:52.240]  of open borders, rampant killings, super hyperinflation, which is what we have right now
[01:52.240 --> 01:59.680]  and not coming down and festering corruption. Or we evict Joe Biden and the Democrats from
[01:59.680 --> 02:07.120]  the White House and we make America great again. In 2024 is the final battle. That's
[02:07.120 --> 02:13.520]  going to be the big one. If you put me back in the White House, their reign will be over
[02:13.520 --> 02:18.560]  and America will be a free nation once again.
[02:23.200 --> 02:27.440]  Well, he could have done a lot better job when he first got in, but I think he's awake to what's
[02:27.440 --> 02:31.200]  happening and going on now. I definitely like everything I'm hearing from Trump.
[02:31.840 --> 02:36.000]  Now, mainstream news is reporting that the Santa's donors are telling him drop out before
[02:36.000 --> 02:41.280]  he ever announces. Trump comes out and says, very unlikely to Santa's will be his running mate.
[02:42.560 --> 02:48.000]  This attempt to have him arrested has really blown up in their face and shows how disconnected
[02:48.000 --> 02:53.840]  the establishment is. But Trump does look like he's lost about 40 pounds. I like to look without
[02:53.840 --> 02:59.760]  the red tie, but I really like the things he's saying, the things he's doing. That subject said
[02:59.760 --> 03:04.880]  born too late to explore the earth, born too early to explore the galaxy, born just in time to make
[03:04.880 --> 03:11.920]  America great again. Wow. Trump describes 2024 election as the final battle from podium in Waco.
[03:12.880 --> 03:18.160]  The witch hunt against me is dead. Trump says Manhattan DA tricked by fraud star witness wasn't
[03:19.360 --> 03:26.720]  into horse face storming. And it just goes on from there. But I do have to say Trump looked
[03:26.720 --> 03:33.760]  really good yesterday. He looked younger than when he ran seven years ago. Weird stuff going on.
[03:33.760 --> 03:40.960]  Huge. Trump says he thinks Manhattan DA Alvin Bragg has dropped the case against him. Trump deletes
[03:41.040 --> 03:46.960]  posts that threatens DA Alvin Bragg. Yeah. Why, why do you do that with an image of yourself with
[03:46.960 --> 03:51.920]  a baseball bat? Like he's in that movie, the untouchables or something. We just don't need
[03:51.920 --> 03:56.800]  that folks. So I'm very glad Trump deleted that. I mean, we can not walk it right into their trap
[03:56.800 --> 04:00.880]  and call for violence. That would be really, and he's like, well, they do it all the time.
[04:01.520 --> 04:07.680]  I understand that. I mean, the Democrats do a lot of horrible things. I mean, we have to act like
[04:07.680 --> 04:14.640]  them. So that's some of what we've got here tonight. I went over the phones up coming up
[04:14.640 --> 04:20.000]  specifically on Trump and what you think of him, obviously being the massive front runner
[04:20.720 --> 04:25.280]  and the media spinning it. Well, he'll just lose again, like two years ago in two years. So,
[04:26.000 --> 04:29.600]  oh, cause you stole the election and we all know that. I mean, sure. You say it's not the case.
[04:30.320 --> 04:36.080]  The evidence is overwhelming, but can they beat a massive super tsunami because you see so many
[04:36.080 --> 04:41.680]  Republicans stay home because they believed the background noise that trust the plan. Trump's
[04:41.680 --> 04:48.240]  invincible. He will win. No problem. Just trust the plan. Stay home, suck your thumb. But people
[04:48.240 --> 04:53.120]  now realize that's not the case. We're covering this and so much more today. It's a big live
[04:53.120 --> 04:55.760]  Sunday, March 26th transmission. Stay with us.
[05:23.520 --> 05:29.280]  Alex Jones was right. Think about how frustrated we are. If you've been awake for a year or two,
[05:29.280 --> 05:32.960]  imagine being like an Alex Jones or those guys who've been awake for like decades.
[05:32.960 --> 05:38.960]  Alex Jones called this years ago, years ago. Alex Jones never bought the Russia hoax,
[05:38.960 --> 05:45.200]  not for a second. You are one of the great thinkers of this. You are a martyr to the
[05:45.200 --> 05:50.880]  first amendment. The government fears Alex Jones. That's why the globalists hate me
[05:50.880 --> 05:53.920]  is because I'm exposing their corporate worldwide tyranny.
[06:11.360 --> 06:18.160]  Big brother, mainstream media, government coverups. You want to stop tyranny? Well,
[06:18.160 --> 06:24.240]  so does he live from the info wars.com studios. It's Alex Jones.
[06:26.480 --> 06:32.480]  I want to be 100% clear with everybody on this live Sunday, March 26,
[06:33.280 --> 06:38.880]  2023 broadcast. Whether Trump is for real or not, the deep state hates his guts and
[06:38.880 --> 06:45.040]  is scared of him because they see him as a power rival. And whether he's 100% real or not,
[06:45.680 --> 06:50.640]  when he gets up and says we have a world corporate government destroying our borders,
[06:50.640 --> 06:55.280]  our families, our culture, that's criminal. And the corporate media is your enemy.
[06:55.280 --> 06:58.800]  And they're trying to devalue the dollar and destabilize our country.
[06:58.800 --> 07:03.920]  And it's us or them. And we either take them out or they take us out politically.
[07:05.760 --> 07:12.320]  That's all completely true. And saying that energizes the awakening to levels never before
[07:12.320 --> 07:17.280]  seen. Because like I told you in the last six months, used to it was not popular to talk about
[07:17.280 --> 07:21.760]  world government, the new world order, even though it was all true. Now everybody from Russell Brand
[07:21.760 --> 07:27.680]  to Elon Musk to Joe Rogan's on board to Tucker Carlson. Tucker's been doing it for a long time.
[07:28.400 --> 07:33.040]  He's certainly not a Johnny come lately, but everybody else is starting to be a Johnny come
[07:33.040 --> 07:40.640]  lately, which is fine. We're really winning right now on so many fronts when it comes to hearts and
[07:40.640 --> 07:47.280]  minds. So that's a big deal. Trump was on fire yesterday in Waco and so was Matt Gaetz. So was
[07:47.280 --> 07:51.840]  Marjorie Taylor Greene. I didn't go. We had some crew there covering it, but I got to tell you,
[07:51.840 --> 07:58.800]  it was amazing. More hardcore stuff said at that rally that had been said in the last six,
[07:58.800 --> 08:06.080]  seven years of Trump combined. So Trump is definitely born again hard as they call it.
[08:06.720 --> 08:12.400]  And I think they'll probably try to assassinate him or something. This is just insane. I'm mad
[08:12.400 --> 08:19.280]  at him about the poison shots and don't trust him. But even Jared and his daughter said they're not
[08:19.280 --> 08:22.960]  involved with Trump now to business themselves. That's good. It looks like he's got all the
[08:22.960 --> 08:28.800]  Hollywood wannabe scum away from him and it's doing a lot better. Now I certainly am not delusional,
[08:28.800 --> 08:33.040]  but again, I'm going to say it one more time. You don't say things like this.
[08:35.440 --> 08:40.080]  You don't speak truths like this and it not have a huge effect against the enemy.
[08:40.640 --> 08:44.240]  Somebody that is working for the new world order does not say stuff like this.
[08:45.120 --> 08:49.440]  I think all of his kind of reckless statements about death and destruction, we're going to
[08:49.440 --> 08:54.400]  overthrow you and all this. It's not a good thing. Could have been better thought out,
[08:54.400 --> 08:58.400]  but it's a good thing when it comes to showing that it's not a good thing in action.
[08:59.040 --> 09:03.920]  But it's in a way a good thing showing he is completely out of control, meaning they do not
[09:03.920 --> 09:08.640]  control him at all. I think it's very easy to gauge that and to see that and that's why they hate him.
[09:08.640 --> 09:14.160]  Not that he wasn't aligned with them on some issues, but in the main, in general,
[09:16.640 --> 09:22.080]  this is an amazing time to be alive right now. This is not just Trump. Populism, nationalism,
