[00:03.000 --> 00:10.800]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[00:18.320 --> 00:23.160]  Welcome to the Alex Jones show on this Tuesday, January 17th, 2017
[00:23.160 --> 00:28.840]  I'm David Knight Alex Jones is gonna be taking the show at the bottom of the show, but the last half-hour
[00:28.840 --> 00:30.840]  130 central time
[00:30.840 --> 00:37.320]  I've been told that he has a huge announcement concerning attacks of a lethal nature. That's all I know about it
[00:37.320 --> 00:42.360]  So we're gonna get that information as it breaks as Alex returns to Austin. He's on his way back
[00:42.360 --> 00:47.640]  We're gonna have a clip of him in the next segment telling us about what is coming up
[00:48.440 --> 00:54.680]  We've also got interesting news today as the media has declared all out war on Donald Trump
[00:54.680 --> 01:01.360]  And you've seen this of course before the election ever since the election. They're now touting some new polls saying he is the most
[01:02.000 --> 01:08.200]  Unpopular president the elect that we've ever had since we've been doing polling and of course Donald Trump reminds
[01:08.200 --> 01:14.560]  I saw that they were wrong about every single poll through the primary process through the electoral process
[01:14.760 --> 01:20.040]  They have been used as push polls, but of course, you know, I'm sure they have taken some skin off of him
[01:20.040 --> 01:27.280]  He's had the vice chairman of his transition team say that he believes the constant attacks have had a small effect on his numbers
[01:27.280 --> 01:30.440]  But that he will bounce back once we see what he does. I think that's the case
[01:30.720 --> 01:35.520]  But clearly it is a case of pushing against Donald Trump with every
[01:36.520 --> 01:39.080]  Fake narrative that they can come up with and we're gonna talk today
[01:39.960 --> 01:47.120]  About this new BBC documentary that has come out in panorama and as some of the people in the UK are talking about it
[01:47.120 --> 01:49.120]  They said is this
[01:49.120 --> 01:56.280]  Panorama that's the name of the program or is this propaganda and they actually called Donald Trump the name of the documentary that they put together is the
[01:56.280 --> 01:57.800]  Kremlin candidate and again
[01:57.800 --> 02:02.960]  I told you before that this was the new narrative that have been prepared in advance
[02:02.960 --> 02:07.840]  It's very interesting to see how the mainstream media there and here are
[02:08.160 --> 02:15.840]  Coordinating these attacks coordinating the means coordinating the narratives. They just started last week talking about the Manchurian candidate
[02:15.840 --> 02:20.440]  That's become the new a meme to replace the fact that
[02:21.000 --> 02:25.640]  They continually say Donald Trump is Hitler Donald Trump is Hitler and then when he pushes back and he says hey
[02:26.280 --> 02:29.400]  National security started to act like a Nazi propaganda
[02:30.160 --> 02:34.640]  Organization leaking this fake dossier about me. They say you can't say that you can't call us Nazis
[02:34.640 --> 02:39.400]  We can only only we can call you Nazis and if you call us Nazis and that's an offense
[02:40.440 --> 02:42.440]  To call us Nazis. So
[02:42.440 --> 02:45.840]  What is really behind this is as I pointed out yesterday
[02:45.840 --> 02:48.000]  We got media gatekeepers who are being shown the door
[02:48.200 --> 02:53.440]  They have a protectionist guild at the White House press corps and they're furiously trying to protect that
[02:53.680 --> 03:00.440]  Donald Trump is coming after them because they have been coming after him with an orchestrated propaganda campaign now. They're also coming after him with
[03:01.320 --> 03:07.240]  Protesters are offering to pay protesters up to $2,500 a piece to agitate at the Trump inauguration
[03:07.240 --> 03:09.240]  We got ads in two dozen cities
[03:09.240 --> 03:16.040]  They're saying hey, we'll pay you $50 an hour if you participate in at least six events a year
[03:16.680 --> 03:20.360]  Folks that they say we're looking for grassroots support by definition
[03:20.880 --> 03:27.000]  That is Astro turf if you're going out there with deep pockets paying people 30 grand a year to protest
[03:28.560 --> 03:37.920]  You're paid protester. That's Astro turf. That's your job. Okay. That's the same as if you got hired by some special interest lobbyist group to act as a
[03:37.920 --> 03:42.120]  To write pieces for a think tank or something. Okay, that's what that's truly about
[03:42.480 --> 03:45.520]  And we're also gonna have James O'Keefe joining us in the second hour
[03:45.520 --> 03:49.560]  He's gonna have part two of that project Veritas report the undercover report
[03:49.560 --> 03:55.280]  We played part of that yesterday for you and we talked about that they caught people talking about how they were going to
[03:55.960 --> 03:58.680]  Infiltrate the deplorable one of the inauguration balls
[03:58.680 --> 04:04.800]  It was held to honor people who had voted for Donald Trump people who voted for Donald Trump knew what was going on
[04:04.800 --> 04:09.560]  They weren't Russian agents. They weren't racist. They weren't kkk people
[04:09.560 --> 04:12.920]  They were just ordinary people that Hillary Clinton said are deplorable
[04:13.040 --> 04:18.240]  So they organized a deplora ball one of the inauguration balls. They want to infiltrate that and they want to release
[04:18.960 --> 04:20.400]  buteric acid
