[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[00:00:21.974 --> 00:00:28.719]  But now that they have launched their coup against President Donald J. Trump, we can see their battle plans.
[00:00:28.719 --> 00:00:33.583]  He got four years in the White House, and they weren't going to give him a second term.
[00:00:33.583 --> 00:00:37.265]  Plans for 2020 began immediately following the 2016 election.
[00:00:39.827 --> 00:00:48.473]  Nine days before Trump's inauguration, Fauci says there is no doubt that President Trump will be confronted with a surprise infectious disease.
[00:00:49.625 --> 00:00:56.831]  Two days after the president's inauguration, Bill Gates spoke at Davos and warned of a coming deadly pandemic.
[00:00:56.831 --> 00:01:15.588]  An illegal surveillance operation was already launched before the election, and the president was then subjected to four years of nonstop baseless attacks and defamation, keeping Trump on the constant defense and the American people distracted while the deep state establishment prepared for the 2020 election.
[00:01:16.969 --> 00:01:25.033]  The COVID hoax was in the works years before the election of Donald Trump, but they started fast-tracking it.
[00:01:25.033 --> 00:01:32.876]  In 2017, Dr. Fauci began the controversial program of manipulating a virus to become more infectious to humans.
[00:01:32.876 --> 00:01:37.038]  This is known as gain-of-function research.
[00:01:37.038 --> 00:01:44.482]  In 2018, several CIA agents are elected into public office, claiming their new mission is to foil Trump.
[00:01:46.023 --> 00:01:55.932]  In 2019, Fauci committed $3.7 million to the Wuhan lab in China for gain-of-function work on bat coronaviruses.
[00:01:55.932 --> 00:02:03.879]  In 2019, Dominion voting machines, funded by the Clinton Foundation, expanded their 1,600 jurisdictions into the state of Georgia.
[00:02:04.660 --> 00:02:20.150]  In October of 2019, the Gates Foundation, the World Economic Forum, and Johns Hopkins sponsored Event 201, a tabletop exercise that simulated millions dying from a strain of coronavirus.
[00:02:20.150 --> 00:02:24.372]  Two months later, China reports an outbreak of pneumonia in Wuhan.
[00:02:25.373 --> 00:02:27.855]  March 13th, 2020, the U.S.
[00:02:27.855 --> 00:02:29.736]  shuts down for COVID.
[00:02:29.736 --> 00:02:33.238]  Thousands of people lose their jobs overnight.
[00:02:33.238 --> 00:02:39.743]  We are told that masks don't work, and yet we are told that we must wear them.
[00:02:39.743 --> 00:02:52.671]  On March 16th, the Brennan Center for Justice releases how to protect the 2020 vote from the coronavirus and suggest mail-in ballots, among other changes to the election.
[00:02:52.671 --> 00:02:54.493]  The media tries to blame Trump.
[00:02:55.393 --> 00:03:02.999]  Fear is injected into the brainwashed masses over an alleged virus less deadly than the common cold.
[00:03:02.999 --> 00:03:08.584]  On May 25th, Soros-funded violent protests erupt throughout the country.
[00:03:08.584 --> 00:03:14.688]  For the rest of the summer, cities burn, businesses are looted, and people are murdered in the streets.
[00:03:15.828 --> 00:03:23.470]  The entire platform of the Democrat Party becomes, if you want the chaos to end, vote for Joe Biden.
[00:03:23.470 --> 00:03:33.792]  In September of 2020, the Mockingbird media began reporting that Trump will refuse to leave the White House when he is beaten in November.
[00:03:33.792 --> 00:03:40.654]  On election night, just as the president begins to surge in critical states, the election is inexplicably halted.
[00:03:41.584 --> 00:03:46.212]  Thousands of mail-in ballots appear in the middle of the night, all for Joe Biden.
[00:03:48.294 --> 00:03:56.602]  While completely ignoring massive evidence of voter fraud, the mainstream media prematurely calls victory for Joe Biden.
[00:03:56.602 --> 00:04:06.971]  And now, agents of the deep state are decloaking themselves, calling for the president to concede and give full power back to the crooked establishment.
[00:04:06.971 --> 00:04:13.698]  If the president concedes, the Trump family will be forever destroyed, and America will fall into chaos.
