[00:00.000 --> 00:11.000]  Music
[00:11.000 --> 00:16.000]  Gentlemen, we have called you together to inform you that we are going to overthrow the United States government.
[00:16.000 --> 00:22.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[00:22.000 --> 00:26.000]  You still think that Jeff will brought down the World Trade Center?
[00:26.000 --> 00:31.000]  Does anybody else see a problem here?
[00:31.000 --> 00:36.000]  If the government has nothing to hide, why are they so afraid to answer a few questions?
[00:36.000 --> 00:40.000]  This story does not end up.
[00:40.000 --> 00:48.000]  Ladies and gentlemen, it is April 17th on this Friday Transmission and Info Wars is in attack formation.
[00:48.000 --> 00:52.000]  Despite all the globalist attacks, thanks to your prayers and your support and your word of mouth,
[00:52.000 --> 00:56.000]  we're still here, stronger than ever, but bloodied.
[00:56.000 --> 01:01.000]  The enemy is moving on the surface and beneath the surface against every free nation on Earth.
[01:01.000 --> 01:11.000]  There have been draconian developments, undreamed of just six months ago, that have unfolded.
[01:11.000 --> 01:19.000]  Twitter, Facebook and Google are now announcing that they're even going to block members of the Congress
[01:19.000 --> 01:24.000]  when they say that the coronavirus came out of the Wuhan lab.
[01:24.000 --> 01:29.000]  They are openly announcing that. I've got all the articles right here.
[01:29.000 --> 01:37.000]  They're announcing they're going to restrict or ban anyone that says the WHO covered it up
[01:37.000 --> 01:48.000]  or that China covered it up as the documents are released to the Associated Press confirming everything we told you ten weeks ago.
[01:48.000 --> 01:51.000]  I'll be laying all this out next segment.
[01:51.000 --> 01:59.000]  They're running national news pieces in Europe, the UK, Australia and Canada telling children,
[01:59.000 --> 02:11.000]  do not trust your parents, watch them carefully and report them if they say China is behind the virus.
[02:11.000 --> 02:21.000]  The fact checking group that runs it is run out of Wuhan at the Bioweapons Lab.
[02:21.000 --> 02:22.000]  I'm going to say that again.
[02:22.000 --> 02:31.000]  The fact checker that runs the science group for Facebook that is then used by the other sites works at the level for Bioweapon Lab
[02:31.000 --> 02:35.000]  and is number two in command.
[02:35.000 --> 02:45.000]  The Bioweapon Lab decides what Americans and Canadians and Germans and Mexicans and Brazilians can say
[02:45.000 --> 02:49.000]  and sets the AI to watch you and control you.
[02:49.000 --> 02:56.000]  Welcome to the new world order.
[02:56.000 --> 02:59.000]  CDC instructs kids on how to shut down their parents.
[02:59.000 --> 03:01.000]  That's a quote.
[03:01.000 --> 03:02.000]  Conspiracy theories.
[03:02.000 --> 03:09.000]  It says, does your dad say it came from the Wuhan lab?
[03:09.000 --> 03:12.000]  Shut him down.
[03:12.000 --> 03:13.000]  But it gets worse in Australia.
[03:13.000 --> 03:17.000]  I saw an article where they're saying report them.
[03:17.000 --> 03:19.000]  In fact, that'll be done by next week in Canada.
[03:19.000 --> 03:22.000]  They say here it's dangerous as the virus.
[03:22.000 --> 03:26.000]  When your daddy, it says your daddy's the bad one.
[03:26.000 --> 03:32.000]  Of course, if we're going to have drones watching us and checkpoints and stay at home, lock down house arrest orders.
[03:32.000 --> 03:42.000]  Of course, they're going to tell the children, watch your parents because you see 1984 for these guys is a owner's manual.
