[00:00.000 --> 00:18.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[00:18.000 --> 00:47.000]  Ladies and gentlemen, President Trump is breaking the hoax. He's breaking the trance of all these people of every race, color and creed being brought in from around the world and then being indoctrinated by the left to hate the United States and say that we're the worst country on earth as they fight to get in.
[00:47.000 --> 00:56.000]  Ilhan Omar came here fraudulently, married her brother, sucked off welfare, never had a real job, then cheated on her taxes. She's a scammer.
[00:56.000 --> 01:09.000]  And she constantly runs her mouth about how bad this country is and Trump came out and specifically called her out and said, you can't leave fast enough and the whole media has blown up at Trump.
[01:09.000 --> 01:20.000]  The control corporate media, good, let them, let them. You see, my friends, Trump's telling the truth and what he's saying is very, very, very popular.
[01:20.000 --> 01:31.000]  Yeah, they've got all these fake polls out saying every other Democrat will beat him in a race. You watch what happens on election night, November 8, 2020.
[01:31.000 --> 01:40.000]  If we get the vote out and stop election fraud, Trump's going to win in a landslide and all the real internal numbers show it. This is a huge broadcast, huge exclusive news coming up.
[01:40.000 --> 01:49.000]  But I want to air this Greg Reese report because it's so powerful, milkshakes to mull off radicalized leftist bonds go full blown terrorist.
[01:49.000 --> 01:58.000]  On Friday evening, hundreds of protesters overtook the flag polls outside the ICE facility in Aurora, Colorado.
[01:58.000 --> 02:09.000]  They raised a Mexican flag, an upside down American flag with abolished ICE spray painted on it, and an upside down Blue Lives Matter flag.
[02:09.000 --> 02:17.000]  Less than a day later, a man armed with a rifle threw incendiary devices at an ICE detention center in Tacoma, Washington.
[02:17.000 --> 02:29.000]  A car in the parking lot was torched and investigators say the suspect threw flares at a propane tank, trying to make it explode. Ultimately, four officers opened fire, killing the man.
[02:29.000 --> 02:34.000]  The Democratic Party is running their platform on radical open border policies.
[02:34.000 --> 02:42.000]  Raise your hand if your government plan would provide coverage for undocumented immigrants.
[02:42.000 --> 02:47.000]  If the border goes, then our Constitution goes with it.
[02:47.000 --> 02:55.000]  Antifa has been using Molotov cocktails in Europe, and now the dangerous trend has officially arrived in the U.S.
[02:55.000 --> 02:58.000]  And the mainstream media supports them.
[02:58.000 --> 03:01.000]  They are strictly principled antifascists.
[03:01.000 --> 03:07.000]  It says it right in the name, Antifa, antifascism, which is what they were there fighting.
[03:07.000 --> 03:14.000]  I think that a lot of people recognize that when pushed, self-defense is a legitimate response to white supremacist and neo-Nazi violence.
[03:14.000 --> 03:20.000]  When you go to cancer treatment, the radiation is tough treatment, but it is meant to remove the cancer.
[03:20.000 --> 03:32.000]  But who is really to blame? There are elected government officials who support Antifa and fill their minds with radical claims of a holocaust happening on our southern border.
[03:32.000 --> 03:41.000]  The United States is running concentration camps on our southern border, and that is exactly what they are.
[03:41.000 --> 03:50.000]  Alexandria Ocasio-Cortez, your colleague who was at the border with you, compared the facilities to a concentration camp.
[03:50.000 --> 03:52.000]  Do you agree with that comparison?
[03:52.000 --> 03:56.000]  Absolutely. I mean, there's a number of experts that say this is because it's traumatic.
[03:56.000 --> 04:00.000]  There are camps and people are being concentrated. This is very simple.
[04:00.000 --> 04:04.000]  I don't even know why this is a controversial thing for her to say.
[04:04.000 --> 04:12.000]  We have to really truthfully speak about what's taking place, and this is why it's really important for us to abolish ICE.
[04:12.000 --> 04:17.000]  There is no plan in sight, and nobody is having the real conversation.
[04:17.000 --> 04:25.000]  Is there a natural limit to this kind of immigration? How many resources does America really have to share with the rest of the world?
[04:25.000 --> 04:29.000]  Are we as rich as we assume we are? Are you?
[04:29.000 --> 04:37.000]  How many poor people can we realistically accept before we're not that rich at all, but increasingly resemble the countries from which these people are fleeing?
[04:37.000 --> 04:41.000]  Now, it's possible there are good answers to these questions, logical answers.
[04:41.000 --> 04:47.000]  On the other hand, if there are answers, why is the left trying to prevent you from asking the questions?
[04:47.000 --> 04:51.000]  For Infowars.com, this is Greg Rees.
[04:51.000 --> 05:00.000]  Alright, strap yourselves in, ladies and gentlemen, because we've got a lot of exclusive intel straight ahead.
[05:22.000 --> 05:30.000]  Here's a way to have a self-supporting, self-sustaining, self-structured, little de-democratic structure that because the audience determines what content goes up,
[05:30.000 --> 05:35.000]  the audience determines what audience is ultimately reached by their choices in supporting Infowars.
[05:35.000 --> 05:44.000]  And it's all because the audience spends their whatever it is, whether it's $5 or $50 a month on products that they like and that they want that actually compete with the corporate-driven model,
[05:44.000 --> 05:53.000]  and the ability to do that and at the same time support press, support speech, support letting the audience choose what news they want to see and what views they want to hold.
[05:53.000 --> 06:20.000]  This is the ultimate American democratic expression and experiment and it is the celebration of free press and free speech with free markets.
