[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:17.000]  He's Alex Jones on the GCN Radio Network.
[00:17.000 --> 00:27.000]  And now, live from Austin, Texas, Alex Jones.
[00:27.000 --> 00:34.000]  Today is Thursday, the 16th day of December, 2010.
[00:34.000 --> 00:39.000]  We've got the radio broadcast jam-packed with Gas Tomorrow.
[00:39.000 --> 00:45.000]  We're only going to get one guest on towards the end of the broadcast today, but I'll announce that later.
[00:45.000 --> 00:53.000]  We're going to have open phones today, and I will take your questions, your comments, any news items that you want to raise.
[00:53.000 --> 01:01.000]  We're going to have open phones throughout the full three hours, interspersed with a lot of really important news.
[01:01.000 --> 01:07.000]  But any subject you want to raise, any point you want to make, I want to hear from you.
[01:07.000 --> 01:13.000]  I'm going to attempt to try to move quickly through your calls, but also I need your calls to be brief and focused.
[01:13.000 --> 01:17.000]  And I need to be brief and focused as well, if we're going to get to a lot of your phone calls.
[01:17.000 --> 01:28.000]  But I love the different issues and points and angles that listeners bring up when we take an open line day of phone calls.
[01:28.000 --> 01:33.000]  The toll-free number to join us is 800-259-9231.
[01:33.000 --> 01:40.000]  800-259-9231 will get you up and on the air.
[01:40.000 --> 01:45.000]  Well, I have a lot of interesting news here in front of me.
[01:45.000 --> 01:52.000]  Remember, I've been predicting false flag stage terror attacks ahead of the election and then intensifying from there on out.
[01:52.000 --> 01:58.000]  The government likes to go out and find mindless patsies that they try to provocateur with fake bombs into attacking.
[01:58.000 --> 02:02.000]  That way, they don't have to stage the events and then get caught.
[02:02.000 --> 02:10.000]  But they love to make you focus on Homeland Security as the center of the family, as the center of the culture,
[02:10.000 --> 02:20.000]  as basically a little baby Jesus in the crush there with Mary and Joseph and the three wise men.
[02:20.000 --> 02:25.000]  Just like at Walmart, when you're checking out, they're at the market.
[02:25.000 --> 02:32.000]  They have big droning, well, now 9,000 different stores, not just the 800-plus Walmarts are announcing.
[02:32.000 --> 02:40.000]  There will be 20,000 and 50,000 and just everywhere. Government droning giving you orders, it's the boss, it's the master.
[02:40.000 --> 02:43.000]  They make the sun shine, they make the grass grow.
[02:43.000 --> 02:48.000]  So they want to make sure during the Christmas holiday that you learn to worship naked body scanners,
[02:48.000 --> 02:53.000]  you learn to worship black uniforms, you learn to worship threat fusion centers that spy on you,
[02:53.000 --> 02:59.000]  you learn to worship the foreign banks raping you, or the dangerous scary men with turbines will get you.
[02:59.000 --> 03:05.000]  And they're hiding under every desk, in every closet, under every bed, in every cupboard, in every attic, in every basement,
[03:05.000 --> 03:10.000]  in every culvert out in the park that kids are scared of.
[03:10.000 --> 03:15.000]  There's not trolls now in there, there's Alciaytas and they're going to get you.
[03:15.000 --> 03:22.000]  Got a better chance again of dying from being struck by lightning or when you're swimming or from a bee sting,
[03:22.000 --> 03:24.000]  but doesn't matter, it's scary.
[03:24.000 --> 03:30.000]  Doesn't matter if 5 to 12, depends on the year, between 5 and 12 people die from shark attacks,
[03:30.000 --> 03:33.000]  everybody's scared when they're swimming in the ocean.
[03:33.000 --> 03:39.000]  It's the same thing, it's not real, it's not rational, but oh my gosh, I mean, these men are wearing turbines.
[03:39.000 --> 03:42.000]  This is scary. We've got to get rid of our free country.
[03:42.000 --> 03:45.000]  We've got to let the banks rob us because they want to help us.
[03:45.000 --> 03:49.000]  Or Al Qaeda will get us. I mean, it's that simple and here they are.
[03:49.000 --> 03:56.000]  Iraq, Al Qaeda planning holiday attacks in the west. That's the headline here out of CBS News.
[03:56.000 --> 03:59.000]  Be afraid, be very afraid. I know I certainly am.
[03:59.000 --> 04:03.000]  I'm just glad Goldman Sachs is stealing all the money. That'll save us.
[04:03.000 --> 04:14.000]  Here's a mail online, Christmas Chaos Al Qaeda is planning suicide attacks across Europe and the U.S. war insurgents.
[04:14.000 --> 04:21.000]  And don't worry though, YouTube allows users to flag content as terror promotion.
[04:21.000 --> 04:25.000]  So now somebody can go say your video is violent or not appropriate.
[04:25.000 --> 04:31.000]  It could be two adults videotaping themselves playing Candyland or Tiddlywinks.
[04:31.000 --> 04:36.000]  And if someone says it's frightening to them, it's taken off YouTube, it's frightening.
[04:36.000 --> 04:42.000]  Well now, if someone says it's promoting terror, it's gone.
[04:42.000 --> 04:49.000]  So this is the new communist America, the new Soviet, where your neighbor has said that you are evil.
[04:49.000 --> 04:52.000]  The East German Stasi will not take you away.
[04:52.000 --> 05:01.000]  And collective punishment, when Al Cida blows something up, we all have to have the government put their hands down our pants. It's all coming up.
[05:01.000 --> 05:05.000]  Hundreds of nations have fallen to tyranny in the last century alone.
[05:05.000 --> 05:08.000]  This is our last chance to not relive history.
[05:08.000 --> 05:14.000]  As we're finishing off this agenda, we'll be pulling the rug from underneath Americans at home.
[05:14.000 --> 05:20.000]  We've turned a tremendous influence on our president in Congress and they really are calling the shots.
[05:20.000 --> 05:25.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[05:25.000 --> 05:35.000]  Fall of the Republic identifies the enemies of our nation, the criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[05:35.000 --> 05:39.000]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches.
[05:39.000 --> 05:42.000]  And the Congress is saying, who do we make the check out to?
[05:42.000 --> 05:44.000]  Today seems like nobody does care.
[05:44.000 --> 05:49.000]  And right now in Washington DC, we have seen a fall of the Republic.
[05:49.000 --> 05:54.000]  Get your copy of Fall of the Republic on DVD at infowars.com.
[05:54.000 --> 05:59.000]  We're watching online right now in super high quality at prisonplanet.tv.
[05:59.000 --> 06:06.000]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[06:06.000 --> 06:15.000]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[06:15.000 --> 06:19.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[06:19.000 --> 06:26.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions
[06:26.000 --> 06:31.000]  and also delivers the silver nanoparticles instantly into the bloodstream
[06:31.000 --> 06:35.000]  with continued legislation threatening the sale of nano-silver products.
[06:35.000 --> 06:40.000]  You can now produce pure and endless colloidal silver with the Silver Lungs Generator.
