[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[00:00:10.165 --> 00:00:16.728]  The threat fusion centers, the militarization of police, military on the streets, TSA on the streets.
[00:00:16.728 --> 00:00:21.690]  During the Boston bombing, half of the houses in the city searched without warrants.
[00:00:21.690 --> 00:00:24.612]  Women drug out of their homes at gunpoint.
[00:00:24.612 --> 00:00:27.013]  It's all an exercise of power.
[00:00:27.013 --> 00:00:35.177]  It's all a conditioning program to train the American people to accept what is only normal in third world dictatorships.
[00:00:36.041 --> 00:00:40.603]  Will we allow our journey towards despotism and tyranny to be complete?
[00:00:40.603 --> 00:00:45.826]  Or will we turn the situation around and restore our beloved republic?
[00:00:45.826 --> 00:00:47.167]  Police department!
[00:00:47.167 --> 00:00:52.930]  The police and National Guard going street by street, house to house.
[00:00:52.930 --> 00:00:57.012]  We need to make sure too that whenever we knock on doors, people refuse to leave.
[00:00:57.012 --> 00:00:58.653]  We need to make note, call it in.
[00:00:59.950 --> 00:01:04.013]  They say there are no orders to use force, just strong persuasion.
[00:01:04.013 --> 00:01:07.775]  Sometimes entering open houses with guns drawn.
[00:01:07.775 --> 00:01:11.298]  And instructions to disarm anyone inside.
[00:01:11.298 --> 00:01:13.159]  You say guns will be taken?
[00:01:13.159 --> 00:01:14.460]  No one will be able to be armed.
[00:01:14.460 --> 00:01:15.461]  We will take all weapons.
[00:01:16.633 --> 00:01:34.718]  I am responding tonight directly to the Southern Command based in Florida, NORTHCOM based in Colorado Springs, Colorado, and to the foreign forces that have seized control of the District of Columbia and are now dismantling our constitutional republic.
[00:01:34.718 --> 00:01:35.898]  My name is Alex Jones.
[00:01:35.898 --> 00:01:44.501]  I'm an American and a Texan, and for 20 years I've been on air fighting the globalist agenda, their attempt to dismantle our country and our basic freedoms.
[00:01:45.968 --> 00:01:50.152]  No one can deny that basic American liberties are being eroded.
[00:01:50.152 --> 00:01:52.734]  That the Constitution is being ignored.
[00:01:52.734 --> 00:02:01.161]  That the executive branch is seizing control, dissolving our borders, signing us on to foreign treaties that kill our sovereignty.
[00:02:01.161 --> 00:02:02.863]  It's all out in the open.
[00:02:04.082 --> 00:02:09.085]  Recently, we reported on a public document put out by the U.S.
[00:02:09.085 --> 00:02:17.129]  Army Special Operations Command about a two-month training mission to be carried out in eight states.
[00:02:17.129 --> 00:02:26.854]  In the document, Texas, Utah, and conservative areas of Southern California are listed as hostile areas.
[00:02:26.854 --> 00:02:32.637]  Now, ladies and gentlemen, I'm not just looking at this one document by itself, though we've broken it down.
[00:02:33.763 --> 00:02:43.269]  We're looking at the larger spectrum of the transformation of our military and police into a domestic paramilitary force.
[00:02:43.269 --> 00:02:45.651]  That's now big mainstream news.
[00:02:45.651 --> 00:02:53.396]  I was the first person back in 96 to really start hammering this, not because I was that smart of a person,
[00:02:54.016 --> 00:03:15.582]  But because the emergency manager of Kingsville, Texas, the police chief of San Antonio, and others reached out to me and said that they had been recruited to government meetings by Clinton with Army Special Operations to gauge whether or not they could condition the public to accept military occupation and gun confiscation.
[00:03:15.582 --> 00:03:20.524]  The military basically rebelled against this, leaked the information, and the program was shelved.
[00:03:21.713 --> 00:03:26.716]  Under Bush, it began to grow again, and under Obama, it has exploded.
