[00:00:00.683 --> 00:00:01.363]  He stands for truth.
[00:00:01.383 --> 00:00:02.564]  He stands for justice.
[00:00:02.764 --> 00:00:03.845]  He stands for what's right.
[00:00:03.865 --> 00:00:07.406]  This is the Alex Jones Show.
[00:00:07.466 --> 00:00:08.847]  Call Alex now, toll free.
[00:00:29.528 --> 00:00:29.709]  At 877-590-5525.
[00:00:29.749 --> 00:00:33.836]  Now live from Austin, Texas, here's Alex Jones.
[00:00:44.645 --> 00:00:45.906]  Welcome, ladies and gentlemen.
[00:00:46.506 --> 00:00:46.906]  Welcome.
[00:00:47.086 --> 00:00:54.329]  Thank you so much for joining us on this live February 11, 2007 Sunday edition.
[00:00:54.889 --> 00:01:05.294]  I'm a syndicated radio talk show host Monday through Friday, and I, in the last three or four months, have started this new Sunday broadcast in association with MS Communications and Genesis Communications.
[00:01:06.334 --> 00:01:13.017]  I know a lot of new affiliates are turning us on last week and this week, so I'll spend a few minutes telling you a little bit about myself.
[00:01:13.726 --> 00:01:15.507]  Coming up later in this hour.
[00:01:16.048 --> 00:01:18.630]  But first off, Putin says U.S.
[00:01:18.650 --> 00:01:20.451]  wants to dominate the world.
[00:01:21.492 --> 00:01:35.282]  And we'll break down exactly what this inflammatory speech, the most inflammatory that he's given since he became the president in Russia back in late 1999 when he replaced Boris Yeltsin.
[00:01:35.762 --> 00:01:36.482]  Also, U.S.
[00:01:36.542 --> 00:01:37.043]  forces
[00:01:37.808 --> 00:01:41.651]  Show evidence of Iranian arms in Iraq.
[00:01:42.011 --> 00:01:46.915]  This is out of Reuters, but you read deeper into the story, there really is no evidence being shown.
[00:01:46.935 --> 00:02:00.705]  The editor and publisher of the Watchdog Group has done an analysis of this, and it's actually the very same New York Times reporter that put out the lies about weapons of mass destruction in Iraq that is saying this today.
[00:02:00.765 --> 00:02:03.287]  So we'll be breaking that down for you.
[00:02:04.190 --> 00:02:12.476]  Plus, I saw preliminary numbers coming out of the Governmental Accounting Office late in 2006 on this subject.
[00:02:12.796 --> 00:02:15.318]  Now we have the official final numbers.
[00:02:16.616 --> 00:02:34.145]  2006 personal savings dropped to a 74 year low, but you actually read into the numbers, it's the biggest low in recorded modern economic history in the United States, lower than the depths of the depression, the previous record in late
[00:02:35.225 --> 00:02:53.916]  1933 recognized as the bottom point in the modern United States economic history, and we'll talk more about what's coming in 2007, some of the real economic indicators that affect your pocketbook, your savings, the very value of our currency, the good old greenback.
[00:02:55.537 --> 00:02:58.079]  But first let me spend just a minute or two talking about who I am.
[00:02:58.955 --> 00:03:00.555]  I am a constitutionalist.
[00:03:00.676 --> 00:03:04.477]  I don't look at things on the scale of left versus right.
[00:03:05.137 --> 00:03:21.461]  In fact, until about a hundred years ago, that was not the scale that was used by the American people, or anyone in the Western world, or on the planet for that matter, to judge a political system, a leader, a king, a parliament, a legislature.
[00:03:22.111 --> 00:03:26.317]  The benchmark that was used was liberty versus tyranny.
[00:03:27.118 --> 00:03:31.004]  Was the government working for elites or was it working for the people?
[00:03:31.805 --> 00:03:37.013]  And I'm a constitutionalist and I know that both political parties, the Republicans and Democrats,
[00:03:37.944 --> 00:03:43.928]  For at least 60 years, have been completely bought and paid for by multinational corporations.
[00:03:44.008 --> 00:03:54.334]  Of the 100 biggest economies in the world, the Forbes 100 biggest economies, 46 of them, up from 42 in 2005, 46 of them now, and the numbers coming out at the end of 2006, are corporations.
[00:04:00.484 --> 00:04:03.046]  And they don't operate, many of them, in a free market fashion.
[00:04:03.086 --> 00:04:19.237]  They operate in a governmental fashion, in a predatory fashion, crony capitalism or monopoly capitalism, actually seeking to destroy middle classes, destroy markets, in a consolatory phase, in an attempt to consolidate.
[00:04:19.677 --> 00:04:23.640]  So, basically, I'm here wanting the Bill of Rights and Constitution back.
[00:04:23.760 --> 00:04:25.161]  I'm a counter-revolutionary.
[00:04:25.481 --> 00:04:30.164]  These globalist interests have come in and bought off and paid off and controlled most of our state.
[00:04:31.265 --> 00:04:54.786]  politicians at the state level and federal, and are lobbying the government piecemeal, incrementally, but now we're deep into it, to sign over our national sovereignty into these unelected, unaccountable, international bodies which serve at the behest of these 46 major corporations and their allied crime syndicates that are working in unison.
[00:04:55.592 --> 00:05:02.337]  So, Bill Clinton, Hillary Clinton, Barack Obama, George Bush, Jeb Bush, Newt Gingrich, they're not going to save you.
[00:05:02.357 --> 00:05:03.278]  They're not even leaders.
[00:05:03.598 --> 00:05:04.259]  They're puppets.
[00:05:04.599 --> 00:05:05.400]  They're nobodies.
[00:05:05.720 --> 00:05:06.540]  They run nothing.
[00:05:06.841 --> 00:05:13.526]  And we're here to get you to think outside the box and begin to realize that so we can get back into a liberty culture.
[00:05:13.946 --> 00:05:21.592]  We'll also have wide open phones this afternoon, this evening, depending on which time zone you're listening to us in across the United States and Canada.
[00:05:21.852 --> 00:05:30.678]  The toll-free number to join us is 877-590-5525, 877-590-5525, or locally in Central Texas, if you're listening to the station we broadcast out of the bowels of, and that's KLBJ 590, and that's 836-0590.
[00:05:30.738 --> 00:05:30.978]  Alright!
[00:05:40.040 --> 00:05:55.453]  Before I get into the latest war news and the war drums beating for Iran and World War III on the horizon, before we break down what's happening with the economy or what Putin's saying, and before we go to your calls, I wanted to spend a few minutes talking about the surveillance society.
[00:05:56.774 --> 00:05:59.897]  Now, we've had lie detectors around for over 65 years.
[00:06:01.913 --> 00:06:05.275]  And for the last 20, they've been completely and totally discredited.
[00:06:05.875 --> 00:06:18.421]  And just in the last few years, there is hardly any court in the land, state or federal, or for that matter, in even civil proceedings, where lie detector tests are admissible.
[00:06:18.921 --> 00:06:27.926]  Well, that hasn't stopped corporations and the government and different law enforcement agencies from producing more modern forms of quackery and black box frauds.
[00:06:28.566 --> 00:06:56.899]  They have come out with all sorts of fancy new systems that supposedly passively scan your brain for heat signatures and neuron brain electrochemical emissions and they're coming out with all sorts of new cameras that measure how fast you blink your eyes or what facial expressions you make and almost all the major studies out there that are independent by universities and government show this is even more of a fraud than the classical lie detector
[00:06:57.893 --> 00:07:01.816]  Following your blood pressure and your heartbeat.
[00:07:02.776 --> 00:07:06.239]  That is, you can trick people into admitting they're lying.
[00:07:07.099 --> 00:07:17.286]  It's more of a fraud device, and you could argue in some cases there is some uses of it, but because it cannot prove guilt within a shadow of a doubt, it's totally worthless.
[00:07:17.326 --> 00:07:26.012]  Well, moving away from the classical lie detector, they now have systems that the companies selling them can't even basically describe how they work.
[00:07:26.596 --> 00:07:32.621]  And they even tried to use these in court cases the last few years in the US, Canada, the UK, and of course Europe.
[00:07:32.961 --> 00:07:35.363]  And it's been thrown out in almost every single case.
[00:07:35.983 --> 00:07:37.284]  But that isn't stopping them.
