[00:00:01.210 --> 00:00:02.791]  You want answers?
[00:00:02.791 --> 00:00:04.713]  Well, so does he.
[00:00:04.713 --> 00:00:08.556]  He's Alex Jones on the GCN Radio Network.
[00:00:08.556 --> 00:00:14.160]  And now, live from Austin, Texas, Alex Jones.
[00:00:14.160 --> 00:00:18.183]  There's a lot of editing going on, editing in the Matrix.
[00:00:18.183 --> 00:00:29.692]  We know Bush has bought billions and billions of fake news and thousands of reporters out pushing a police state martial law, telling us how good it is to have police in black uniforms arresting reporters coast to coast.
[00:00:30.712 --> 00:00:32.973]  A new age of darkness is upon us.
[00:00:32.973 --> 00:00:38.776]  Hillary and Chuckie and all of them have been voting for it while criticizing their scapegoat Alberto Gonzalez.
[00:00:38.776 --> 00:00:41.897]  A unified front of tyranny upon the people.
[00:00:41.897 --> 00:00:49.560]  Virgil Griffith is the amazing individual who's gotten so much attention because of the open source nature of Wikipedia.
[00:00:49.560 --> 00:00:52.581]  He was able to craft a program and a wiki scanner.
[00:00:52.581 --> 00:00:56.083]  We've been hearing so much about the last three weeks since this broke.
[00:00:56.872 --> 00:01:03.156]  And headlines, see who's editing Wikipedia, Diebold, the CIA, and campaigns.
[00:01:03.156 --> 00:01:14.704]  And it goes on from there, and we've been doing wiki scans and finding out all the government agencies and people that have been in there foxing and messing with the postings about me, or just out of hand deleting them.
[00:01:14.704 --> 00:01:18.227]  Hundreds of pages about my films and works we've done, just gone forever.
[00:01:19.082 --> 00:01:19.743]  Oh, it's a sure thing.
[00:01:19.743 --> 00:01:20.484]  It's a pleasure to be here.
[00:01:36.957 --> 00:01:39.098]  You're a Caltech graduate student.
[00:01:39.098 --> 00:01:40.478]  When did you think up this idea?
[00:01:40.478 --> 00:01:44.059]  How long did it take you to craft this wondrous application?
[00:01:44.059 --> 00:01:47.260]  Well, I thought of the idea actually about a year ago.
[00:01:47.260 --> 00:01:55.203]  And this was when some Wikipedians caught Congressmen whitewashing their own pages.
[00:01:55.203 --> 00:02:02.605]  And so I think, hey, if they can do this manually, I can do this for all of Wikipedia.
[00:02:02.605 --> 00:02:05.186]  But unfortunately, I was always busy then, so I sat on the idea.
[00:02:06.388 --> 00:02:11.952]  When you finally got it built and tested, what was it like to see the incredible results you were getting?
[00:02:27.279 --> 00:02:39.725]  I quickly saw that it would be a bad idea if there was any sort of system on my website where people could rate how juicy the edits were because that would probably get you sued.
[00:02:39.725 --> 00:02:46.509]  So I was very happy when Wired Magazine stepped in and they offered to do that for me.
[00:02:46.509 --> 00:02:56.794]  So that way I could stand back and be completely objective and I could just say, oh look, I just provide the tool and whatever people do with it, well that's up to them.
[00:02:57.799 --> 00:03:03.742]  Well, I'm asking my listeners to go in and use this and make submissions to our PrisonPlanet.com forum.
[00:03:03.742 --> 00:03:07.024]  We're going to create a section there, and everybody should do this.
[00:03:07.024 --> 00:03:09.145]  We should learn how the crannies of the web work.
[00:03:09.145 --> 00:03:11.307]  We should investigate what's happening.
[00:03:11.307 --> 00:03:20.372]  Now, back, what, last year when there were allegations of congressmen manipulating it, they denied it and called it a conspiracy theory, but now your scanners confirmed a lot of that.
[00:03:21.132 --> 00:03:23.394]  Yeah, it's certainly true.
[00:03:23.394 --> 00:03:28.417]  I mean, if you want to, you can go search right now and you can see tons of them.
[00:03:28.417 --> 00:03:30.498]  It's quite glorious.
[00:03:30.498 --> 00:03:42.486]  To be completely fair to them, it does not necessarily mean that they or their staff made it, but we do know that it came from someone within the congressional computer network.
[00:03:42.486 --> 00:03:43.886]  Yeah, because it's the IP address.
[00:03:43.886 --> 00:03:46.688]  Explain to people out there how that works.
[00:03:46.688 --> 00:03:49.170]  Okay, well, let's see.
[00:03:49.170 --> 00:03:49.590]  I'll back up.
