[00:00:00.109 --> 00:00:00.329]  Hey!
[00:00:01.490 --> 00:00:07.732]  Prepare yourself for a talk radio experience like no other.
[00:00:08.093 --> 00:00:10.554]  Strap yourselves in and hold on.
[00:00:11.574 --> 00:00:12.895]  He stands for truth.
[00:00:14.335 --> 00:00:16.176]  He stands for justice.
[00:00:17.537 --> 00:00:19.077]  He stands for what's right.
[00:00:19.558 --> 00:00:22.339]  This is the Alex Jones Show.
[00:00:23.279 --> 00:00:24.320]  Call Alex now.
[00:00:24.520 --> 00:00:26.100]  Hold free at 877-
[00:00:27.665 --> 00:00:31.929]  Welcome ladies and gentlemen, welcome.
[00:00:32.269 --> 00:00:35.172]  It is the 16th day of September 2007.
[00:00:35.612 --> 00:00:42.819]  We're going to be live here for the next two hours.
[00:00:42.839 --> 00:00:44.260]  By the way, I'm going to be on KLBJ
[00:00:54.493 --> 00:00:57.315]  93.7 for two hours tomorrow morning with Dudley and Bob.
[00:00:57.335 --> 00:01:00.718]  Look forward to doing that for local listeners in Austin, Texas.
[00:01:00.758 --> 00:01:05.262]  They're listening to us on our flagship station, News Radio 590 KLBJ.
[00:01:05.302 --> 00:01:07.283]  I want to say hi to all the stations across the country.
[00:01:07.624 --> 00:01:11.227]  Picking up the broadcast, AM, FM, shortwave, internet, satellite.
[00:01:11.247 --> 00:01:17.231]  The websites are jonesreport.com, prisonplanet.tv, and infowars.com.
[00:01:19.170 --> 00:01:20.451]  Well, today is no different.
[00:01:20.491 --> 00:01:25.195]  If you're looking for the information war, you have found the very front line, the tip of the spear.
[00:01:25.756 --> 00:01:30.540]  We're here defending this constitutional republic from enemies, foreign and domestic.
[00:01:30.640 --> 00:01:33.623]  Both parties are bought and paid for by international interest.
[00:01:34.281 --> 00:01:51.629]  And are literally destroying the very fabric, the currency, the sovereignty, the borders of this country, and we're defending it from all the fake liberals and all the fake conservatives who are really there bought and paid for to tow the party line, the status quo, which is the destruction of our beloved United States.
[00:01:53.010 --> 00:01:56.672]  Here is the news in front of me, top stories, ladies and gentlemen.
[00:01:58.439 --> 00:02:04.445]  For the last six years, they have tried every year to pass draconian total amnesty legislation.
[00:02:06.547 --> 00:02:14.674]  And now we have discovered that they have come back with a vengeance and have tagged it on, scheduled to be voting on it early this week.
[00:02:14.715 --> 00:02:20.300]  In fact, as early as tomorrow, the 2008 defense spending package.
[00:02:23.826 --> 00:02:25.747]  This is unbelievable news.
[00:02:25.908 --> 00:02:28.249]  Total, complete, absolute amnesty.
[00:02:28.690 --> 00:02:29.750]  We'll be going over it.
[00:02:29.790 --> 00:02:34.074]  And this time, you don't hear talk radio abuzz with this information.
[00:02:34.934 --> 00:02:37.176]  In fact, very little is being said about it.
[00:02:37.196 --> 00:02:41.759]  It's called the Dream Act.
[00:02:41.819 --> 00:02:43.921]  Kind of like they called the Patriot Act the Patriot Act.
[00:02:43.981 --> 00:02:46.062]  It was the opposite of patriotism.
[00:02:46.122 --> 00:02:48.344]  It was the opposite of a free society.
[00:02:49.457 --> 00:02:50.838]  Well, this is called the DREAM Act.
[00:02:50.858 --> 00:02:53.160]  We'll be telling you about that today.
[00:02:53.300 --> 00:02:56.883]  Senate to consider Secret Open Borders DREAM Act.
[00:02:57.444 --> 00:03:00.026]  We'll be going over that report for you today.
[00:03:01.147 --> 00:03:04.029]  Also, a month ago, there were runs on U.S.
[00:03:04.709 --> 00:03:05.090]  banks.
[00:03:05.934 --> 00:03:13.537]  Runs on several different banks, countrywide, leading that problem, starting that escalating problem.
[00:03:14.057 --> 00:03:20.600]  The Federal Reserve has put in more than $250 billion in an attempt to bail out U.S.
[00:03:20.700 --> 00:03:31.865]  mortgage banks and different funds that have been investing in the mortgage bundles, and bundling that with other derivatives and other paper assets that have been fully leveraged.
[00:03:33.405 --> 00:03:42.150]  Well, now it's been runs on the British Bank, where they have a strong pound, but they're so heavily invested in different U.S.
[00:03:42.350 --> 00:03:50.354]  assets that first there were runs on Countrywide, then three weeks ago runs on French Banks, and now runs on British Banks.
[00:03:50.774 --> 00:03:52.155]  Here are the headlines.
[00:03:52.355 --> 00:03:53.856]  Run on the Bank.
[00:03:53.896 --> 00:03:55.177]  That's the Times of London.
[00:03:55.617 --> 00:03:57.298]  Here's CTV out of Canada.
[00:03:57.638 --> 00:04:01.060]  Mortgage fears drive run on British Bank.
[00:04:02.136 --> 00:04:03.096]  Here's another reporter.
[00:04:03.176 --> 00:04:04.137]  London Observer.
[00:04:04.297 --> 00:04:11.300]  Fears grow for British economy as panic over Northern Rock spreads, the fifth largest bank in England.
[00:04:11.620 --> 00:04:13.081]  Associated Press today.
[00:04:13.221 --> 00:04:17.462]  Fears spread among UK bank customers to other banks.
[00:04:18.103 --> 00:04:19.223]  Another report here.
[00:04:19.283 --> 00:04:20.444]  Out of this is Scotland.
[00:04:21.084 --> 00:04:23.185]  The day the panic came to High Street.
[00:04:23.305 --> 00:04:28.347]  That means the big banking district, the City of London within London.
[00:04:30.103 --> 00:04:43.488]  And in other economic news we'll be covering, oil industry is sleepwalking into crisis, says the head of Dutch Royal Shell, with oil prices now over $80 a barrel.
[00:04:46.489 --> 00:04:49.990]  So we will continue to cover that information later in the broadcast.
[00:04:50.631 --> 00:04:59.134]  Getting into the war news stack, again just a prelude of what's coming up, Alan Greenspan claims Iraq war was really for oil.
[00:05:02.304 --> 00:05:05.826]  Alan Greenspan is a liar, and we'll tell you why.
[00:05:07.867 --> 00:05:14.290]  Oil is a small part of it, but to say that it's oil, or to say Bush ran it all, this is what we predicted.
[00:05:14.330 --> 00:05:21.273]  We said, when they start dumping all the sins onto Bush, their little puppet, you know we're in deep trouble.
[00:05:21.533 --> 00:05:25.054]  So the establishment is definitely hanging Bush out to dry with this.
[00:05:25.555 --> 00:05:28.756]  All the other signs were preparatory, and only signposts towards this.
[00:05:28.836 --> 00:05:30.577]  When the Grand Poobah
[00:05:31.605 --> 00:05:33.246]  Alan Greenspan makes this statement.
[00:05:33.326 --> 00:05:35.908]  You know we're in for very serious times.
[00:05:37.450 --> 00:05:40.092]  That is just some of the news that we have here on the war front.
[00:05:40.152 --> 00:05:44.055]  Proxy war could soon turn to direct conflict, analysts warn.
[00:05:44.435 --> 00:05:44.655]  U.S.
[00:05:44.675 --> 00:05:50.340]  strikes on Iran predicted as tensions rise over arms smuggling and nuclear fears.
[00:05:50.680 --> 00:05:53.122]  And now they're claiming that that week and a half ago bombing
[00:05:55.107 --> 00:06:04.271]  30 miles inside Syria by Israeli warplanes was some type of nuclear weapons fuel cash that had been delivered by North Korea.
[00:06:06.872 --> 00:06:09.373]  So we will walk through all of that today.
[00:06:09.433 --> 00:06:12.335]  Again, we've got the banking run news.
[00:06:12.915 --> 00:06:14.736]  That's when people line up to get their money out.
[00:06:14.776 --> 00:06:16.816]  Oh, by the way, they wouldn't give it to them!
[00:06:17.037 --> 00:06:17.957]  I forgot that part!
[00:06:19.965 --> 00:06:21.746]  Computer glitches nationwide.
[00:06:21.806 --> 00:06:23.187]  Stop people from ringing them and get their money out.
[00:06:23.587 --> 00:06:26.609]  If you believe that, I've got a bridge I'll sell you on the surface of the sun.
[00:06:26.989 --> 00:06:28.049]  Just give me a call after the show.
[00:06:28.089 --> 00:06:29.010]  It's only a million dollars.
[00:06:29.450 --> 00:06:33.632]  I'm selling oceanfront property on the surface of the sun and the moon while we're at it.
[00:06:33.672 --> 00:06:35.813]  And Pluto, if you want to throw in a little extra cash.
[00:06:37.014 --> 00:06:39.055]  Kind of like that international star registry.
[00:06:39.095 --> 00:06:40.115]  I'll sell you the stars.
[00:06:40.275 --> 00:06:41.136]  I mean, you know, come on.
[00:06:43.837 --> 00:06:46.018]  We've got the war drums beating louder than ever.
[00:06:46.038 --> 00:06:49.080]  It looks like they're giving the green light to go ahead and start the war there.
[00:06:49.975 --> 00:06:55.981]  The top news today is they're back with Total Amnesty and we'll walk through that news.
[00:06:56.361 --> 00:07:03.808]  And in the second hour, Terry Melton, who I've gotten to know over the last few years, he's done some camera work for us several times.
[00:07:03.828 --> 00:07:10.735]  In fact, you'll see some of his work in Endgame at the very end of the film when I'm bullhorning the Governor's mansion at
[00:07:11.405 --> 00:07:13.627]  He moved out shortly after, and probably has another residence now.
[00:07:14.527 --> 00:07:31.279]  Bullhorning his mansion at about 10.30 at night just a few months ago for his treasonous activity going to the Bilderberg Group meeting to sell out Texas sovereignty on our border and our infrastructure, water, coal plants, and roads to the foreign banks like Centra of Spain.
