[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[00:00:06.734 --> 00:00:07.394]  Big Brother.
[00:00:08.054 --> 00:00:09.115]  Mainstream media.
[00:00:09.816 --> 00:00:11.117]  Government cover-ups.
[00:00:11.577 --> 00:00:12.397]  You want answers?
[00:00:13.158 --> 00:00:14.159]  Well, so does he.
[00:00:14.739 --> 00:00:18.362]  He's Alex Jones on the GCN Radio Network.
[00:00:18.902 --> 00:00:23.005]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.081 --> 00:00:31.743]  Welcome, my friends, welcome.
[00:00:32.603 --> 00:00:45.613]  If this broadcast is any gauge of the American people's mindset, the Freedom Movement, those of us that want constitutional government and national sovereignty and liberty and free market, is beginning to turn the tide.
[00:00:45.633 --> 00:00:48.556]  The worm is turning on a host of issues.
[00:00:49.176 --> 00:01:03.333]  And really, our standard-bearer, if any one person could be said to be the leader of people in the United States who wish to go back to constitutional government and move forward, it is Congressman Ron Paul, who is running for president.
[00:01:04.099 --> 00:01:10.344]  And he's getting a lot of support and he's going to be with us for the next 59 minutes, a full hour.
[00:01:10.925 --> 00:01:20.252]  We're going to talk until the bottom of the hour about his policies, his ideas, what he would do if he was president, and how you can support him and get involved.
[00:01:20.672 --> 00:01:28.014]  In this historical election season that's coming up with this candidate who is founding Father Material.
[00:01:28.054 --> 00:01:29.455]  And I said that a few months ago.
[00:01:29.795 --> 00:01:30.775]  It has been picked up.
[00:01:31.295 --> 00:01:33.016]  I did, I guess, coin that term.
[00:01:33.176 --> 00:01:36.257]  And it has really gotten out there with banners and websites.
[00:01:36.337 --> 00:01:37.697]  And I hope the Congressman's seen that.
[00:01:37.937 --> 00:01:39.558]  Because he is founding Father Material.
[00:01:39.838 --> 00:01:41.518]  He's 100% constitutional.
[00:01:41.898 --> 00:01:43.759]  I haven't seen a candidate like this in over 100 years.
[00:01:44.839 --> 00:01:45.920]  Good to be with you, Alex.
[00:02:00.749 --> 00:02:06.313]  Well, I know that Congress is out for a few weeks and you're taking care of the campaign and trying to visit your family.
[00:02:06.434 --> 00:02:10.477]  And again, you join us from, I guess, your home in Texas.
[00:02:11.177 --> 00:02:15.421]  Tell us, sir, basically what the number one issue facing the United States is right now.
[00:02:16.862 --> 00:02:22.146]  Probably it's a threat to individual liberty because our government is growing endlessly.
[00:02:22.757 --> 00:02:26.118]  By leaps and bounds, nobody seems to want to put a hold on it.
[00:02:26.158 --> 00:02:29.980]  And every time government grows, it's at the expense of personal liberty.
[00:02:30.000 --> 00:02:34.061]  And then you can go into the many, many details of which is the worst issue.
[00:02:34.141 --> 00:02:40.683]  Is it the IRS or the Federal Reserve System or the foreign policy or our immigration policy?
[00:02:40.963 --> 00:02:43.184]  I mean, there are so many other problems.
[00:02:43.204 --> 00:02:46.305]  I think the debt overhang is horrendous.
[00:02:46.365 --> 00:02:51.407]  This entitlement commitment is a financial burden that's going to hit us here.
[00:02:51.887 --> 00:02:56.429]  In the near future, that's going to be very devastating to us, and we're not very prepared for it.
[00:02:56.829 --> 00:03:11.175]  But I think the overriding issue is the issue of individual liberty, which is what made America great, which is what the revolution was fought about, and which the Constitution tried to desperately enshrine and preserve for us.
[00:03:11.575 --> 00:03:20.639]  But we're at a crisis point now because we have been so neglectful of protecting those liberties, and we're going to suffer the consequences if we don't straighten it out.
[00:03:22.322 --> 00:03:25.083]  Can you speak to what some of those consequences are going to be?
[00:03:26.344 --> 00:03:44.773]  Well, economically, the consequences will be that there's going to be a wholesale rejection of the dollar, because the world has trusted the dollar ever since, especially since the breakdown of the Bretton Woods in 1971, when the linkage of the dollar to the gold was broken.
[00:03:45.133 --> 00:03:47.274]  They still trusted the dollar as if it were gold.
[00:03:48.234 --> 00:03:56.399]  And therefore, we can print the money, and we can spend the money, and the foreign countries take our money, then they loan it back to us, so they're getting a bum rap.
[00:03:56.459 --> 00:04:03.144]  We actually get a temporary good deal, but what it does is it encourages us not to be productive.
[00:04:03.544 --> 00:04:06.606]  It encourages us not to have manufacturing any longer.
[00:04:07.126 --> 00:04:13.973]  We can let others do it cheaper, cheap labor, and then we buy it with cheap money, and that's going to come to an end.
[00:04:14.113 --> 00:04:22.081]  And then when that happens, and even today the dollar was down sharply and gold was up sharply, which is indicating that's the movement that we're in.
[00:04:22.942 --> 00:04:28.126]  And that means later on, there's going to be a lot of changes here.
[00:04:28.206 --> 00:04:36.633]  Domestically, the interest rates are going to rise, the inflation rate, the prices of all goods and services, that will rise, and the economy will weaken.
[00:04:37.053 --> 00:04:39.535]  So we have some very serious problems ahead.
[00:04:40.399 --> 00:04:51.927]  I want to continue getting your analysis, Congressman, on this obvious issue of prime importance, the economy, the debt, the subprime, loans, all of it.
[00:04:51.967 --> 00:04:59.153]  When you think we're going to see it start unraveling on the other side, then we'll go through the gamut of issues and talk about your campaign.
[00:04:59.213 --> 00:04:59.653]  Stay with us.
[00:05:06.994 --> 00:05:09.136]  Did you know you have been cheated?
[00:05:09.296 --> 00:05:11.698]  You owe no debt on your bank issued credit cards.
[00:05:11.818 --> 00:05:12.579]  You heard that right.
[00:05:12.679 --> 00:05:14.980]  You owe no debt on your bank issued credit cards.
[00:05:15.161 --> 00:05:16.402]  You don't have to pay them off.
[00:05:16.582 --> 00:05:18.103]  The banks are defrauding you.
