[00:00:02.250 --> 00:00:02.771]  Hey!
[00:00:02.831 --> 00:00:04.512]  He stands for truth.
[00:00:04.632 --> 00:00:05.733]  He stands for justice.
[00:00:05.773 --> 00:00:07.074]  He stands for what's right.
[00:00:07.114 --> 00:00:08.875]  This is the Alex Jones Show.
[00:00:08.915 --> 00:00:10.116]  Call Alex now, toll free.
[00:00:26.378 --> 00:00:35.443]  Well, another very important broadcast lined up for you today.
[00:00:36.044 --> 00:00:41.587]  It is the second day of September, 2007.
[00:00:41.667 --> 00:00:44.068]  Seems like this year just started.
[00:00:44.248 --> 00:00:46.710]  It's well past, half over, right now.
[00:00:55.837 --> 00:01:03.180]  We're going to have wide open phones for the full two hours today at 877-590-5525 or locally in Central Texas.
[00:01:03.260 --> 00:01:09.522]  If you're listening to the station that we syndicate out of, News Radio 590, KOBJ, it's 836-0590.
[00:01:09.842 --> 00:01:17.805]  I want to say hi to Kansas City, who carries me during the weekdays, and last month was carrying us Sundays.
[00:01:17.905 --> 00:01:24.447]  I really appreciate them picking up the broadcast, KCXL in Kansas City.
[00:01:25.814 --> 00:01:27.955]  Another great affiliate hearing the broadcast.
[00:01:27.975 --> 00:01:29.655]  I guess that's up to 14 affiliates now.
[00:01:29.675 --> 00:01:30.896]  We've been syndicating for about 8 months.
[00:01:30.916 --> 00:01:31.456]  That's pretty good.
[00:01:31.896 --> 00:01:35.877]  And of course we're on satellite, shortwave, internet at Infowars.com.
[00:01:35.897 --> 00:01:38.278]  Alright, really serious news items today.
[00:01:38.298 --> 00:01:41.359]  They're always serious, but these are particularly serious.
[00:01:41.399 --> 00:01:43.500]  And I'm going to walk through some of this today in the time we have.
[00:01:44.238 --> 00:01:46.040]  Will President Bush bomb Iran?
[00:01:46.080 --> 00:01:52.665]  That was the question that won in Telegraph asked this morning in one of the big papers in England that dovetails with the Times of London.
[00:01:53.226 --> 00:01:55.788]  Pentagon three-day blitz plan for Iran.
