[00:00:00.349 --> 00:00:01.370]  I'm great.
[00:00:30.099 --> 00:00:32.883]  This is the GCN Radio Network.
[00:00:32.923 --> 00:00:36.349]  Big Brother
[00:00:41.676 --> 00:00:42.697]  Mainstream media.
[00:00:43.438 --> 00:00:44.559]  Government cover-ups.
[00:00:45.200 --> 00:00:46.001]  You want answers?
[00:00:46.781 --> 00:00:47.762]  Well, so does he.
[00:00:48.323 --> 00:00:51.946]  He's Alex Jones on the GCN Radio Network.
[00:00:52.527 --> 00:00:56.611]  And now, live from Austin, Texas, Alex Jones.
[00:01:06.520 --> 00:01:09.122]  We have a very important guest joining us today.
[00:01:09.182 --> 00:01:18.368]  He's the father of a serviceman who has refused to be redeployed to Iraq because he's stating on the record that he will not follow illegal orders.
[00:01:19.789 --> 00:01:23.232]  And so we'll be talking to the serviceman's father coming up in the second hour.
[00:01:23.372 --> 00:01:35.200]  In the meantime, I want to play an O'Reilly Factor clip to break down and analyze the low-grade, moron-level propaganda that O'Reilly uses.
[00:01:35.962 --> 00:01:38.364]  But that's why he's so effective.
[00:01:38.404 --> 00:01:48.070]  He's playing to that 40 to 50 percent of the American population who literally are mind-numbed robots.
[00:01:48.550 --> 00:01:55.395]  They literally just watch television, go to work, and believe whatever the media and the government say.
[00:01:56.934 --> 00:02:03.439]  Because, I mean, I don't watch a lot of television, but I do watch little news clips of key commentators and track the information.
[00:02:03.899 --> 00:02:11.544]  So I watch a few clips of O'Reilly every week, and he's getting more and more mindless, more and more simplistic.
[00:02:11.605 --> 00:02:23.233]  I mean, they could basically have a robot doll that would just sit there and say, you're an idiot, you're a kook, you're a minority, no one agrees with you, you're a kook, you're an idiot, you're a moron.
[00:02:24.409 --> 00:02:25.810]  You're a very small group.
[00:02:25.830 --> 00:02:27.271]  The American people hate you.
[00:02:27.711 --> 00:02:28.652]  You're a terrorist.
[00:02:28.672 --> 00:02:29.852]  You support terrorists.
[00:02:31.633 --> 00:02:32.574]  That's all he says.
[00:02:34.435 --> 00:02:35.115]  What's he get paid?
[00:02:35.155 --> 00:02:38.858]  Like ten million dollars a year to just sit there and repeat that?
[00:02:39.838 --> 00:02:40.679]  It's unbelievable.
[00:02:41.059 --> 00:02:42.600]  Then we have another clip.
[00:02:42.640 --> 00:02:44.661]  Lou Dobbs on fire last night.
[00:02:45.663 --> 00:02:51.285]  Saying they're bringing in one world government, that it's a new world order, and the destruction of the U.S.
[00:02:51.305 --> 00:03:01.088]  Because a new report was issued yesterday by the Globalist saying we're not done with the North American Union, they want to go ahead and merge it now into the Pan American Union.
[00:03:01.908 --> 00:03:14.752]  So, for a year and a half we've been inside the North American Union, now they're already trying to merge it into the Pan American Union, but they've got to kill Hugo Chavez first, which they've been trying to do, so we'll see what happens there.
[00:03:14.792 --> 00:03:15.252]  But I'll tell you,
[00:03:15.936 --> 00:03:31.721]  It feels really good to have major newspapers and people like Lou Dobbs reporting the truth, because it's shocking and amazing mind-numbed robots, the brainwashed type out there, who believe whatever's on TV, just not, anything we talk about isn't true.
[00:03:32.682 --> 00:03:42.385]  Okay, but then as soon as it's on television it must be true, and they're literally having problems computing right now, because the White House admits we're a North American Union,
[00:03:43.107 --> 00:03:45.508]  The documents are there and available.
[00:03:45.988 --> 00:03:47.568]  It is now getting out to the public.
[00:03:48.188 --> 00:03:55.349]  And it is making people out there take a double-take because, wait a minute, he told the truth about the amnesty program.
[00:03:55.389 --> 00:03:57.030]  He told the truth about the North American Union.
[00:03:57.590 --> 00:04:00.530]  He told the truth about so many other issues.
[00:04:01.611 --> 00:04:05.251]  And now he's telling the truth about this.
[00:04:05.691 --> 00:04:08.292]  You see, so many people won't check out my claims.
[00:04:10.029 --> 00:04:13.392]  And so for years, they'll just think I'm up here making this stuff up.
[00:04:13.452 --> 00:04:18.435]  Believe me, I wish every day that I was making this up.
[00:04:18.495 --> 00:04:19.056]  We're not.
[00:04:19.796 --> 00:04:21.998]  We don't have words to describe how serious it is.
[00:04:22.539 --> 00:04:25.100]  The neocons attacked Somalia yesterday.
[00:04:25.120 --> 00:04:27.582]  Anybody they attack is called Al-Qaeda.
[00:04:29.103 --> 00:04:37.570]  Also, a really scary report here out of the Austin American-Statesman that I missed, and it was also picked up by UPI, this came out a few weeks ago,
[00:04:38.445 --> 00:04:48.369]  And it's up on PrisonPlanet.com, a headline, mishap in dismantling nuclear warhead, warhead almost detonates in Texas.
[00:04:50.389 --> 00:04:57.232]  Again, none of us can track or follow all the news, but we'll, and you can bet your bottom dollar.
[00:04:58.004 --> 00:05:06.490]  That when there is a mishap at a nuclear plant or at a nuclear weapons facility, it's going to be blamed on shadowy Al-Qaeda groups when it's an accident.
[00:05:06.891 --> 00:05:09.292]  That's a whole other level of tyranny.
[00:05:12.595 --> 00:05:16.058]  The Democrats are not really challenging Bush's expansion war plan.
[00:05:16.418 --> 00:05:17.379]  We'll break that down.
[00:05:19.780 --> 00:05:22.883]  It's a very important broadcast that we have lined up for you today.
[00:05:23.023 --> 00:05:24.384]  I really hope you'll stay with us.
[00:05:25.032 --> 00:05:30.393]  Don't forget you can now subscribe daily to the free podcast of the entire show for free.
[00:05:31.053 --> 00:05:34.014]  Just click subscribe at InfoWars.gov.
[00:05:39.255 --> 00:05:39.775]  It's here.
[00:05:39.915 --> 00:05:44.696]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:05:45.076 --> 00:05:52.718]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:53.422 --> 00:06:00.464]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.865 --> 00:06:12.268]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:12.589 --> 00:06:16.110]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:16.570 --> 00:06:18.511]  It's an anthology of government crimes.
[00:06:18.811 --> 00:06:22.672]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:23.273 --> 00:06:30.266]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:36.138 --> 00:06:41.382]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:06:41.522 --> 00:06:49.608]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:06:49.868 --> 00:06:56.493]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:06:56.493 --> 00:06:57.334]  We're good to go!
[00:07:31.382 --> 00:07:40.070]  I found this company online and they have this really unique variety of salt wellness products.
[00:07:40.290 --> 00:07:43.853]  I read some of the articles and ended up ordering this beautiful salt lamp.
[00:07:44.113 --> 00:07:48.137]  According to the company, they said that the salt crystal lamps gently purify indoor air.
[00:07:51.172 --> 00:07:52.493]  I made a perfect nightlight.
[00:07:52.673 --> 00:07:54.555]  Both my husband and I could tell the difference.
[00:07:54.935 --> 00:08:00.180]  SoleilWellness.com is a unique company that offers salt wellness products from around the world.
[00:08:00.600 --> 00:08:06.525]  So, I went back to the site and ordered their Soleil Simple Natural Cleaning Products, also made with Himalayan salt.
[00:08:06.805 --> 00:08:08.527]  I figured it would clean really well.
[00:08:08.767 --> 00:08:11.970]  The natural cleaning products worked wonderfully and there was no scent.
[00:08:12.150 --> 00:08:16.073]  This company has so many products my whole family can enjoy and feel better with.
[00:08:16.314 --> 00:08:17.775]  Plus, the service was great.
[00:08:18.115 --> 00:08:23.239]  If you're interested in natural homeopathic time-tested remedies, visit SoleilWellness.com.
[00:08:23.299 --> 00:08:26.442]  That's S-O-L-A-Y Wellness dot com.
[00:08:26.602 --> 00:08:29.504]  Or call 312-224-2710.
[00:08:29.524 --> 00:08:33.127]  312-224-2710.
