[00:00:00.750 --> 00:00:04.333]  WCAX-TV.
[00:00:04.333 --> 00:00:07.616]  And again, I got a bunch of calls about this, and I wasn't taking them serious.
[00:00:07.616 --> 00:00:10.979]  I was trying to make phone calls, and then Burmese was telling me about it, so I trust Burmese.
[00:00:10.979 --> 00:00:15.102]  I was taking that serious, and I was unable to confirm it.
[00:00:15.102 --> 00:00:16.243]  But I didn't want to go on air with it.
[00:00:16.243 --> 00:00:20.747]  SWAT teams, armored vehicles seen near Brown Compound.
[00:00:20.747 --> 00:00:22.209]  WCAX.
[00:00:22.209 --> 00:00:22.729]  Now watch.
[00:00:22.729 --> 00:00:25.231]  If nothing happens, I'll be blamed for this.
[00:00:25.231 --> 00:00:26.753]  Not WCAX-TV.
[00:00:28.138 --> 00:00:29.600]  They'll edit it, folks.
[00:00:29.600 --> 00:00:32.122]  People will edit this and they'll try to twist, but just later.
[00:00:32.122 --> 00:00:38.749]  And I won't have time to defend myself, but I hope to God they're not rating them.
[00:00:38.749 --> 00:00:40.972]  Everybody needs to get over there and we need to
[00:00:41.954 --> 00:00:50.957]  You know, peaceably stand in the way of this happening, and if they start pulling another Waco, trying to just machine gun into the place, then we need to have citizens arrested.
[00:00:50.957 --> 00:00:55.779]  These criminals, these armored goons that just engage in criminal activity.
[00:00:55.779 --> 00:00:58.320]  We need the governor to block the feds from doing this.
[00:00:58.320 --> 00:01:04.081]  We need the county sheriff to tell these, these are feds doing this, that they don't have jurisdiction.
[00:01:04.081 --> 00:01:05.562]  This is just absolutely criminal.
[00:01:06.670 --> 00:01:18.218]  Neighbors of convicted tax evaders Ed and Elaine Brown reported police SWAT teams and at least one armored vehicle converged on a field near the Browns' Plainfield, New Hampshire home this morning.
[00:01:18.218 --> 00:01:22.101]  See, I would have loved to have been able to tell you this off-rumor, but we tried to make calls and we've...
[00:01:23.473 --> 00:01:24.534]  Now I feel guilty for that.
[00:01:24.534 --> 00:01:25.715]  I just can't win.
[00:01:25.715 --> 00:01:30.599]  Federal and state authorities haven't commented on whether they are moving in to arrest the fugitives.
[00:01:30.599 --> 00:01:31.439]  That means they are.
[00:01:31.439 --> 00:01:33.441]  That means they probably are.
[00:01:33.441 --> 00:01:35.803]  And the local police, the Governor's office and the U.S.
[00:01:35.803 --> 00:01:38.345]  Attorney's office referred calls to the U.S.
[00:01:38.345 --> 00:01:44.430]  Marshal's office, which has been negotiating with the Browns since their tax evasion conviction.
[00:01:44.430 --> 00:01:45.771]  We need to get a map of his house.
[00:01:45.771 --> 00:01:47.552]  I know we already have that of where he's at.
[00:01:47.552 --> 00:01:49.534]  Get it up on PrisonPlanet.com.
[00:01:49.534 --> 00:01:51.576]  We need to get this article up there and we need to
[00:01:54.389 --> 00:01:54.750]  I think so.
[00:02:14.537 --> 00:02:27.652]  A neighbor who lives a mile or so away from the Browns on center of town roads said she saw police officers, SWAT team members, a fire truck, ambulance, helicopter, and at least one armored vehicle assembled in a field across from her driveway.
[00:02:27.652 --> 00:02:35.941]  Brown told a blog interviewer this morning he's been getting calls from people reporting police in the town and said he lost power twice during the night.
[00:02:37.603 --> 00:02:41.464]  The Browns had been sentenced to five and a half years in tax evasion.
[00:02:41.464 --> 00:02:47.205]  They skipped their sentencing hearings, and Ed Brown said he and his wife will refuse to surrender.
[00:02:47.205 --> 00:02:48.245]  God bless them.
[00:02:48.245 --> 00:02:49.166]  Poor people, man.
[00:02:49.166 --> 00:02:50.166]  Pray for them.
[00:02:50.166 --> 00:02:53.967]  It may already be over, or the feds may back off.
[00:02:53.967 --> 00:02:55.127]  I don't know.
[00:02:55.127 --> 00:02:56.167]  We're trying to cover it here.
[00:02:56.167 --> 00:03:00.328]  I want to thank those that did call here and tell me of the rumors.
[00:03:00.328 --> 00:03:03.889]  Those are now semi-confirmed, I hope it's not true, from the AP.
[00:03:05.433 --> 00:03:09.776]  A little mini Alamo may be taking place right now.
[00:03:09.776 --> 00:03:11.638]  We'll be right back, ladies and gentlemen.
[00:03:11.638 --> 00:03:14.581]  We'll try to learn more.
[00:03:14.581 --> 00:03:15.982]  We're on the march.
[00:03:15.982 --> 00:03:18.504]  The Empire's on the run.
[00:03:18.504 --> 00:03:21.187]  Alex Jones and the GCN Radio Network.
[00:03:24.403 --> 00:03:27.564]  We would all love to live in a world with clean air and water.
[00:03:27.564 --> 00:03:33.726]  A world in which our produce is grown naturally, without the use of pesticides and other harmful chemicals.
[00:03:33.726 --> 00:03:36.047]  But the truth is, we don't live in such a world.
[00:03:36.047 --> 00:03:45.230]  These toxins enter our bodies, and the organ in our body that works hard to eliminate these toxins is the liver, which is one of the most complex and important organs in the human body.
[00:03:45.550 --> 00:03:56.633]  With more than 500 vital functions, give your liver the helping hand it needs with LIV52, the world's best-selling all-natural liver support formula in over 76 countries.
[00:03:56.633 --> 00:03:59.714]  And it's backed by over 300 clinical trials and studies.
[00:03:59.714 --> 00:04:07.016]  LIV52 is the most researched herbal formula that helps neutralize toxins from food, water, air, alcohol, and prescription medications.
[00:04:07.396 --> 00:04:12.961]  To order Live 52 and for the best source of researched herbal products, visit research-herbs.com or call 1-800-973-1482.
[00:04:12.961 --> 00:04:15.242]  That's research-herbs.com or call 1-800-973-1482 and tell them Alex Jones sent you.
[00:04:24.870 --> 00:04:28.131]  Hi, this is Brother Michael Diamond from Most Holy Family Monastery.
[00:04:28.131 --> 00:04:31.053]  We are now offering a critically important $10 package.
[00:04:31.053 --> 00:04:43.618]  The package contains 3 DVDs with 10 different programs, our new 658-page book called The Truth About What Really Happened to the Catholic Church After Vatican II, which is the most comprehensive book ever produced on what has happened to the Catholic Church in the last 50 years.
[00:04:44.138 --> 00:04:44.678]  I think so.
[00:05:06.408 --> 00:05:12.616]  Well, you can mail in your order to us at Most Holy Family Monastery, 4425 Schneider Road, Fillmore, New York, 14735.
[00:05:12.616 --> 00:05:20.427]  The price of the whole package is $10, which includes media mail shipping, $15 for UPS ground or $30 outside the U.S.
[00:05:20.427 --> 00:05:22.550]  Mostholyfamilymonastery.com.
[00:05:24.051 --> 00:05:28.314]  People who use Cardivite know about the pollutants in our body and want them out.
[00:05:28.314 --> 00:05:31.876]  For over five years, Cardivite has proven itself time-tested.
[00:05:31.876 --> 00:05:35.618]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[00:05:35.618 --> 00:05:38.900]  In our mind, there isn't such a great big mystery to disease anymore.
[00:05:38.900 --> 00:05:44.403]  This basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the disease that we see.
[00:05:44.403 --> 00:05:49.566]  When we do our program, you know, in herpal form it's like Cardivite and you see someone who could barely walk up a hill.
[00:05:49.966 --> 00:05:50.647]  Thank you!
[00:06:07.481 --> 00:06:11.968]  For more information call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:06:11.968 --> 00:06:13.470]  That toll free number again 1-877-928-8822.
[00:06:43.238 --> 00:06:47.759]  Ed Brown was just a mainline guy paying his quote taxes.
[00:06:47.759 --> 00:06:51.860]  Then the government raided him, beat him up.
[00:06:51.860 --> 00:06:52.960]  I'm really paraphrasing.
[00:06:52.960 --> 00:06:57.581]  I'm trying to condense it down.
