[00:00:11.578 --> 00:00:12.919]  He stands for truth.
[00:00:14.340 --> 00:00:16.200]  He stands for justice.
[00:00:17.541 --> 00:00:19.102]  He stands for what's right.
[00:00:19.502 --> 00:00:22.363]  This is the Alex Jones Show.
[00:00:23.324 --> 00:00:26.305]  Call Alex now, toll free at 877-590-5525.
[00:00:26.405 --> 00:00:28.806]  Now live from Austin, Texas.
[00:00:34.884 --> 00:00:44.609]  Here's Alex Jones!
[00:00:44.729 --> 00:01:01.238]  In 1773, colonial patriots who were tired of the corruption and taxation without representation of the British crown left the Green Dragon Tavern and went aboard British ships that were bringing in tea
[00:01:03.454 --> 00:01:08.936]  And dumped the equivalent of hundreds of millions of dollars of it today into Boston Harbor.
[00:01:10.236 --> 00:01:14.918]  It is now December 16th, 2007.
[00:01:16.918 --> 00:01:23.921]  The money bomb, organized by grassroots supporters of Congressman Ron Paul for President 2008, raised a record pre-primary
[00:01:28.385 --> 00:01:29.205]  We're good to go.
[00:01:55.419 --> 00:01:57.381]  As of now, well let's do the math.
[00:01:57.641 --> 00:02:00.223]  Last night at midnight eastern, it was at $11,450,000.
[00:02:00.423 --> 00:02:01.423]  Today it is at $15,329,198.72.
[00:02:01.503 --> 00:02:06.607]  And every time I hit refresh at PrisonPlanet.com, where we have the live graph showing the money directly from the Ron Paul 2008.com website,
[00:02:20.240 --> 00:02:23.742]  Tens of thousands of dollars more flood in.
[00:02:23.782 --> 00:02:32.107]  In fact, I just clicked on it after refreshing it about two minutes ago and another $10,000 had come in in a matter of minutes.
[00:02:33.067 --> 00:02:37.650]  So right now we are talking about close to $4 million.
[00:02:38.945 --> 00:02:43.926]  In the next 30 minutes, it will be more than $4 million that's been raised since midnight last night.
[00:02:44.426 --> 00:02:47.787]  And of course, more people are on their computer in the evening.
[00:02:48.447 --> 00:02:51.528]  We're probably going to see accelerated giving going on.
[00:02:51.548 --> 00:02:55.549]  You can watch it all, again, at PrisonPlanet.com and TruthNews.us.
[00:02:55.589 --> 00:02:59.210]  I have my webmasters and writers working around the clock right now in shifts.
[00:02:59.490 --> 00:03:05.431]  So you're going to have 24-hour-a-day coverage, and you're going to have the complete analysis here today in the next two hours.
[00:03:05.931 --> 00:03:19.100]  On the Sunday transmission, the Sunday live version of my weekday syndicated broadcast, and we come to you out of the studios of NewsRadio 590 KLBJ, now with more than 20 affiliates, so just in the last 8 months of the show being syndicated.
[00:03:19.847 --> 00:03:20.567]  Across the country.
[00:03:20.988 --> 00:03:21.888]  AM and FM, of course.
[00:03:21.968 --> 00:03:22.348]  Internet.
[00:03:22.949 --> 00:03:23.229]  Huge.
[00:03:23.729 --> 00:03:25.410]  Tens of thousands listening there every hour.
[00:03:25.970 --> 00:03:30.352]  And on Global Shortwave, WWCR, and three different satellite systems.
[00:03:30.372 --> 00:03:32.213]  So, thank you for joining us.
[00:03:32.454 --> 00:03:35.175]  We'll be taking your calls early in this hour at 877-590-5525, 877-590-5525, or locally in Texas at 836-0590.
[00:03:35.195 --> 00:03:37.096]  And we will get you up and on the air today.
[00:03:37.116 --> 00:03:37.176]  Now,
[00:03:50.825 --> 00:03:53.128]  We're not just going to talk about Ron Paul today, though.
[00:03:53.508 --> 00:03:55.191]  As you know, Friday the U.S.
[00:03:55.331 --> 00:03:58.254]  agreed to sign on to a global carbon tax.
[00:03:58.615 --> 00:03:59.075]  The U.N.
[00:03:59.116 --> 00:04:01.458]  even calls it a global carbon tax.
[00:04:01.779 --> 00:04:07.206]  And I have a stack of mainstream articles here calling it a global carbon tax for a global government.
[00:04:07.426 --> 00:04:09.709]  And we have the official United Nations transcripts.
[00:04:10.029 --> 00:04:10.409]  We're good to go.
[00:04:34.728 --> 00:04:35.049]  U.S.
[00:04:35.109 --> 00:04:37.350]  report on Iran may spark war.
[00:04:37.751 --> 00:04:38.972]  I thought it would de-escalate things.
[00:04:39.012 --> 00:04:40.813]  That's out of the Associated Press.
[00:04:41.073 --> 00:04:43.195]  That is coming up in the second hour.
[00:04:43.696 --> 00:04:52.002]  Also, I don't want to talk about myself today, but I told my wife about this this morning, and she said, you've got to go on air.
[00:04:52.042 --> 00:04:53.363]  You've got to talk about it.
[00:04:54.664 --> 00:05:02.391]  And it really did hit me last night just how serious things are in this nation.
[00:05:03.165 --> 00:05:06.682]  It was absolutely amazing what I witnessed last night.
[00:05:07.447 --> 00:05:34.205]  And coming up, later in the shower, I'm going to spend about 10 minutes on it, because it is so important, and it affects each and every one of us, and I'm so close to all this, the movement against tyranny worldwide, that a lot of times, when you're in the room with the elephant, two inches away from it, with your nose up to its belly, you smell it, it stinks, it's big, but you can't tell exactly what it is, but pulling back, and what I witnessed,
[00:05:34.986 --> 00:05:35.446]  Let's do it!
[00:05:51.184 --> 00:05:54.646]  Let me just go ahead and go over the latest Ron Paul numbers.
[00:05:54.706 --> 00:05:59.268]  Again, you do the math.
[00:05:59.789 --> 00:06:06.673]  $11,450,000 last night at midnight Eastern, when the scheduled grassroots money bomb initiated.
[00:06:07.293 --> 00:06:15.918]  I was doing an interview on KCLA, big talk station out in LA, watching the numbers move, and within 30 minutes,
[00:06:17.705 --> 00:06:24.230]  Within the first 30 minutes, $500,000 was raised and another $200,000 or so in the next hour.
[00:06:24.470 --> 00:06:26.292]  Then it slowed because it was in the middle of the night.
[00:06:26.592 --> 00:06:28.974]  I got up this morning and $2.5 million had been raised.
[00:06:29.874 --> 00:06:37.620]  Now we are approaching, in fact, what is $12 million to $15 million, $3 million plus $300,000
[00:06:43.279 --> 00:06:45.040]  60,000 plus another 400,000.
[00:06:45.140 --> 00:06:46.140]  We're there.
[00:06:46.180 --> 00:06:48.621]  We're right at $4 million.
[00:06:48.781 --> 00:06:53.943]  Now, the previous pre-primary record was broken by Ron Paul supporters on November 5th.
