[00:00:00.029 --> 00:00:01.170]  He doesn't even get a lunch anymore.
[00:00:01.170 --> 00:00:02.091]  Very, very busy folks.
[00:00:02.091 --> 00:00:14.301]  We're all praying for Congressman Ron Paul and his staff and also trying to financially support and also trying to get the word out on the internet to where the neocons and the liberals are coming out and attacking and really starting to get scared.
[00:00:14.301 --> 00:00:20.867]  And the hit pieces are coming out, but they're bouncing right off of the congressman, again, who's running for president on the Republican ticket.
[00:00:20.867 --> 00:00:22.669]  Thank you for joining us, sir.
[00:00:22.669 --> 00:00:23.790]  Thanks for having me, very much.
[00:00:25.022 --> 00:00:29.143]  What is the skinny with this Republican televised forum?
[00:00:29.143 --> 00:00:30.764]  What is Ron Paul really planning to do?
[00:00:30.764 --> 00:00:31.704]  And what can we do?
[00:00:31.704 --> 00:00:34.085]  Is it impossible to get him on the roster?
[00:00:34.085 --> 00:00:42.607]  Because we know that the head of this Republican forum is a campaign manager for John McCain.
[00:00:42.607 --> 00:00:43.527]  Where is all this going?
[00:00:43.527 --> 00:00:44.428]  How can we help?
[00:00:44.428 --> 00:00:53.210]  Well, the Iowa Tax Reform and the Iowa Christian Coalition will be sponsoring a presidential forum this Saturday in Des Moines, Iowa.
[00:00:54.029 --> 00:00:59.534]  Unfortunately they invited everyone except Congressman Paul, which of course was a little bit disturbing to us.
[00:00:59.534 --> 00:01:08.963]  We didn't know about it until kind of at the last minute and we made a call to that group and they said Dr. Paul would not be invited and they didn't want him to participate.
[00:01:09.523 --> 00:01:14.050]  So they made it clear that he simply wasn't welcome and so we didn't like that.
[00:01:14.050 --> 00:01:25.167]  So what we decided to do is to go ahead and have our own event next door in the same convention hall which will be this Saturday in Des Moines at the Hy-Vee Center in downtown Des Moines.
[00:01:25.587 --> 00:01:25.927]  We're good to go.
[00:01:50.487 --> 00:01:59.274]  Now the Southern Baptists have endorsed open borders, end of America amnesty, and I guess they're trying to support fake Republicans who are actually pro-abortion.
[00:01:59.274 --> 00:02:04.078]  Are they mad at Congressman Ron Paul because he isn't for America killing legislation or killing the babies?
[00:02:04.873 --> 00:02:23.378]  Well, I tell you, sometimes I don't really know why some of these groups don't take to Dr. Paul, because when you look at it, his record and his voting record and his long record of speeches and what he advocates, you would think that so many of these organizations support him.
[00:02:23.378 --> 00:02:28.619]  The little interesting part about this, the way I look at it, is a lot of times the rank and file members
[00:02:29.079 --> 00:02:29.480]  We're good to go.
[00:02:48.917 --> 00:02:56.660]  He quickly found that the rank-and-file members in Michigan, GOP party members who pay his salary, disagreed and they made him change his mind.
[00:02:56.660 --> 00:02:59.100]  So that's been my experience.
[00:02:59.100 --> 00:03:02.401]  So we've got the Iowans for tax reform and what's the other subgroup?
[00:03:02.401 --> 00:03:03.862]  The Iowa Christian Alliance.
[00:03:04.754 --> 00:03:06.936]  Iowa Christian Alliance, that's right.
[00:03:06.936 --> 00:03:13.802]  Now, my problem here is, they invited Rulof Giuliani, who's pro-abortion, pro-open border, pro-big government.
[00:03:13.802 --> 00:03:19.207]  I mean, there's nothing conservative or libertarian about him, but I guess that's okay.
[00:03:19.207 --> 00:03:24.651]  It's okay to be pro-abortion, just don't be a constitutionalist.
[00:03:24.651 --> 00:03:25.652]  That's not Christian.
[00:03:25.652 --> 00:03:30.156]  Yeah, and that's a bit perplexing, but you know, again, once the story broke,
[00:03:30.636 --> 00:03:36.978]  We started hearing from the rank-and-file members of those organizations saying that they were disappointed and they were upset.
[00:03:36.978 --> 00:03:40.620]  And some people said that they had called the leadership there.
[00:03:40.620 --> 00:03:44.081]  And likewise with the Iowans for Tax Relief.
[00:03:44.081 --> 00:03:46.522]  I mean, Mr. Thaler is the head of that organization.
[00:03:46.522 --> 00:03:53.865]  He and I debated this issue on the Jan Michelson Show there in Des Moines, which is the major radio talk show in the state.
[00:03:53.865 --> 00:03:57.246]  And, you know, he was asked by Jan and myself
[00:03:57.706 --> 00:04:01.148]  You know, you're an organization that touts being for low taxes.
[00:04:01.148 --> 00:04:10.173]  There's no candidate in the field on either party that has more of a reputation for lowering taxes than Ron Paul, yet you don't want to invite him.
[00:04:10.173 --> 00:04:10.974]  It doesn't make sense.
[00:04:10.974 --> 00:04:18.198]  Well, most of these groups, these immigration groups and these tax groups, are just there to collect money so the director can live in a $5 million house.
[00:04:18.198 --> 00:04:19.699]  They're not really doing anything.
[00:04:19.699 --> 00:04:25.082]  Now, this is a serious conflict of interest, though, because this guy is a minion of one of the other Republican candidates.
[00:04:25.442 --> 00:04:26.222]  Yeah, he is.
[00:04:26.222 --> 00:04:33.066]  He is the senior advisor, as listed on the John McCain website, to John McCain.
[00:04:33.066 --> 00:04:44.812]  So, he also, from some research that some people did, he was instrumental in supporting Pataki out of New York when Pataki was considering running for president.
[00:04:44.812 --> 00:04:49.454]  Who, by the way, is for total gun registration and banning handguns nationwide.
[00:04:49.754 --> 00:04:50.474]  Right, right.
