[00:00:00.638 --> 00:00:01.739]  He stands for truth.
[00:00:01.739 --> 00:00:03.399]  He stands for justice.
[00:00:03.399 --> 00:00:05.140]  He stands for what's right.
[00:00:05.140 --> 00:00:06.821]  This is the Alex Jones Show.
[00:00:06.821 --> 00:00:08.581]  Call Alex now, toll free at 877-590-5525.
[00:00:30.057 --> 00:00:41.407]  Now live from Austin, Texas, here's Alex Jones.
[00:00:41.407 --> 00:00:42.788]  Welcome, ladies and gentlemen.
[00:00:42.788 --> 00:00:43.229]  Welcome.
[00:00:43.229 --> 00:00:52.337]  Thank you so much for joining me all over the country and right here in Central Texas on our AM and FM affiliates, the Internet, Global, Shortwave, and Satellite.
[00:00:52.337 --> 00:00:54.299]  Thank you for tuning in.
[00:00:55.354 --> 00:00:59.035]  It is the 21st day of January, 2007.
[00:00:59.035 --> 00:01:04.896]  Hard to believe the first month of the new year is already getting a bit long in the tooth.
[00:01:04.896 --> 00:01:07.397]  We have a very important transmission for you today.
[00:01:07.397 --> 00:01:15.339]  We'll have wide open phones as well on any issue you'd like to discuss concerning the news and developments on our planet today.
[00:01:15.339 --> 00:01:23.841]  The criminal, the witch, the socialist, the un-American piece of filth, Hillary Clinton, the liar,
[00:01:24.611 --> 00:01:30.773]  Has announced, as you know, over the weekend, Saturday morning, that she will be running for president.
[00:01:30.773 --> 00:01:44.339]  Now, I pulled up her statements two years ago, a year ago, and six months ago, and we're writing an article about this for PrisonPlanet.com and InfoWars.com that will be up by tomorrow evening, where she lied
[00:01:44.998 --> 00:01:52.162]  And promised that she was not going to run for president and said that she had no intention to and was not going to.
[00:01:52.162 --> 00:02:00.186]  Now when the Clintons tell you something, you know it is the complete 180 degree polar opposite.
[00:02:00.186 --> 00:02:06.609]  And indeed it is the polar opposite in every single respect.
[00:02:08.250 --> 00:02:10.672]  But the field isn't any better on the Republican side.
[00:02:10.672 --> 00:02:18.577]  Newt Gingrich, who's been calling for an end to the First Amendment, a total domestic surveillance police state, and open borders.
[00:02:18.577 --> 00:02:22.039]  Newt Gingrich, who has been pushing for a North American Union.
[00:02:22.039 --> 00:02:27.782]  Newt Gingrich, the Council on Foreign Relations co-chairman, is just as bad.
[00:02:27.782 --> 00:02:31.845]  He is not a conservative, and he is a danger to this republic.
[00:02:32.418 --> 00:02:36.122]  And we've got all the rest of them, Barack Obama, all of them.
[00:02:36.122 --> 00:02:46.052]  If they're being given national attention, and they're being pushed, and the media is telling you how good they are, you can believe they're in the hip pocket of the New World Order.
[00:02:46.052 --> 00:02:55.662]  That's the big global banks that own our Federal Reserve, and literally own our country, and are waging war against our Constitution and Bill of Rights.
[00:02:56.980 --> 00:03:08.282]  Now, you probably haven't heard the press give a lot of attention of what was announced now, I guess, nine, ten days ago, not this Friday, but the Friday before, when Congressman Ron Paul
[00:03:09.108 --> 00:03:12.850]  Announced that he is running for president in 2008.
[00:03:12.850 --> 00:03:21.675]  A Vietnam veteran, a medical doctor, the most conservative member of Congress with the most conservative voting record.
[00:03:21.675 --> 00:03:24.317]  He will openly talk about the World Government Program.
[00:03:24.317 --> 00:03:26.978]  He will openly talk about a cover-up on 9-11.
[00:03:26.978 --> 00:03:30.140]  I've interviewed him probably 50, 60 times over the years.
[00:03:30.140 --> 00:03:31.841]  I've had dinner with him several times.
[00:03:31.841 --> 00:03:33.182]  I know Congressman Ron Paul.
[00:03:33.642 --> 00:03:35.183]  He is the best candidate.
[00:03:35.183 --> 00:03:37.145]  I mean, he'd be a good candidate in 1776.
[00:03:37.145 --> 00:03:39.486]  He'd be a good candidate in 1800.
[00:03:39.486 --> 00:03:42.528]  I mean, this guy is founding father type material.
[00:03:42.528 --> 00:03:48.373]  A perfect voting record on the borders, on the Second Amendment, on everything.
[00:03:48.373 --> 00:03:50.094]  A real conservative.
[00:03:50.094 --> 00:03:52.155]  The liberals like him because he's anti-war.
[00:03:52.155 --> 00:03:55.017]  That is real liberals, real grassroots liberals.
[00:03:55.017 --> 00:03:56.018]  Conservatives like him.
[00:03:56.018 --> 00:03:58.480]  He's pro-gun, wants to control our borders.
[00:03:58.480 --> 00:04:02.943]  And the libertarians love him because he's really a libertarian and sprung from the libertarian ranks.
[00:04:03.802 --> 00:04:04.563]  I was out of town.
[00:04:04.563 --> 00:04:05.964]  I took a well-deserved break.
[00:04:05.964 --> 00:04:09.045]  It was great just to get out of Austin and the allergies.
[00:04:09.045 --> 00:04:10.046]  It was rejuvenating.
[00:04:10.046 --> 00:04:11.167]  I took a week-long vacation.
[00:04:11.167 --> 00:04:12.107]  I wasn't here last Sunday.
[00:04:12.107 --> 00:04:16.510]  I'm here now, back, ladies and gentlemen.
[00:04:16.510 --> 00:04:22.433]  I was unable to interview him last week, but my fill-in host, Jack Blood, did sit in.
[00:04:22.433 --> 00:04:23.854]  That was for a 20-minute interview.
[00:04:23.854 --> 00:04:25.755]  In the next few weeks, I'm going to have a full hour
[00:04:26.360 --> 00:04:28.982]  With the congressman on my syndicated radio show.
[00:04:28.982 --> 00:04:30.543]  In fact, that's my weekday one.
[00:04:30.543 --> 00:04:43.253]  I think I might just invite the congressman on this new Sunday syndicated transmission we're doing in a little marriage with Ennis and Genesis Communications here at the studios of News Radio 590 KLBJ.
[00:04:43.253 --> 00:04:48.758]  So, I'm very excited about that and I'm going to give Ron Paul my full support.
[00:04:48.758 --> 00:04:52.861]  The problem is the Democrats, which is my right as an American in the First Amendment,
[00:04:54.628 --> 00:05:02.071]  It's my right, but the Democrats, as was predicted, it wasn't hard to predict, the Democrats are calling for the Fairness Doctrine to be brought back.
[00:05:02.071 --> 00:05:03.791]  That's like calling the Patriot Act patriotic.
[00:05:03.791 --> 00:05:06.752]  You've got to love these Orwellian terms, the Fairness Doctrine.
[00:05:06.752 --> 00:05:08.173]  Totally unfair!
[00:05:08.173 --> 00:05:12.974]  Did you know, until 1988, you couldn't have a talk radio show in the U.S.
[00:05:12.974 --> 00:05:14.795]  and mention anything about politics.
[00:05:14.795 --> 00:05:16.556]  You couldn't say you were pro-gun.
[00:05:16.556 --> 00:05:18.836]  You couldn't say you were against or for abortion.
[00:05:18.836 --> 00:05:22.298]  You couldn't say you were for missile defense or not for missile defense.
[00:05:22.298 --> 00:05:23.478]  And it got changed
[00:05:23.911 --> 00:05:28.334]  And a whole industry and free speech burgeoned out of that.
[00:05:28.334 --> 00:05:34.158]  They're openly talking about bringing back the Fairness Doctrine, but not just to talk radio.
[00:05:34.158 --> 00:05:35.679]  Oh no!
[00:05:35.679 --> 00:05:36.820]  Oh no!
[00:05:36.820 --> 00:05:43.404]  I have here before me bloggers who criticize government may face prison time.
[00:05:43.404 --> 00:05:52.590]  I have the actual subsections of the bill that has now, believe it or not, already passed out of the House and gone into the Senate.
[00:05:52.590 --> 00:05:53.691]  I mean, this is happening
[00:05:54.159 --> 00:06:04.724]  Right now, and I have the subsection of the legislation here in front of me, we'll be covering that for you that will not allow you to have political views on the Internet.
[00:06:04.724 --> 00:06:07.285]  And by the way, how many years is that?
[00:06:07.285 --> 00:06:09.486]  10, 12, and 7?
