[00:00:00.109 --> 00:00:04.853]  Kidding, talk radio.
[00:00:05.914 --> 00:00:06.575]  Big Brother.
[00:00:07.215 --> 00:00:08.296]  Mainstream media.
[00:00:08.997 --> 00:00:10.138]  Government cover-ups.
[00:00:10.158 --> 00:00:11.619]  You want answers?
[00:00:12.319 --> 00:00:13.240]  Well, so does he.
[00:00:13.280 --> 00:00:17.644]  He's Alex Jones on the GCN Radio Network.
[00:00:18.084 --> 00:00:22.168]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.607 --> 00:00:27.948]  It is the 20th day of September 2007.
[00:00:32.130 --> 00:00:43.875]  If you were looking for the InfoWar, if you were looking for the front lines in the fight for liberty and freedom worldwide, the tip of the spear, my friends, you have parachuted right into the middle of it.
[00:00:44.055 --> 00:00:46.776]  I'm Alex Jones, your InfoWarrior.
[00:00:47.910 --> 00:00:50.914]  Here Monday through Friday from 11 a.m.
[00:00:50.954 --> 00:00:51.895]  until 2 p.m.
[00:00:51.956 --> 00:00:53.578]  Central Standard Time.
[00:00:53.998 --> 00:00:59.946]  Going out on a growing list of wonderful AM and FM affiliates across the country.
[00:01:00.387 --> 00:01:05.574]  The latest 1330 out of Cameron, Texas covering Waco and much of Austin, Texas.
[00:01:06.800 --> 00:01:20.863]  1330 AM, simulcasting on three different satellites, the Internet at Infowars.com and PrismPlanet.com, and WWCR, 11 to 2 Central, and retransmitted 9 to Midnight Central.
[00:01:20.903 --> 00:01:26.444]  That's when the network retransmits us is 9 to Midnight, then again at 1 AM to 4 AM.
[00:01:26.804 --> 00:01:29.905]  But you can listen 24 hours a day to the Internet streams.
[00:01:30.825 --> 00:01:34.666]  21 hours a day, we restream until the live show starts again, and that's at 2 p.m.
[00:01:34.706 --> 00:01:35.026]  Central.
[00:01:35.046 --> 00:01:50.769]  If you missed any of the show, you can always tune in and listen during the restreams, the refeeds, or you can simply go to InfoWars.com and subscribe to the free podcast through your MP3 or iPod device and listen how you want, where you want, when you want, giving you full control.
[00:01:52.890 --> 00:01:57.411]  Not just over when and how you listen, but also when it comes to sharing it with others.
[00:01:58.482 --> 00:01:58.782]  All right.
[00:01:58.862 --> 00:02:00.784]  Very important broadcast.
[00:02:01.364 --> 00:02:07.489]  As the events get more and more serious, as things accelerate, every day just gets more amazing here.
[00:02:08.569 --> 00:02:13.693]  Every day we're seeing bigger financial moves than a few years ago we would see in a full year.
[00:02:15.054 --> 00:02:20.798]  I mean, the events taking place every day are earth-shaking when it comes to the financial world.
[00:02:20.818 --> 00:02:27.243]  And then, of course, the financial world touches us in every sector of our lives and every other facet of society.
[00:02:28.852 --> 00:02:30.392]  So we'll be going through that.
[00:02:30.532 --> 00:02:32.153]  Fears of dollar collapses.
[00:02:32.233 --> 00:02:34.033]  Saudis take fright.
[00:02:35.414 --> 00:02:38.935]  Dollar hits new all-time low against the Euro every week.
[00:02:38.975 --> 00:02:40.395]  The further plunge continues.
[00:02:40.855 --> 00:02:44.176]  Bernanke, federal act to curb fallout of credit bills.
[00:02:45.156 --> 00:02:48.157]  Yeah, give us more rope to have a longer drop.
[00:02:49.197 --> 00:02:52.538]  Oil hovers at 82 a barrel on worries of supply crunch.
[00:02:52.598 --> 00:02:53.558]  Total propaganda.
[00:02:53.998 --> 00:02:54.238]  U.S.
[00:02:54.298 --> 00:02:56.779]  retailers see weak growth this holiday season.
[00:02:59.292 --> 00:03:01.613]  Dollar tumbles against the Canadian dollar.
[00:03:02.094 --> 00:03:05.216]  It's now worth more than the dollar for the first time in history.
[00:03:05.736 --> 00:03:24.847]  This is what we're dealing with, but the yuppies are dancing around as the stock market went up, which is an illusionary gauge, an illusionary graph, an illusionary meter, an illusionary speedometer, however you want to put it.
[00:03:26.722 --> 00:03:29.444]  I first discovered this about eight years ago.
[00:03:29.484 --> 00:03:30.545]  This is what I'm going to cover first.
[00:03:30.585 --> 00:03:33.508]  We'll get into financial news, bottom of the hour, in about 25 minutes.
[00:03:34.769 --> 00:03:39.693]  I first saw this in Tucson, Arizona in the Star, there in their paper.
[00:03:40.854 --> 00:03:42.695]  I then saw it in Texas.
[00:03:42.795 --> 00:03:44.477]  I then saw it in New York, California.
[00:03:45.057 --> 00:03:45.778]  Then England.
[00:03:46.678 --> 00:03:54.445]  And I would cover mainline news articles eight years ago and get emails and calls and people would laugh at me and say that I was making this up.
[00:03:54.525 --> 00:03:55.986]  They wouldn't go check out my claims.
[00:03:56.724 --> 00:03:58.185]  They would just say it wasn't true.
[00:04:00.246 --> 00:04:01.607]  Here's WorldNet Daily, folks.
[00:04:02.987 --> 00:04:08.450]  Highway Checkpoint asked drivers for blood, saliva, travelers outraged by private research group's request.
[00:04:08.810 --> 00:04:16.634]  And they had police there trying to intimidate them, trying to threaten them into giving blood and saliva.
[00:04:16.974 --> 00:04:18.595]  And then, of course, the public's ignorant.
[00:04:18.615 --> 00:04:19.655]  It's not saliva.
[00:04:20.536 --> 00:04:24.618]  They're swabbing the inner cheek, the largest cells in the body.
[00:04:25.638 --> 00:04:30.001]  It's like an amoeba single cell, and thousands of times the size of a red blood cell.
[00:04:31.262 --> 00:04:34.064]  Well, they're not amoeba sized, but they're big.
[00:04:35.405 --> 00:04:36.206]  Inside the cheek.
[00:04:37.387 --> 00:04:40.249]  And that's where they get them, for their DNA databases.
[00:04:41.430 --> 00:04:43.151]  And so, this is back in the news.
[00:04:44.832 --> 00:04:46.534]  We'll be right back, ladies and gentlemen.
[00:04:47.174 --> 00:04:47.855]  Get into this.
[00:04:47.935 --> 00:04:52.378]  It's all part of the National DNA Database, International DNA Database.
[00:04:52.458 --> 00:04:53.779]  If you're 34 years old, you're in it.
[00:04:54.529 --> 00:04:56.243]  We'll explain why and how when we get back.
[00:05:01.559 --> 00:05:06.642]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[00:05:08.423 --> 00:05:19.709]  Now you can enjoy the most delicious, freshest, and healthiest drinking water anytime, even while traveling, during outdoor sporting activities, and in hospital filtration environments such as local or national emergencies.
