[00:00:04.182 --> 00:00:07.665]  Prepare yourself for a talk radio interview.
[00:00:07.805 --> 00:00:12.549]  Scrap yourselves in and hold on.
[00:00:13.570 --> 00:00:14.911]  He stands for truth.
[00:00:16.332 --> 00:00:18.153]  He stands for justice.
[00:00:19.534 --> 00:00:21.076]  He stands for what's right.
[00:00:21.496 --> 00:00:24.298]  This is the Alex Jones Show.
[00:00:25.279 --> 00:00:28.141]  Call Alex now, toll free at 877-590-5525.
[00:00:33.681 --> 00:00:40.725]  Now live from Austin, Texas, here's Alex Jones.
[00:00:42.806 --> 00:00:47.749]  Thank you for joining us on this live April 15, 2007 edition.
[00:00:47.829 --> 00:01:00.397]  I'm live six days a week and here I am Sunday evening coming to you on a growing list of AM and FM affiliates, Global Shortwave and of course the Internet at Infowars.com and presentplanet.com, not to mention a couple of satellites.
[00:01:02.029 --> 00:01:03.491]  Well, I'm going to tell you out of the gates.
[00:01:03.551 --> 00:01:05.272]  I'm not going to be talking about Don Imus.
[00:01:05.453 --> 00:01:08.776]  I've probably dedicated about 20 minutes in the last week and a half to that.
[00:01:09.417 --> 00:01:10.658]  I will not discuss it.
[00:01:10.718 --> 00:01:14.342]  I will not talk about it other than to say I've never liked Don Imus.
[00:01:15.129 --> 00:01:32.264]  But other than that, I still defend his right to free speech, and it shows what a police state and what a politically correct, I guess, Supreme Soviet that this country has turned into, that people get fired after they beg and plead and apologize.
[00:01:32.665 --> 00:01:39.851]  If you want to turn him off, you want to boycott his sponsors, that's one thing, but to have the corporations do that, it's because they want to set the precedent
[00:01:40.736 --> 00:01:49.838]  Now, Tom DeLay is saying, or the crook, is saying that they should fire Rosie O'Donnell for saying there was something suspicious about those British troops.
[00:01:49.898 --> 00:01:54.039]  Now that's come out in the major British press that it was a propaganda operation.
[00:01:54.059 --> 00:01:55.560]  There's a lot of evidence pointing towards that.
[00:01:56.500 --> 00:01:58.980]  And that she should be fired for saying we should investigate 9-11.
[00:01:59.680 --> 00:02:06.182]  And again, ladies and gentlemen, even if I disagree with Rosie O'Donnell, which I don't, she shouldn't be fired for her speech.
[00:02:07.202 --> 00:02:08.242]  So it's very, very dangerous.
[00:02:08.562 --> 00:02:09.223]  Very, very serious.
[00:02:09.583 --> 00:02:18.086]  Now, while we're busy being distracted and diverted with that, we have a huge stack of important war news here on the plate today.
[00:02:18.426 --> 00:02:27.229]  The Democrats, of course, after putting on a dog-and-pony show that they're anti-war, will be fully funding the war, which, according to Pentagon documents, will be going on at least
[00:02:27.768 --> 00:02:28.848]  for 30 years.
[00:02:28.869 --> 00:02:30.529]  They never had any intention of leaving.
[00:02:30.729 --> 00:02:42.334]  The whole point of going to Iraq was permanent bases there to project power into Iran and Syria because Saudi Arabia had not become a safe base.
[00:02:42.374 --> 00:02:50.838]  They don't think that they're guaranteed to be able to hold it because of the Wahhabi sect that emanates out of Saudi Arabia gaining so much power.
[00:02:51.613 --> 00:02:57.414]  I know we have a country run by congressmen, most of which in a congressional study that was done.
[00:02:57.574 --> 00:02:59.895]  You don't know the difference between a Sunni and a Shiite.
[00:03:00.655 --> 00:03:08.457]  And most Americans don't, but they'll make lots of decisions and have their own opinions about, uh, there's some brown people over there and we need to kill them.
[00:03:08.877 --> 00:03:10.097]  And let's parking lot them.
[00:03:10.417 --> 00:03:12.517]  Nuclear, nuclear parking lot!
[00:03:12.817 --> 00:03:18.739]  We hear that over and over and over again, and it's so sad how we're being played like a fiddle by the New World Order.
[00:03:18.759 --> 00:03:20.079]  So we'll be going over a huge stack
[00:03:21.275 --> 00:03:22.756]  Of war news today.
[00:03:23.736 --> 00:03:28.718]  Also, the global, man-made global warming hype and fraud has gone into overdrive.
[00:03:28.758 --> 00:03:31.559]  I want to walk through the developments of the week there.
[00:03:33.200 --> 00:03:35.301]  Here's some of the other news I have in front of me.
[00:03:37.421 --> 00:03:41.063]  Was Pat Tillman murdered to conceal the truth?
[00:03:42.523 --> 00:03:49.086]  New panel to investigate all the lies, foul play, deaths, and cover-ups surrounding the Tillman and Lynch cases.
[00:03:50.424 --> 00:03:52.165]  Which may be another whitewash.
[00:03:53.485 --> 00:03:58.307]  Also, I interviewed Congressman Ron Paul, the presidential candidate, for a full hour earlier this week.
[00:03:58.647 --> 00:03:59.447]  We have a story out here.
[00:03:59.727 --> 00:04:01.868]  Presidential candidate, U.S.
[00:04:01.968 --> 00:04:03.608]  in danger of dictatorship.
[00:04:03.668 --> 00:04:12.551]  Congressman Ron Paul warns elite believe they own us and are, quote, always prepared to take our liberties and put us in concentration camps.
[00:04:12.571 --> 00:04:14.172]  That's Congressman Ron Paul.
[00:04:15.107 --> 00:04:15.768]  Ladies and gentlemen.
[00:04:16.268 --> 00:04:17.889]  Also, Sherwood Ross writes for us.
[00:04:17.909 --> 00:04:18.910]  He also writes for Reuters.
