[00:00:01.751 --> 00:00:02.471]  Free.
[00:00:02.471 --> 00:00:06.775]  Over a $70 value delivered without a prescription right to your house.
[00:00:06.775 --> 00:00:09.037]  Call now while free supplies last at 1-800-654-0103.
[00:00:09.037 --> 00:00:10.399]  Nothing to risk and everything to gain.
[00:00:10.399 --> 00:00:11.580]  Call EpiClear at 1-800-654-0103.
[00:00:11.580 --> 00:00:11.980]  That was 1-800-654-0103.
[00:00:11.980 --> 00:00:13.461]  Limit one order per household please.
[00:00:13.461 --> 00:00:13.742]  Call 1-800-654-0103.
[00:00:13.742 --> 00:00:15.043]  Shipping and handling not included.
[00:00:30.515 --> 00:00:40.444]  Thank you for listening to GCN.
[00:00:40.444 --> 00:00:41.745]  Big Brother.
[00:00:41.745 --> 00:00:43.526]  Mainstream media.
[00:00:43.526 --> 00:00:45.288]  Government cover-ups.
[00:00:45.288 --> 00:00:46.849]  You want answers?
[00:00:46.849 --> 00:00:48.430]  Well, so does he.
[00:00:48.430 --> 00:00:52.614]  He's Alex Jones on the GCN Radio Network.
[00:00:52.614 --> 00:00:56.718]  And now, live from Austin, Texas, Alex Jones.
[00:01:00.249 --> 00:01:12.118]  Two of my crew are arriving as we speak north of Austin, Texas in Taylor, where a demonstration was scheduled to be kicked off today.
[00:01:12.118 --> 00:01:14.299]  I should have plugged it yesterday.
[00:01:14.299 --> 00:01:16.581]  I wasn't aware of it.
[00:01:16.581 --> 00:01:19.703]  At a FEMA camp that holds entire families.
[00:01:20.603 --> 00:01:28.028]  Remember early last year in 2006, the Houston Chronicle reported they would keep illegal aliens and U.S.
[00:01:28.028 --> 00:01:31.811]  citizens at new FEMA camps built around the country.
[00:01:31.811 --> 00:01:35.994]  Well, they've got one up in Taylor where they split up the men, women, and children.
[00:01:37.572 --> 00:01:42.976]  Of course, these are other than Mexicans that are held at these facilities.
[00:01:42.976 --> 00:01:50.603]  Al Chertoff runs around and arrests a few thousand here, a few thousand there of Mexican workers, while there's 30 million inside the country.
[00:01:50.603 --> 00:02:04.814]  It's all smoke and mirrors to set the precedent to arrest people without due process and to set the precedent to basically sell the public on immigration control that is non-existent, but to create that illusion
[00:02:07.561 --> 00:02:14.725]  So, coming up in about 30 minutes, we'll get a report from on the ground via one of their cell phones up there at the facility.
[00:02:14.725 --> 00:02:23.370]  We'll tell you more about that in the meantime.
[00:02:23.370 --> 00:02:27.873]  In the meantime, here are some of the other news we have today.
[00:02:27.873 --> 00:02:31.355]  Social Security agreement with Mexico
[00:02:33.616 --> 00:03:01.746]  released after three and a half year freedom of information act battle and that dovetails with the report we've been covering since friday out of the boston globe how they're going to expand the number of illegal aliens that are instantly legalized in our armed forces our foreign mercenary army that journey is almost almost complete we're talking about making fifty percent
[00:03:02.652 --> 00:03:31.833]  of infantry forces uh... being illegal alien and they're also hiring them that are convicted aggravated felons you can't make this type stuff up i mean who would imagine that the land of the free home of the brave but really it's the land of the dumbed down home of the surveilled and so when we get back from break i want to talk about two different two different rails that uh... really coincide
[00:03:33.414 --> 00:03:40.076]  And that is that 2007 is the year of the North American Union.
[00:03:40.076 --> 00:03:47.379]  This is the year when it's really going to be in full operation.
[00:03:47.379 --> 00:03:55.481]  You could herald last year as the real birth of it, but it's now walking and talking.
[00:03:55.481 --> 00:03:58.102]  It's like a two-year-old.
[00:03:59.796 --> 00:04:03.858]  It was born in March of 2005.
[00:04:03.858 --> 00:04:06.700]  It began to crawl in January of last year.
[00:04:06.700 --> 00:04:10.182]  It began to toddle in the middle of last year.
[00:04:10.182 --> 00:04:15.745]  And now it's two years of age, speaking in full sentences.
[00:04:15.745 --> 00:04:18.807]  It has extremely sharp teeth, by the way.
[00:04:18.807 --> 00:04:20.468]  It's not a friendly creature.
[00:04:22.333 --> 00:04:34.217]  So, we will discuss that, 2007, the year of the American Union, and 2006, conversely, is the year America, the United States, died.
[00:04:34.217 --> 00:04:43.621]  So I thought I would go over that in the next segment, and go over some of the voluminous evidence along those lines.
[00:04:45.988 --> 00:04:49.770]  Then I will plunge into, of course, the FEMA camp.
[00:04:49.770 --> 00:04:56.172]  One of two in Texas, as reported by the Austin American Statesman a week ago.
[00:04:56.172 --> 00:04:59.293]  And the alternative press has been out there videotaping and taking photos of it.
[00:04:59.293 --> 00:05:09.577]  In the old days, when I was less conditioned, I would have been up there instantly, but I've been to so many FEMA camps and covered so many of them, I'm just kind of like, yeah, FEMA camp.
[00:05:09.577 --> 00:05:10.698]  FEMA camp.
[00:05:10.698 --> 00:05:12.438]  Been there, done that.
[00:05:12.438 --> 00:05:14.459]  But it is important because children are in it.
[00:05:17.037 --> 00:05:20.180]  You know, it's like when the Washington Post says we'll all be forced to take microchips soon.
[00:05:20.180 --> 00:05:24.104]  I kind of go, eh, you know.
[00:05:24.104 --> 00:05:26.507]  Bush is to announce the new Iraq strategy.
