[00:00:02.150 --> 00:00:03.150]  He stands for truth.
[00:00:03.190 --> 00:00:04.611]  He stands for justice.
[00:00:04.671 --> 00:00:06.791]  He stands for what's right.
[00:00:06.811 --> 00:00:07.712]  This is the Alex Jones Show.
[00:00:07.752 --> 00:00:09.012]  Call Alex now, toll free at 877-422-9000.
[00:00:28.843 --> 00:00:40.990]  Our country is on its knees.
[00:00:41.310 --> 00:00:44.292]  John from San Marcos was on in the last hour.
[00:00:45.232 --> 00:00:48.594]  And I shouldn't call people like you punks.
[00:00:49.375 --> 00:00:51.256]  You probably are a bleeding heart who means well.
[00:00:52.097 --> 00:00:54.959]  And if you can get back in, it's 836-0590-836-0590 or 877-590-5525.
[00:00:54.999 --> 00:00:57.121]  Just hit redial.
[00:00:57.181 --> 00:00:59.903]  I see we got a line open.
[00:00:59.923 --> 00:01:04.907]  Try to keep one open for him until he calls in.
[00:01:05.147 --> 00:01:05.727]  He hung up.
[00:01:05.907 --> 00:01:07.468]  And I want to have a real discussion with you.
[00:01:08.109 --> 00:01:09.670]  Now, you need to apologize, too.
[00:01:10.431 --> 00:01:16.435]  Because you implied that he said, oh, people that don't want to open borders, they just don't like Mexicans.
[00:01:18.797 --> 00:01:20.278]  And that's what made me mad.
[00:01:22.074 --> 00:01:31.879]  And my answer to you is, why do 87 to 71 percent of Hispanics in scientific Gallup polls and Scripps Howard news polls, every one they have are between 67 and 71.
[00:01:32.399 --> 00:01:34.260]  I haven't seen them lower, haven't seen them higher.
[00:01:35.441 --> 00:01:36.662]  Go look it up for yourself right now.
[00:01:36.722 --> 00:01:40.444]  Just Google Scripps Howard's news service on Hispanic Americans on immigration issues.
[00:01:41.884 --> 00:01:43.445]  So, they don't like Mexicans?
[00:01:43.505 --> 00:01:44.566]  They don't like Hispanics?
[00:01:44.886 --> 00:01:49.468]  They don't like Nicaraguans, Guatemalans, Chileans, Argentines?
[00:01:50.249 --> 00:01:50.369]  No!
[00:01:51.189 --> 00:01:57.311]  They know that 30 million illegal aliens driving down the wages, but it's more than that.
[00:01:57.331 --> 00:01:58.751]  Look at the Fed and state's own numbers.
[00:01:59.272 --> 00:02:11.635]  In Texas, illegal aliens take out of the economy and welfare and medical costs, with having their children, everything, more than twice what they ever end up paying in taxes.
[00:02:12.055 --> 00:02:13.936]  In California, it's almost three times.
[00:02:14.668 --> 00:02:19.771]  More than 70% of those in Los Angeles, in the county jails, are illegal aliens.
[00:02:19.811 --> 00:02:20.872]  These are all just numbers.
[00:02:22.292 --> 00:02:26.115]  We have 30 million illegal aliens, conservatively, in this country.
[00:02:26.695 --> 00:02:43.725]  We have the Republicans and Democrats who want a global government, who want a North American Union, in their own SPP, Security Prosperity Document, saying that they want to bring in a large enough foreign mass to be able to play it off against the American people, like what they have in French Canada and the separatists there.
[00:02:44.838 --> 00:02:45.778]  It's divide and conquer.
[00:02:47.058 --> 00:02:57.301]  So, you can try your establishment media line, but I guess then 67-71% of Hispanics don't like Hispanics.
[00:02:57.501 --> 00:02:57.701]  No.
[00:02:57.721 --> 00:03:02.782]  67-71% of Hispanics have got their heads screwed on straight and know this is bad for our sovereignty and our economy.
[00:03:03.082 --> 00:03:06.803]  And then you come out of the gates and you say, hey, it used to be their country anyways.
[00:03:08.523 --> 00:03:13.864]  Finishing my argument, the Treaty of Guadalupe Hidalgo, I wanted to ask you, did you know what that was?
[00:03:14.847 --> 00:03:15.867]  Do you know what that is, John?
[00:03:15.907 --> 00:03:16.548]  Don't be shy.
[00:03:16.568 --> 00:03:16.808]  836-0590.
[00:03:17.468 --> 00:03:22.150]  You kind of clammed up, though, when I said the Germans attacked us through Mexico twice.
[00:03:22.710 --> 00:03:24.190]  I bet you don't believe that, do you?
[00:03:24.471 --> 00:03:27.472]  Why don't you type, The Plan of San Diego.
[00:03:27.592 --> 00:03:30.693]  The Plan of San Diego into Google.
[00:03:32.319 --> 00:03:35.961]  And why don't you... University of Texas is the first link that pops up.
[00:03:36.441 --> 00:03:41.864]  The second link that pops up is the University of Mexico at the city, Mexico City.
[00:03:42.245 --> 00:03:42.865]  How do I know?
[00:03:43.225 --> 00:03:52.811]  The 17-minute extra mini-film, Battle for the Republic, that is the extra on Endgame, shows the globalist plan, and we go into the plan of San Diego.
[00:03:53.291 --> 00:03:55.172]  By the way, why do you think the Germans did this?
[00:03:56.906 --> 00:04:03.312]  Well, do you know who the first major ruler of Mexico after Santa Ana was?
[00:04:03.492 --> 00:04:05.053]  It was Maximilian.
[00:04:05.273 --> 00:04:06.634]  Frederick Maximilian.
[00:04:07.095 --> 00:04:07.915]  The whatever he was.
[00:04:07.955 --> 00:04:08.656]  I forget the number.
[00:04:08.676 --> 00:04:09.757]  It was like the 9th or something.
[00:04:10.137 --> 00:04:14.901]  He was the crown prince of Austrian Hungarian Empire.
[00:04:14.941 --> 00:04:25.110]  That was the Germanic larger hegemon that stretched from the Balkans into Alsace-La France there in northern France.
[00:04:27.199 --> 00:04:27.959]  The Alsatians.
[00:04:28.800 --> 00:04:31.140]  Every time I talk about Germany, people say, why are you bashing Germans?
[00:04:31.401 --> 00:04:32.841]  Folks, my mother is Alsatian.
[00:04:33.081 --> 00:04:40.064]  The point is, and that's out of the family, the point here is Germany ruled.
[00:04:40.684 --> 00:04:43.605]  What is known as Germany today ruled Mexico.
[00:04:44.285 --> 00:04:49.047]  It ruled Mexico through several different princes for more than 40 years.
[00:04:49.167 --> 00:04:50.748]  And they had power down there.
[00:04:51.388 --> 00:04:53.609]  And so the railroads were built by the Germans.
[00:04:53.649 --> 00:04:54.649]  It was all built by them.
[00:04:55.601 --> 00:05:05.965]  And it was German troops that fought the Marine Corps and the Army when General Grant, Ulysses S. Grant, before the Civil War, went down there when Mexico attacked the U.S.
[00:05:05.985 --> 00:05:08.987]  and went all the way into Oklahoma, slaughtering our troops.
[00:05:09.007 --> 00:05:10.407]  In some cases, it was 100 to 1.
[00:05:10.667 --> 00:05:14.629]  You'd have tens of thousands of troops attacking small patrols, wiping out our troops.
[00:05:15.009 --> 00:05:17.350]  They wouldn't stop attacking, so we went all the way down there.
[00:05:18.110 --> 00:05:19.291]  And then we said, you know what?
[00:05:20.760 --> 00:05:25.463]  Well, we'd already then done the major treaties, and we just said, you're going to hand this over.
[00:05:25.684 --> 00:05:29.006]  There were less than 5,000 Mexicans in the Southwest.
[00:05:29.326 --> 00:05:31.287]  They couldn't hold it from the Native Americans.
[00:05:31.488 --> 00:05:34.029]  Why is it six flags of Texas when you go to Six Flags?
[00:05:34.230 --> 00:05:36.571]  You live here in the big amusement park, and they have a couple of them in the state.
[00:05:38.152 --> 00:05:44.797]  The French flag, the Spanish flag, the Mexican flag, the Texas flag, the Confederate flag, the American flag.
[00:05:46.411 --> 00:05:48.651]  Mexico did have parts of the U.S.
[00:05:48.671 --> 00:06:00.474]  for a little while, and they couldn't hold on to it, so they went to the Tennesseans and the South Carolinians, and they went to the Alabamans, and they said, please come in, we're going to give you Spanish land grants, which my dad's side of the family got.
[00:06:00.854 --> 00:06:01.754]  We even paid for it.
