[00:00:00.069 --> 00:00:00.309]  Hey!
[00:00:01.550 --> 00:00:08.672]  Prepare yourself for a talk radio experience like no other!
[00:00:08.832 --> 00:00:10.673]  Strap yourselves in and hold on!
[00:00:11.633 --> 00:00:13.013]  He stands for truth!
[00:00:14.394 --> 00:00:16.234]  He stands for justice!
[00:00:17.595 --> 00:00:19.135]  He stands for what's right!
[00:00:19.615 --> 00:00:22.396]  This is the Alex Jones Show!
[00:00:23.337 --> 00:00:26.158]  Call Alex now, toll free at 877-
[00:00:27.602 --> 00:00:27.922]  590-5525.
[00:00:28.022 --> 00:00:36.410]  Now live from Austin, Texas, here's Alex Jones.
[00:00:41.094 --> 00:00:42.995]  Welcome ladies and gentlemen, welcome.
[00:00:43.056 --> 00:00:46.559]  Thank you for joining us for this live Sunday edition.
[00:00:46.599 --> 00:00:48.841]  I'm here every Sunday 4 to 6 p.m.
[00:00:48.921 --> 00:00:53.625]  I do live talk radio six days a week because there's so much news and information.
[00:00:54.898 --> 00:00:57.259]  unfolding on a daily basis.
[00:00:57.279 --> 00:01:05.063]  The websites are PrisonPlanet.com, PrisonPlanet.tv, JonesReport.com, InfoWars.net.
[00:01:06.044 --> 00:01:07.565]  Why do I have so many websites?
[00:01:07.605 --> 00:01:08.445]  Well, I have a rule.
[00:01:08.685 --> 00:01:17.410]  Every time we get a real hack, a real attack that is successful, we like to expand what we're doing.
[00:01:17.670 --> 00:01:23.773]  We like to always start a new website and put a new webmaster over it with their own perspective and information.
[00:01:25.038 --> 00:01:34.444]  And because this is such a massive attack we sustained yesterday, I've always lived up to this promise, we will be launching two new websites in the next month.
[00:01:34.484 --> 00:01:35.485]  Yes, two!
[00:01:36.166 --> 00:01:46.232]  I even called a very well-known individual who runs a website that I've been wanting to work with for a while, and I think it looks like I'm going to go ahead and just hire him to come on over to the team and run a whole new website.
[00:01:46.252 --> 00:01:53.057]  It's kind of like you attack one of our sites, and of course it's only down about 10 hours off and on, well we just divide
[00:01:54.148 --> 00:01:55.329]  And like a cell.
[00:01:56.370 --> 00:02:00.914]  But I've decided now we're going to double the growth each time we're attacked.
[00:02:01.895 --> 00:02:10.602]  Now why are hackers attacking PrisonPlanet.com, InfoWars.com, JonesReport.com,
[00:02:12.688 --> 00:02:25.715]  Simultaneously, and then of course, WeAreChange.org, not because it's not my website, but because I promote them and they're affiliated with me as freelance reporters out there, and now caught fire across the country, and hundreds of others have started their own WeAreChange groups.
[00:02:26.036 --> 00:02:27.476]  That was what I wanted to do from the beginning.
[00:02:27.897 --> 00:02:33.620]  That's the answer here, not Alex Jones as some leader, but others becoming leaders and moving against the new world order.
[00:02:34.955 --> 00:02:39.056]  Instead, people always want to tell me that I need to then follow them and do what they say.
[00:02:39.116 --> 00:02:40.136]  No, no, no, no, no, no, no.
[00:02:40.676 --> 00:02:42.197]  I create more organizations.
[00:02:42.217 --> 00:02:42.937]  That's what I do.
[00:02:46.218 --> 00:03:00.261]  We'll talk about massive web censorship, not just against my websites, but against the alternative media period today that we're seeing from MySpace, Dig, Wikipedia, you name it.
[00:03:01.204 --> 00:03:04.106]  And we'll be talking about that coming up in the second hour today.
[00:03:04.747 --> 00:03:25.642]  It dovetails with the fact that the Browns up in New Hampshire, the couple that's gotten national attention from CNN to Fox News to Coast to Coast AM, where they have been convicted supposedly of tax evasion, of not paying taxes to the private run-for-profit Federal Reserve System.
[00:03:26.063 --> 00:03:30.266]  And so they're saying, no, we're going to stay here in our wooded home and you can come and get us.
[00:03:31.047 --> 00:03:37.054]  Well, last night, 20 minutes after, different websites owned by different people were simultaneously hacked.
[00:03:37.094 --> 00:03:45.182]  And a lot of folks, when they have web traffic problems, or don't pay their bills, or don't know what they're doing with a website, claim they were hacked.
[00:03:45.202 --> 00:03:46.524]  I mean, we see this a dime a dozen.
[00:03:47.433 --> 00:04:04.338]  And no, ladies and gentlemen, we have the login, we have where they were bouncing from, which servers they were bouncing off of, where the attacks came from, specifically what the orders were, the backdoor into the servers, which normally government has.
[00:04:04.918 --> 00:04:08.119]  Occasionally higher quality hackers are able to get those backdoor keys.
[00:04:11.400 --> 00:04:16.481]  And so simultaneously with a big event at the Browns' home last night,
[00:04:17.290 --> 00:04:31.420]  Which could trigger, some have said, including the Southern Poverty Law Center that studies this, because they're trying to provocateur it, they have said this could trigger some type of national insurrection or some type of national conflagration.
[00:04:32.220 --> 00:04:34.422]  And that's what the bad boys want on the New Orleans side.
[00:04:34.442 --> 00:04:40.326]  They don't want to fight this thing peacefully and have it be a fight for liberty and the Republic.
[00:04:41.477 --> 00:04:45.140]  on a level playing field of intellectual ideas and information.
[00:04:45.560 --> 00:04:52.186]  They want to censor and cheat and stage terror attacks and blame it on Patriot groups, as the Feds did with Oklahoma City bombing.
