[00:00:00.109 --> 00:00:01.590]  A really good idea.
[00:00:01.590 --> 00:00:05.073]  And thanks to Inventech, no one's gonna cash in but me.
[00:00:05.073 --> 00:00:09.155]  They're going to help me get my invention off the drawing board and into the marketplace.
[00:00:09.155 --> 00:00:10.857]  I really need Inventech.
[00:00:10.857 --> 00:00:11.857]  What's that number again?
[00:00:11.857 --> 00:00:12.438]  1-800-313-6868.
[00:00:12.438 --> 00:00:12.858]  One more time?
[00:00:12.858 --> 00:00:13.258]  Call 1-800-313-6868.
[00:00:13.258 --> 00:00:13.539]  That's 1-800-313-6868.
[00:00:29.730 --> 00:00:40.003]  This is the GCN Radio Network.
[00:00:40.003 --> 00:00:41.304]  Big Brother.
[00:00:41.304 --> 00:00:43.087]  Mainstream media.
[00:00:43.087 --> 00:00:44.228]  Government cover-ups.
[00:00:44.228 --> 00:00:46.411]  You want answers?
[00:00:46.411 --> 00:00:47.172]  Well, so does he.
[00:00:47.947 --> 00:00:52.148]  He's Alex Jones on the GCN Radio Network.
[00:00:52.148 --> 00:01:08.574]  And now, live from Austin, Texas, Alex Jones.
[00:01:08.574 --> 00:01:17.337]  Well, early this morning, my wife woke me up and said, get up, they've shut down part of downtown Austin.
[00:01:19.602 --> 00:01:25.987]  There are dead birds all over the place, and some police had to go to the hospital.
[00:01:25.987 --> 00:01:32.753]  And sure enough, at least three police officers said they felt ill when they were responding to the report.
[00:01:32.753 --> 00:01:40.559]  The Capitol Police first discovered a bunch of dead pigeons out front the Capitol, and then all the way up Congress.
[00:01:40.559 --> 00:01:46.884]  Congress was supposedly littered with several dozen of the dead flying rats.
[00:01:50.359 --> 00:01:51.139]  I better watch it.
[00:01:51.139 --> 00:01:53.280]  Kevin races pigeons and he loves them.
[00:01:53.280 --> 00:01:59.101]  We've actually had pigeons delivered here before in the big box with the holes in it.
[00:01:59.101 --> 00:02:00.222]  Uh-oh!
[00:02:00.222 --> 00:02:02.782]  We're in trouble now!
[00:02:02.782 --> 00:02:07.143]  Jack Bauer will be kicking down the door to keep us safe.
[00:02:07.143 --> 00:02:17.086]  But to make a long story short, it's probably one of the apartment owners or business owners downtown sick of the
[00:02:18.032 --> 00:02:21.616]  Flying rats who poisoned a bunch of them, which people do.
[00:02:21.616 --> 00:02:36.210]  They put little electrical zappers all over the store signs, all over the buildings downtown, on all the ledges, or many of the ledges, in an attempt to frustrate the pigeon infestations.
