[00:00:00.049 --> 00:00:00.329]  Hello Alex.
[00:00:23.496 --> 00:00:26.998]  Yeah, it was called The Great Global Warming Swindle.
[00:00:26.998 --> 00:00:31.801]  It was on Channel 4 television, which is broadcast in the UK last night at 9pm.
[00:00:31.801 --> 00:00:35.923]  90-minute documentary.
[00:00:35.923 --> 00:00:53.313]  And, you know, the evidence wasn't presented on the basis of photographs of stranded polar bears on ice caps, ICPP representatives impersonating chimps, or, you know, shutting off the lights on the Eiffel Tower for five minutes.
[00:00:54.591 --> 00:01:00.053]  Which is how the other side try and get people to believe that global warming is man-made.
[00:01:00.053 --> 00:01:07.355]  Yeah, they're approaching the mindless, bestial nature of a public that can't find major continents on a map.
[00:01:07.355 --> 00:01:14.237]  Right, and to get it straight, because the very first comment that my article received, which I predicted, was
[00:01:15.807 --> 00:01:18.630]  Everyone knows that global warming is real.
[00:01:18.630 --> 00:01:21.252]  Anyone who tells us otherwise is a dumb.
[00:01:21.252 --> 00:01:23.874]  And then you can fill in the three-letter word afterwards.
[00:01:23.874 --> 00:01:35.062]  And you predicted three weeks before that they would say that they wanted to ban global warming denial, saying it's like Holocaust denial, and they've now done it.
[00:01:35.062 --> 00:01:37.164]  Well, yeah, they're preparing that.
[00:01:37.164 --> 00:01:39.766]  There was a Boston Globe journalist who came out and said,
[00:01:40.872 --> 00:01:43.033]  There's no time for a debate.
[00:01:43.033 --> 00:01:46.573]  The debate over anyone who disagrees is akin to a Holocaust denier.
[00:01:46.573 --> 00:01:47.454]  Let's get back to the film.
[00:01:47.454 --> 00:01:47.934]  I'll shut up.
[00:01:47.934 --> 00:01:49.114]  Tell us about it.
[00:01:49.114 --> 00:02:03.057]  Why I mentioned that comment was, this person obviously didn't get as far as reading my headline, which is, powerful documentary tramps as man-made, that's man-made warming hoax.
[00:02:03.057 --> 00:02:08.319]  We don't deny that global warming is happening, because it has always happened throughout the Earth.
[00:02:08.319 --> 00:02:09.459]  A million, 4.5 billion,
[00:02:10.976 --> 00:02:11.877]  Year history.
[00:02:11.877 --> 00:02:18.963]  We don't deny it's happening, but the evidence clearly suggests that it's a natural occurrence, and it's not man-made.
[00:02:18.963 --> 00:02:25.689]  And regardless, the UN solution, a global tax, even if you believe the official story, won't help.
[00:02:25.689 --> 00:02:32.075]  No, it'll only hit us in the pocket, and then people accuse us of being with the corporations.
[00:02:33.202 --> 00:02:38.364]  And with the polluters, if we dare question this religion of global warming.
[00:02:38.364 --> 00:02:40.905]  And really, they just want socialism, a way to attach more wealth.
[00:02:40.905 --> 00:02:46.148]  What they don't know is the big corporations are lobbying for all of this as a way to get control.
[00:02:46.148 --> 00:02:49.349]  Yeah, just like they created peak oil to get artificial scarcity.
