[00:00:11.852 --> 00:00:20.576]  Coming up, Senator Biden admits 9-11 meeting with hijacker financier
[00:00:42.327 --> 00:00:45.310]  This is huge news.
[00:00:45.310 --> 00:00:49.675]  Also, we've got debate coverage coming up here in just a moment.
[00:00:49.675 --> 00:00:54.441]  We have the Jerusalem Post with the headline, Shin Bet Involved in 1976 Hijacking.
[00:00:54.441 --> 00:00:58.605]  I talked about that some yesterday, but more developments have come out on that.
[00:00:58.605 --> 00:01:01.889]  News on the economy, Mike Rivera joining us in the next hour.
[00:01:01.889 --> 00:01:02.470]  But right now,
[00:01:03.587 --> 00:01:17.477]  From the site of the debates in New Hampshire, you can, he's outside, you can hear the rain in the background, is the head of media, media coordinator for Congressman Ron Paul's presidential campaign.
[00:01:17.477 --> 00:01:19.138]  We really appreciate him.
[00:01:19.138 --> 00:01:20.279]  And he's Jesse Benton.
[00:01:20.279 --> 00:01:21.379]  He'll also be popping in.
[00:01:21.379 --> 00:01:24.662]  He or the campaign chairman tomorrow.
[00:01:24.662 --> 00:01:27.564]  We appreciate him getting us Ron Paul last week.
[00:01:27.564 --> 00:01:29.285]  And Jesse, thanks for coming on with us.
[00:01:31.946 --> 00:01:51.265]  We are going into the debate tonight, and obviously Ron Paul's strategy is being a constitutionalist, telling it like it is, anti-war, pro-liberty, but what type of coverage is the congressman getting in the run-up, what is he planning to say tonight, and how important is this debate?
[00:01:52.570 --> 00:01:58.117]  Well, we think it's really important to continue to build on what we've all been growing.
[00:01:58.117 --> 00:02:06.807]  This grass fire movement that's been taking hold across the country through the internet and on the ground with actual boots on the ground now.
[00:02:06.807 --> 00:02:09.711]  We're seeing Ron Paul supporters, Ron Paul signs all over the place.
[00:02:10.311 --> 00:02:19.433]  Last night, Ron did an appearance on The Daily Show with Jon Stewart, and there was a real nice rally by supporters, kind of impromptu form there.
[00:02:19.433 --> 00:02:33.095]  Got up here last night, and then we had a real jam-packed morning with New Hampshire Public Radio, New Hampshire Public Television, some other call-in shows to radio, and it's just been super positive.
[00:02:33.095 --> 00:02:36.816]  We just did a little CNN spot, see more CNN tomorrow.
[00:02:37.543 --> 00:02:47.493]  And, uh, you know, we're just looking forward to tonight for, again, Ron to be up there and articulating his message and really showing everybody who the true conservative and the real Republican in this race really is.
[00:02:47.493 --> 00:02:53.299]  Jesse, I know everybody's telling you, tell Ron this, tell Ron that, give Ron this message, give Ron that message.
[00:02:54.660 --> 00:02:56.843]  Your suggestion carries some real weight, Alex.
[00:02:56.843 --> 00:02:57.784]  I'm happy to hear it.
[00:03:14.584 --> 00:03:19.828]  You know, 50-something polls, state and national, they've only included him in like six or seven.
[00:03:19.828 --> 00:03:27.334]  So I think he needs to make the point that they haven't been including him in polls, and so that when it comes to real grassroots polls, he is leading.
[00:03:27.334 --> 00:03:29.095]  I think Ron Paul ought to start saying he's a leader.
[00:03:30.293 --> 00:03:31.954]  Well, I agree with that Alex.
