[00:00:00.069 --> 00:00:00.429]  Five.
[00:00:02.812 --> 00:00:07.175]  Prepare yourself for a talk radio interview.
[00:00:07.195 --> 00:00:08.877]  Scream like no other.
[00:00:09.097 --> 00:00:11.900]  Strap yourselves in and hold on.
[00:00:12.881 --> 00:00:14.262]  He stands for truth.
[00:00:15.643 --> 00:00:17.485]  He stands for justice.
[00:00:18.846 --> 00:00:20.387]  He stands for what's right.
[00:00:20.868 --> 00:00:23.630]  This is the Alex Jones Show.
[00:00:24.391 --> 00:00:26.353]  Call Alex now, toll free.
[00:00:29.274 --> 00:00:44.904]  Thank you so much for joining us for this Sunday syndicated broadcast.
[00:00:44.944 --> 00:00:48.326]  We'll be live here for the next two hours till 6 p.m.
[00:00:48.746 --> 00:00:50.827]  Central Standard Time, 7 p.m.
[00:00:51.468 --> 00:00:53.449]  Pacific, 5 o'clock Mountain, 4 p.m.
[00:00:53.469 --> 00:00:53.829]  Pacific.
[00:00:59.514 --> 00:01:02.036]  And we're going to have wide open phones throughout the transmission.
[00:01:02.076 --> 00:01:07.681]  The toll free number to join us is 877-590-5525 or locally in Central Texas.
[00:01:08.061 --> 00:01:14.106]  If you're listening to us out of the station that we transmit from, that this broadcast originates from, 836-0590 for KLVJ 590 AM.
[00:01:14.126 --> 00:01:17.569]  Alright, here are the 1, 2, 3, 4, 5, 6 stacks of news I have in front of me.
[00:01:26.151 --> 00:01:29.492]  One is all the new 9-11 inside job developments.
[00:01:30.492 --> 00:01:34.073]  I'm from Rosie O'Donnell announcing that she's going to leave The View this week.
[00:01:34.093 --> 00:01:35.213]  What's really behind that?
[00:01:35.773 --> 00:01:42.355]  To John Kerry last Sunday being here in Austin, Texas and talking about Building 7 being a controlled demolition.
[00:01:43.155 --> 00:01:45.816]  We'll be covering that later in the second hour.
[00:01:46.376 --> 00:01:54.438]  In the first hour, the Wall Street Journal has reported, as well as the Associated Press, Yahoo News, and Reuters,
[00:01:55.197 --> 00:02:05.404]  that global warming could be halted by government weather control and then they go on to admit chemtrails or aerosol spraying in the skies.
[00:02:07.105 --> 00:02:08.166]  Oh my goodness!
[00:02:08.886 --> 00:02:10.447]  Huge developments.
[00:02:10.508 --> 00:02:12.469]  We'll be going over that for you.
[00:02:12.549 --> 00:02:18.893]  Also how the whole global warming movement, man-made global warming movement, is nothing but a push for taxation.
[00:02:18.913 --> 00:02:19.814]  In fact, I have
[00:02:20.547 --> 00:02:31.876]  Up on the screen in front of me, the Weather Channel, and I've been sitting here for about 45 minutes getting ready, and I've seen already two news reports on global warming and how we must have a global tax to save us from it.
[00:02:33.157 --> 00:02:45.366]  So we'll talk about what's really behind the endless hype for man-made global warming and how even the supposed solution to it, if you even believe it's man-made, which of course it isn't, is a fraud.
[00:02:46.517 --> 00:03:00.021]  It is the dream of the New World Order for over a century to have a world tax, and they need a crisis, some way to get the public ninnying and rubbing their hands together, and climactic climate change is going to be their main mode.
[00:03:00.081 --> 00:03:03.762]  That and the war on terror and several other big fear-mongering issues.
[00:03:05.522 --> 00:03:10.924]  Also, Bush is now yet again pushing total blanket, complete amnesty for all illegal aliens in the country.
[00:03:11.975 --> 00:03:16.057]  And they then have the liberal shills come out and protest against it.
[00:03:16.097 --> 00:03:24.701]  That then fools conservatives, it's all staged, into thinking that Bush is actually for national sovereignty and for controlling our borders.
[00:03:25.061 --> 00:03:33.145]  And when you see Bush on CNN or Fox or hear him on the radio, and I've been monitoring the news this weekend, they come out and say, Bush wants to get tough on illegal immigration!
[00:03:33.545 --> 00:03:36.366]  You'll hear a clip of the President saying, it's time to do something about it!
