[00:00:01.918 --> 00:00:02.959]  He stands for truth.
[00:00:03.019 --> 00:00:04.380]  He stands for justice.
[00:00:04.440 --> 00:00:05.781]  He stands for what's right.
[00:00:05.901 --> 00:00:07.723]  This is the Alex Jones Show.
[00:00:07.803 --> 00:00:09.804]  Call Alex now at toll free.
[00:00:25.834 --> 00:00:26.635]  Welcome, my friends.
[00:00:26.715 --> 00:00:27.035]  Welcome.
[00:00:27.055 --> 00:00:28.476]  It is September 23, 2007.
[00:00:28.536 --> 00:00:32.859]  We'll be live here, I believe, for the next two hours.
[00:00:32.879 --> 00:00:37.962]  If you've been looking for it, you found it.
[00:00:50.049 --> 00:00:58.651]  Not the phony left-right paradigm where both sides are bought and paid for by the same Fortune 100 globalist corporations.
[00:00:59.451 --> 00:01:13.455]  No, you found a place where we really cover the news and information, where we know what we're talking about, where we're ahead of the news months, and in some cases years, where we're able to predict what's going to develop from our geopolitical knowledge.
[00:01:14.475 --> 00:01:18.016]  You have found the very front lines of the information war,
[00:01:19.011 --> 00:01:25.557]  You have discovered, ladies and gentlemen, the wartime broadcast for the Battle for the Republic.
[00:01:25.837 --> 00:01:32.403]  I am syndicated radio talk show host Alex Jones, and I'm syndicated Monday through Friday by the Genesis Communications Radio Network.
[00:01:32.423 --> 00:01:39.970]  But every Sunday, in association with Genesis and MS Communication, we have the syndicated Sunday transmission from 5 to 7 p.m.
[00:01:40.070 --> 00:01:40.410]  Eastern.
[00:01:41.211 --> 00:01:43.273]  That's 4 to 6 Central Standard Time.
[00:01:43.313 --> 00:01:43.733]  That'd be 2 to 4.
[00:01:45.262 --> 00:01:47.403]  Pacific, thank you for joining us.
[00:01:47.503 --> 00:01:49.643]  Okay, here's what I have in the stacks in front of me.
[00:01:50.123 --> 00:01:53.084]  You're wondering what's really happening with the economy.
[00:01:53.284 --> 00:01:58.006]  You're now starting to worry about dollar devaluation, something I've been talking about for ten years.
[00:01:58.586 --> 00:02:10.469]  You're now starting to question your God, the Federal Reserve, who the media millions of times told you was like literal Zeus at Olympus that only **** about you.
[00:02:11.744 --> 00:02:21.734]  We're going to go over Alan Greenspan and Edward Bernanke and Paul Volcker and of course the Treasury Chairman Paulson as well and what they're really up to and where the economy is really going.
[00:02:22.915 --> 00:02:24.437]  We know exactly where it's going.
[00:02:24.457 --> 00:02:26.319]  We know exactly what's going to happen.
[00:02:26.883 --> 00:02:29.704]  Because the globalists told us exactly what they're going to do.
[00:02:30.204 --> 00:02:31.864]  Inactual policy reports.
[00:02:31.984 --> 00:02:35.085]  I don't mean the stuff you see on your nightly news, okay?
[00:02:35.405 --> 00:02:40.465]  That's called spin at best and propaganda and pure lies at worst.
[00:02:40.806 --> 00:02:45.086]  And there's a smattering of the two in different degrees.
[00:02:45.966 --> 00:02:47.747]  There's no black and white in this.
[00:02:47.847 --> 00:02:48.727]  It runs the gamut.
[00:02:49.067 --> 00:02:54.208]  So we'll be going over that coming up towards the end of this hour into the second hour this evening.
[00:02:55.242 --> 00:02:57.304]  We'll also have open phones on that subject.
[00:02:58.104 --> 00:03:11.935]  Some of my great compadres, some activists, ally with InfoWars.com, WeAreChange.org, and InfoWars.com cameraman, stayed up in New York when I left up there a week ago, and confronted Alan Greenspan a few days ago.
[00:03:12.155 --> 00:03:13.716]  That's made the news several places.
[00:03:14.217 --> 00:03:19.661]  And we've got the video of our conversation with him, just bringing up the fact that he's a New World Order trader selling out our country.
[00:03:21.738 --> 00:03:25.039]  So he's been confronted by activists and literally fled an angry mob.
[00:03:25.719 --> 00:03:28.560]  That's up on JonesReport.com, easiest place to find it.
[00:03:28.600 --> 00:03:35.761]  It's now two-day old news on InfoWars and Prison Planet, but Jones Reports mainly just our top headlines.
[00:03:35.781 --> 00:03:39.182]  So you can find it there, still at the top, at JonesReport.com.
[00:03:39.222 --> 00:03:42.663]  Greenspan publicly shamed for intentionally destroying the dollar.
[00:03:43.263 --> 00:03:47.704]  And we have Congressman Ron Paul on Friday confronted Edward Bernanke.
[00:03:48.960 --> 00:03:53.303]  The current CEO of the private bank that literally owns the country and thinks it owns us.
[00:03:54.243 --> 00:03:59.427]  So we'll be going over that little video clip from the banking hearing that they had.
[00:03:59.987 --> 00:04:02.609]  And we'll go over exactly, again, what's behind all this.
[00:04:02.869 --> 00:04:05.110]  Just to give you a little prelude or foreshadowing.
[00:04:06.371 --> 00:04:07.692]  Well, you heard me last Sunday.
[00:04:07.752 --> 00:04:11.494]  I said the dollar was going to plunge this week and the crude oil was going to go up this week.
[00:04:11.554 --> 00:04:12.595]  It wasn't hard.
[00:04:12.615 --> 00:04:14.196]  It was like 1 plus 1 equals 2.
[00:04:15.839 --> 00:04:29.062]  Greenspan and all the other big central bankers came out last Saturday and Sunday and said the dollar's going to die, the euro's going to rise, housing prices are going to go down, inflation's going to spike, destroying confidence!
[00:04:29.162 --> 00:04:33.723]  It's a fiat system, they own and run it, and they're just deciding to bring in the net of fish right now.
[00:04:34.643 --> 00:04:37.243]  And the media is busy spinning and lying about this.
[00:04:37.284 --> 00:04:38.924]  Though there's a few places that are telling the truth.
[00:04:38.964 --> 00:04:41.304]  Financial Times of London is telling the truth.
[00:04:41.384 --> 00:04:44.465]  I even got a Wall Street Journal here that's being halfway honest about it all.
[00:04:45.406 --> 00:04:51.789]  So we will go over that as well coming up later in the hour.
[00:04:51.829 --> 00:04:53.929]  So that's the financial news right there.
[00:04:54.950 --> 00:04:56.751]  That's a pre-recap for you.
[00:04:57.811 --> 00:05:02.353]  And then of course we've got the big news of the day.
[00:05:02.953 --> 00:05:06.574]  CNN reports the war with Iran has begun.
[00:05:07.695 --> 00:05:10.696]  Now I reported this three years ago that the war had begun with Iran.
[00:05:11.551 --> 00:05:17.173]  I mean, if shooting police and bombing government buildings isn't war, I don't know what is.
[00:05:17.614 --> 00:05:27.758]  And that is, globalist forces, can't call them our forces anymore, and they're commanding Al-Qaeda to carry out the ops.
[00:05:27.878 --> 00:05:30.679]  I mean, that's a White House press release of three months ago.
[00:05:30.699 --> 00:05:38.222]  Of course, I reported it three years ago, the New Yorker magazine reported it two and a half years ago, and now CNN openly reports it.
[00:05:39.370 --> 00:05:44.194]  And if you're taking double-takes listening for the first time, it's not me reporting Al-Qaeda works for the U.S.
[00:05:44.234 --> 00:05:44.554]  government.
[00:05:45.194 --> 00:05:50.999]  The government proudly announced three months ago that they've launched major Al-Qaeda offenses in the west of Iran.
[00:05:51.820 --> 00:05:53.101]  So we're going to talk about it.
[00:05:53.982 --> 00:06:06.913]  But the new development here, CNN's war correspondent, their expert, their consultant, Colonel Sam Gardner, says that the war in Iran is already underway and the second phase of overt military action will soon begin.
[00:06:07.762 --> 00:06:11.664]  And we'll watch her start stumbling around, so we'll play this to critique it and analyze it.
[00:06:12.304 --> 00:06:15.746]  Also, Israeli sees nuclear material in Syrian raid.
[00:06:15.766 --> 00:06:18.507]  Times of London, normally a very credible publication.
[00:06:18.887 --> 00:06:22.929]  But if you believe that, I've got some oceanfront property in Arizona I'll sell you.
[00:06:23.289 --> 00:06:25.310]  And from my front porch, you can see the sea.
[00:06:25.330 --> 00:06:29.732]  I mean, seriously, I've got some oceanfront property in Arizona.
[00:06:30.492 --> 00:06:34.174]  Ladies and gentlemen, I just can't believe it.
[00:06:35.195 --> 00:06:35.995]  I just can't believe it.
[00:06:37.621 --> 00:06:41.222]  And also, Iran promises missiles will fly if U.S.
[00:06:41.282 --> 00:06:41.622]  attacks.
[00:06:41.662 --> 00:06:42.523]  London Telegraph.
[00:06:43.963 --> 00:06:45.684]  Anak Medinajid's coming over here.
[00:06:47.384 --> 00:06:54.646]  Iraq was ordered, the Iraqi government ordered Blackwater to leave, but Blackwater just said, we're not leaving.
[00:06:54.906 --> 00:06:56.447]  That's your free government over there.
[00:06:56.467 --> 00:06:57.387]  Yeah, they really run things.
[00:06:59.168 --> 00:07:06.470]  And even contractors in our military admit that Blackwater just opens, just randomly opens fires on crowds of people.
[00:07:07.495 --> 00:07:10.856]  And even threatens to kill other contractors and our own troops.
[00:07:10.876 --> 00:07:12.116]  They're like God over there.
[00:07:12.937 --> 00:07:16.978]  So, I mean, that's AP reporting on this, and Reuters, and AFP.
[00:07:17.018 --> 00:07:25.941]  I've got a big stack of them here, and they're just... with contractors, and the Iraqi government, and our own military, and Marine Corps officers under anonymity.
[00:07:26.001 --> 00:07:29.422]  I mean, Blackwater just walks around literally doing whatever they want.
[00:07:30.562 --> 00:07:35.523]  And now they're under investigation for weapons running and selling them to the insurgency.
[00:07:35.704 --> 00:07:36.204]  No!
[00:07:37.922 --> 00:07:40.583]  No, no, no, no, no.
[00:07:42.444 --> 00:07:44.545]  It's just you can't make this stuff up, man.
[00:07:44.605 --> 00:07:46.446]  You cannot make this stuff up.
[00:07:48.867 --> 00:07:53.929]  So we'll be going over that as well right now after I finish telling you about some of the other news that I have here.
[00:07:55.070 --> 00:07:56.751]  Every day there's news on this.
[00:07:56.851 --> 00:08:02.053]  The Senate's very close to passing the amnesty bill under a new name in the Defense Authorization Act.
[00:08:02.113 --> 00:08:03.694]  It's called the DREAM Amendment.
[00:08:05.328 --> 00:08:08.290]  And New York dropped citizenship proof for driver's license.
[00:08:10.691 --> 00:08:14.873]  And New York seeks to drop all immigration enforcement.
[00:08:15.273 --> 00:08:15.973]  That's AP.
[00:08:17.234 --> 00:08:19.175]  Another story here out of Canada.com.
[00:08:19.215 --> 00:08:21.076]  Mexicans pour into Canada from the U.S.
[00:08:23.997 --> 00:08:25.298]  So we'll be going over that.
[00:08:27.299 --> 00:08:28.959]  And here's another big one for you.
[00:08:29.219 --> 00:08:34.362]  Any one of these stories I could talk for two hours on it and never cover every facet, but it's an impossible job.
[00:08:35.485 --> 00:08:38.926]  Veterans Disarmament Act to bar vets from owning guns.
[00:08:39.546 --> 00:08:41.487]  Now Clinton tried this in 1999.
[00:08:43.367 --> 00:08:46.408]  And 83,000 veterans are banned from owning guns.
[00:08:46.608 --> 00:08:47.428]  You hear about it all the time.
[00:08:47.508 --> 00:08:51.550]  Grandpa goes in to buy his... Vietnam vet goes in to buy his grandson a .22 rifle.
[00:08:52.070 --> 00:08:56.071]  And they say, sorry, remember during the Tet Offensive, after four days of not sleeping, you collapsed?
[00:08:56.491 --> 00:09:00.112]  You wonder why they gave you that designation as post-traumatic stress?
[00:09:01.132 --> 00:09:03.353]  Well, because you can't own guns now.
[00:09:04.136 --> 00:09:06.759]  And by the way, federal documents came out that were planning it even back then.
[00:09:06.779 --> 00:09:12.646]  They're worried about vets later in life being armed, because again, they want you to understand who the boss is.
[00:09:13.046 --> 00:09:14.408]  And that's your new god-like government.
[00:09:14.869 --> 00:09:18.433]  But here it is, Gun Owners of America, the NRA is also reporting on it.
[00:09:18.873 --> 00:09:23.739]  Veterans, it's just all veterans that have any type of designation which the military hands out.
[00:09:25.015 --> 00:09:26.036]  To basically everybody now.
[00:09:26.296 --> 00:09:27.838]  You'll be barred from owning guns.
[00:09:28.058 --> 00:09:28.959]  Oh, cops, too!
[00:09:29.099 --> 00:09:30.901]  Cops will all be barred from owning guns, too.
[00:09:31.261 --> 00:09:33.503]  Never get PTSD or anything like that, too.
[00:09:34.044 --> 00:09:36.066]  So, I'm sure you'll be pleased to hear that.
[00:09:37.007 --> 00:09:40.790]  And also, cancer cure may be available in two years.
[00:09:41.251 --> 00:09:43.353]  One in telegraph, so that's more news we have.
[00:09:43.633 --> 00:09:45.955]  Okay, we'll get into war with Iran!
[00:09:46.295 --> 00:09:48.117]  It's already on, on the other side.
[00:09:48.157 --> 00:09:48.978]  I'm Alex Jones.
[00:10:01.483 --> 00:10:04.104]  Hello, this is Alex Jones with some important questions.
[00:10:04.504 --> 00:10:09.486]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:10:09.846 --> 00:10:11.587]  My answer would be all I can get.
[00:10:11.887 --> 00:10:16.388]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:10:16.448 --> 00:10:16.969]  I don't know.
[00:10:34.650 --> 00:10:35.150]  We're good to go!
[00:11:00.521 --> 00:11:00.981]  Gold.
[00:11:01.301 --> 00:11:02.582]  It's like nothing else on Earth.
[00:11:02.822 --> 00:11:08.944]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:11:08.964 --> 00:11:12.926]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:11:13.286 --> 00:11:15.186]  According to the World Gold Council and the U.S.
[00:11:15.226 --> 00:11:17.527]  Mint, demand is at an all-time high.
[00:11:17.667 --> 00:11:24.730]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker every year.
[00:11:24.790 --> 00:11:25.651]  We're good to go.
[00:11:42.671 --> 00:11:43.211]  It is a big idea.
[00:11:43.231 --> 00:11:43.811]  A new world order.
[00:11:43.831 --> 00:11:45.052]  In the near future, Earth is dominated by power.
[00:11:45.072 --> 00:11:45.272]  Power.
[00:12:10.638 --> 00:12:13.059]  It's known as the Bilderberg Group.
[00:12:13.459 --> 00:12:15.679]  Won't their objective be world domination?
[00:12:16.259 --> 00:12:18.680]  For thousands of years, their dark order grew.
[00:12:19.440 --> 00:12:26.842]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:12:29.783 --> 00:12:34.764]  For the first time in history, the elite's plan for world government is blown wide open.
[00:12:35.244 --> 00:12:38.525]  You will learn the secret that drives the entire New World Order agenda.
[00:12:39.105 --> 00:12:41.627]  Bill Burdick is making great progress toward a world government.
[00:12:41.667 --> 00:12:42.807]  Most people have no idea.
[00:12:42.827 --> 00:12:43.608]  They're not after money.
[00:12:43.628 --> 00:12:44.668]  They have all the money they need.
[00:12:44.888 --> 00:12:45.609]  They're after power.
[00:12:45.869 --> 00:12:46.990]  That's what they have to be seeking.
[00:12:47.030 --> 00:12:55.214]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:12:55.454 --> 00:12:58.056]  Endgame, blueprint for global enslavement.
[00:12:58.536 --> 00:12:59.677]  You have been warned.
[00:13:00.457 --> 00:13:03.640]  Yes, there is an in-dash AM-FM shortwave radio.
[00:13:03.920 --> 00:13:12.027]  For limited time and in limited numbers, the Sony GT-160S AM-FM shortwave radio and CD player is available only at the power hour.
[00:13:12.288 --> 00:13:17.172]  This radio is designed to eliminate interference from ignition systems and the result is clear, clean reception.
[00:13:17.312 --> 00:13:20.355]  So you can hear your favorite broadcasts both domestically and internationally.
[00:13:20.655 --> 00:13:24.539]  Get your Sony AM FM shortwave radio and CD player from the Power Hour today.
[00:13:24.900 --> 00:13:25.080]  Call 877-817-9829.
[00:13:25.120 --> 00:13:25.720]  That's 877-817-9829 to order.
[00:13:25.740 --> 00:13:28.403]  Only $249 for shipping and handling and we'll ship it right to you.
[00:13:35.510 --> 00:13:36.390]  Thank you for listening to GTN.
[00:14:05.794 --> 00:14:08.135]  Be sure to visit GTNLive.com today!
[00:14:19.125 --> 00:14:20.406]  Again, thank you for joining us.
[00:14:20.446 --> 00:14:22.288]  We're here every Sunday, 4 to 6 p.m.
[00:14:22.348 --> 00:14:25.051]  Central Standard Time, syndicated across the country.
[00:14:25.071 --> 00:14:30.477]  I know we've got loaded phone lines, and your calls are coming up later in the hour at 877-590-5525.
[00:14:30.637 --> 00:14:36.443]  Or if you're listening to the flagship station that we actually broadcast out of, 836-0590.
[00:14:36.463 --> 00:14:37.764]  For its namesake, Newsradio 590-KLBJ.
[00:14:43.462 --> 00:14:43.902]  All right.
[00:14:44.203 --> 00:14:45.984]  I'll also be trying to take some questions later.
[00:14:46.024 --> 00:14:47.945]  If I have time, I'm definitely reading them all, though.
