[00:00:00.229 --> 00:00:00.670]  Oh, what?
[00:00:07.779 --> 00:00:09.920]  He stands for truth.
[00:00:10.540 --> 00:00:12.820]  He stands for justice.
[00:00:13.761 --> 00:00:16.161]  He stands for what's right.
[00:00:16.221 --> 00:00:18.942]  This is the Alex Jones Show.
[00:00:19.022 --> 00:00:22.303]  Call Alex now, toll free at 877-590-5525.
[00:00:22.323 --> 00:00:26.724]  Now live from Austin, Texas, here's Alex Jones.
[00:00:35.606 --> 00:00:37.326]  Welcome, welcome my friends.
[00:00:37.406 --> 00:00:43.948]  Thank you so much for joining us on this Sunday evening, the 25th day of November 2007.
[00:00:44.028 --> 00:00:48.249]  We'll be here live for the next two hours.
[00:00:48.689 --> 00:00:51.130]  We're going to have wide open phones in both hours.
[00:00:51.210 --> 00:00:56.071]  I'm going to re-air an excerpt of a very important interview I did with Congressman Ron Paul Wednesday.
[00:00:58.701 --> 00:01:07.206]  Coming up in the third hour, the dark horse racing up the poll charts and breaking fundraiser records.
[00:01:08.106 --> 00:01:23.495]  We'll be talking to him about the police state move here in the United States to, we have White House memos and now we can see the talking points being put into operation by CNN, Fox and others, that those that question the war are actually working for Al-Qaeda.
[00:01:24.392 --> 00:01:24.692]  I don't know.
[00:01:37.336 --> 00:01:39.939]  In this first hour, here's just some of the news I have in front of me.
[00:01:40.199 --> 00:01:44.284]  The dollar drops to record lows again against the euro.
[00:01:44.324 --> 00:01:49.710]  Dollar drops a record low against the euro amid speculation of another Federal Reserve rate cut.
[00:01:50.231 --> 00:01:52.894]  Also, cell phone tracking powers on request.
[00:01:53.315 --> 00:01:55.737]  Secret warrants ground up without probable cause.
[00:01:55.757 --> 00:01:56.919]  That's the Washington Post.
[00:01:57.399 --> 00:01:58.460]  End of the Fourth Amendment.
[00:01:58.740 --> 00:02:08.148]  The feds are also not just recruiting the police to be little secret federal agents and setting up CIA offices in major cities across the country to fight not just terror, but also crime.
[00:02:08.808 --> 00:02:13.692]  They are also, in the name of fighting crime, of course, keeping us all safe, just like the Fuhrer did.
[00:02:14.073 --> 00:02:16.635]  They're also recruiting firefighters to spy on you.
[00:02:16.975 --> 00:02:20.278]  And I love firefighters, firefighting men and women, and the great job they do.
[00:02:20.298 --> 00:02:22.940]  And it's sad to see them being brought into this system.
[00:02:23.480 --> 00:02:28.262]  Also, riot police arrest 150, a new anti-Putin demonstration.
[00:02:28.602 --> 00:02:34.405]  Demonstrations aren't allowed in Russia if you're against the government's policies, just like in many areas of the U.S.
[00:02:34.445 --> 00:02:35.285]  they're not allowed now.
[00:02:35.605 --> 00:02:40.127]  So I thought I'd illustrate that police state development over there, and how it mirrors with this nation.
[00:02:40.567 --> 00:02:52.692]  And the Houston Chronicle, as well as Houston television stations, KPRC, reported that they have, quote, secret drones surveilling the city, and the police department got very upset when the population learned
[00:02:53.132 --> 00:02:55.193]  of the secret drone operation.
[00:02:56.034 --> 00:03:10.083]  Vanity Fair has been sued in the US by a German organization, saying that they're not allowed to interview white supremacists, that that violates European laws.
[00:03:10.503 --> 00:03:12.524]  They're trying to bring US laws under it.
[00:03:12.564 --> 00:03:15.446]  Now, the article was against the white supremacists.
[00:03:16.529 --> 00:03:17.630]  I'm against them as well.
[00:03:18.590 --> 00:03:26.774]  But I have to say that this is a Hitlerian tactic to try to restrict free speech, but this is international law spilling over here.
[00:03:27.214 --> 00:03:30.615]  France is trying to use their laws against the Internet here in the U.S.
[00:03:30.956 --> 00:03:32.336]  and try to restrict the Internet.
[00:03:32.736 --> 00:03:34.457]  Because it is global, that may happen.
[00:03:34.897 --> 00:03:37.518]  This is all very serious attacks on the First Amendment.
[00:03:37.799 --> 00:03:45.542]  You know, toothless Klan members have a right to say whatever they want, as long as they don't hurt anybody, and I have a right to say they're toothless.
[00:03:46.383 --> 00:03:51.210]  But again, ladies and gentlemen, this is all part of restricting free speech.
[00:03:51.610 --> 00:03:57.138]  It has nothing to do with keeping you safe from all of the evil, wicked extremists that are out there.
[00:03:58.041 --> 00:04:02.323]  Also, the United Nations this week came out and said the ocean is dying.
[00:04:02.483 --> 00:04:04.644]  Only a global government can save you from that.
[00:04:05.004 --> 00:04:09.426]  I thought we'd look at their fear-mongering and integrate it in with another story here.
[00:04:09.586 --> 00:04:10.686]  Desperate measures.
[00:04:11.426 --> 00:04:14.488]  Women getting sterilized to save the earth.
[00:04:14.508 --> 00:04:17.749]  This is all part of the larger global population reduction push.
[00:04:18.209 --> 00:04:18.670]  We're good to go.
[00:04:39.666 --> 00:04:47.189]  And I thought I'd get into this whole mindset, this love of death and destruction that permeates not just Marilyn Manson, but the elite themselves.
[00:04:47.569 --> 00:04:58.614]  So we'll tell you what, women having themselves sterilized, the UN pushing for global government in the name of the earth, and Marilyn Manson with the child skeletons and more, how that all ties in together.
[00:04:59.779 --> 00:05:18.911]  Also, Hillary Clinton's getting a lot of heat, as Democrats learned that Fox News' Roger Ailes has been strategizing for her for five years, and that there have been a string of secretly arranged and publicly arranged huge fundraisers by Rupert Murdoch, who's given two-to-one to Hillary, as well as defense contractors and the Republican elite.
[00:05:19.232 --> 00:05:19.672]  That's right.
[00:05:19.692 --> 00:05:22.074]  They don't intend on any other Republican actually winning.
[00:05:22.674 --> 00:05:24.415]  Hillary is the aide to camp.
[00:05:24.475 --> 00:05:25.676]  She is the aide to come.
[00:05:26.056 --> 00:05:27.737]  She is the one they plan to install.
[00:05:28.077 --> 00:05:40.284]  Bush has been installing top former Clinton officials in the State Department and the Defense Department openly saying they're preparing for a passing of the baton to Herr Hitler.
[00:05:41.565 --> 00:05:42.646]  And I will be called a liberal.
[00:05:42.686 --> 00:05:45.567]  In fact, it's already starting because I'm against Hillary.
[00:05:45.627 --> 00:05:46.548]  I'm against gun control.
[00:05:46.588 --> 00:05:47.188]  I'm now liberal.
[00:05:47.649 --> 00:05:48.589]  I'm against open borders.
[00:05:48.649 --> 00:05:49.350]  I'm now liberal.
[00:05:49.770 --> 00:05:53.352]  This is the full taking over of the Republican Party
[00:05:53.972 --> 00:06:09.799]  Towards the tripling of government and total socialism and the destruction of our liberties and freedoms with a gaggle of mindless fake conservatives that just want to say they're Republican and festoon their vehicles with Republican bumper stickers but actually don't want to defend this Republic.
[00:06:10.739 --> 00:06:12.840]  So we'll be going over that too.
[00:06:13.160 --> 00:06:17.462]  But when we start the next segment I really want to talk just straight to you the listeners.
[00:06:18.533 --> 00:06:44.476]  I know we have millions of listeners that tune in on a weekly basis for the six days a week that I do, Monday through Friday and then of course Sundays, with this condensed two-hour transmission on Sundays, that I'm begging you as listeners out there to take a challenge, and I'm giving you a challenge, to not believe the claims I make and to not believe the things I say.
[00:06:45.160 --> 00:06:48.102]  And to actually go research the claims I make for yourself.
[00:06:48.142 --> 00:06:55.728]  It's quite easy to do with the advent of search engines and, well, even your public library is the kind of old school Google type system.
[00:06:56.069 --> 00:07:01.273]  Or for reporters out there with an even better system, the LexisNexis database out of Dallas.
[00:07:02.967 --> 00:07:09.649]  I know a lot of you have checked out what I have to say over the years, or you didn't check it out, but you saw everything I predicted come to pass, unfortunately.
[00:07:09.709 --> 00:07:10.649]  I wish I wasn't right.
[00:07:11.549 --> 00:07:24.493]  But for those of you, which are a sizable minority, but nonetheless millions, who have heard what I have to say and are out of hand, discounted, out of hand, say, oh, he exaggerates, or he lies, or he makes this stuff up.
[00:07:25.789 --> 00:07:35.731]  When I get up on air and I say that Bayer Pharmaceutical knowingly allowed AIDS virus for over 10 years in their factor VIII for hemophiliacs, knowing it would kill them,
[00:07:36.448 --> 00:07:37.769]  I've been saying that for four years.
[00:07:37.829 --> 00:07:39.250]  It's been in mainstream news, by the way.
[00:07:39.270 --> 00:07:42.351]  Do you think they wouldn't sue me if it wasn't true?
[00:07:43.232 --> 00:08:02.221]  Or, when I say that Prince Philip wrote a book about how he wants 80% of us to die, or UT professor Eric Pianka talked about how he wants 90% of us to die, or if I talk about the United Nations' own documents saying they want to exterminate 80% of us, and I report on those documents, I mean, I would be discredited.
[00:08:02.301 --> 00:08:03.242]  I would be debunked.
[00:08:03.931 --> 00:08:06.752]  The only thing the system can do to me is build straw men.
[00:08:07.932 --> 00:08:08.953]  They don't attack the man.
[00:08:09.013 --> 00:08:10.353]  They don't attack the ideas.
[00:08:10.693 --> 00:08:22.057]  They simply report things I didn't say, build straw men that are not me, that are not my ideas, or others' ideas, along similar lines, and then they attack those straw men.
[00:08:22.898 --> 00:08:25.578]  And that is the type of rigged game they play.
[00:08:27.099 --> 00:08:29.820]  But I do want you to listen to me very, very carefully.
[00:08:30.741 --> 00:08:44.747]  I cannot even articulate, I cannot in words express just how systemic and deep and deepening and accelerating this fall into hardcore corruption is right now.
[00:08:45.988 --> 00:08:52.991]  I'm begging you to look into it because if you stand up against corruption and get involved, even in small ways, it will reverse.
[00:08:53.031 --> 00:08:55.292]  It will first stop the trend, it attracts
[00:08:55.896 --> 00:09:01.979]  And then it will begin eroding and pushing it back the other way towards more liberty, more transparency, more freedom.
[00:09:03.459 --> 00:09:17.886]  And when we get back, I want to just briefly paint the picture for you of where our country's come from and where it's going and some of the key trends in the development of something far more serious than just the term police state.
[00:09:19.196 --> 00:09:19.757]  My friends.
[00:09:20.257 --> 00:09:22.398]  So we will break that down when we get back.
[00:09:22.418 --> 00:09:23.359]  We'll take phone calls.
[00:09:23.779 --> 00:09:29.623]  Then I will blast through all the news, the extinctionists, the anti-humanists, all of it.
[00:09:30.104 --> 00:09:31.285]  They call themselves the humanists.
[00:09:31.305 --> 00:09:32.505]  They're really the anti-humanists.
[00:09:33.086 --> 00:09:37.008]  It is all coming up in the next hour and 45 minutes.
[00:09:37.028 --> 00:09:44.394]  So whether you're listening to us in Los Angeles or Austin, Texas or Knoxville, Tennessee or upstate New York, they'll be right back.
[00:09:44.414 --> 00:09:44.814]  Stay with us.
[00:09:55.409 --> 00:09:56.789]  It is a big idea.
[00:09:56.809 --> 00:09:59.630]  It is a big idea.
[00:09:59.650 --> 00:10:01.751]  A new world order.
[00:10:02.471 --> 00:10:06.512]  In the near future, Earth is dominated by a powerful world government.
[00:10:06.612 --> 00:10:10.153]  It's known as the Bilderberg Group.
[00:10:10.193 --> 00:10:12.433]  Could their objective be world domination?
[00:10:12.973 --> 00:10:15.394]  For thousands of years, their dark order grew.
