[00:00:00.572 --> 00:00:01.913]  Welcome, ladies and gentlemen.
[00:00:01.913 --> 00:00:02.353]  Welcome.
[00:00:02.353 --> 00:00:03.834]  It is the sixth day of August 2007.
[00:00:03.834 --> 00:00:07.536]  We're going to be live here for the next three hours.
[00:00:07.536 --> 00:00:13.079]  We don't have any guests today because I want to be able to cover news and take your phone calls.
[00:00:13.079 --> 00:00:15.641]  The stock market is in serious decline right now.
[00:00:15.641 --> 00:00:26.047]  The dollar is in free fall again today, as well as the nation's second-largest mortgage lender declaring bankruptcy unexpectedly.
[00:00:26.047 --> 00:00:29.669]  And that's not because of people who are at risk.
[00:00:30.633 --> 00:00:35.096]  Uh, borrowers defaulting or slow paying.
[00:00:35.096 --> 00:00:41.820]  That is because of quote, main line people with good credit.
[00:00:41.820 --> 00:00:42.861]  Very serious.
[00:00:42.861 --> 00:00:45.242]  So the latest info is coming out on that minute by minute.
[00:00:45.242 --> 00:00:48.024]  We'll be covering that when we get back from break.
[00:00:48.024 --> 00:00:53.287]  Also, as if that isn't bad enough, we now have new details since I first covered this yesterday on the Sunday show we do now.
[00:00:54.668 --> 00:00:59.130]  Foot-and-mouth virus released from government laboratory in England.
[00:00:59.130 --> 00:01:06.094]  They did this last time and killed 8 million sheep, more than 2 million cows, and devastated most farms in the nation.
[00:01:06.094 --> 00:01:12.538]  This is all about control and quarantines and lockdowns, and they're even admitting the government did it again.
[00:01:12.538 --> 00:01:15.219]  I mean, and they just admit it and then roll forward.
[00:01:17.331 --> 00:01:22.756]  And folks, I see articles like this every day, but I usually don't see three or four or five in one day.
[00:01:22.756 --> 00:01:27.620]  There are five stories today.
[00:01:27.620 --> 00:01:35.546]  Headline, the Denver News Channel 7, ABC, fire crew bosses who can't speak Spanish are fired.
[00:01:35.546 --> 00:01:37.668]  Can't lose jobs.
[00:01:37.668 --> 00:01:38.789]  Another headline here.
[00:01:42.140 --> 00:01:45.243]  English speaker says the landlord's message is clear.
[00:01:45.243 --> 00:01:47.104]  No Spanish, you're kicked out.
[00:01:47.104 --> 00:01:50.147]  We don't want gringos here anymore.
[00:01:50.147 --> 00:01:52.609]  Here's another one, and this story is amazing.
[00:01:52.609 --> 00:01:55.091]  It's out of the Washington Times, but they spin it.
[00:01:55.091 --> 00:01:57.673]  The headline should be racial attack.
[00:01:57.673 --> 00:02:04.138]  Legal aliens fire into the facility, it's believed, and it turns into clerk blames firing on illegalist debate.
[00:02:04.770 --> 00:02:06.030]  He was wearing a U.S.
[00:02:06.030 --> 00:02:07.811]  Border Patrol baseball cap.
[00:02:07.811 --> 00:02:12.532]  They walked in, yelled at him, walked out, fired into the structure, and his boss said, hey, you shouldn't be wearing that.
[00:02:12.532 --> 00:02:14.233]  You're fired.
[00:02:14.233 --> 00:02:16.193]  And I have several more, folks.
[00:02:16.193 --> 00:02:19.954]  It's very, very serious.
[00:02:19.954 --> 00:02:22.695]  Also, they're finally getting you ready for the mass sanitariums.
[00:02:24.833 --> 00:02:37.340]  That has a popular connotation of mental institutions, but no, sanitarium generally, at least in this country, was mass facilities for those with TB where you could quietly die or convalesce.
[00:02:37.340 --> 00:02:40.381]  In Texas, TB lock-up!
[00:02:40.381 --> 00:02:44.163]  Rate of TB explodes exponentially!
[00:02:44.163 --> 00:02:50.486]  And you may love the illegal aliens, but when you're coughing your bloody lungs up, you're gonna remember.
[00:02:50.486 --> 00:02:51.307]  You're gonna remember.
[00:02:52.441 --> 00:03:00.065]  So, we'll be going over that as it exponentially, geometrically explodes.
[00:03:00.065 --> 00:03:17.993]  And now the media gets to spin it and get you to, easy, easy, easy, just let us load you, you old Mustang, onto the trailer, you're going to a nice place, and as soon as they throw that bolt, they just laugh and say, you're going to a nice Elmer's Glue factory!
[00:03:17.993 --> 00:03:19.774]  That's Roger Ailes and
[00:03:20.769 --> 00:03:23.410]  Rush Limbaugh and all of them.
[00:03:23.410 --> 00:03:25.551]  That's what Rupert Murdoch's all about.
[00:03:25.551 --> 00:03:30.153]  Just here to neutralize you long enough with phony conservative diatribe.
[00:03:30.153 --> 00:03:40.277]  Just long enough to throw that bolt.
[00:03:40.277 --> 00:03:43.518]  That's literally their spirit, ladies and gentlemen.
[00:03:43.518 --> 00:03:47.260]  American homophiles for bankruptcy after shutdown.
[00:03:48.320 --> 00:03:52.502]  No discussion of bailouts in the last few months as they knew this was coming.
[00:03:52.502 --> 00:03:57.824]  I said unexpected for us, but they knew it was expected.
[00:03:57.824 --> 00:04:00.605]  Oh yeah, we live in very interesting times right now.
[00:04:01.587 --> 00:04:06.609]  We're going to have all the latest financial news as it develops posted on JonesReport.com.
[00:04:06.609 --> 00:04:16.513]  Aaron Dice is in there feverishly posting stories, the latest index news that is from all over the place, grabbed from everywhere, and we've got a big report on this coming out later this evening.
[00:04:16.513 --> 00:04:18.074]  JonesReport.com, stay with us.
[00:04:24.833 --> 00:04:30.656]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:04:30.656 --> 00:04:38.299]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:04:39.002 --> 00:04:46.444]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:04:46.444 --> 00:04:58.187]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:04:58.187 --> 00:05:02.148]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:05:02.148 --> 00:05:04.409]  It's an anthology of government crimes.
[00:05:04.409 --> 00:05:08.250]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:05:08.851 --> 00:05:16.181]  Get your copy today on InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:05:22.609 --> 00:05:31.933]  Now, you can upgrade your existing gravity filter to remove chemicals such as triamethylenes, atrazine, benzene, chlorine, chloroform, and MTBE to below detectable limits.
[00:05:31.933 --> 00:05:43.498]  Black Berkey elements are so powerful, they remove pathogenic bacteria, cysts, and parasites to non-detectable levels, and transform water, even raw, stagnant pond water, into delicious, crystal-clear drinking water.
[00:05:43.498 --> 00:05:49.201]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum are no problem.
[00:05:49.541 --> 00:05:49.921]  I think?
[00:06:07.193 --> 00:06:09.236]  Elements get a 2-pack, only $99, or a 4-pack, only $188.
[00:06:09.236 --> 00:06:10.097]  Call New Millennium, 888-803-4438.
[00:06:10.097 --> 00:06:11.880]  That's 888-803-4438, or order on the web at Berkeywater.com.
[00:06:21.593 --> 00:06:23.555]  Hello, this is Amy Bjorklund.
[00:06:23.555 --> 00:06:31.103]  Thanks to a quantum leap in garlic research, the health benefits of 20 fresh garlic cloves are now available in one tiny capsule.
[00:06:31.103 --> 00:06:39.092]  With stabilized allicin, the proven power of garlic has been transformed into what is perhaps the most important medicinal product ever developed.
[00:06:39.092 --> 00:06:40.173]  And there's no odor.
[00:06:40.393 --> 00:06:50.478]  Stabilized Allicin gives you and your family a safe, natural weapon that kills harmful bacteria, viruses, and funguses, all without harming the friendly bacteria in the digestive tract.
[00:06:50.478 --> 00:06:58.982]  This means strong immunity, fewer and shorter colds, and the best possible protection from deadly diseases, none of which prescription drugs can offer.
[00:06:58.982 --> 00:07:04.545]  What's more, this product can deter mosquitoes from biting you and safely keep fleas and ticks off your pets.
[00:07:04.665 --> 00:07:11.768]  For more information, visit Garlic, the number 4, yourheart.com, or click on the banner at GCNlive.com.
[00:07:11.768 --> 00:07:15.830]  Or, call Amy personally at 805-595-2711.
[00:07:15.830 --> 00:07:18.511]  That's 805-595-2711.
[00:07:18.511 --> 00:07:29.316]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:07:29.316 --> 00:07:32.297]  It's Alex Jones and the GCN Radio Network.
[00:07:49.771 --> 00:07:50.752]  All right, welcome back.
[00:07:50.752 --> 00:08:02.280]  I'm so busy running around during the breaks, grabbing handfuls of news that I barely slid back into the catbird seat here in the cockpit, here in the crow's nest on time to get on air.
[00:08:05.470 --> 00:08:19.117]  Right now the Dow going down to 1320 went back up a paltry 70% or 75 points to 1325 right now.
[00:08:19.117 --> 00:08:31.043]  As the Federal Reserve and others at least make a cursory appearance of trying to bolster the market.
[00:08:31.043 --> 00:08:35.025]  I forgot to ask you, John, did you get that Jim Cramer freaking out this morning clip?
[00:08:36.283 --> 00:08:37.765]  Let's go ahead and play a few minutes of that.
[00:08:37.765 --> 00:08:38.045]  Here it is.
[00:08:54.721 --> 00:08:59.187]  And told everyone to take a teaser rate and then raised the rate 17 times?
[00:08:59.187 --> 00:09:01.469]  And Bernanke is being an academic!
[00:09:01.469 --> 00:09:03.692]  It is no time to be an academic!
[00:09:03.692 --> 00:09:06.055]  It is time to get on the Bear Stearns call!
[00:09:06.055 --> 00:09:06.816]  Listen!
[00:09:06.816 --> 00:09:08.638]  Open the darn Fed window!
[00:09:08.638 --> 00:09:10.841]  He has no idea how bad it is out there!
[00:09:10.841 --> 00:09:12.443]  He has no idea!
[00:09:12.443 --> 00:09:13.705]  He has no idea!
[00:09:14.622 --> 00:09:15.142]  Kramer.
[00:09:15.142 --> 00:09:21.728]  I have talked to the heads of almost every single one of these firms in the last 72 hours, and he has no idea what it's like out there!
[00:09:21.728 --> 00:09:22.609]  None!
