[00:00:00.129 --> 00:00:05.450]  Television, but I had once or twice actually seen the television show because it's very popular.
[00:00:05.450 --> 00:00:09.932]  One of the most popular on cable, on FX, Rescue Me.
[00:00:09.932 --> 00:00:11.392]  The star of Rescue Me.
[00:00:11.392 --> 00:00:14.093]  And he plays the fireman Franco on the program.
[00:00:14.093 --> 00:00:17.874]  And he's had a lot of other roles, of course, in television and movies.
[00:00:17.874 --> 00:00:22.135]  But the point is, he has the courage to go public on 9-11.
[00:00:22.135 --> 00:00:27.476]  You know, frankly, Kurt Vonnegut didn't
[00:00:29.829 --> 00:00:40.131]  It was never clear if Kurt Vonnegut wanted his views on 9-11 to be public, so I didn't make his full views that have been relayed to me and through him to me on 9-11.
[00:00:40.131 --> 00:00:43.892]  As we put a story out yesterday about, was Kurt Vonnegut a 9-11 truther?
[00:00:43.892 --> 00:00:48.673]  The headline probably should have been, Kurt Vonnegut was a 9-11 skeptic.
[00:00:48.673 --> 00:00:53.954]  I found out that he'd seen my films by one of his business partners, his associate.
[00:00:53.954 --> 00:00:55.175]  Then I got in contact with him.
[00:00:55.175 --> 00:00:57.115]  I sent him more of my films per request.
[00:00:57.985 --> 00:01:04.793]  And Kurt Vonnegut then sent me a signed, you know, one of his lithograph paintings of the open birdcage.
[00:01:04.793 --> 00:01:08.858]  You know, the freedom of the mind, I guess, or freedom of the soul is what it symbolizes, he said.
[00:01:08.858 --> 00:01:10.420]  Or just, you know, freedom.
[00:01:11.190 --> 00:01:13.631]  And, you know, hand signed.
[00:01:13.631 --> 00:01:18.872]  I just felt like, you know, the guy died two days ago, it was public yesterday, and that's important historically.
[00:01:18.872 --> 00:01:33.836]  I mean, he said the only difference between Bush, this is an exact quote, the only difference between Bush and Hitler is that Hitler was elected, and he was elected the President, and then he became President and Chancellor, abolished those offices for the office of the Führer.
[00:01:33.836 --> 00:01:36.097]  When von Hindenburg died, he became the Chancellor as well.
[00:01:37.438 --> 00:01:49.794]  So, yes, bottom line, Kurt Vonnegut, another, you know, just an icon, was investigating 9-11 and I can tell you knew that it certainly wasn't what we were told.
[00:01:49.794 --> 00:01:52.978]  But I'm going to leave it at that because some of that stuff that was relayed to me was private.
[00:01:55.592 --> 00:01:58.453]  We deserve to know that, so I'm going to leave it at that.
[00:01:58.453 --> 00:02:00.893]  There were a few skeptics on the message board going, what are you doing?
[00:02:00.893 --> 00:02:02.414]  What are you posting this for?
[00:02:02.414 --> 00:02:10.075]  You know, so you claim he sent you this letter and he sent you this, this, uh, you know, little picture, hand sign.
[00:02:10.075 --> 00:02:11.596]  Oh, I bet.
[00:02:11.596 --> 00:02:17.957]  Well, folks, I mean, it's really true that James Brolin's gone public on 9-11 and Rosie O'Donnell and Charlie Sheen and
[00:02:18.837 --> 00:02:25.225]  And frankly, if I told you the people that I know personally that know about 9-11, it even dwarfs those huge celebrities.
[00:02:25.225 --> 00:02:36.498]  Of the top five biggest people in Hollywood, I've personally talked to three of the biggest, okay, who've known for years it's an inside job, but they're not going to go public, and I'm not going to blow their cover.
[00:02:36.498 --> 00:02:37.479]  But I'm going to shut up about that.
[00:02:39.012 --> 00:02:45.355]  Daniel Sanjata has incredible courage, and he joins us now via cell phone.
[00:02:45.355 --> 00:02:47.336]  Are you in Chicago or Los Angeles?
[00:02:47.336 --> 00:02:49.638]  I'm actually in New York City right now.
[00:02:49.638 --> 00:02:50.738]  You're in New York right now.
[00:02:50.738 --> 00:02:53.780]  Well, thanks for listening for three minutes while I babble.
[00:02:53.780 --> 00:03:06.046]  Tell us a little bit about yourself, about your TV show, why you like playing the fireman, some of the easy stuff up front, and then how you woke up to 9-11, and what you think happened, and what the repercussions have been of going public.
[00:03:06.659 --> 00:03:07.340]  Sure.
[00:03:07.340 --> 00:03:11.462]  Well, you know, there really haven't been too many repercussions at this point, Alex.
[00:03:11.462 --> 00:03:23.630]  I think I'm a small enough fish in the pond that my coming out publicly about 9-11 being an inside job has not created any, you know, tremendous, you know, seismic disturbances.
[00:03:23.630 --> 00:03:30.794]  But I did want to say, though, I think it really is getting to a point where it's... I don't know the quote exactly.
[00:03:30.794 --> 00:03:33.276]  I've heard you say it many, many times, though, that
[00:03:33.963 --> 00:03:40.127]  And I'm hoping that you can repeat it for my benefit and maybe for the benefit of your audience members who might also not remember it.
[00:03:40.127 --> 00:03:45.790]  Something about when a patriot first speaks out, it's something that's dangerous.
[00:03:45.790 --> 00:03:46.790]  Sure, it's Mark Twain.
[00:03:46.790 --> 00:03:56.336]  I usually flummox it myself, but the full quote is, a patriot in the beginning is a scarce man, hated and feared and scorned.
[00:03:56.336 --> 00:04:01.339]  But in time, when his cause succeeds, the timid join him, because then it costs nothing to be a patriot.
[00:04:01.339 --> 00:04:01.979]  That was Mark Twain.
[00:04:02.657 --> 00:04:04.258]  Amen, amen to that.
[00:04:04.258 --> 00:04:18.543]  I think it really is getting to the point where it's, I wouldn't say it's getting to the point where it may cost nothing to be a patriot, but it certainly seems like it's getting to that very critical tipping point where speaking out about 9-11 truth is something that's becoming almost popular to do.
[00:04:19.176 --> 00:04:21.137]  And I don't know what exactly it is.
