[00:00:00.169 --> 00:00:02.090]  ...until 45 after.
[00:00:02.090 --> 00:00:05.291]  Jim Tucker, thank you for coming on, my friend.
[00:00:05.291 --> 00:00:06.712]  It's always fun.
[00:00:06.712 --> 00:00:09.493]  I'm glad that they were able to get all that, uh, squirrel together.
[00:00:09.493 --> 00:00:14.015]  Uh, yeah, the, the crats have been hopping like bunny rabbits.
[00:00:14.015 --> 00:00:19.698]  Well, I know we were gonna do this in your room, but I guess somebody thought of the idea to have you do it from the roof, huh?
[00:00:19.698 --> 00:00:26.501]  Uh, yeah, uh, so we're at the top of the, uh, rooftop restaurant here.
[00:00:27.344 --> 00:00:28.184]  Well, fantastic.
[00:00:28.184 --> 00:00:33.966]  Jim Tucker, tell us exactly where you are, in or around Istanbul.
[00:00:33.966 --> 00:00:38.508]  I'm told that you're overlooking the hotel where the Bilderberg meeting is being held.
[00:00:38.508 --> 00:00:41.569]  Please give us the details.
[00:00:41.569 --> 00:00:47.330]  Well, I'm at the Orient, here in Italy.
[00:00:53.120 --> 00:00:57.023]  Still going emotionally, but I forgot where I am, but I'm in Turkey.
[00:00:57.023 --> 00:01:00.606]  I know, you've been interrogated, they're running around with wiring all around you, I understand.
[00:01:00.606 --> 00:01:04.410]  This has been a better interviewer in your room, but fine, let them have their way.
[00:01:04.410 --> 00:01:06.111]  It'll make good radio.
[00:01:06.111 --> 00:01:12.556]  But just trying to get the report here, did it end up being at the hotel where your source thought it would be?
[00:01:12.556 --> 00:01:15.899]  Still not 100% pinned down.
[00:01:15.899 --> 00:01:21.584]  We were at the... What was that hotel we were at this morning?
[00:01:22.859 --> 00:01:28.463]  Well, it's Carlton, and it looked like a typical Bilderberg scenario.
[00:01:28.463 --> 00:01:30.165]  They had the armed guards all around the place.
[00:01:30.165 --> 00:01:31.706]  We went all the way around the building.
[00:01:31.706 --> 00:01:37.370]  They had platoons of cops in formation waiting for the disbursement.
[00:01:37.370 --> 00:01:51.120]  They also had cops all the way around the building, and they had all those high-tech things where every member can hear whatever spoken in any language instantly translated into his own language.
[00:01:52.026 --> 00:01:52.126]  So
[00:02:22.526 --> 00:02:34.674]  There, uh, so we feel, uh, tilted toward the Ritz-Carlton as the scene of the crime now, but we will check out the classes in case.
[00:02:34.674 --> 00:02:38.516]  And they've never met in two places at the same time before.
[00:02:38.516 --> 00:02:45.360]  And that was typically a Bilderberg formation with all those armed guards surrounding the Ritz-Carlton today.
[00:02:45.360 --> 00:02:50.784]  So I think I would get, my favorite guess would be that Bilderberg is lying, which they're very good at.
[00:02:51.536 --> 00:02:54.679]  They've had a practice for more than half a century.
[00:02:54.679 --> 00:02:59.143]  And the Ritz-Carlton, we're just going to try to nail it all the way down.
[00:02:59.143 --> 00:03:08.851]  Has it ever been this far down to the wire where it's about to start tomorrow and you still aren't sure exactly where it is?
[00:03:08.851 --> 00:03:11.634]  Really never this close.
[00:03:11.634 --> 00:03:16.318]  The closest we came was some years ago when I was at the
[00:03:17.423 --> 00:03:24.549]  Men's Bar at the National Press Club in Washington with my other pair of socks in one suitcase and my good old Remington Tiefighter in the other.
[00:03:24.549 --> 00:03:30.173]  And we knew it'd be Brussels area, but not exactly where.
[00:03:30.173 --> 00:03:43.884]  Our Washington sources from the Eagles for many years were the Bilderberg Luminaries, called just in time to say it would be the something Duloc, which was about 20 miles out of town.
[00:03:46.893 --> 00:03:51.778]  Uh, we're able to call the newspaper back and get the update on the precise location.
[00:03:51.778 --> 00:04:03.751]  Well, there's no doubt that, I mean, there's no doubt that you're going to find the location, but generally, have you ever seen them having phalanxes of troops and police and guards and buildings blocked off without that being the spot?
[00:04:03.751 --> 00:04:08.716]  I mean, do you think they go to that elaborate trouble to have a decoy building with that type of security?
[00:04:11.482 --> 00:04:17.366]  That's exactly why I think they lied to the reporters that it would be the flash system calls.
[00:04:17.366 --> 00:04:23.990]  In addition to all the other evidence, we had my two personal cops following me today.
[00:04:23.990 --> 00:04:30.634]  I was not aware of it because my nose was always sticking to the camera and my jaws were always flapping.
[00:04:30.634 --> 00:04:36.878]  But the TV crew said, those guys are going to follow you in their car.
[00:04:36.878 --> 00:04:40.340]  Follow us out to the hotel.
[00:04:41.548 --> 00:04:53.912]  Then they identified the two cops in plainclothes, not business suits, but sports shirts and so forth, who were my cops, so I went over to tell them how bad I was for shooting and so forth.
[00:04:53.912 --> 00:05:01.174]  They gave a silly little grin, typical, and followed us to the protest rally at the Taxi
[00:05:04.853 --> 00:05:06.355]  Square or something like that.
[00:05:06.355 --> 00:05:07.276]  Jim, stay there.
[00:05:07.276 --> 00:05:14.202]  I want to keep you until 45 after the bottom of the hour if we can because the interview got going a little bit late.
[00:05:14.202 --> 00:05:16.164]  I want to give you some breaking news.
[00:05:16.164 --> 00:05:23.211]  Governor Rick Perry, kind of the heir to be for George Bush many have said from right here in Texas.
