[00:00:00.289 --> 00:00:01.570]  GCN Radio Network.
[00:00:07.315 --> 00:00:07.996]  Big Brother.
[00:00:08.637 --> 00:00:09.717]  Mainstream media.
[00:00:10.398 --> 00:00:11.619]  Government cover-ups.
[00:00:12.180 --> 00:00:13.000]  You want answers?
[00:00:13.741 --> 00:00:14.682]  Well, so does he.
[00:00:15.282 --> 00:00:19.106]  He's Alex Jones on the GCN Radio Network.
[00:00:19.486 --> 00:00:23.570]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.112 --> 00:00:50.015]  Well, I remember interviewing him about 12 years ago, and I've interviewed him off and on since then, but it's been a couple years since I've had him on, and he's a retired FBI agent.
[00:00:50.055 --> 00:00:51.255]  He was the head of the L.A.
[00:00:51.895 --> 00:00:53.736]  sector, also the head of the Dallas sector.
[00:00:54.682 --> 00:00:57.883]  He'll be joining us coming up in the second hour.
[00:00:57.963 --> 00:00:59.463]  He's Ted Gunderson.
[00:00:59.483 --> 00:01:07.366]  He'll talk about a host of issues, government-sponsored terror, government child kidnapping rings, and much, much more.
[00:01:07.446 --> 00:01:16.348]  That is... Coming up in the second hour today, we'll also have open phones for that guest.
[00:01:19.809 --> 00:01:20.909]  Here we are, my friends.
[00:01:21.009 --> 00:01:22.550]  It is the ninth day of August 2000.
[00:01:24.245 --> 00:01:34.955]  And seven, and here is the mighty stack of news that I have in front of me, AT&T censor anti-Bush lyrics during live broadcasts.
[00:01:34.995 --> 00:01:45.064]  This is the level of control and censorship in place over broadcast TV and internet transmissions, because AT&T is the National Security Agency.
[00:01:45.965 --> 00:01:46.685]  They are the NSA.
[00:01:49.169 --> 00:02:08.222]  9-1-1 Commission ignored firefighters' accounts of explosions inside WTC7, WeAreAtChange.org, and the Loose Change crew together did an interview with another New York City firefighter who hasn't yet spoken out, now has, and it's a 49-minute interview.
[00:02:08.262 --> 00:02:09.683]  It's up on PrisonPlanet.com.
[00:02:09.983 --> 00:02:12.204]  We're going to read over some of the excerpts of the interview.
[00:02:12.244 --> 00:02:18.148]  That's important news as the 9-11 cover-up continues to implode in on itself.
[00:02:20.507 --> 00:02:26.170]  The biggest, one of the biggest French banks has frozen its accounts and basically shut down.
