[00:00:00.149 --> 00:00:00.429]  EANS.
[00:00:01.529 --> 00:00:04.650]  And thanks to Inventech, no one's gonna cash in but me!
[00:00:05.010 --> 00:00:08.751]  They're going to help me get my invention off the drawing board and into the marketplace!
[00:00:09.091 --> 00:00:10.511]  I really need Inventech.
[00:00:10.791 --> 00:00:11.852]  What's that number again?
[00:00:11.872 --> 00:00:11.952]  1-800-313-6868.
[00:00:12.372 --> 00:00:12.992]  One more time?
[00:00:13.012 --> 00:00:13.172]  Call 1-800-313-6868.
[00:00:13.192 --> 00:00:13.492]  That's 1-800-313-6868.
[00:00:30.326 --> 00:00:39.588]  Thank you for listening to GCN.
[00:00:39.828 --> 00:00:40.489]  Big Brother.
[00:00:41.149 --> 00:00:42.209]  Mainstream media.
[00:00:42.909 --> 00:00:44.009]  Government cover-ups.
[00:00:44.670 --> 00:00:45.490]  You want answers?
[00:00:46.250 --> 00:00:47.150]  Well, so does he.
[00:00:47.810 --> 00:00:51.591]  He's Alex Jones on the GCN Radio Network.
[00:00:51.991 --> 00:00:54.332]  And now, live from Austin, Texas,
[00:00:55.232 --> 00:00:55.932]  Alex Jones.
[00:00:55.952 --> 00:00:56.393]  I have returned.
[00:00:56.413 --> 00:00:57.753]  It is the 22nd day of January 2007.
[00:00:57.833 --> 00:01:02.115]  We'll be transmitting worldwide live for the next three hours and we have absolutely no guest today.
[00:01:02.135 --> 00:01:05.776]  By design, because I wish to be able to cover all the news that developed while I was gone for a week,
[00:01:25.829 --> 00:01:41.516]  And the latest developments that are unfolding in the last couple days, including Hillary Clinton, new battle plans for Iran, much more expansive than we were originally told, and much, much more.
[00:01:42.697 --> 00:01:45.598]  We do have Hutton Gibson joining us tomorrow.
[00:01:45.618 --> 00:01:51.901]  He hasn't done an interview on the radio since the Passion of the Christ came out, what, in 2004?
[00:01:52.421 --> 00:01:54.422]  So it's been about two and a half
[00:01:55.419 --> 00:02:03.182]  Uh, years since Hutton Gibson has done an interview and, uh, he will be, uh, going back on the airwaves.
[00:02:04.202 --> 00:02:11.604]  We're honored that he has chosen this program, uh, to go public on several different issues.
[00:02:12.785 --> 00:02:16.686]  And that will be taking place tomorrow in the second hour.
[00:02:17.395 --> 00:02:32.900]  I'm also working on getting Congressman Ron Paul, who graciously visited with Phil and host Jack Blood last week here on this broadcast, on for a full hour in the near future to talk more about his presidential run, his exploratory committee.
[00:02:33.460 --> 00:02:45.864]  We have Aaron Russo undergoing cancer treatment in Houston, coming back on with us on Thursday for a full hour to talk about Ron Paul's presidential run, and a lot more.
[00:02:46.787 --> 00:02:48.348]  So that's just some of what's coming up this week.
[00:02:48.368 --> 00:02:53.172]  We're also working on getting Darja Maul on to cover the latest developments in Iraq.
[00:02:53.192 --> 00:02:56.374]  So a lot of big guests coming up this week.
[00:02:57.695 --> 00:03:01.718]  I gotta tell ya, it's like I live on an alien planet or something.
[00:03:02.098 --> 00:03:03.219]  I love Austin, Texas.
[00:03:03.239 --> 00:03:04.560]  This is where my mom's from.
[00:03:04.580 --> 00:03:07.922]  My family, of course, here from Texas going back almost eight generations.
[00:03:08.603 --> 00:03:12.866]  And I don't think I'll ever leave Texas, but I'm tempted to because I left town for a week.
