[00:00:00.741 --> 00:00:02.162]  News on the hour.
[00:00:03.463 --> 00:00:04.823]  On the half hour.
[00:00:04.923 --> 00:00:05.804]  When it breaks.
[00:00:06.224 --> 00:00:07.185]  When it breaks.
[00:00:07.905 --> 00:00:08.866]  He stands for truth.
[00:00:08.926 --> 00:00:11.267]  He stands for justice.
[00:00:11.307 --> 00:00:13.448]  He stands for what's right.
[00:00:13.588 --> 00:00:16.210]  This is the Alex Jones Show.
[00:00:30.089 --> 00:00:32.990]  Call Alex now, toll free at 877-590-5525.
[00:00:33.050 --> 00:00:36.691]  Now live from Austin, Texas, here's Alex Jones.
[00:00:47.529 --> 00:00:53.391]  It is the first live broadcast for myself on the new weekend show I'm doing.
[00:00:53.932 --> 00:00:55.072]  Sundays 4 to 6 p.m.
[00:00:55.132 --> 00:00:55.572]  Central.
[00:00:56.073 --> 00:00:59.374]  Syndicated out of the studios of NewsRadio 590 KLBJ.
[00:00:59.794 --> 00:01:01.595]  Here deep in the heart of Texas.
[00:01:02.335 --> 00:01:03.255]  Welcome to everyone.
[00:01:03.275 --> 00:01:06.737]  I'm going to take a lot of your phone calls today, this afternoon, this evening.
[00:01:06.757 --> 00:01:07.157]  877-590-5525.
[00:01:07.177 --> 00:01:08.037]  Locally in Central Texas.
[00:01:08.057 --> 00:01:08.077]  836-0590.
[00:01:08.177 --> 00:01:09.538]  And we'll get you up and on the air.
[00:01:18.015 --> 00:01:24.643]  Well, Israel, the Times of London is reporting today, plans to attack Iran's sites with nuclear weapons.
[00:01:24.663 --> 00:01:31.851]  I'm sure that will please a lot of people who can just simply repeat glass parking lot over and over again as their Vedic chant.
[00:01:32.232 --> 00:01:33.974]  Of course, they can't find Iran on a map.
[00:01:34.915 --> 00:01:38.597]  They wouldn't like to be nuked, but it's like the Nazis.
[00:01:38.637 --> 00:01:47.022]  They wanted to kill people too, and they loved their government, and they worshipped, they thought it was manly to kill people in masses, and so you'll probably get what you want.
[00:01:47.042 --> 00:01:49.623]  You'll probably get your nuking of Iran.
[00:01:50.244 --> 00:01:51.564]  We'll be going over that.
[00:01:52.025 --> 00:01:56.227]  Also, Bush, government can open your mail here in the U.S.
[00:01:56.267 --> 00:01:57.068]  without warrants.
[00:01:57.608 --> 00:01:58.528]  I totally agree.
[00:01:59.949 --> 00:02:02.911]  It's great that in third world countries they always read your mail.
[00:02:03.571 --> 00:02:06.734]  Just a few months ago, they were swearing they weren't spying on citizens.
[00:02:07.174 --> 00:02:10.597]  And then, of course, okay, we're spying on you, but only when you're talking to Al-Qaeda.
[00:02:10.957 --> 00:02:18.544]  And then, okay, we're spying on everything, including every purchase you make, and when you go and you get a prescription, it's instantly uploaded.
[00:02:19.004 --> 00:02:24.248]  Oh, and by the way, Google microphones and cameras on your computer are watching everything you do and logging it all.
[00:02:26.469 --> 00:02:26.950]  I'm sorry.
