[00:00:05.607 --> 00:00:06.849]  Welcome back!
[00:00:23.363 --> 00:00:35.048]  The American people don't want war, the people of the world don't want war, but the elites do, and the wars really are waged against the internal populations more than they are against even foreign nations.
[00:00:35.048 --> 00:00:46.112]  The attack on Iraq is about profit, it's about a police state, it's about domestic control, just as much as it's about seizing control of trillions of oil and hundreds of billions in no-bid weapons contracts.
[00:00:46.112 --> 00:00:50.494]  Charles, Jeff, Steve, Steve and many others that are holding, we'll go to your calls here in just about
[00:00:50.994 --> 00:01:00.241]  Ten minutes, but I wanted to get Cindy Sheehan on because there's been comments like, you know, good riddance, attention whore, and Drudge carried that headline.
[00:01:00.241 --> 00:01:07.647]  Her son died, and I remember interviewing Cindy before the Democratic Party basically co-opted her, or tried to.
[00:01:07.647 --> 00:01:16.094]  I remember whenever she was really first on this show, and shows on Genesis, when she was speaking out about the fraud that is the war.
[00:01:17.009 --> 00:01:25.955]  And so they've tried to destroy her work and her son's memory and what she's done, just like they're now claiming Rosie O'Donnell was fired when it's admitted she wasn't fired.
[00:01:25.955 --> 00:01:27.696]  She left the show because of censorship.
[00:01:27.696 --> 00:01:34.240]  They want to destroy the fact, that's another news story today, that she boldly stood up for her convictions.
[00:01:34.240 --> 00:01:38.102]  Fox News and the Pentagon, that's who runs Fox, wanted to take that away.
[00:01:38.974 --> 00:01:40.797]  And so joining us is Cindy Sheehan.
[00:01:40.797 --> 00:01:48.128]  She's saying she's not giving up, is the headline that I'm reading here, but that she's just getting out of the so-called peace movement.
[00:01:49.008 --> 00:01:50.869]  The co-opted Democratic Party.
[00:01:50.869 --> 00:01:55.011]  Look, as long as anti-war is a set piece for political power, it's okay.
[00:01:55.011 --> 00:01:59.613]  But now, we've got to get position for Hillary to come in and warmonger into Iran.
[00:01:59.613 --> 00:02:03.154]  And so, I've heard locals talk about how bad she is.
[00:02:03.154 --> 00:02:10.037]  Oh, they loved her a year ago, but Cindy Sheehan, she's not good, which shows us that both parties are controlled.
[00:02:10.037 --> 00:02:12.278]  Cindy Sheehan, thanks for coming on with us.
[00:02:12.278 --> 00:02:13.138]  Oh, thank you, Alex.
[00:02:13.138 --> 00:02:14.419]  It's great to talk to you again.
