[00:00:00.529 --> 00:00:06.872]  Listening to GCN.
[00:00:07.132 --> 00:00:07.792]  Big Brother.
[00:00:08.452 --> 00:00:09.493]  Mainstream media.
[00:00:10.213 --> 00:00:11.553]  Government cover-ups.
[00:00:11.974 --> 00:00:12.794]  You want answers?
[00:00:13.554 --> 00:00:14.435]  Well, so does he.
[00:00:15.115 --> 00:00:18.696]  He's Alex Jones on the GCN Radio Network.
[00:00:19.296 --> 00:00:23.338]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.094 --> 00:00:27.035]  Well, it is the 30th day of March, 2007.
[00:00:27.155 --> 00:00:30.377]  Three months of this supposed new year have already elapsed.
[00:00:30.457 --> 00:00:31.977]  Three months have blasted past us.
[00:00:49.844 --> 00:01:02.094]  And we are now into the final days of the Ides of March, and we conveniently have massive war fleets that have built up in the Persian Gulf and surrounding areas.
[00:01:02.134 --> 00:01:14.044]  We have a convenient group of British commandos that have been captured, and now it's come out that the British rewrote the lines.
[00:01:14.704 --> 00:01:19.168]  Now, there'd always been territorial disputes between the Iranians and the Iraqis there,
[00:01:22.415 --> 00:01:29.281]  But this new map that the British wrote even went past those disputes.
[00:01:29.501 --> 00:01:35.406]  So, in the lawyer double-think world, it's true, the British were in Iraqi waters.
[00:01:37.548 --> 00:01:42.172]  Of course, with the admitted maps that have been agreed upon,
[00:01:43.380 --> 00:02:10.184]  uh... even in the split the agreed upon waters both sides claim a little bit more uh... they were clearly in iranian waters but that won't matter and in a few years it'll come out in the media that indeed the british were in the iranian waters and it won't matter just like it'll it came out that they were not throwing babies out of incubators in Kuwait and it came out that those were not mobile weapons trucks in nineteen uh...
[00:02:12.083 --> 00:02:22.950]  Nineties that were sold to Saddam by the British, and that in 2003 they claimed were mobile anthrax trucks, and there were never any WMDs.
[00:02:23.050 --> 00:02:23.910]  It all comes out.
[00:02:24.030 --> 00:02:24.911]  It doesn't matter.
[00:02:24.991 --> 00:02:30.074]  The next fraud, or three or four frauds, would have been launched since then.
[00:02:32.135 --> 00:02:32.755]  And it won't matter.
[00:02:32.775 --> 00:02:35.397]  There'll be lots of criminals on television
[00:02:36.110 --> 00:02:51.501]  Posing and wrapping themselves in the flag and saying they support the troops and anyone that doesn't support sticking the troops into new meat grinders is un-American and hates the troops when we're not the ones sending them into a lie, sending them into a fraud.
[00:02:52.381 --> 00:03:04.510]  You gotta love the criminals that run the media and the government and the military who give experimental deadly shots to our troops and who put them into harm's way with depleted uranium without proper protection.
[00:03:05.911 --> 00:03:18.160]  Who lie to the troops and tell them they're going to be home over and over and over again and have automatic re-ups and stop-loss, which is a draft for those who have already served.
[00:03:18.500 --> 00:03:27.827]  You've got to love how they puff up and sit up there on television all arrogantly talking about how they're the patriots and we're not the patriots.
[00:03:28.608 --> 00:03:32.391]  No, it is the rat scum in the Republican and Democratic parties
[00:03:33.231 --> 00:03:42.550]  That have completely dismantled our borders, our sovereignty, our laws, our Bill of Rights, and that have destroyed our name around the world.
[00:03:45.493 --> 00:04:04.148]  And it is so disgusting to watch them up there on their high horses fooling these mind-numbed couch potatoes that sit there in their easy chairs watching Fox News thinking that everything's okay and that America's still in place and that they're the good old boys and everything's alright.
[00:04:04.528 --> 00:04:06.190]  Let me give you a news flash.
[00:04:07.330 --> 00:04:11.154]  Fox News is Justice Department slash Pentagon run.
[00:04:11.734 --> 00:04:12.655]  So is CNN.
[00:04:12.695 --> 00:04:14.357]  It just gives you the fake liberal brand.
[00:04:14.697 --> 00:04:16.959]  They're there to destroy this country.
[00:04:17.319 --> 00:04:19.021]  Mission number one.
[00:04:19.321 --> 00:04:22.164]  And they've done an excellent job of it.
[00:04:23.966 --> 00:04:26.228]  An excellent job of it.
[00:04:27.967 --> 00:04:46.450]  And so, when you're bankrupt and they've taken your bank account, and there's been run-on banks, when they finally tell you that your money's not worth a red cent, you just remember, and you go grab a plastic flag, and you wrap yourself in it, and you see how warm that keeps you when the winter comes and you don't have any heat.
[00:04:48.442 --> 00:04:58.287]  You just wrap that desecrated flag around you, and you get in a fetal position, and you lay there in front of your television set if it's still got power, and you just bow down to Bill O'Reilly.
[00:04:58.908 --> 00:04:59.208]  Okay?
[00:05:05.936 --> 00:05:07.817]  It's here, after a year in production.
[00:05:08.257 --> 00:05:09.958]  Government is best, which governs least.
[00:05:10.118 --> 00:05:11.379]  Wake up and smell the fascism.
