[00:00:07.018 --> 00:00:08.759]  Welcome back, ladies and gentlemen.
[00:00:08.759 --> 00:00:12.962]  Dave Mustaine of Megadeth, one of the top rock bands out there.
[00:00:12.962 --> 00:00:17.005]  Formerly with Metallica as well, will be joining us in the next hour.
[00:00:17.005 --> 00:00:19.166]  He has gone anti-New World Order.
[00:00:19.166 --> 00:00:23.169]  His whole new album is all about the New World Order and how he must defeat it.
[00:00:23.169 --> 00:00:26.071]  And we have one of the top guys, of course, from Duran Duran on a week ago.
[00:00:27.268 --> 00:00:34.011]  It's just everybody is starting to wake up and one of the people driving that is the Ron Paul revolution.
[00:00:34.011 --> 00:00:51.577]  And the doctor, the Vietnam veteran, the family man, the father, the congressman with the best voting record in modern US history, the guy that would get us out of the United Nations, the man that would abolish the Federal Reserve, the person that would put us back on to sound money principles,
[00:00:52.483 --> 00:00:57.408]  He is definitely the medicine this ailing country needs is Congressman Ron Paul.
[00:00:57.408 --> 00:01:04.755]  And they just raised a record five plus million dollars in the last quarter, dwarfing what many of the other top tier candidates made.
[00:01:04.755 --> 00:01:08.019]  They're now six to one in major Las Vegas odds with a trajectory
[00:01:08.719 --> 00:01:13.961]  Of winning if his growth rate in the next 50 to 90 days continues.
[00:01:13.961 --> 00:01:15.081]  This is it.
[00:01:15.081 --> 00:01:18.442]  I want to see everybody intensify your giving.
[00:01:18.442 --> 00:01:20.123]  I see yard signs all over.
[00:01:20.123 --> 00:01:21.123]  When I'm in L.A.
[00:01:21.123 --> 00:01:24.004]  or New York, I see signs, Ron Paul signs up.
[00:01:24.004 --> 00:01:25.585]  When I'm in Dallas, I see them.
[00:01:25.585 --> 00:01:28.346]  They're all around my business, where I'm based.
[00:01:28.346 --> 00:01:31.767]  Congressmen, we salute you, and I salute everybody that's supporting you.
[00:01:31.767 --> 00:01:37.209]  This Ron Paul revolution is just absolutely going into overdrive.
[00:01:37.918 --> 00:01:43.182]  Well, thank you, and we have to salute all those supporters who have endorsed these views in the Constitution.
[00:01:43.182 --> 00:01:53.950]  That's what really is at stake here, and I'm so pleased to find out that our strength is that good, you know, and that there are that many people who care, so there's reason to be optimistic.
[00:01:53.950 --> 00:01:57.432]  This is a lot better than you even thought it was going to be, Congressman.
[00:01:57.432 --> 00:01:59.034]  What did you think on
[00:02:00.169 --> 00:02:10.021]  Well, I always think there's, you know, that you can't predict the future and therefore I never say, oh, you can't win or I will win, so I sort of avoid the two extremes.
[00:02:17.510 --> 00:02:21.232]  But I would say that it's doing much better than I had anticipated.
[00:02:21.232 --> 00:02:26.455]  I was rather cynical about it all, because you and others have always said, run, run, run.
[00:02:26.455 --> 00:02:32.138]  And I said, well, I don't know if our numbers are strong enough, and I don't know whether the young people will rally.
[00:02:32.138 --> 00:02:36.920]  So I was too pessimistic, and there were more people who were already informed.
[00:02:38.161 --> 00:02:41.184]  I'm really impressed by how many new people come in.
[00:02:41.184 --> 00:02:47.830]  The new people are flocking to us, and I think this means that the young people are a lot smarter than we give them credit for.
[00:02:47.830 --> 00:02:53.515]  They're realizing that we've dumped on them, and they realize what they're inheriting.
[00:02:53.515 --> 00:03:00.741]  So I think this has all just come together, and then with radio talk shows and the Internet has just made this thing grow by leaps and bounds.
[00:03:01.247 --> 00:03:09.676]  It's growing exponentially, though every time your name gets mentioned on Fox, CNN, MSNBC, they say, yeah, but he can't win.
[00:03:09.676 --> 00:03:21.128]  Within seconds, they blurt it out like it's a talking point, Congressman, but that seems, well, A, do you think it's a talking point, and B, that seems to be enraging the public even more and backfiring on them.
[00:03:21.909 --> 00:03:22.529]  Well, it does.
[00:03:22.529 --> 00:03:25.673]  It doesn't discourage our supporters.
[00:03:25.673 --> 00:03:28.356]  It sort of energizes everybody.
[00:03:28.356 --> 00:03:37.946]  And now that we have proven that we could raise money, you know, they always claimed there were just a few of us out there that cared and that they were bloggers and they were manipulating the Internet.
[00:03:38.837 --> 00:03:52.011]  Well, you can't manipulate to the point where you get 35,000 new donors who average about $40 apiece and raise $5 million and outpace many of the other candidates.
[00:03:52.011 --> 00:03:57.798]  The other ones that raise a lot of money, you have to realize they get their money from those who want to buy government, the special interests.
[00:03:58.158 --> 00:04:00.941]  That's why they'll invest $60, $70, $80 million.
[00:04:00.941 --> 00:04:17.175]  The miraculous thing about this is people are coming to us just to be free, just to be left alone, to be able to keep their own money and do the necessary things like sound money and low taxes and property rights and assume responsibility for ourselves.
[00:04:17.175 --> 00:04:20.818]  That, to me, is the wonderful thing about what's happening.
[00:04:21.238 --> 00:04:28.963]  If there was ever a time to pile on, if there was ever a time to rush the gates, ladies and gentlemen, Ron Paul can win the nomination.
[00:04:28.963 --> 00:04:32.225]  And people say, yeah, but there's electronic voting machine circainery.
[00:04:32.225 --> 00:04:39.751]  Not in every county in about a third of the country, but still, if the poll numbers are high enough, they're not going to be able to steal elections.
[00:04:39.751 --> 00:04:43.393]  I really know, intellectually, following this trajectory,
[00:04:44.268 --> 00:04:54.254]  That if the growth continues at this current rate, and that's what Las Vegas is saying, and they can't be wrong, because they've got bets being placed on it, you're going to get the Republican nomination.
[00:04:54.254 --> 00:05:00.838]  Well, you know, that is a distinct possibility, but I also know that a lot of work has to be done.
[00:05:00.838 --> 00:05:05.982]  We have to translate what we've done so far into actual voting in the primaries.
[00:05:05.982 --> 00:05:12.926]  So it's not smooth sailing, but it certainly is possible, and at the rate we're going, there's a very good chance.
[00:05:13.661 --> 00:05:20.529]  Would you say that it's accurate to make the statement that we are definitely with you in the fight?
[00:05:20.529 --> 00:05:22.651]  I don't think there's any doubt about it.
[00:05:22.651 --> 00:05:26.695]  I think that group of people who are with us are growing all the time.
[00:05:28.618 --> 00:05:32.841]  People, you know, the media always wants to ask me, what is your target?
[00:05:32.841 --> 00:05:34.041]  When are you going to drop out?
[00:05:34.041 --> 00:05:38.464]  Do you have to be first in New Hampshire before you'll drop out?
[00:05:38.464 --> 00:05:40.325]  I said, no, I haven't even thought about things like that.
[00:05:40.325 --> 00:05:46.429]  As long as we keep growing and improving and our numbers are growing and we raise the funds,
[00:05:46.929 --> 00:05:53.532]  You stay in there until mathematically something forces you to be excluded.
[00:05:53.532 --> 00:06:02.817]  Well, by every indicator of grassroots, where it's IP, one vote, internet voting, which I think is more scientific than a lot of the, you know, Angus and Reed and
[00:06:03.636 --> 00:06:13.302]  Gallup-type polls by every other indicator of grassroots, whether it's MySpace or YouTube or Meetup or Town Hall or Facebook, you are dwarfing.
[00:06:13.302 --> 00:06:21.567]  In almost every case, you have more members and more supporters in all those grassroots communities than all the other candidates combined with both parties.
[00:06:21.567 --> 00:06:23.849]  So it makes you wonder how the polling is down.
[00:06:24.389 --> 00:06:30.154]  Because if the polling is honest, then you wonder, where's the disconnect?
[00:06:30.154 --> 00:06:33.517]  But maybe the polling isn't absolutely accurate.
[00:06:33.517 --> 00:06:36.460]  Maybe they're not polling the people that are likely to vote.
[00:06:36.460 --> 00:06:43.666]  And I think once we get a supporter, the percentage chance of them voting are much greater than those who are so disgruntled.
[00:06:43.666 --> 00:06:46.489]  The disgruntled Democrats and the disgruntled Republicans.
[00:06:48.350 --> 00:07:01.152]  I foresee a low turnout if you don't have somebody there that will really champion our cause and really want to change in direction, because I think the longer this campaign goes on, the more mellow everybody becomes.
[00:07:01.152 --> 00:07:02.093]  They just mush.
