[00:00:00.209 --> 00:00:00.750]  ["Under Heaven's Fire"]
[00:00:28.612 --> 00:00:28.732]  Yeah.
[00:01:24.002 --> 00:01:24.102]  Yeah.
[00:01:58.460 --> 00:02:18.637]  Presents for a Christmas Eve All that's left of Bully Billy Is a pair of bloody boots His mom is on the phone His girl is all alone
[00:02:35.754 --> 00:02:37.295]  Welcome to the show podcast.
[00:02:37.295 --> 00:02:39.357]  Today's date is February 10th, 2007.
[00:02:39.357 --> 00:02:42.119]  It's a Saturday.
[00:02:42.119 --> 00:02:47.184]  I'm going to play a clip for you from Alex Jones, the Wednesday show this week.
[00:02:49.423 --> 00:03:01.265]  He talks about how our military forces, um, they're bringing in, uh, your tax dollars, um, bundles of money, which apparently is probably supposed to be going to the Iraqis.
[00:03:01.265 --> 00:03:03.125]  I think we're talking billions here.
[00:03:03.125 --> 00:03:14.007]  And, uh, they're just getting passed out amongst our military personnel and just didn't... just... They were talking tons of cash all over there in big-ass planes, man.
[00:03:14.007 --> 00:03:15.188]  It's crazy.
[00:03:15.188 --> 00:03:16.568]  Well, here comes the clip.
[00:03:16.568 --> 00:03:17.468]  And then I have an article
[00:03:18.815 --> 00:03:28.450]  Like this, that is a microcosm, is a drop in the bucket in a Pacific Ocean of theft and corruption.
[00:03:28.450 --> 00:03:33.958]  Lawmakers, you have sent giant pallets of cash into Iraq.
[00:03:35.006 --> 00:03:40.489]  The Federal Reserve sent over $4 billion in cash to Iraq in 2003 and early 2004.
[00:03:40.489 --> 00:03:41.350]  Cash weighing 363 tons.
[00:03:41.350 --> 00:03:43.351]  Loaded on pallets and flown on military aircraft funds.
[00:03:58.800 --> 00:04:08.582]  Those were frozen Saddam assets and the military said they kept, now get ready for this, this is Reuters, no record of its dispersal.
[00:04:08.582 --> 00:04:12.043]  You want to talk about an orgy of corruption evil.
[00:04:12.043 --> 00:04:21.345]  There are photos of the troops just grabbing huge 50-pound sub-bails for themselves, generals sitting on piles of it.
[00:04:21.345 --> 00:04:26.666]  They just shipped it in, and this is the stuff on budget.
