[00:00:00.169 --> 00:00:01.410]  Cover-ups.
[00:00:01.410 --> 00:00:03.011]  You want answers?
[00:00:03.011 --> 00:00:03.911]  Well, so does he.
[00:00:03.911 --> 00:00:08.735]  He's Alex Jones on the GCN Radio Network.
[00:00:08.735 --> 00:00:19.922]  And now, live from Austin, Texas, Alex Jones.
[00:00:19.922 --> 00:00:22.443]  Welcome, my friends, welcome.
[00:00:22.443 --> 00:00:26.726]  If this broadcast is any gauge of the American people's mindset,
[00:00:27.518 --> 00:00:35.525]  The Freedom Movement, those of us that want constitutional government and national sovereignty and liberty and free market, is beginning to turn the tide.
[00:00:35.525 --> 00:00:39.027]  The worm is turning on a host of issues.
[00:00:39.027 --> 00:00:53.199]  And really our standard bearer, if any one person could be said to be the leader of people in the United States who wish to go back to constitutional government and move forward, it is Congressman Ron Paul, who is running for president
[00:00:53.963 --> 00:00:59.346]  And he's getting a lot of support, and he's going to be with us for the next 59 minutes.
[00:00:59.346 --> 00:01:00.766]  A full hour.
[00:01:00.766 --> 00:01:17.895]  We're going to talk until the bottom of the hour about his policies, his ideas, what he would do if he was president, and how you can support him and get involved in this historical election season that's coming up with this candidate who is founding Father Material.
[00:01:17.895 --> 00:01:19.655]  And I said that a few months ago.
[00:01:19.655 --> 00:01:20.636]  It has been picked up.
[00:01:21.136 --> 00:01:29.678]  I did, I guess, coin that term, and it has really gotten out there with banners and websites, and I hope the Congressman's seen that, because he is founding father material.
[00:01:29.678 --> 00:01:31.718]  He's 100% constitutional.
[00:01:31.718 --> 00:01:36.259]  I haven't seen a candidate like this in over 100 years, and I'm somewhat of a historian.
[00:01:36.259 --> 00:01:38.499]  I mean, history's so big, you can't learn it all.
[00:01:38.499 --> 00:01:41.600]  So joining us for the next hour is Congressman Ron Paul.
[00:01:41.600 --> 00:01:45.220]  In 30 minutes, we're going to open the phones up to your calls to talk to him.
[00:01:45.220 --> 00:01:48.121]  Congressman, thank you for spending a whole hour with us.
[00:01:48.121 --> 00:01:49.321]  Good to be with you, Alex.
[00:01:50.592 --> 00:01:56.296]  Well, I know that Congress is out for a few weeks and you're taking care of the campaign and trying to visit your family.
[00:01:56.296 --> 00:02:01.019]  And again, you join us from, I guess, your home in Texas.
[00:02:01.019 --> 00:02:06.722]  Tell us, sir, basically what the number one issue facing the United States is right now.
[00:02:06.722 --> 00:02:12.606]  Probably it's a threat to individual liberty, because our government is growing endlessly.
[00:02:12.606 --> 00:02:16.008]  By leaps and bounds, nobody seems to want to put a hold on it.
[00:02:16.008 --> 00:02:19.831]  And every time government grows, it's at the expense of personal liberty.
[00:02:20.419 --> 00:02:24.001]  Then you can go into the many, many details of which is the worst issue.
[00:02:24.001 --> 00:02:30.523]  Is it the IRS or the Federal Reserve System or the foreign policy or our immigration policy?
[00:02:30.523 --> 00:02:33.164]  I mean, there are so many other problems.
[00:02:33.164 --> 00:02:36.226]  I think the debt overhang is horrendous.
[00:02:36.226 --> 00:02:41.248]  This entitlement commitment is a financial burden that's going to hit us here.
[00:02:41.750 --> 00:02:46.673]  In the near future, that's going to be very devastating to us, and we're not very prepared for it.
[00:02:46.673 --> 00:03:01.442]  But I think the overriding issue is the issue of individual liberty, which is what made America great, which is what the Revolution was fought about, and which the Constitution tried to desperately enshrine and preserve for us.
[00:03:01.442 --> 00:03:10.508]  But we're at a crisis point now because we have been so neglectful of protecting those liberties, and we're going to suffer the consequences if we don't straighten it out.
[00:03:12.171 --> 00:03:16.193]  Can you speak to what some of those consequences are going to be?
[00:03:16.193 --> 00:03:34.984]  Well, economically, the consequences will be that there's going to be a wholesale rejection of the dollar, because the world has trusted the dollar ever since, especially since the breakdown of the Bretton Woods in 1971, when the linkage of the dollar to the gold was broken.
[00:03:34.984 --> 00:03:37.785]  They still trusted the dollar as if it were gold.
[00:03:37.785 --> 00:03:40.907]  And therefore, we can print the money and we can spend the money,
[00:03:41.414 --> 00:03:46.318]  And the foreign countries take our money, then they loan it back to us, so they're getting a bum rap.
[00:03:46.318 --> 00:03:53.383]  We actually get a temporary good deal, but what it does is it encourages us not to be productive.
[00:03:53.383 --> 00:03:57.006]  It encourages us not to have manufacturing any longer.
[00:03:57.006 --> 00:04:02.610]  We can let others do it cheaper, cheap labor, and then we buy it with cheap money.
[00:04:02.610 --> 00:04:10.716]  And that's going to come to an end, and then when that happens, and even today the dollar was down sharply and the gold was up sharply, which is indicating that's the movement
[00:04:11.267 --> 00:04:11.688]  I think so.
[00:04:30.251 --> 00:04:41.825]  I want to continue getting your analysis, Congressman, on this obvious issue of prime importance, the economy, the debt, the subprime, loans, all of it.
[00:04:41.825 --> 00:04:49.054]  When you think we're going to see it start unraveling on the other side, then we'll go through the gamut of issues and talk about your campaign.
[00:04:49.054 --> 00:04:49.535]  Stay with us.
[00:04:55.342 --> 00:05:01.167]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
