[00:00:00.149 --> 00:00:01.009]  Dead on.
[00:00:01.009 --> 00:00:05.511]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[00:00:05.511 --> 00:00:07.052]  It'll work on other problems as well.
[00:00:07.052 --> 00:00:11.614]  For more information, call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:00:11.614 --> 00:00:13.114]  That toll-free number again?
[00:00:13.114 --> 00:00:13.514]  1-877-928-8822.
[00:00:13.514 --> 00:00:17.436]  Sold in the largest leveraged buyout in history.
[00:00:17.436 --> 00:00:18.356]  Thank you for listening to GCA.
[00:00:31.147 --> 00:00:37.856]  BLBJ in Austin.
[00:00:37.856 --> 00:00:41.101]  USA Radio Network News, Richard Curtis reporting.
[00:00:41.101 --> 00:00:47.189]  Tornadoes have ripped through Arkansas, including one that cut a five-mile swath through the heart of the community of Dumas.
[00:00:48.442 --> 00:00:54.188]  Tina Owens with the State Department of Emergency Management says looters moved in as soon as the tornadoes moved out.
[00:00:54.188 --> 00:01:00.334]  One of the buildings that was hit was a Fred's Dollar Store and we understand that there has been some looting in that area.
[00:01:00.334 --> 00:01:03.057]  At least 27 people were hurt by the strong winds.
[00:01:03.057 --> 00:01:04.979]  Three of those are in critical condition.
[00:01:04.979 --> 00:01:08.423]  Crews are also looking for an unknown number of people who may still be missing.
[00:01:09.272 --> 00:01:21.085]  The permanent five members of the UN Security Council plus Germany will be in London Monday to talk about whether to increase sanctions on Iran following its failure to meet the February 21st deadline to end its enrichment of uranium.
[00:01:21.085 --> 00:01:22.787]  Vice President Dick Cheney says the U.S.
[00:01:22.787 --> 00:01:27.011]  favors a diplomatic approach for dealing with Iran's rogue nuclear program.
[00:01:27.011 --> 00:01:31.336]  We've worked with the European community and through the United Nations.
[00:01:32.136 --> 00:01:39.320]  ...to put in place a set of policies to persuade the Iranians to give up their aspirations and to resolve the matter peacefully.
[00:01:39.320 --> 00:01:40.961]  That's still our preference.
[00:01:40.961 --> 00:01:46.103]  But I've also made the point, the President's made the point, that all options are still on the table.
[00:01:46.103 --> 00:01:51.446]  Ten days of cracking down on violence in Baghdad has left about 400 suspected terrorists dead.
[00:01:51.446 --> 00:02:01.111]  Iraqi Prime Minister Nouri al-Maliki also says his government is dealing equally with Shiite and Sunni Muslims involved in the ongoing violent attacks in and around Baghdad.
[00:02:01.718 --> 00:02:04.960]  It's USA Radio Network News.
[00:02:04.960 --> 00:02:08.261]  Are you stressed out and tired of trying to make ends meet?
[00:02:08.261 --> 00:02:18.406]  Would you like to find a way to earn between $500 to $7,000 or more a month working from home with a company that gives you immediate and ongoing training, marketing and support?
[00:02:19.076 --> 00:02:29.341]  HomeVis7.com would like to give you a free work-at-home information package and DVD that will show you how you could earn a full-time income by starting with just a few hours a week.
[00:02:29.341 --> 00:02:38.885]  In our first month we made over a thousand dollars and we've just completed our 12th month in the business and it looks like our check is going to be somewhere around six and a half thousand dollars.
[00:02:38.885 --> 00:02:39.986]  I actually made about twelve and
[00:02:40.086 --> 00:02:42.888]  I mean, $100 my very first month in the business.
[00:02:42.888 --> 00:02:45.350]  Obviously now it's well over 10 times that.
[00:02:45.350 --> 00:02:51.134]  For your free DVD and information package, please log on to HomeVis7.com.
[00:02:51.134 --> 00:02:52.475]  Shipping is not included.
[00:02:52.475 --> 00:02:58.079]  There is no cost or obligation, just powerful information that could change your life.
[00:02:58.079 --> 00:03:00.961]  Log on now to HomeVis7.com.
[00:03:00.961 --> 00:03:03.463]  That's HomeVis, the number 7, dot com.
[00:03:05.407 --> 00:03:16.193]  Safety checks are being carried out on railway tracks across Britain today after a high-speed train crash in northern England killed an elderly woman and seriously injured several other passengers.
[00:03:16.193 --> 00:03:19.575]  Dr. Richard Castle, himself a survivor of previous train crashes,
[00:03:20.579 --> 00:03:24.481]  Of a previous train crash, says the survivors of this one will be very traumatized.
[00:03:24.481 --> 00:03:28.983]  My main concern actually is not for people who are physically injured, or indeed, the bereaved.
[00:03:28.983 --> 00:03:31.125]  By and large, needs are taken care of.
[00:03:31.125 --> 00:03:39.729]  My concern is for the people who, while that train was crashing on Friday evening, clearly thought they were going to die, and then walked away physically uninjured.
[00:03:40.578 --> 00:03:49.365]  The IRS says over 10 million taxpayers who filed their federal tax returns so far this year have not claimed the telephone excise tax refund.
[00:03:49.365 --> 00:03:53.088]  It's a one-time refund that's worth up to $60.
[00:03:53.088 --> 00:04:01.214]  The government decided to issue refunds after federal courts ruled the telephone excise tax was illegally applied to long-distance service.
[00:04:01.214 --> 00:04:03.016]  This is USA Radio Network News.
[00:04:05.439 --> 00:04:11.983]  When the IRS put a lien on my house, garnished my wages and levied my bank account, my attorney referred me to Associated Tax Relief.
[00:04:11.983 --> 00:04:13.724]  Calling them was the best move I ever made.
[00:04:13.724 --> 00:04:15.065]  They got us a settlement we could live with.
[00:04:15.065 --> 00:04:17.567]  Do you owe the IRS $10,000 or more?
[00:04:17.567 --> 00:04:19.588]  Associated Tax Relief can help you.
[00:04:19.588 --> 00:04:25.471]  Associated Tax Relief has helped taxpayers settle their tax debt with the IRS for mere pennies on the dollar.
