[00:00:00.309 --> 00:00:02.631]  Find out right now.
[00:00:02.631 --> 00:00:04.293]  Our product for just $89.95.
[00:00:04.293 --> 00:00:04.493]  $89.95.
[00:00:04.493 --> 00:00:10.278]  The Fuel Mule works on any furnace too, no matter what fuel it uses.
[00:00:10.278 --> 00:00:21.288]  Call 866-880-7826, 866-880-STAN, or go to TheFuelMule.com and help save money and reduce our dependence on foreign oil.
[00:00:21.288 --> 00:00:24.871]  The Fuel Mule works and will pay for itself in just a few months, guaranteed.
[00:00:28.362 --> 00:00:40.046]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:00:40.046 --> 00:00:41.347]  Big Brother.
[00:00:41.347 --> 00:00:43.127]  Mainstream media.
[00:00:43.127 --> 00:00:44.868]  Government cover-ups.
[00:00:44.868 --> 00:00:46.448]  You want answers?
[00:00:46.448 --> 00:00:48.389]  Well, so does he.
[00:00:48.389 --> 00:00:52.190]  He's Alex Jones on the GCN Radio Network.
[00:00:52.190 --> 00:00:56.272]  And now, live from Austin, Texas, Alex Jones.
[00:00:59.517 --> 00:01:02.880]  We are live from Austin, Texas, deep behind enemy lines.
[00:01:02.880 --> 00:01:04.881]  You're listening to the Alex Jones Show.
[00:01:04.881 --> 00:01:09.024]  It is the 23rd day of April, 2007.
[00:01:09.024 --> 00:01:12.147]  I'm Jack Blood, filling in for Alex Jones today.
[00:01:12.147 --> 00:01:18.231]  Alex will be joining us in about 30 minutes on the broadcast to give us some updates and talk about some breaking news as well.
[00:01:18.231 --> 00:01:23.836]  And we'll be back in the chair tomorrow for your listening pleasure and your edification.
[00:01:23.836 --> 00:01:25.717]  So much news to report today.
[00:01:25.717 --> 00:01:29.280]  The Sunday news cycle starting off the news week.
[00:01:30.061 --> 00:01:41.841]  Almost unwatchable, almost completely useless as they tried to do everything in their power to spin the Virginia Tech story, to spin or counterman the
[00:01:42.643 --> 00:01:50.830]  Alberto Gonzales story, and of course to further pad the war in Iraq, which is really falling to pieces right into our very noses.
[00:01:50.830 --> 00:01:51.651]  We'll talk about that.
[00:01:51.651 --> 00:01:54.914]  Also, Boris Yeltsin has died today.
[00:01:54.914 --> 00:02:00.359]  Of course, he will be eulogized around the world as a great leader.
[00:02:00.359 --> 00:02:09.427]  We'll talk about that, including some of the information that Boris Yeltsin tried to pass to our government regarding the JFK shooting the Russians immediately.
[00:02:10.485 --> 00:02:18.750]  Going to the conclusion that LBJ was behind the JFK assassination, as well as the Texas oil people.
[00:02:18.750 --> 00:02:22.272]  This would include Halliburton or Kellogg, Brown and Root, among others.
[00:02:22.272 --> 00:02:30.016]  Of course, we remember that LBJ was the KBR president, Kellogg, Brown and Root president, the Halliburton president.
[00:02:30.016 --> 00:02:32.017]  This was in all the newspapers back in the day.
[00:02:32.017 --> 00:02:36.079]  It was pretty much acknowledged right out in the open, so we'll talk about that.
[00:02:36.079 --> 00:02:37.200]  Iran and Iraq.
[00:02:38.228 --> 00:02:47.307]  Let's be very clear here, according to the phony information that we're getting, that is being put out throughout the media, Al-Syiedah in Iran?
[00:02:48.089 --> 00:02:59.193]  I think that's kind of hard to swallow, but according to this information, Iran and Iraq, the LCIA, the quadrants in Iran and Iraq, are planning a massive attack on Britain.
[00:02:59.193 --> 00:03:00.793]  We'll talk about that on the program today.
[00:03:00.793 --> 00:03:11.497]  There's also some information, according to World Net Daily, smoking gun tape that could indict Hillary Clinton, possibly exposing her to a felony.
[00:03:12.197 --> 00:03:15.358]  That would have a five-year prison sentence attached to it.
[00:03:15.358 --> 00:03:17.039]  More Virginia Tech news today.
[00:03:17.039 --> 00:03:20.720]  More news coming out about the DARPA connections of Virginia Tech.
[00:03:20.720 --> 00:03:22.161]  We'll talk about that today.
[00:03:22.161 --> 00:03:24.742]  Also, there is something big going on in France.
[00:03:24.742 --> 00:03:25.882]  We'll touch on that.
[00:03:25.882 --> 00:03:30.704]  The left versus right is being billed on Drudge Report and in mainstream media.
[00:03:30.704 --> 00:03:37.286]  But we have a dire warning for you related to this selection process going on in France right now.
[00:03:37.286 --> 00:03:39.927]  More information about Alberto Antigonzalez.
[00:03:40.587 --> 00:03:45.930]  The Cold War, as it pertains to Russia now, with this missile shield in play over Europe.
[00:03:45.930 --> 00:03:47.191]  We've done the analysis.
[00:03:47.191 --> 00:03:49.393]  This is not a defensive weapon.
[00:03:49.393 --> 00:03:56.057]  This is really a mode or a method to clear the way for offensive weapons in space, creating a space war.
[00:03:56.057 --> 00:03:57.297]  That's not a conspiracy.
[00:03:57.297 --> 00:04:03.721]  This comes right from, oh, Bob Bowman, who we work with, was headed Star Wars under two presidents.
[00:04:03.721 --> 00:04:04.962]  I guess he would know about that.
[00:04:05.915 --> 00:04:29.032]  And then we're going to talk about, in fact, here in just a few minutes, we're going to play you some audio from an incident here in Austin, Texas over the weekend, where John Kerry came in to give a little speech with his wife, Teresa Heinz Kerry, and they were confronted by a group here in Austin known as the Austin 9-11 Truth Now group, and I thought very professionally,
[00:04:30.118 --> 00:04:34.560]  They managed to address some pretty big issues to John Kerry.
[00:04:34.560 --> 00:04:35.901]  Really made him squirm.
[00:04:35.901 --> 00:04:37.121]  Talked about chemtrails.
[00:04:37.121 --> 00:04:39.242]  Talked about genetically modified food.
[00:04:39.242 --> 00:04:41.443]  Talked about depleted uranium.
[00:04:41.443 --> 00:04:44.364]  And, of course, talked about 9-11 and Building 7.
[00:04:44.364 --> 00:04:47.806]  We're going to play that clip for you when we come back from this next break.
[00:04:48.286 --> 00:05:08.825]  I believe also we're going to have Aaron Dooley on the program today to talk about how this got set up and really to show you that you don't need to be afraid of Skull and Bones Kerry or Skull and Bones Hines or any of these super global elitists who will come and visit your town and try to gain your support for their coming selections.
[00:05:08.825 --> 00:05:10.146]  You're going to be interested in this.
[00:05:10.146 --> 00:05:11.707]  This is a good one, folks.
[00:05:11.707 --> 00:05:14.370]  It shows that standing up to the power
[00:05:15.200 --> 00:05:17.061]  Certainly has its rewards.
[00:05:17.061 --> 00:05:19.522]  I'm Jack Blood filling in for Alex Jones today.
[00:05:19.522 --> 00:05:21.683]  InfoWars.com, PrisonPlanet.com.
[00:05:21.683 --> 00:05:25.185]  We'll take a quick break, come back with more news and information you're not getting anywhere else.
[00:05:25.185 --> 00:05:27.186]  This is the Genesis Communications Radio Network.
[00:05:38.951 --> 00:05:44.774]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:05:44.774 --> 00:05:52.398]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:53.109 --> 00:06:00.570]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.570 --> 00:06:12.292]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
