[00:00:00.983 --> 00:00:02.564]  You have the power.
[00:00:02.584 --> 00:00:09.748]  This is the GCN Radio Network.
[00:00:09.908 --> 00:00:10.568]  Big Brother.
[00:00:11.209 --> 00:00:12.309]  Mainstream media.
[00:00:12.990 --> 00:00:14.130]  Government cover-ups.
[00:00:14.770 --> 00:00:15.531]  You want answers?
[00:00:16.329 --> 00:00:17.269]  Well, so does he.
[00:00:17.890 --> 00:00:21.491]  He's Alex Jones on the GCN Radio Network.
[00:00:22.072 --> 00:00:26.173]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.035 --> 00:00:44.375]  Welcome, ladies and gentlemen.
[00:00:44.435 --> 00:00:44.756]  Welcome.
[00:00:44.776 --> 00:00:47.156]  We're now 40 seconds into this first hour.
[00:00:47.296 --> 00:00:50.097]  It is Tuesday, the 25th day of September 2007.
[00:00:50.177 --> 00:00:53.358]  We're going to be live for the next three hours.
[00:00:54.379 --> 00:00:56.980]  If you've been looking for it, you certainly found it.
[00:00:57.020 --> 00:01:00.821]  This is the tip of the spear, the very front line in the information war.
[00:01:01.421 --> 00:01:02.301]  I'm Alex Jones.
[00:01:02.381 --> 00:01:04.682]  My website's InfoWars.com.
[00:01:06.182 --> 00:01:08.703]  Well, here's the news I have in front of me today.
[00:01:08.743 --> 00:01:09.544]  We'll be going over.
[00:01:09.604 --> 00:01:10.744]  We'll also open phones.
[00:01:11.642 --> 00:01:18.689]  Examiner-exclusive Bush quietly advising Hillary Clinton and other top Democrats.
[00:01:19.830 --> 00:01:24.334]  And that dovetails with the hundreds of pieces of evidence we already have.
[00:01:25.015 --> 00:01:29.539]  Also, Bush homosexual allegations resurface in new book.
[00:01:30.420 --> 00:01:32.342]  So we'll be discussing that today.
[00:01:33.397 --> 00:01:47.409]  Also, MySpace censors anti-war websites, as well as PrisonPlanet.com, and they admit PrisonPlanet.com is blocked from any bulletins being sent, all part of a web of censorship that we are under.
[00:01:49.131 --> 00:01:54.976]  Dovetailing with the Bush homosexual story that I just mentioned, I went back and pulled out this article
[00:01:56.326 --> 00:02:08.229]  Remember the headline, Bush prefers Martin's spokesman to his own, and Prime Minister Martin walked up in public and kept saying, you're good looking man, man you're good looking, man you're good looking, man I'd like to hang out with you, you're good looking.
[00:02:08.929 --> 00:02:14.030]  Just in the kissing on Gannon in public, and it just never ends ladies and gentlemen.
[00:02:15.390 --> 00:02:15.970]  It never ends.
[00:02:16.390 --> 00:02:19.111]  FCC proposes fake news fine.
[00:02:21.161 --> 00:02:23.602]  There's so much fake news put out there by the mainstream media.
[00:02:23.642 --> 00:02:26.804]  Global majority wants action on climate change.
[00:02:27.784 --> 00:02:32.506]  Arnold Schwarzenegger addressed the UN saying we must move on climate change.
[00:02:32.546 --> 00:02:38.809]  Later today, I'm going to air a video clip of a gentleman who was a big environmentalist in Denver.
[00:02:39.269 --> 00:02:41.470]  Very successful mainline businessman.
[00:02:41.510 --> 00:02:45.212]  He was privy to some of these big environmental meetings in the early 90s.
[00:02:46.212 --> 00:02:47.873]  And he breaks it down.
[00:02:47.893 --> 00:02:48.853]  This was taped actually in 1992.
[00:02:50.862 --> 00:02:54.643]  He tapes what went on at the meeting with David Rockefeller, Maury Strong, and others.
[00:02:55.083 --> 00:03:03.426]  And it dovetails with official documents and things we have, but to have him talking about it really gets into the eugenics and the Malthusian master plan.
[00:03:03.466 --> 00:03:08.808]  So later in the third hour, I'm going to be getting into that as well.
[00:03:09.528 --> 00:03:14.630]  Lucas Grader is going to be in studio for about 30 minutes in the third hour.
[00:03:15.090 --> 00:03:17.971]  He's a local filmmaker and he went out and did this little piece where he
[00:03:19.168 --> 00:03:26.796]  Asked, what, four questions of a bunch of different people and most of them didn't know the basics.
[00:03:27.717 --> 00:03:29.919]  Most of them didn't even know who the Vice President was.
[00:03:30.774 --> 00:03:35.477]  And so we'll be illustrating just the mass mind control and dumbing down what's going on.
[00:03:35.977 --> 00:03:46.322]  Also, a mini guest in the second hour, Dean Puckett, one of the British filmmakers, arrested with me in New York, and it just took a few weeks for us to finally get him on.
[00:03:46.783 --> 00:03:51.905]  But an interesting perspective from them on the 9-11 6th anniversary and their arrest.
[00:03:51.925 --> 00:03:55.047]  So they'll be popping in for the show coming up in the second hour.
[00:03:55.996 --> 00:03:57.177]  I never got to it yesterday.
[00:03:57.197 --> 00:04:04.423]  I'm going to try to play some of the audio of the confrontation last week with Alan Greenspan and WeAreChange.org and InfoWars.com's own Rob Jacobson.
[00:04:06.064 --> 00:04:08.366]  But we'll see if we have time to do that.
[00:04:08.386 --> 00:04:12.529]  I also want to play Bernie Sanders confronting Alan Greenspan right before he left office last year.
[00:04:14.550 --> 00:04:25.559]  But when we get back, Bush quietly advising Hillary Clinton, top Democrats, along with the evidence that
[00:04:26.187 --> 00:04:28.648]  This is literally a staged intelligence operation.
[00:04:30.329 --> 00:04:32.009]  And I don't know how people don't understand that.
[00:04:32.029 --> 00:04:36.231]  I mean, when you get to this level of power, it's going to collude together.
[00:04:36.951 --> 00:04:37.932]  They're going to stick together.
[00:04:38.412 --> 00:04:41.533]  And that's illustrated by the 10% congressional approval rating right now.
[00:04:41.813 --> 00:04:52.858]  They have to circle the wagons completely against the American people and the people of the planet as they try to birth the first planetary world government run by the sociopathic killers of the New World Order.
