[00:00:00.710 --> 00:00:03.131]  Best-selling, written six best-sellers.
[00:00:03.692 --> 00:00:05.213]  He is an economist.
[00:00:06.614 --> 00:00:09.316]  He is, of course, a former prosecutor.
[00:00:10.477 --> 00:00:17.102]  And so he's very well-rounded, and we really appreciate him joining us for the balance of this hour, the next 49 minutes.
[00:00:17.962 --> 00:00:20.424]  Michael Haga, good to have you on the broadcast with us, sir.
[00:00:20.884 --> 00:00:24.347]  Well, I enjoyed, uh, appreciate you asking me, Alex.
[00:00:25.768 --> 00:00:28.130]  Is that a right-wing attack dog out here in the background?
[00:00:29.526 --> 00:00:30.107]  We'll have to.
[00:00:30.168 --> 00:00:30.849]  I'm just joking.
[00:00:31.009 --> 00:00:31.550]  There we go.
[00:00:31.570 --> 00:00:33.073]  You know, I have those too myself.
[00:00:33.113 --> 00:00:33.975]  What type of dog is that?
[00:00:35.126 --> 00:00:37.027]  It's a young Labrador.
[00:00:37.448 --> 00:00:37.828]  Oh, how sweet!
[00:00:37.928 --> 00:00:39.149]  I'm at home right now.
[00:00:39.249 --> 00:00:40.431]  I ran home to do this.
[00:00:40.951 --> 00:00:44.054]  Oh, I appreciate you.
[00:00:44.334 --> 00:00:45.555]  Oh no, we're not mad at the barking.
[00:00:45.575 --> 00:00:48.098]  We always have dogs barking in the background here on the studio.
[00:00:48.598 --> 00:00:49.199]  I'm serious.
[00:00:49.499 --> 00:00:51.241]  We got chihuahuas, little creatures.
[00:00:53.303 --> 00:00:59.709]  Michael Hager, tell us, for those who don't know, a little bit about yourself, and then launch into what we see developing in some of the latest numbers.
[00:01:00.900 --> 00:01:02.902]  About myself, Alex, you're right.
[00:01:02.922 --> 00:01:07.025]  I've published six books on economics, basically.
[00:01:08.726 --> 00:01:11.488]  Two more are coming out pretty shortly here.
[00:01:11.648 --> 00:01:14.009]  One is a novel, another one is an economics book.
[00:01:15.931 --> 00:01:21.295]  Gosh, I graduated from Baylor University Law School while I was working on my MBA down there as well.
[00:01:22.956 --> 00:01:27.399]  Prosecuted for a while in Colorado and then went into healthcare.
[00:01:28.386 --> 00:01:30.568]  And, uh, was with Columbia HCA?
[00:01:30.588 --> 00:01:32.489]  Still am, basically.
[00:01:32.729 --> 00:01:35.731]  So you know all about the, uh, scams with the new Senate leader?
[00:01:35.991 --> 00:01:36.231]  Oh, yeah.
[00:01:36.611 --> 00:01:38.993]  And for those that don't know, they had to, you know, pay a big fine.
[00:01:39.013 --> 00:01:39.633]  That was admitted.
[00:01:40.054 --> 00:01:40.274]  Right.
[00:01:41.134 --> 00:01:44.176]  The Frisk family founded Columbia HCA.
[00:01:44.897 --> 00:01:49.720]  I was their financial administrator, and now it's just HCA.
[00:01:50.560 --> 00:01:52.281]  But, uh, yeah, the whole thing was set up.
[00:01:52.842 --> 00:01:56.244]  Um, I don't want to get too deeply into it, but we will never
[00:01:57.256 --> 00:02:04.399]  See our seniors being given the things they deserve.
[00:02:04.899 --> 00:02:12.382]  Now I heard you today on The Privacy Factor, a great show that comes on before this one, and I heard you talking about, and I've seen this,
[00:02:13.197 --> 00:02:17.559]  The airline's got $25 billion payoff by the government, which they could run for two or three years off of.
[00:02:17.839 --> 00:02:18.039]  Right.
[00:02:18.299 --> 00:02:26.122]  And, you know, with a total loss, they're really using this economy as an excuse to rip people off, to lay off.
[00:02:26.362 --> 00:02:30.264]  And they're saying, OK, we'll keep you on, just give us your pension funds.
[00:02:30.544 --> 00:02:31.424]  That is huge.
[00:02:31.464 --> 00:02:31.884]  Go ahead.
[00:02:32.384 --> 00:02:35.185]  Yeah, $1.6 billion they want.
[00:02:35.265 --> 00:02:41.768]  American Airlines wants their employees to give up their pensions.
[00:02:43.154 --> 00:02:43.775]  Can you imagine?
[00:02:44.976 --> 00:02:53.385]  And they're saying basically it's sort of an axe over their heads on the chopping block and the axe is over their necks.
[00:02:54.646 --> 00:02:59.110]  And the airlines is now telling the employees, number one, the pensions aren't funded.
[00:02:59.150 --> 00:03:03.455]  There's no money in the pension fund for basically 90% of all corporate
[00:03:04.873 --> 00:03:08.016]  This is what you said last time, and they made it official.
[00:03:08.036 --> 00:03:10.178]  They said they're going to cash balance accounts, quote.
[00:03:10.679 --> 00:03:11.940]  This is what the White House said.
[00:03:12.260 --> 00:03:13.802]  You will no longer own your fund.
[00:03:13.822 --> 00:03:16.224]  There will be no liability for them to pay.
[00:03:16.244 --> 00:03:18.486]  And now we see the shift coming.
[00:03:18.847 --> 00:03:22.350]  And some people, Michael, are still in denial about this.
[00:03:22.851 --> 00:03:23.191]  Oh, yeah.
[00:03:23.872 --> 00:03:25.113]  It was interesting.
[00:03:27.171 --> 00:03:35.657]  My brother-in-law works for American Airlines in the Tulsa facility where they do maintenance on all the big jets.
[00:03:36.838 --> 00:03:46.424]  And we've gotten into arguments about this for years over whether the airline industry would become a casualty in this economy.
[00:03:46.785 --> 00:03:47.405]  And he laughed.
[00:03:47.465 --> 00:03:48.366]  Now he's not laughing.
[00:03:48.586 --> 00:03:49.126]  Scared to death.
[00:03:49.146 --> 00:03:50.147]  Doesn't know what he's going to do.
[00:03:51.845 --> 00:03:55.127]  I can't believe it's happening, but it's happening to everybody, Alex.
[00:03:55.628 --> 00:04:00.270]  So his brother's writing books about this, and he just laughed at Bubba, didn't he?
[00:04:00.490 --> 00:04:00.711]  Yeah.
[00:04:01.251 --> 00:04:01.551]  Oh, yeah.
[00:04:01.691 --> 00:04:05.834]  Yeah, I've been to a lot of many jokes, but now they're all asking, how did you know?
[00:04:07.239 --> 00:04:09.920]  You know, Alex, you're more radical, I think.
[00:04:10.181 --> 00:04:12.802]  That's a poor choice of terminology than I am.
[00:04:12.822 --> 00:04:15.884]  No, I mean Jews that fought back in Germany were radical.
[00:04:16.304 --> 00:04:16.584]  Yeah.
[00:04:17.204 --> 00:04:23.108]  Well, there are signs that things are perhaps... We've been set up and sold out in this country.
[00:04:23.688 --> 00:04:24.008]  We have.
[00:04:24.969 --> 00:04:29.331]  And if people... Have you ever talked about Carol Quigley's book, Tragedy and Hope?
[00:04:30.305 --> 00:04:31.866]  A history of the world in our time.
[00:04:32.127 --> 00:04:35.630]  Yes, 800 page book written where he says it's the new world order.
[00:04:35.650 --> 00:04:37.371]  We're going to rape you up one side and down the other.
[00:04:37.451 --> 00:04:38.072]  Ha ha ha.
[00:04:38.292 --> 00:04:40.574]  Yeah, and that was Dr. Carroll Quigley.
[00:04:41.214 --> 00:04:47.059]  He was, back when it first came out, he was professor of history at Foreign Service School of Georgetown University.
[00:04:47.079 --> 00:04:49.061]  Clinton's big mentor.
[00:04:49.401 --> 00:04:51.222]  Clinton thanked him in the first State of the Union.
[00:04:51.443 --> 00:04:54.165]  Yeah, but this whole thing, Alex,
[00:04:55.350 --> 00:05:04.073]  Look, the plan basically is to have all of us working once again for the general store, for the company store.
[00:05:04.493 --> 00:05:09.475]  And we're all going to have our little national ID card, totally surveilled, can be secretly arrested.
[00:05:09.495 --> 00:05:11.356]  This is a great new system.
[00:05:11.936 --> 00:05:13.679]  Well, you know, that's what's coming.
[00:05:13.759 --> 00:05:23.350]  People don't understand it, don't believe it, but the wealth of what was once the middle class is being eroded right before our eyes.
[00:05:23.851 --> 00:05:29.518]  We are becoming a nation of either extremely wealthy or super rich people.
[00:05:29.698 --> 00:05:31.040]  You're either in one class or the other.
[00:05:31.580 --> 00:05:33.622]  You're a have-not or you're super rich.
[00:05:34.183 --> 00:05:36.765]  The middle class is shrinking every year.
[00:05:37.866 --> 00:05:45.193]  They are slowly becoming part of the non-existent, what, serf class?
[00:05:45.213 --> 00:05:46.014]  Slave class?
[00:05:46.854 --> 00:05:47.815]  They're losing everything.
[00:05:48.536 --> 00:05:52.640]  And yet they still don't seem to understand what's happening to them.
[00:05:53.580 --> 00:05:56.203]  You know, if the great masses would ever wake up,
[00:05:57.393 --> 00:06:01.217]  And we'd get honest people in Congress by people voting.
[00:06:01.817 --> 00:06:03.959]  Maybe we'd have a chance, but I don't see it coming.
[00:06:05.601 --> 00:06:10.285]  People are too, what, dumbed down?
[00:06:10.366 --> 00:06:15.110]  Well, we see a federal move, too, to put in these touchscreen systems, which are guaranteed to be fraud.
[00:06:15.310 --> 00:06:15.490]  Yeah.
[00:06:15.691 --> 00:06:20.175]  When we've proven that in many states that have done it, federally funded, federally controlled, no record.
[00:06:21.225 --> 00:06:23.607]  They've got federal money to take over the churches.
[00:06:25.068 --> 00:06:27.870]  They're federalizing local police departments through control and regulation.
[00:06:27.910 --> 00:06:32.173]  I mean, they're going down the line of everything you do to set up a dictatorship.
[00:06:32.414 --> 00:06:32.794]  Oh, you bet.
[00:06:32.834 --> 00:06:33.815]  Well, look at this.
[00:06:33.895 --> 00:06:37.657]  We hear the argument over and over again about separation of church and state.
[00:06:38.218 --> 00:06:40.820]  No religious monuments in any public building.
[00:06:41.320 --> 00:06:45.443]  And yet, every church, well, I shouldn't say every church, but probably 99.9% of all churches are 501c3 corporations.
[00:06:49.924 --> 00:06:52.166]  They share their information.
[00:06:52.326 --> 00:07:01.071]  If you tithe to a 501c3 church, non-profit church, they share your tithing information with the IRS every year.
[00:07:02.112 --> 00:07:06.735]  So, talk about separation of church and state, they own the churches.
