[00:00:00.049 --> 00:00:00.449]  The 8.
[00:00:04.734 --> 00:00:07.917]  This is the Genesis Communications Radio Network.
[00:00:15.470 --> 00:00:16.111]  Big Brother.
[00:00:16.791 --> 00:00:17.832]  Mainstream media.
[00:00:18.553 --> 00:00:19.654]  Government cover-ups.
[00:00:20.315 --> 00:00:21.116]  You want answers?
[00:00:21.876 --> 00:00:22.777]  Well, so does he.
[00:00:23.458 --> 00:00:27.222]  He's Alex Jones on the GCN Radio Network.
[00:00:27.642 --> 00:00:31.706]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.523 --> 00:00:41.224]  All right, my friends, welcome.
[00:00:41.284 --> 00:00:49.390]  It's September 11, 2003, the two-year anniversary of the military-industrial complex kicking off the next phase of dehumanization.
[00:00:50.411 --> 00:01:01.139]  We do have Congressman Ron Paul joining us to talk about the neoconservatives, the New World Order, PNAC talking about how they needed terrorist attacks to get their New World Order.
[00:01:01.219 --> 00:01:03.281]  Ron Paul is joining us in this hour.
[00:01:05.715 --> 00:01:14.759]  And then for the rest of the day we're going to have open phones and we're going to talk about September 11th and go over some of the smoking guns, some of the history of it.
[00:01:15.939 --> 00:01:28.904]  George W. Bush yesterday gave a speech in the late morning where he talked about how Bin Laden is sure to strike us again and is still a danger.
[00:01:28.944 --> 00:01:30.565]  There hadn't been a Bin Laden tape out
[00:01:31.443 --> 00:01:39.626]  In 20 months, a new one, suddenly, one hour after Bush spoke, there was a Bin Laden tape on Al Jazeera recorded a few months ago, they say.
[00:01:40.586 --> 00:01:43.287]  And he's going to get us, he's going to strike us any minute.
[00:01:43.327 --> 00:01:45.708]  He was validating everything Bush had to say, of course.
[00:01:46.148 --> 00:01:46.888]  He works for him.
[00:01:47.828 --> 00:01:49.089]  Employee of the CIA.
[00:01:49.909 --> 00:01:53.930]  It's kind of like right before the war with Iraq, Colin Powell was before Congress.
[00:01:53.950 --> 00:01:59.072]  He said, right now there's a tape airing on Al Jazeera where Bin Laden says he's with Iraq and he has people there.
[00:02:00.905 --> 00:02:05.527]  So the news all hears that and runs and tunes into Al Jazeera and looks everywhere and there was no such tape.
[00:02:05.607 --> 00:02:12.149]  And they come back and the committee chairman says, Mr. Powell, Secretary of State, there's no such tape airing.
[00:02:12.189 --> 00:02:16.290]  He said, oh, it will be, and turned kind of a shade of pink.
[00:02:17.571 --> 00:02:19.211]  Oh, it will be airing, don't you worry.
[00:02:19.251 --> 00:02:25.073]  The Qatar-based CIA front company will have a little buddy on TV immediately for you, Al Jazeera.
[00:02:26.343 --> 00:02:27.544]  So right on time!
[00:02:27.764 --> 00:02:30.847]  George Bush is like a black magic leader.
[00:02:30.887 --> 00:02:32.649]  He could just conjure Bin Laden.
[00:02:33.089 --> 00:02:34.851]  Conjured the Goldstein creature.
[00:02:35.551 --> 00:02:41.837]  Goldstein is the boogeyman in 1984 that's blamed for everything that Big Brother carries out against the people to keep them in submission.
[00:02:42.237 --> 00:02:51.726]  Big Brother blows stuff up and then blames it on the imaginary boogeyman Goldstein who wears a turban and has a big beard and archetypal Rasputin-type creature.
[00:02:52.549 --> 00:02:54.270]  By the way, there's a new action figure out.
[00:02:54.310 --> 00:02:56.351]  It's not just the George Bush action figure.
[00:02:56.491 --> 00:02:57.551]  There's another one out.
[00:02:58.492 --> 00:03:01.613]  And it's the Osama Bin Laden doll.
[00:03:02.294 --> 00:03:07.236]  And it comes free with Cardinal Group funding.
[00:03:08.497 --> 00:03:10.098]  And Patriot Act included.
[00:03:10.138 --> 00:03:11.198]  Loss of Liberty included.
[00:03:11.658 --> 00:03:14.160]  You can go to Infowars.com and look at it.
[00:03:14.340 --> 00:03:15.060]  It's something else.
[00:03:15.100 --> 00:03:16.160]  It's going up right now.
[00:03:16.181 --> 00:03:20.262]  It says, a New World Order boogeyman, Bin Laden.
[00:03:22.028 --> 00:03:26.150]  But is this not extremely transparent?
[00:03:26.951 --> 00:03:35.815]  That Bush gives a speech, Bin Laden's going to get you, the left-wing and right-wing New World Order pundits all say, man, we're going to get hit by something bigger than 9-1-1.
[00:03:35.935 --> 00:03:41.318]  And Bush said, you better pass Patriot Act 2, or Al-Qaeda's going to get you.
[00:03:42.238 --> 00:03:45.260]  And then Al-Qaeda made an appearance, right on time!
[00:03:46.801 --> 00:03:48.702]  Hadn't been seen in, you know, almost two years.
[00:03:49.262 --> 00:03:52.384]  Well, we saw the fat bin Laden 20 months ago, 19 months ago.
[00:03:52.824 --> 00:04:01.247]  The fat bin Laden in the dark room, but no, an older-looking bin Laden with a gray beard popped up for us on TV, and he's gonna get us.
[00:04:03.088 --> 00:04:05.169]  And Bush said, you better pass my Patriot Act, too.
[00:04:05.209 --> 00:04:06.010]  You better do it.
[00:04:06.150 --> 00:04:09.211]  A group of law enforcement and military in front of him, all merging.
[00:04:11.793 --> 00:04:13.874]  And last night, we were treated to 60 Minutes, too.
[00:04:13.914 --> 00:04:15.415]  I finally watched some television.
[00:04:15.475 --> 00:04:21.077]  I mean, Bush fake crying all about the leader and how he fights Al Qaeda, how great he is.
[00:04:21.097 --> 00:04:23.678]  It's like North Korean television or something.
[00:04:24.118 --> 00:04:28.340]  Not about September 11th, just about the dear leader, the gracious leader.
[00:04:30.801 --> 00:04:34.343]  I mean, folks, we're in a lot of trouble, and they're just kicking this thing off.
[00:04:34.403 --> 00:04:35.503]  A war with North Korea.
[00:04:35.543 --> 00:04:40.085]  They're trying to get North Korea to do something, trying to push them, like the ten-part plan to get Japan to attack us.
[00:04:41.295 --> 00:04:44.537]  And you know, who can say going to war against North Korea is a bad thing?
[00:04:44.557 --> 00:04:47.099]  You know, if we were a good government for the right reasons.
[00:04:47.119 --> 00:04:49.921]  But no, they'll put something in just as bad once they're in there.
[00:04:49.961 --> 00:04:54.985]  And it's about the smokescreen of the national draft and the hundreds of thousands of dead U.N.
[00:04:55.185 --> 00:04:56.746]  troops that'll die going into North Korea.
[00:04:57.187 --> 00:04:58.047]  We'll talk about it all.
[00:04:58.207 --> 00:04:59.168]  Ron Paul coming up.
[00:04:59.849 --> 00:05:00.689]  And a lot more.
[00:05:00.709 --> 00:05:03.051]  You'll want to stay with us.
[00:05:03.291 --> 00:05:04.932]  Big show lined up for you.
[00:05:06.373 --> 00:05:07.214]  On September 11th, 2003.
[00:05:11.235 --> 00:05:15.600]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:15.780 --> 00:05:20.186]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:20.366 --> 00:05:24.751]  There is a chance to use this disaster for the New World Order.
[00:05:24.791 --> 00:05:26.133]  The New World Order?
[00:05:27.772 --> 00:05:32.114]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:05:32.194 --> 00:05:39.118]  We rip the sinister Patriot Act legislation 1 and 2 apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:05:39.238 --> 00:05:41.299]  You will lose your liberty.
[00:05:41.659 --> 00:05:52.044]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:05:52.264 --> 00:05:55.005]  If you want to understand what the new world order really is, then my new tool
[00:05:55.145 --> 00:05:57.646]  This two and a half hour video, Police State 3, is for you.
[00:05:58.126 --> 00:06:00.748]  Visit InfoWars.com or PrisonPlanet.com to order.
[00:06:00.868 --> 00:06:02.028]  Or call toll free 1-888-253-3139.
[00:06:02.048 --> 00:06:02.508]  That's 888-253-3139.
[00:06:02.588 --> 00:06:04.289]  Order today and spread the word!
[00:06:10.672 --> 00:06:11.593]  Hi, Ted Anderson here.
[00:06:11.613 --> 00:06:18.756]  I'm happy to announce that the audience has increased over 200% this year and our advertisers have sent testimonials complimenting the responsiveness.
[00:06:19.016 --> 00:06:21.917]  Sponsorship is critical at both local and national levels.
[00:06:22.118 --> 00:06:27.760]  If you have a business product or message that could benefit from this broadcast locally, call the station you're listening to.
[00:06:28.020 --> 00:06:31.862]  For national exposure, call 877-996-4327.
[00:06:32.462 --> 00:06:36.925]  Become a part of the Genesis team by calling your local station or call the national line at 877-996-4327.
[00:06:40.948 --> 00:06:44.529]  This is Pat Cooper with 10 reasons to listen to the Tony Del Vecchio Show.
[00:06:44.729 --> 00:06:46.729]  Reason number 10, no one listens to him at home.
[00:06:47.010 --> 00:06:49.410]  Reason number 9, I don't want to be the only one calling in.
[00:06:49.610 --> 00:06:51.771]  Reason number 8, think of the rest of the meeting yourself.
[00:06:51.811 --> 00:06:53.311]  I got a lot of things I gotta do today.
[00:06:53.331 --> 00:06:54.911]  Like get a job and get paid.
[00:06:55.232 --> 00:06:56.432]  I don't understand this guy.
[00:06:57.772 --> 00:07:00.653]  That's all about this with your host, Tony Del Vecchio.
[00:07:00.773 --> 00:07:03.053]  Saturday evenings from 9 to 10 p.m.
[00:07:03.113 --> 00:07:06.474]  Central Time, right here on the Genesis Communications Radio Network.
[00:07:07.154 --> 00:07:08.975]  And if you don't listen to his show, you'll have to deal with me.
[00:07:10.242 --> 00:07:14.863]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:07:15.083 --> 00:07:19.645]  It provides you with purified water, light, power, and communications ability.
[00:07:20.005 --> 00:07:34.489]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:07:34.749 --> 00:07:39.030]  The Berkey Security Pack is important every day and a must during emergencies.
[00:07:39.210 --> 00:07:54.124]  Because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[00:07:54.324 --> 00:07:57.987]  Get the one-stop solution for your emergency and everyday needs.
[00:07:58.147 --> 00:07:59.368]  The Berkey Security Pack.
[00:07:59.588 --> 00:08:00.870]  A retail value of $518 for only $399.
[00:08:03.712 --> 00:08:07.453]  By calling New Millennium at 888-803-4438.
[00:08:08.114 --> 00:08:09.494]  Not yet available in Iowa.
[00:08:15.917 --> 00:08:16.577]  Big Brother.
[00:08:17.237 --> 00:08:18.297]  Mainstream media.
[00:08:18.998 --> 00:08:20.118]  Government cover-ups.
[00:08:20.758 --> 00:08:21.579]  You want answers?
[00:08:22.339 --> 00:08:23.239]  Well, so does he.
[00:08:23.259 --> 00:08:27.741]  He's Alex Jones on the GCN Radio Network.
[00:08:28.081 --> 00:08:32.163]  And now, live from Austin, Texas, Alex Jones.
[00:08:34.691 --> 00:08:36.773]  All right, folks, it is September 11, 2003.
[00:08:38.054 --> 00:08:47.181]  And two years ago, four jets got hijacked magically.
[00:08:47.221 --> 00:08:48.302]  The bodies were never found.
[00:08:48.382 --> 00:08:50.224]  Most of the supposed hijackers are still alive.
