[00:00:00.089 --> 00:00:01.070]  Again, I'm Alex Jones.
[00:00:01.110 --> 00:00:06.833]  We're live on this 22nd of January, 2003 edition of this worldwide broadcast.
[00:00:08.794 --> 00:00:17.420]  And we're joined by Professor, pastor, best-selling author, Air Force officer, veteran, Tex Mars.
[00:00:17.620 --> 00:00:22.563]  And Tex, it's always great to have you on the show on your busy schedule, and I'm honored to have you here today, sir.
[00:00:23.083 --> 00:00:23.864]  Well, thank you, Alex.
[00:00:23.984 --> 00:00:26.906]  It's great to be with you and your wonderful audience.
[00:00:27.914 --> 00:00:38.201]  You know, we're exposing these things and more and more what we have been telling people has been slowly coming out.
[00:00:39.422 --> 00:00:41.964]  They're doing their best, of course, to put the lid on things.
[00:00:42.824 --> 00:00:48.328]  And everyone who does tell the truth is going to be battered and smeared.
[00:00:48.929 --> 00:00:53.031]  But it's just astonishing to me the great advances that we're making.
[00:00:55.689 --> 00:01:10.959]  But I have no doubt that we're going to face some difficult times ahead, because, for example, your radio program, so many people are telling me they're listening to Alex Jones, and he makes great sense, and he's got the facts and documentation, and I think this is what really frightens them.
[00:01:12.100 --> 00:01:14.602]  You know, let me just say this, Alex.
[00:01:14.662 --> 00:01:23.688]  I was reading USA Today a few years ago, and the editor, the publisher, Mr. Newhart, stated he had visited Moscow, Russia.
[00:01:24.691 --> 00:01:26.572]  Uh, and visit the offices of Pravda.
[00:01:27.052 --> 00:01:30.294]  Remember, that was the propaganda newspaper of the communists.
[00:01:30.374 --> 00:01:32.255]  It still exists over there.
[00:01:32.275 --> 00:01:34.696]  Of course, Pravda in Russian means truth.
[00:01:35.176 --> 00:01:36.877]  But they told anything but the truth.
[00:01:37.498 --> 00:01:43.020]  But on the wall was a big plaque with a quote by Vladimir Lenin.
[00:01:43.521 --> 00:01:44.961]  That still exists today!
[00:01:45.041 --> 00:01:45.482]  Imagine!
[00:01:46.262 --> 00:01:51.785]  All these years, supposedly, after the Iron Curtain fell, there in the Pravda newspaper in Moscow,
[00:01:52.649 --> 00:02:07.598]  Russia is this quote from Lenin and what it basically says, let me paraphrase it, it says, why should the government allow people to use words that criticize the government?
[00:02:08.719 --> 00:02:13.822]  After all, words are more lethal than bullets.
[00:02:14.668 --> 00:02:20.214]  It is only right that the government not allow people to use words against it.
[00:02:20.594 --> 00:02:30.284]  And now, Tex Mars, I've heard national so-called conservative talk show hosts advocate torture, advocate arresting any American that criticizes the government.
[00:02:30.364 --> 00:02:31.606]  I've heard that word for word.
[00:02:32.923 --> 00:02:37.067]  Advocate a New World Order system while claiming they're against the New World Order.
[00:02:37.607 --> 00:02:45.473]  It's incredible to see the Trojan Horse, we know Bill Clinton was evil, but just a puppet, to see the Trojan Horse that is George W. Bush.
[00:02:46.234 --> 00:03:02.246]  That's right, and see, programs like ours, because they're truth-telling programs, without any intent really of commercial, I mean, we have to live naturally, but in terms of really the power and fame, we know we're going to get anything but that by telling the truth.
[00:03:03.070 --> 00:03:04.311]  I believe Lennon was right.
[00:03:04.371 --> 00:03:08.032]  Let me give Mr. Lennon credit.
[00:03:08.592 --> 00:03:12.073]  Of course, you know, he's in the pit of hell today, but let's give him credit for telling the truth.
[00:03:13.114 --> 00:03:16.935]  Words are more lethal than bullets.
[00:03:17.255 --> 00:03:23.377]  And they want to continue their New World Order reign and push it all the way to the extreme.
[00:03:23.938 --> 00:03:27.499]  And the only thing that can stop them are the words of free men.
[00:03:28.064 --> 00:03:32.807]  And so, let's just keep going with these words, Alex, and telling the truth.
[00:03:32.847 --> 00:03:35.709]  But believe me, what... You know, I see this Scott Ritter.
[00:03:36.329 --> 00:03:41.693]  I don't know anything about the guy, except he was opposed, of course, to Bush's war.
[00:03:42.633 --> 00:03:51.959]  But it's interesting how they have now smeared him, and maybe he's guilty, maybe he isn't, claiming he tried to lure some young underage girl into a sex act with him.
[00:03:52.560 --> 00:03:56.222]  But the fact is that if there's any hidden thing in a person's closet,
[00:03:56.932 --> 00:03:57.833]  They will find it.
[00:03:58.233 --> 00:04:05.479]  I have no doubt now that they probably have at least a hundred agents looking for things in Alex Jones and Tex Morris' closets.
[00:04:05.920 --> 00:04:06.800]  So I invite them.
[00:04:06.860 --> 00:04:07.401]  Hey, come on in.
[00:04:07.421 --> 00:04:08.522]  Don't waste your time.
[00:04:09.002 --> 00:04:10.023]  Come to my ministry.
[00:04:10.443 --> 00:04:13.786]  I'll give you a cup of coffee and I'll let you look at all my closets.
[00:04:15.848 --> 00:04:22.994]  But you know, many years ago when I founded our ministry, Alex, I told Wanda, let us always do things above board.
[00:04:23.534 --> 00:04:25.616]  Keep your financial books in such a way.
[00:04:26.255 --> 00:04:36.664]  And our personal lives must act in such a way that these people, if they're going to trump up charges against us, let them have to do it by telling lies.
[00:04:37.565 --> 00:04:40.488]  And that's a very good rule for anybody listening out there.
[00:04:40.548 --> 00:04:43.391]  If they want to trump up charges, hey, they can do it.
[00:04:44.191 --> 00:04:44.932]  You know, let's face it.
[00:04:45.412 --> 00:04:45.873]  A U.S.
[00:04:45.953 --> 00:04:51.438]  attorney, I read recently in Newsweek Magazine, they said if he wants to,
[00:04:52.256 --> 00:04:56.377]  He can get an indictment of a ham sandwich.
[00:04:56.858 --> 00:05:06.201]  They've got a blizzard of regulations, rules and laws now that every person runs afoul of probably at one time or another in their daily lives.
[00:05:06.861 --> 00:05:13.123]  So if they want to trump up charges, if they want to plant a bomb somewhere or put a bomb
[00:05:13.886 --> 00:05:17.989]  A .50 caliber gun in your backyard while you're not at home on your own vacation.
[00:05:18.029 --> 00:05:21.671]  They send their agents in to bury something and then they claim to find it later on.
[00:05:21.911 --> 00:05:25.893]  They can tromp up and lie about you, but let's let them have to work for it.
[00:05:25.953 --> 00:05:26.674]  What do you say, Alex?
[00:05:27.294 --> 00:05:28.395]  Absolutely, Tex.
[00:05:28.615 --> 00:05:31.577]  And, you know, I look at the news.
[00:05:31.597 --> 00:05:32.937]  Let me read something to you here.
[00:05:34.038 --> 00:05:36.980]  This is last Thursday's Daily Oklahoman.
[00:05:37.240 --> 00:05:39.381]  UCO officials sees changing U.S.
[00:05:39.641 --> 00:05:40.082]  role.
[00:05:40.142 --> 00:05:41.022]  He's Don Betts.
[00:05:41.062 --> 00:05:42.023]  He's the dean.
[00:05:43.963 --> 00:05:49.667]  He's provost, vice president for academic affairs and professor of political science, Don Betz.
[00:05:49.867 --> 00:05:57.692]  Betz contends President Bush is proceeding to build the new world order that his father, former President Bush, talked about in 1989.
[00:05:59.833 --> 00:06:04.216]  The first President Bush was just ten years too early in his thinking, Betz said in a recent interview.
[00:06:04.476 --> 00:06:07.698]  What we're seeing now is a new world order being built around the United States.
[00:06:07.839 --> 00:06:09.500]  We're the new Rome, close quote.
[00:06:11.552 --> 00:06:19.619]  5 years ago, 6, 7, 8 years ago, with you 10, 12, 15 years ago, writing, speaking, broadcasting about this, I got some flack!
[00:06:19.639 --> 00:06:28.947]  In fact, you talk about gaining ground, I've done conservatively 600 radio interviews since 9-1-1, around the western world.
[00:06:30.128 --> 00:06:33.631]  From Canada to England, right here in Austin, Texas, on my own show.
[00:06:34.913 --> 00:06:42.636]  Now, I did a more unpolished show five, six years ago on local FM radio, and now we're on AM here locally, and I could load the phones of people that disagree with me.
[00:06:42.696 --> 00:06:46.417]  Now they don't call because everything we warned them about has now happened.
[00:06:46.958 --> 00:06:50.119]  Our credibility level has exploded, and I agree with you.
[00:06:50.139 --> 00:06:52.360]  The globalists are racing ahead for several reasons.
[00:06:52.380 --> 00:06:55.981]  I want to get your response to this analysis and get your advanced take on it.
[00:06:57.675 --> 00:07:14.746]  Rogue countries can develop alternative technologies that rival the globalist power monopoly, technological energy monopoly, also their advanced medical systems they've developed that they're suppressing for general use, and so they need to get a global dominant government just to maintain their power base.
[00:07:14.806 --> 00:07:15.987]  That's their view.
[00:07:16.267 --> 00:07:16.708]  Go ahead.
[00:07:17.508 --> 00:07:18.629]  Well, you're right.
[00:07:18.809 --> 00:07:20.310]  They do have to have that.
[00:07:21.071 --> 00:07:26.294]  And to some extent, the United Nations is not the perfect vehicle for them.
[00:07:26.883 --> 00:07:27.723]  And they know that.
[00:07:28.123 --> 00:07:38.527]  And I think what they're doing now is trying to show people, I'm not saying they're doing a good job of it, but they're trying to show people the inadequacy of the United Nations and so forth.
[00:07:39.087 --> 00:07:43.589]  But people have to be on the lookout right now for another horrible terrorist act to occur.
[00:07:44.289 --> 00:07:54.633]  Because it appears that there are some nations in the world, the people are so angry at the Bush administration, you know, in France and Germany, Italy and other places,
[00:07:55.157 --> 00:08:03.219]  I was recently in Italy and over 50,000 Italians demonstrated in front of the Colosseum against U.S.
[00:08:03.239 --> 00:08:04.300]  foreign policy in Iraq.
[00:08:04.760 --> 00:08:07.300]  And over recent weeks, of course, we're seeing that growing.
[00:08:08.281 --> 00:08:16.803]  So I believe to shut up this growing discontent of the masses, they're going to perpetrate some horrible terrorist act.
[00:08:17.487 --> 00:08:19.029]  I'm afraid that's going to happen.
[00:08:19.289 --> 00:08:20.390]  Well, Tex, you're right.
[00:08:20.450 --> 00:08:26.697]  Gary Hart, the CFR minion we aired earlier, saying use this disaster to get a new world order, 9-1-1.
[00:08:27.117 --> 00:08:29.640]  He's back on the news saying we will get hit.
[00:08:29.720 --> 00:08:30.641]  It will happen.
[00:08:31.081 --> 00:08:32.403]  It's gonna happen any day now.
[00:08:32.723 --> 00:08:36.106]  Tony Blair said yesterday instead of 3,000, it's gonna be 30,000 or more.
[00:08:38.308 --> 00:08:39.789]  It's so obvious they're behind it.
[00:08:40.770 --> 00:08:48.197]  MI5 and MI6 just got caught and admitted that they've carried out most of the bombings in England for the last 23 years, to blame it on political enemies.
[00:08:48.737 --> 00:09:00.168]  We know that that's happening, and now I hear the so-called conservative talk show hosts, that are about as red as it gets, saying, you watch these peace activists in this left wing, they're making a left-wing, right-wing debate.
[00:09:00.728 --> 00:09:03.791]  And the left's in on this thing, of course, just on the surface they're not.
[00:09:05.149 --> 00:09:09.793]  You watch, the next attack's coming, and then we're gonna have you guys arrested for aiding the enemy!
[00:09:10.294 --> 00:09:14.937]  So we're starting to hear these discussions of the setup whose scripting's being done, Tex.
[00:09:15.558 --> 00:09:19.822]  You know, you're right, and of course, what we have are two great movements there.
[00:09:20.182 --> 00:09:23.965]  We have the New World Order movement from the fascist side.
[00:09:23.985 --> 00:09:25.326]  Let's just call it the fascist side.
[00:09:25.887 --> 00:09:30.691]  I realize that in reality, there's not much difference at all between the fascists and the communists.
[00:09:31.937 --> 00:09:35.319]  You know, Stalin and Hitler were wonderful partners.
[00:09:35.359 --> 00:09:41.802]  They even signed a peace pact at the beginning of World War II to help divide up Poland between themselves.
[00:09:42.263 --> 00:09:44.604]  But, of course, nobody wants to remember that part of it.
[00:09:45.664 --> 00:09:47.585]  But what we've got is this.
[00:09:47.625 --> 00:09:53.568]  We've got the fascist side of the New World Order conspiracy, Bush and the corporate world, etc.
[00:09:53.989 --> 00:09:59.952]  And then we have the communist side, who are all these demonstrators out there, and, of course, they're
[00:10:00.839 --> 00:10:17.368]  Vehicles of propaganda, the daily workers' newspapers and such, the pro-North Korean mouthpieces, and you know, the typical 1960s hippie activists who are sort of being reborn now, revitalized.
[00:10:18.029 --> 00:10:25.133]  And they also, this is interesting now, the communist side of the New World Order conspiracy, they also want
[00:10:25.743 --> 00:10:31.106]  A New World Order to push their environmentalist agenda, their redistributionist agenda, etc.
[00:10:31.506 --> 00:10:37.189]  So each of them want global dictatorship.
[00:10:37.949 --> 00:10:42.391]  To me, I ask this question of the listener, Alex, and of you.
[00:10:43.692 --> 00:10:53.717]  Did it really matter in the 1940s whether you sat in a Hitlerian concentration camp, drinking your gruel, your soup,
[00:10:54.304 --> 00:10:56.647]  We're good to go.
[00:11:10.095 --> 00:11:11.696]  He was incarcerated.
[00:11:11.716 --> 00:11:17.777]  Well, the point is, if you look at these left-wing and right-wing groups, they were all founded and funded by the same big central banks.
[00:11:17.857 --> 00:11:25.779]  It's the left and right arm on the same monster, two treads that this slave train rolls on, or treads on a tank, or rails on a train.
[00:11:26.440 --> 00:11:33.882]  And then the average good middle American conservative sees all the hippies up there, un-American activity, saying the war is bad.
[00:11:33.902 --> 00:11:34.822]  Well, the war is bad.
[00:11:35.402 --> 00:11:39.123]  So the average conservative sees that and says, oh, the war must be good then.
[00:11:39.143 --> 00:11:41.764]  This is all part of this psychological warfare.
[00:11:42.704 --> 00:11:43.424]  It is indeed.
[00:11:43.524 --> 00:11:46.925]  And so we have these two sides, but they're both for the same thing.
[00:11:47.065 --> 00:11:52.927]  It would be a great mistake for a patriot, a true patriot, who loves the Constitution.
[00:11:52.967 --> 00:11:56.828]  We're really sort of the third force, you might say, okay?
[00:11:57.728 --> 00:12:01.169]  There are the fascists and the communists out there, but we're the third force.
[00:12:01.229 --> 00:12:03.230]  It would be wrong for us to go out and help
[00:12:04.098 --> 00:12:08.210]  The Communist element in these big anti-war rallies.
[00:12:08.752 --> 00:12:09.193]  Because?
[00:12:10.144 --> 00:12:11.805]  They have the same goal in mind.
[00:12:11.965 --> 00:12:15.286]  Well, I mean, they recruit for gun control organizations.
[00:12:15.646 --> 00:12:17.626]  They recruit for tax and spend.
[00:12:18.246 --> 00:12:19.367]  And the globalists love that.
[00:12:19.447 --> 00:12:23.788]  They lobby for big government, the corporations control the big government, and it only gives them more power.
[00:12:23.828 --> 00:12:26.369]  The liberals just fight the corporations with big government.
[00:12:26.929 --> 00:12:30.350]  All they're doing is adding power and muscle to this system.
[00:12:30.410 --> 00:12:32.410]  It's not free market, it's all command and control.
[00:12:32.490 --> 00:12:37.812]  It's a futile, global, slave system, you know, to get all the modern communist, fascist terms
[00:12:38.232 --> 00:12:41.195]  Out of the way, you're right, it's all command and control text.
[00:12:41.555 --> 00:12:57.229]  You know, what you mention, I saw an article text about six months ago in the City Morning Herald, and it was a nine-pager, and it said, the question here is, a socialist world order with a democracy for the children, or an evil corporate fascist world government.
[00:12:57.630 --> 00:13:01.193]  So, now they're admitting there's a world government, they're just giving us two
[00:13:03.228 --> 00:13:05.269]  There's selections of really the same thing.
[00:13:05.329 --> 00:13:08.350]  You know, it's like two tunnels that lead into one big tunnel.
[00:13:08.971 --> 00:13:09.451]  That's right.
[00:13:09.471 --> 00:13:12.192]  You know, about a year ago I read a book.
[00:13:12.232 --> 00:13:19.296]  It was written by two guys who were really very, the spark plugs of the environmentalist movement.
