[00:00:05.674 --> 00:00:06.335]  Big Brother.
[00:00:06.995 --> 00:00:08.056]  Mainstream media.
[00:00:08.757 --> 00:00:09.898]  Government cover-ups.
[00:00:09.918 --> 00:00:11.339]  You want answers?
[00:00:12.099 --> 00:00:13.060]  Well, so does he.
[00:00:13.480 --> 00:00:17.283]  He's Alex Jones on the GCN Radio Network.
[00:00:17.844 --> 00:00:21.947]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.629 --> 00:00:25.770]  Alright, my friends.
[00:00:26.090 --> 00:00:31.194]  We're already into the third and final hour of this global transmission against tyranny.
[00:00:32.618 --> 00:00:41.270]  And in the last hour we had Hutton Gibson, expert on the New World Order, and of course Father Mel Gibson on, talking about the different key issues.
[00:00:42.054 --> 00:01:06.670]  In this hour, we're joined by Andres von Bulow, and he was the Federal Minister of Defense, or the equivalent of our Secretary of Defense, been in the German government since the 70s, and up until just a few years ago, he was also the Minister of Technology, and he's written a book that, according to Reuters, is the bestseller in Germany, that translates into 9-11 and the CIA.
[00:01:09.065 --> 00:01:22.494]  And he's not the only German minister that has said that we're looking at world fascism here, and powerful military industrial complex institutions engineering terror attacks to scare us into submission.
[00:01:22.875 --> 00:01:34.482]  And Andres von Bülow, we are so honored to have someone of your stature and obvious intelligence and your courage on this show.
[00:01:34.582 --> 00:01:35.543]  Thank you for joining us.
[00:01:36.244 --> 00:01:37.905]  Hello, this is Andres von Bülow speaking.
[00:01:40.096 --> 00:01:47.919]  We're going to break here in a few minutes and come back in a longer segment, but for those that just joined us, tell us a little bit more about yourself and then your book, please.
[00:01:49.560 --> 00:01:54.522]  Well, I have been 25 years in politics.
[00:01:54.682 --> 00:01:55.342]  Now I am out.
[00:01:57.623 --> 00:02:05.966]  In the end, I was a Minister of Technology before I was Secretary for Defense.
[00:02:06.006 --> 00:02:07.887]  Then I had to deal in
[00:02:09.460 --> 00:02:16.006]  In a commission about the East-West transactions, about the secret service of East Germany.
[00:02:17.468 --> 00:02:21.651]  And this was a very interesting inside story.
[00:02:23.213 --> 00:02:40.204]  Because on the Western side, on doing deals between East and West and violating the laws of economics in Germany, in the European community and the United States,
[00:02:44.025 --> 00:02:47.910]  It was always two parts which were dealing between East and West.
[00:02:47.970 --> 00:02:51.935]  And this brought me a lot of insight in the Secret Service business.
[00:02:52.576 --> 00:02:55.680]  In fact, I remember reading about the huge investigations you did.
[00:02:55.720 --> 00:02:58.784]  That was massive international headlines concerning Wisconsin.
[00:02:59.524 --> 00:03:02.847]  And how different governments have actually been working with these people.
[00:03:03.427 --> 00:03:06.489]  And if you'd like, you're welcome to get into that as well.
[00:03:06.549 --> 00:03:14.175]  Again, folks, the equivalent of the Secretary of Defense, Minister of Defense in Germany, and then of course technology, the head of that.
[00:03:15.256 --> 00:03:16.597]  Just absolutely amazing.
[00:03:18.638 --> 00:03:24.723]  Your best-selling book, and I wish there was an English translation, because I would certainly buy one,
[00:03:25.610 --> 00:03:30.534]  My wife does read German, but please tell us about your book.
[00:03:32.716 --> 00:03:43.024]  Well, I was writing another book, and then 9-11 happened, and it was strange to me watching.
[00:03:43.104 --> 00:03:53.752]  Well, we all were horrified what was going on, and we said, well, it's impossible, and how can a crew of people manage to do such things?
[00:03:56.171 --> 00:04:09.355]  At the first hours we didn't know who was it, then within hours came out that probably Osama Bin Laden and Al Qaeda was behind that, and then within two or three days
[00:04:11.929 --> 00:04:37.513]  These 19 people came out and my objection was, or my looking at it, to whom make it bring good and I found out that it's rather damaging to the Islamist world and perhaps
[00:04:38.195 --> 00:04:43.039]  It might be not only a terrorist attack, perhaps it might be a covert operation.
[00:04:43.680 --> 00:04:51.067]  And I watched the scenery going on, what the American government is... Minister, Minister, we've got a break, we'll be back in three minutes.
[00:04:52.107 --> 00:04:55.130]  Absolutely, we'll go into this in great detail, we're honored to have you.
[00:04:55.951 --> 00:04:58.193]  We're talking to Andres Von Muehlo, we'll be back.
[00:05:01.480 --> 00:05:04.541]  Attend the world's biggest UFO event from the comfort of your own home.
[00:05:04.762 --> 00:05:06.422]  Live on the Internet, February 14th.
[00:05:06.682 --> 00:05:11.785]  The 13th Annual International UFO Congress is broadcasting the full last day of their week-long event.
[00:05:11.865 --> 00:05:15.966]  This features five researchers with stunning photos, some never before shown in public.
[00:05:16.147 --> 00:05:18.207]  See it all from your computer in streaming video.
[00:05:18.348 --> 00:05:19.828]  Guest speakers include Michael Horn.
[00:05:19.908 --> 00:05:24.710]  He'll tell us about Edward, Billy Meyer from Switzerland, who's taken some of the clearest photos of E.T.
[00:05:24.790 --> 00:05:26.091]  aircrafts in recorded history.
[00:05:26.471 --> 00:05:35.182]  Dr. Norman Bergman joins us to discuss the probability of other life in the universe, providing remarkable photos from Voyager and the Apollo space missions that suggest we are not alone.
[00:05:35.383 --> 00:05:40.890]  And Santiago Garza will present two recent cases in England, including video footage that intrigued the entire country.
[00:05:41.290 --> 00:05:43.293]  These credible guests are just the tip of the iceberg.
[00:05:43.673 --> 00:05:45.314]  No X-Files or Twilight Zone here.
[00:05:45.434 --> 00:05:46.654]  This is the real deal.
[00:05:46.754 --> 00:05:52.276]  Catch a glimpse of the 13th annual week-long UFO Congress as it concludes on February 14th, live on the Internet.
[00:05:52.376 --> 00:05:57.318]  For more information on this first-time-ever event, go to www.openhearings.com.
[00:05:57.458 --> 00:06:00.099]  That's www.openhearings.com.
[00:06:00.962 --> 00:06:07.806]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1, The Road to Tyranny, on DVD.
[00:06:08.126 --> 00:06:09.487]  That's right folks, DVD.
[00:06:09.687 --> 00:06:11.888]  The original film was 144 minutes long.
[00:06:12.048 --> 00:06:14.129]  The DVD version is 170 minutes.
[00:06:14.409 --> 00:06:19.352]  If you want to wake up your friends and families to the truth of what happened on September 11th, this is the film for you.
[00:06:19.672 --> 00:06:23.714]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[00:06:23.954 --> 00:06:25.734]  You absolutely must see this DVD.
[00:06:25.815 --> 00:06:36.457]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plannable microchips, and much, much more.
[00:06:36.617 --> 00:06:38.498]  Bottom line, this film is waking people up.
[00:06:38.718 --> 00:06:42.559]  Order your copy on VHS or TV today, and man the guns in the info war.
[00:06:42.679 --> 00:06:44.099]  Order right now by calling 1-888-253-3139.
[00:06:44.139 --> 00:06:44.339]  That's 888-253-3139.
[00:06:51.041 --> 00:06:54.752]  Or order online at Infowars.com or Infowars.net.
[00:06:55.012 --> 00:06:55.754]  Again, that number, 888-253-3139.
[00:07:00.194 --> 00:07:01.775]  Hello folks, this is Alex Jones.
[00:07:02.155 --> 00:07:07.897]  You know that Berkey water filters have become the standard of excellence by which all other water filtration systems are measured.
[00:07:08.157 --> 00:07:13.299]  The Berkey Light gives you the freshest, cleanest water possible from the world's most revolutionary water filtration system.
[00:07:13.619 --> 00:07:22.903]  The self-sterilizing black Berkey elements remove pathogenic bacteria, cysts, parasites, volatile organic chemicals, trihalomethanes, radon-222, and much, much more.
[00:07:23.263 --> 00:07:28.205]  It's rechargeable 8-lamp bright white LED lighting system provides the ideal source of emergency light.
[00:07:28.546 --> 00:07:32.528]  The lights can run all night on a single charge and it is bright enough to read by.
[00:07:32.748 --> 00:07:37.490]  This provides a relaxing and ambient night light that allows for optimum use during emergency conditions.
[00:07:37.930 --> 00:07:43.773]  Emerging Light's revolutionary transparent design takes the guesswork out of refilling because you can see the water level at all times.
[00:07:44.133 --> 00:07:53.175]  Get the Berkey Light, the standard of excellence for only $259 by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[00:07:53.355 --> 00:07:56.876]  That's toll free at 888-803-4438.
[00:07:57.436 --> 00:07:58.536]  Not yet available in Iowa.
[00:08:01.297 --> 00:08:03.497]  He's the T-Rex of political talk.
[00:08:04.077 --> 00:08:06.838]  Alex Jones on the GCN Radio Network.
[00:08:08.940 --> 00:08:09.921]  That's right, my friends.
[00:08:10.041 --> 00:08:14.224]  It's 8 minutes, 10 seconds into this third hour of global transmission.
[00:08:15.165 --> 00:08:32.118]  I am so honored to have on Andres von Bulow, former German Defense Minister, head of their Defense Department, and then, of course, just a few years ago, the head of their technology system, which is a very high-level post, just as high-level as the Defense Minister in Deutschland.
[00:08:32.882 --> 00:08:34.963]  And he's written a best-selling book.
[00:08:35.384 --> 00:08:38.545]  I've read some of the quotes out of it that have been translated into English.
[00:08:39.826 --> 00:08:42.928]  And the title translated is, 9-11 and the CIA.
[00:08:42.968 --> 00:08:47.150]  And he lays out the evidence of the military-industrial complex carrying out the attacks.
[00:08:47.651 --> 00:08:50.312]  Also, we're lining up for the show Michael Meacher.
[00:08:51.433 --> 00:08:56.776]  And he, of course, was the British Environment Minister who resigned over Tony Blair's fraud.
[00:08:57.721 --> 00:08:58.521]  I don't know.
[00:09:16.155 --> 00:09:38.086]  On the day of the event, you began to look at it, you began to research it, and from your specific expertise of intelligence and military and technology, you know, heading up entire sectors of the world's third largest economy, please discuss for us your research and how you wrote the book and what really happened on 9-11.
[00:09:40.318 --> 00:09:50.284]  At 9-11 I just watched the scenery and I said, well, there must have gone something very wrongly, in the wrong way.
[00:09:52.305 --> 00:10:06.293]  And I watched the TV, for example, and in the same minute where the TV showed the planes driving into the World Trade Center,
[00:10:06.741 --> 00:10:19.466]  You found these Palestinians dancing and laughing and a few days later one could find out that this was a fake.
[00:10:20.546 --> 00:10:33.111]  It was made by a TV crew of the Defense Ministry in Israel and they gave candies to the people and they laughed about it and nobody told it and the question for me was
[00:10:33.803 --> 00:10:42.969]  Who brought this TV stuff right in time into the international networks like CNN and CBS and so on and so on?
[00:10:44.310 --> 00:11:00.380]  And then we looked for the... and then the story came up, this has been done by Osama Bin Laden and his Al-Qaeda and these were 19 people of Muslim background which did this.
[00:11:01.059 --> 00:11:06.824]  And then you could watch at the passenger list, and nobody showed up.
[00:11:07.545 --> 00:11:10.147]  Not one Arabic name is showing up there.
[00:11:10.167 --> 00:11:22.839]  Then one is interested to see videos, because all these 19 passengers must have passed a lot of video cameras in these three airports.
[00:11:23.459 --> 00:11:27.063]  In Dallas, I think, in Newark, and in Logan in Boston.
[00:11:27.677 --> 00:11:31.400]  And in Portland, in the North.
[00:11:32.220 --> 00:11:33.461]  You don't get this stuff.
[00:11:35.042 --> 00:11:37.204]  We are looking for the black boxes.
[00:11:37.244 --> 00:11:38.145]  We don't get them.
[00:11:39.285 --> 00:11:43.509]  And the story how these World Trade Centers broke down.
[00:11:43.529 --> 00:11:48.592]  They were constructed against an approach by airplanes.
[00:11:51.118 --> 00:11:57.781]  The firemen of New York, they were able to come to the floor where the fires were burning.
[00:11:58.762 --> 00:12:06.186]  And the fire commander said, well, I need two teams more to fight these fires, and then it's finished.
[00:12:06.867 --> 00:12:16.072]  So the heat, it's impossible that the heat was as high as it has been written in the papers and in all the media.
[00:12:16.332 --> 00:12:17.573]  And then, and then,
[00:12:18.815 --> 00:12:22.980]  The Feds declared that all the firefighter tapes had malfunctioned.
[00:12:23.300 --> 00:12:24.682]  Turns out that wasn't true.
[00:12:24.762 --> 00:12:26.063]  We got copies of them.
[00:12:26.404 --> 00:12:29.007]  And it did say that the firefighters said the fires were out.
[00:12:29.607 --> 00:12:30.869]  Others are almost out.
[00:12:31.089 --> 00:12:37.056]  There's video of people standing in the holes in the buildings with no fire around them.
[00:12:39.298 --> 00:12:44.162]  We're going to go over the evidence that's in your book, sir, and why you came to these educated conclusions.
[00:12:45.423 --> 00:12:49.487]  But first, I wanted to ask you, have you heard the new developments?
[00:12:49.967 --> 00:13:00.516]  The owner of the World Trade Center slipped up on TV and said that they blew Building 7 up, the 47-story building that wasn't even hit by an aircraft.
[00:13:01.197 --> 00:13:02.638]  This just broke two weeks ago.
[00:13:02.658 --> 00:13:03.339]  Have you heard this?
[00:13:03.679 --> 00:13:05.040]  You're sure I have heard this?
[00:13:05.120 --> 00:13:06.822]  I follow the whole scenery.
[00:13:07.962 --> 00:13:13.665]  You know, normally it's not coming out in Germany, it's coming out in your country.
[00:13:14.325 --> 00:13:24.510]  And it's a fascinating background to research via internet, because all this stuff is broadly spread over the internet.
