[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[00:00:18.074 --> 00:00:20.294]  You're listening to Alex Jones.
[00:00:31.662 --> 00:00:34.486]  If they say I never loved you, know they are a liar.
[00:00:41.807 --> 00:00:43.848]  Thank you so much for joining us, ladies and gentlemen.
[00:00:43.848 --> 00:00:46.890]  I'm coming to you from Los Angeles, California.
[00:00:46.890 --> 00:00:49.212]  I'm going to be live for the next three hours.
[00:00:49.212 --> 00:01:02.221]  They have one of the other great crew members hosting the fourth hour, and then I'm going to get in the car and drive down the street and host a couple hours of the Joe Rogan Experience, one of the most popular, if not the most popular podcast out there.
[00:01:02.221 --> 00:01:05.943]  It's also on XM and other satellite systems around the country.
[00:01:05.943 --> 00:01:11.267]  So that's coming up at roughly 3.30 Central today, about 30 minutes after this broadcast ends.
[00:01:12.844 --> 00:01:20.966]  Well, we have Judge Neil Gorsuch, who weeks ago, folks I talked to said was the lead candidate.
[00:01:20.966 --> 00:01:26.488]  I know that Judge Andrew Napolitano was also in the running, but never on the list.
[00:01:26.488 --> 00:01:34.450]  And because of that oversight of him not being on the computer-generated list of the most conservative judges, both federal and state,
[00:01:35.799 --> 00:01:45.803]  Trump basically couldn't choose him, but I know that he is certainly in the running down the road as one of the leading constitutional jurists in the country.
[00:01:45.803 --> 00:01:52.365]  But this gentleman is an acolyte of the late Antonin Scalia, who was killed under very mysterious circumstances.
[00:01:52.365 --> 00:01:56.847]  They were good friends and vacations and hunted together.
[00:01:58.320 --> 00:02:06.223]  And so, now a mentor of Antonin Scalia, a strict constitutional constructionist, will hopefully get confirmed.
[00:02:06.223 --> 00:02:11.005]  Now, he got confirmed to the federal bench years ago, unanimously.
[00:02:12.182 --> 00:02:27.763]  And now 12 of the 48 Democrats that are running around like proverbial goblins with their heads cut off, screaming and yelling that this man is the devil, look like complete fools because 12 of the 48 that are out there attacking all 12 of them confirmed him.
[00:02:27.763 --> 00:02:29.305]  He was confirmed unanimously.
[00:02:30.106 --> 00:02:34.987]  We've got Trump basically announcing yesterday.
[00:02:34.987 --> 00:02:37.848]  We've got the response of the media.
[00:02:37.848 --> 00:02:40.789]  We also have Dick Durbin saying nothing has changed.
[00:02:40.789 --> 00:02:41.969]  They'll still confirm him.
[00:02:41.969 --> 00:02:45.770]  So he's one of the only people actually being honorable about the fact that he confirmed him before.
[00:02:45.770 --> 00:02:47.131]  They'll confirm him again.
[00:02:47.131 --> 00:02:50.312]  This is a big deal for our country.
[00:02:50.312 --> 00:02:57.774]  We tend to live in this instant ratification society since we don't appreciate flowing water and indoor plumbing and medicine, you know, things like that.
[00:02:58.985 --> 00:03:02.253]  But what happens when the antibiotics stop working?
[00:03:02.253 --> 00:03:04.297]  Well, what happens if we lost the Supreme Court?
[00:03:04.297 --> 00:03:06.102]  It's kind of the same question.
[00:03:06.102 --> 00:03:09.008]  We were within a paper's thin margin.
[00:03:10.515 --> 00:03:12.976]  Of the globalists completely taken over the Supreme Court.
[00:03:12.976 --> 00:03:17.797]  It was Antonin Scalia that defended the Second Amendment in the D.C.
[00:03:17.797 --> 00:03:22.598]  Heller case that's now reversing the gun confiscation trend.
[00:03:22.598 --> 00:03:31.721]  But understand something, if we don't fight hard now for everything Trump's doing, we're going to lose it all because the enemy is not as arrogant as they were.
[00:03:31.721 --> 00:03:36.122]  The enemy is reconstituting its force and moving harder than ever against free humanity.
[00:03:36.122 --> 00:03:38.183]  But really good things are happening.
[00:03:39.076 --> 00:03:43.498]  Now, the globalists have been pushing for war with Russia when China is the real threat.
[00:03:43.498 --> 00:03:49.140]  I agree with President Trump and his advisors that the real issue is radical Islam and the communist Chinese threat.
[00:03:49.140 --> 00:03:51.500]  I don't wish for war with any of these groups.
[00:03:51.500 --> 00:03:55.562]  But China is expanding its sphere of influence, trying to set up its own global order.
[00:03:55.562 --> 00:03:59.863]  And so are the Islamists, as is very, very, very obvious.
[00:03:59.863 --> 00:04:07.006]  There's a big article in USA Today, Bannon takes a dark view on Islam as he joins the National Security Council.
[00:04:09.045 --> 00:04:13.708]  And, you know, this is a big deal, because Bannon is an anti-New World Order, Americana patriot.
[00:04:13.708 --> 00:04:16.530]  It's not about left or right, it's about doing the right thing.
[00:04:16.530 --> 00:04:33.380]  You can hear echoes of Bannon in Trump's now incredibly famous inaugural speech, where America was reborn on January 20th, where he talks about this isn't about Democrats or Republicans, it's about the people, and about power being transferred back to you.
[00:04:33.380 --> 00:04:34.161]  They freak out.
[00:04:35.277 --> 00:04:38.620]  In this article and others saying, oh my God, he's worried about radical Islam.
[00:04:38.620 --> 00:04:45.167]  They try to paint him as extreme when all he's doing is saying the sun came up this morning and stating facts.
[00:04:45.167 --> 00:04:48.250]  So all this and more coming up.
[00:04:48.250 --> 00:04:52.494]  We also have some special guests today and some big announcements.
[00:04:52.494 --> 00:04:56.698]  I'm Alex Jones coming to you from the road on this February 1st, 2017 Global Transmission.
[00:04:59.909 --> 00:05:06.270]  There's one ex-official that's calling on Mexico to, quote, unleash drug cartels to punish President Trump.
[00:05:06.270 --> 00:05:09.551]  He's suggesting that drugs should be allowed to flow freely into the U.S.
[00:05:09.551 --> 00:05:13.372]  Of course, I'm talking about former Secretary of Foreign Affairs George Castaneda.
[00:05:13.372 --> 00:05:18.473]  He's calling on Mexico to punish Trump for his actions on deporting illegals here in the U.S.
[00:05:18.473 --> 00:05:19.973]  and building a border wall.
[00:05:19.973 --> 00:05:24.274]  He's suggesting that criminal cartels should be allowed to run drugs freely in the U.S.
[00:05:24.514 --> 00:05:30.817]  During an interview on CNN, the ex-official suggested that drug cartels could be unleashed on the U.S.
[00:05:30.817 --> 00:05:34.518]  as retribution for Trump's aggressive stance toward Mexico.
[00:05:34.518 --> 00:05:38.100]  He goes on to say, Mexico has a lot of negotiating ships in this matter.
[00:05:38.100 --> 00:05:43.642]  For example, drugs that come through Mexico from South America or drugs that are produced here in Mexico all go to the U.S.
[00:05:43.642 --> 00:05:44.683]  This is not our problem.
[00:05:44.923 --> 00:05:46.204]  We've been cooperating with the U.S.
[00:05:46.204 --> 00:05:50.906]  for many years on these issues because they've asked us to and because we have a friendly, trustful relationship.
[00:05:50.906 --> 00:05:51.947]  You know what, pal?
[00:05:51.947 --> 00:05:56.669]  That relationship does include a wall which is being built whether you like it or not.
[00:05:56.669 --> 00:05:59.871]  I'm Margaret Howe reporting for InfoWars.com.
[00:05:59.871 --> 00:06:05.353]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at InfoWarsStore.com.
[00:06:05.353 --> 00:06:07.434]  Research across the board is clear.
