[00:00:18.663 --> 00:00:20.484]  Welcome to the Info Wars Nightly News.
[00:00:20.504 --> 00:00:22.745]  It is Monday, March 27th, 2017.
[00:00:23.466 --> 00:00:25.627]  I'm Leanne McAdoo and here's what's coming up tonight.
[00:00:30.424 --> 00:00:43.947]  The mainstream media wants President Donald Trump to apologize to Barack Obama for posting on Twitter that Obama was wiretapping him during the run-up to the election.
[00:00:44.747 --> 00:00:56.570]  Meanwhile, White House Chief of Staff Rence Priebus says he is confident that Trump will be proven right and Trump Tower was indeed under electronic surveillance.
[00:00:57.702 --> 00:01:08.989]  Then, as the New World Order begins to collapse, the shadow government expands its continuity of government powers to ensure its survival.
[00:01:09.809 --> 00:01:15.413]  And that means the deep state plans to overthrow Donald Trump.
[00:01:16.413 --> 00:01:20.496]  All that plus much more, up next on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.971 --> 00:03:14.094]  Well, while the mainstream media continues to ramp up the whole Russiagate non-story, once again they are failing to investigate the Clinton camp's ties to Russia.
[00:03:14.514 --> 00:03:29.118]  Again, coming up with John Podesta, who's been eerily quiet since about December with this whole Russiagate stuff, and that's because he may have violated federal law by not disclosing 75,000 stock shares with ties to a Kremlin
[00:03:29.878 --> 00:03:30.699]  We're good to go.
[00:03:53.212 --> 00:03:53.593]  We're good to go.
[00:04:12.714 --> 00:04:19.236]  But he failed to report that, and he's required to, based on Schedule B of the federal government's Form 278.
[00:04:20.417 --> 00:04:23.498]  His Schedule B is blank there.
[00:04:23.998 --> 00:04:36.002]  And so this form requires Podesta to report any purchase, sale, or exchange by you, your spouse, or dependent children, any property, stocks, bonds, commodity, anything with the amount of the transaction exceeding $1,000.
[00:04:36.462 --> 00:04:40.083]  So he left his blank, and he still has that.
[00:04:40.663 --> 00:05:02.583]  Now, the campaign, when this was brought up, the campaign said that he sold everything off, everything's fine, but it doesn't say what happened to about 41,000 shares, where those 41,000 shares were, because he divested all of these shares into other companies that he created right before he went into the Obama White House.
[00:05:04.264 --> 00:05:09.548]  Again, this is the paper trail that's left, and people are saying, why has he been so quiet?
[00:05:09.588 --> 00:05:21.277]  He hasn't really said anything negative about Russia since December, and it's because, you know, people are going to tie back that there are some other people within our government who have ties to the Russians.
[00:05:21.437 --> 00:05:29.623]  Of course, Hillary Clinton selling a Kremlin-connected company 20% of the United States' uranium, so that doesn't look good either.
[00:05:30.143 --> 00:05:36.605]  Now we're also seeing the Democrats stalling and delaying there with the Gorsuch vote.
[00:05:36.945 --> 00:05:47.488]  So this is now we're seeing these anti-Gorsuch activists calling out, saying that they're not going to allow him to come in because of his stance on dark money.
[00:05:47.948 --> 00:05:49.988]  But here they have absolute hypocrisy.
[00:05:50.028 --> 00:05:52.089]  Now this is head of a liberal dark money group.
[00:05:52.489 --> 00:05:58.717]  They criticized the Supreme Court nominee because of his stance on political disclosures and Citizens United.
[00:05:59.118 --> 00:06:10.031]  Heather McGhee is the president of Demos and she told members of the Senate Judiciary Committee that confirming Judge Gorsuch would lead to big money corrupting our politics completely.
[00:06:10.612 --> 00:06:21.296]  Well, lo and behold, Demos, the group that she belongs to, does not disclose its donors and it was actually cited by the Center for Public Integrity as a dark money group in January.
[00:06:21.316 --> 00:06:26.398]  A review of the 501c3 non-profits group's most recent tax forms
[00:06:26.898 --> 00:06:27.339]  We're good.
[00:06:47.253 --> 00:06:47.493]  We're good.
[00:07:06.457 --> 00:07:07.338]  We're good to go.
[00:07:27.034 --> 00:07:28.996]  And I thought this was really interesting.
[00:07:29.236 --> 00:07:44.408]  Democratic Senator Kamala Harris said last week that she is going to vote against Judge Neil Gorsuch's nomination because he values the law above achieving justice for all Americans when considering rulings.
[00:07:44.468 --> 00:07:44.869]  That's right.
[00:07:45.709 --> 00:07:59.515]  Now this is the exact reason why we are trying to vet the next Supreme Court Justice that gets in there to make sure he's going to uphold the law of the land and not be swayed by social justice policies that come and go.
[00:07:59.655 --> 00:08:09.979]  And here this lady is saying that Gorsuch nomination, she's going to argue against it because he has sided with the law instead of the American people.
[00:08:10.519 --> 00:08:14.321]  She says Judge Gorsuch has consistently valued narrow legalisms
[00:08:14.881 --> 00:08:16.042]  Over real lives.
