[00:00:09.483 --> 00:00:15.665]  It is July 30th, 2017 on this Sunday, live global transmission.
[00:00:15.665 --> 00:00:17.525]  Tomorrow I'll be back in the ATX.
[00:00:17.525 --> 00:00:20.886]  I am still in Hawaii as we speak.
[00:00:20.886 --> 00:00:22.887]  Wow, we've got major U.S.
[00:00:22.887 --> 00:00:26.288]  companies saying that their employees have to take microchips to work there.
[00:00:26.288 --> 00:00:29.409]  We've got North Korea now able to nuke the mainland U.S.
[00:00:30.289 --> 00:00:33.511]  We have just got so much incredible information to break down.
[00:00:33.511 --> 00:00:38.855]  It's cutting edge, kind of like Roger Stone on Tuesday saying that General Kelly would replace Reince Priebus.
[00:00:38.855 --> 00:00:45.779]  Here is that report and we'll be back with all the rest of the news days, weeks, months and years before MSM.
[00:00:45.779 --> 00:00:55.886]  There is much speculation after the firing of Sean Spicer about the fate of White House Chief of Staff Reince Priebus.
[00:00:57.068 --> 00:01:09.353]  First of all, the President deserves kudos, in my opinion, for the appointment of Sarah Huckabee Sanders as his Chief Spokeswoman and the White House Press Secretary.
[00:01:09.353 --> 00:01:12.074]  This is a strong appointment.
[00:01:12.074 --> 00:01:21.538]  She's been doing a much better job defending the President and speaking on his behalf than Spicer, and in my view, she well deserves the job.
[00:01:21.538 --> 00:01:25.300]  So congratulations to Sarah Huckabee Sanders.
[00:01:26.101 --> 00:01:35.907]  In the meantime, however, it appears that there is a three-way decision that the President has before him regarding the White House Chief of Staff.
[00:01:37.225 --> 00:01:46.951]  On this list are David Urban, a decorated veteran, a former chief of staff on Capitol Hill, the U.S.
[00:01:46.951 --> 00:01:48.793]  Senator Arlen Specter.
[00:01:48.793 --> 00:01:58.179]  But nonetheless, a hardline Trump loyalist who ran the nuts and bolts campaign on the ground in Pennsylvania.
[00:01:58.179 --> 00:02:06.284]  Someone the president knows well and someone who has both administrative skills and political skills.
[00:02:07.353 --> 00:02:15.718]  Urban was the administrative assistant to perhaps the meanest, toughest, smartest, and most difficult member of the U.S.
[00:02:15.718 --> 00:02:18.360]  Senate, Arlen Specter.
[00:02:18.360 --> 00:02:31.828]  This does not in any way reflect the politics of Urban himself, who is a solid Trumpite from the beginning, and in my view, responsible for the historical win in Pennsylvania.
[00:02:32.899 --> 00:02:38.842]  Also, unbelievably, in the running is Dina Habib Howell.
[00:02:38.842 --> 00:02:57.052]  She is a former member of the George W. Bush White House staff, a certified globalist, her best friends, Valerie Jarrett, also Huma Abedin, and then, of course, Condi Rice.
[00:02:58.084 --> 00:03:21.960]  She was very successful in squeezing Rick Grenell, another key Trump supporter, out of the position of NATO ambassador, delivering that to former Texas Senator Kay Bailey Hutchison, a certified Trump hater, a never-Trumper, who had nothing good to say about candidate Trump during the election.
[00:03:21.960 --> 00:03:27.083]  And then also, a wild card, and you'll be hearing this first at InfoWars,
[00:03:27.777 --> 00:03:38.744]  General John Kelly, currently the head of Homeland Security, is also in contention for the position of White House Chief of Staff.
[00:03:38.744 --> 00:03:52.172]  Researching Kelly, the first thing that pops up is his status as an unreconstructed drug warrior, someone who agrees with Jeff Sessions on the question of refiring up the failed
[00:03:53.159 --> 00:04:03.267]  Expensive and I think proven disaster that was the war on drugs first initiated by my mentor Richard Nixon.
[00:04:03.267 --> 00:04:12.514]  It is hard to determine with Kelly's military background whether he is in fact a globalist and we're researching that.
[00:04:13.231 --> 00:04:31.481]  But in the meantime, it's very important that the president understand that his next administrative assistant, his next chief of staff, pardon me, should be someone with both administrative... Alright, so there's Roger Stone hosting the show last Tuesday, and we clearly said that Priebus was going to be out by the end of the week, and that Kelly was in the running.
[00:04:31.481 --> 00:04:34.443]  I mean, that's directly from, obviously, our sources.
[00:04:34.443 --> 00:04:39.146]  And a lot of the Washington Post on Friday had to admit that we broke it, but said, oh, we had a lucky guess.
[00:04:40.026 --> 00:04:45.809]  Yeah, we said Priebus would be out by the end of the week and that General Kelly was in them running there and there you go.
[00:04:45.809 --> 00:04:47.390]  Just showing how good Stone's sources are.
[00:04:47.390 --> 00:04:49.091]  We have other sources as well.
[00:04:49.091 --> 00:04:56.195]  Now, massively important news from North Korea to publicly having to have a microchip to have a job, it planted in your body.
[00:04:56.195 --> 00:04:57.496]  It's all coming up straight ahead.
[00:05:00.307 --> 00:05:04.970]  As most of you already know, I am a voracious consumer of news and information.
[00:05:04.970 --> 00:05:17.919]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[00:05:17.919 --> 00:05:24.503]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[00:05:24.503 --> 00:05:26.945]  And so I set out to develop caveman.
[00:05:27.025 --> 00:05:38.256]  But to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[00:05:38.256 --> 00:05:40.619]  InfoWars isn't just fighting the globalists.
[00:05:40.619 --> 00:05:42.080]  We're getting results.
[00:05:42.080 --> 00:05:48.046]  And we're expanding in the face of the complete media assault and winning because of your support.
[00:05:48.186 --> 00:05:51.070]  Caveman is finally back at the InfoWars store.
[00:05:51.070 --> 00:05:57.739]  You can get 25% off the regular price for a limited time only at InfoWarsLife.com or by calling toll free at 888-253-3139.
[00:06:12.165 --> 00:06:18.415]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:31.584 --> 00:06:33.025]  Well, here we are, ladies and gentlemen.
[00:06:33.025 --> 00:06:35.147]  It is July 30th, 2017.
[00:06:35.147 --> 00:06:40.431]  I'm your host, Alex Jones, coming to you from the middle of the Pacific Ocean.
[00:06:40.431 --> 00:06:44.534]  I'll be back on my way to Texas and be there tomorrow.
[00:06:44.534 --> 00:06:51.680]  We have been here to investigate the situation with the elite, like Zuckerberg, moving here to avoid what they themselves have created.
[00:06:51.680 --> 00:06:59.165]  We've also been investigating the Pacific Missile Range Missile Defense System, which is now more important than ever, with North Korea being able to hit basically
[00:07:00.126 --> 00:07:04.050]  As far east as Chicago, easily with ICBMs.
[00:07:04.050 --> 00:07:06.732]  They've successfully tested that the Japanese and U.S.
[00:07:06.732 --> 00:07:16.461]  government have studied the trajectory and confirmed that indeed the psychopath Kim Jong-un's megalomaniacal threats are indeed reality-based.
[00:07:16.461 --> 00:07:17.822]  They have a special report on that.
[00:07:17.822 --> 00:07:20.524]  I'm going to air first here in just a moment.
[00:07:20.524 --> 00:07:25.189]  Then, we've seen ABC, NBC, CBS, all of them
[00:07:26.476 --> 00:07:30.478]  I'm suddenly saying, soon everybody's going to have a microchip.
[00:07:30.478 --> 00:07:31.539]  Your kids are going to have them.
[00:07:31.539 --> 00:07:32.179]  You're going to have them.
[00:07:32.179 --> 00:07:33.640]  It's going to make everything so simple.
[00:07:33.640 --> 00:07:35.581]  You'll never lose your wallet again.
[00:07:36.357 --> 00:07:48.966]  Of course, thieves will just steal your RFID number and makes it 10 times worse, or just cut your finger off, you know, to biometrically scan your... I mean, it creates a whole other set of problems, but it gives government total control over your life.
[00:07:48.966 --> 00:07:51.247]  It's perfect for Internet ID.
[00:07:51.247 --> 00:07:52.008]  That's where all this is.
[00:07:52.008 --> 00:07:58.052]  But now they have major US companies, not just companies in Europe, saying, if you want to work here, you're going to take a chip.
[00:07:58.812 --> 00:08:03.335]  I bet it in your hand, in between your middle finger and your index finger.
[00:08:03.335 --> 00:08:04.916]  That report is coming up.
[00:08:04.916 --> 00:08:06.797]  We're going to post it to InfoWars.com.
[00:08:06.797 --> 00:08:10.820]  It's an important John Bowne report, but we're going to take John's report.
[00:08:10.820 --> 00:08:11.400]  It's my fault.
