[00:00:00.029 --> 00:00:00.630]  I don't know.
[00:00:19.688 --> 00:00:22.611]  Starting right here and right now.
[00:00:23.411 --> 00:00:25.834]  Because this moment is your moment.
[00:00:25.934 --> 00:00:27.815]  It belongs to you.
[00:00:28.396 --> 00:00:29.497]  This is your day.
[00:00:30.257 --> 00:00:31.679]  This is your celebration.
[00:00:32.519 --> 00:00:37.944]  And this, the United States of America, is your country.
[00:00:40.526 --> 00:00:46.432]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:00:51.426 --> 00:00:52.808]  We're great again!
[00:00:55.792 --> 00:00:57.493]  Electrify your day with Secret 12.
[00:00:58.094 --> 00:00:59.414]  It's like lightning in a bottle.
[00:00:59.655 --> 00:01:03.177]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:01:03.557 --> 00:01:11.282]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:01:11.502 --> 00:01:16.285]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:01:16.465 --> 00:01:21.908]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:01:22.268 --> 00:01:29.814]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:01:30.034 --> 00:01:34.498]  It pairs two forms of vitamin B12 into one explosive formula.
[00:01:34.758 --> 00:01:40.503]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:01:40.643 --> 00:01:43.605]  But it also assists with many other functions of the body.
[00:01:43.785 --> 00:01:47.067]  Electrify your mind and body and take your health to the next level.
[00:01:47.347 --> 00:01:51.009]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:01:51.229 --> 00:01:52.810]  That's InfoWarsLife.com.
[00:01:55.111 --> 00:02:01.276]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:02:01.676 --> 00:02:04.558]  Dr. Grip, you took years for you to develop DNA Force for us.
