[00:00:18.717 --> 00:00:20.658]  Welcome to the Info Wars Nightly News.
[00:00:20.698 --> 00:00:25.501]  It is Friday the 13th of January 2017 and I'm Leigh Ann McAdoo.
[00:00:25.561 --> 00:00:26.602]  Here's what's coming up tonight.
[00:00:29.364 --> 00:00:36.808]  Tonight, debate rages as to who is responsible for spreading the fake news Trump dossier.
[00:00:37.329 --> 00:00:40.151]  A game of who is to blame is afoot.
[00:00:41.491 --> 00:00:47.075]  Also, Hillary Clinton's potential pardon looms with the end of the Obama presidency.
[00:00:48.632 --> 00:00:58.754]  Meanwhile, anything and everything is being tried by the establishment and Hollywood to make the transition of power a rough one as inauguration protests continue to build.
[00:01:00.014 --> 00:01:09.456]  And then, despite all attempts to thwart a Trump presidency, Trump is already coming through on some of his promises in helping to make America great again.
[00:01:09.776 --> 00:01:17.558]  Everything that is broken today can be fixed and every failure can be turned into a truly
[00:01:18.490 --> 00:01:19.635]  Great success.
[00:01:19.755 --> 00:01:23.328]  All that and more tonight on the InfoWars Nightly News.
[00:01:30.333 --> 00:01:36.957]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.057 --> 00:01:44.721]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.021 --> 00:01:55.727]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.578 --> 00:03:08.740]  High-level government sources have told Judicial Watch that a shootout at the U.S.
[00:03:08.800 --> 00:03:15.242]  consulate in Nuevo Laredo was part of a cartel terrorist attack that was part of that plan for the Trump inauguration.
[00:03:15.262 --> 00:03:20.224]  This was a deadly shootout at the construction site of the new American consulate.
[00:03:20.284 --> 00:03:27.566]  It occurred this week in a Mexican border town where Islamic terrorists and drug cartels had already planned to launch attacks.
[00:03:28.107 --> 00:03:31.448]  Now, this was in an attempt to send a message to Donald Trump.
[00:03:32.088 --> 00:03:42.550]  The Mexican military responded to the attack and law enforcement sources on both sides of the border confirm that at least three soldiers were either killed or critically wounded in the ambush.
[00:03:42.650 --> 00:03:52.973]  And now a local newspaper in Tamaulipas reported that 13 people died during the shootout and they referred to the deceased as heavily armed delinquents.
[00:03:53.513 --> 00:04:01.676]  With an arsenal that included 12 automatic weapons, a rocket launcher, grenade, loads of ammunition and drugs, and three vehicles.
[00:04:02.236 --> 00:04:07.938]  Now, Judicial Watch's law enforcement and intelligence sources say that the barrage outside
[00:04:08.698 --> 00:04:09.919]  What's soon to be the new U.S.
[00:04:09.939 --> 00:04:16.064]  consulate is connected to a broad operation between Islamic terrorists and Mexican drug cartels.
[00:04:16.364 --> 00:04:22.068]  They want to send President-elect Donald Trump a message by engaging in attacks at border ports.
[00:04:22.529 --> 00:04:27.833]  Now, the cartels usually do not work with jihadists because they fear having the border shut down.
[00:04:28.213 --> 00:04:32.356]  This is according to a veteran federal law enforcement official speaking to Judicial Watch.
[00:04:32.777 --> 00:04:35.559]  But Trump is causing so much disruption in Mexico
[00:04:35.959 --> 00:04:40.022]  That they are partnering to send a message as to who is in control.
[00:04:40.483 --> 00:04:43.865]  So this is a very serious situation unfolding at the border.
[00:04:44.006 --> 00:04:47.909]  Now Joe Biggs is going to have more on this story coming up later in the show.
[00:04:48.569 --> 00:04:53.814]  But indeed they were saying, reporting that they were planning on these attacks in border ports.
[00:04:54.614 --> 00:04:54.935]  I think?
[00:05:10.294 --> 00:05:13.137]  This is very interesting, of course, sending a message of who is in charge.
[00:05:13.677 --> 00:05:23.565]  And I think that it's going to be interesting to see how a President Donald Trump handles the situation there at the border, as well as he has reached out to the Mexican president.
[00:05:24.045 --> 00:05:34.254]  And I think that they're a little sick and tired of the drug cartels and now joining with jihadists, saying that they're in charge rather than the governments of the countries that their citizens have elected.
[00:05:34.714 --> 00:05:36.776]  So we will have more on that coming up in the show.
[00:05:37.697 --> 00:05:41.441]  But now let's go ahead and talk about the Trump effect here in the United States.
[00:05:41.481 --> 00:05:45.025]  We can see how they're kind of disrupting what's going on in Mexico with the jobs.
[00:05:45.425 --> 00:05:52.773]  But now companies here in the US are rushing to declare how many jobs that they're going to be producing under Trump.
[00:05:53.354 --> 00:05:58.762]  So Amazon has now come out saying that they're going to be creating 100,000 full-time jobs in the U.S.
[00:05:58.902 --> 00:06:02.166]  with full benefits over the next 18 months.
[00:06:02.667 --> 00:06:07.373]  They're going to be opening new fulfillment centers in an effort to speed up package delivery.
[00:06:07.714 --> 00:06:09.757]  So they're going to be first opening the
[00:06:10.097 --> 00:06:10.317]  It's
[00:06:29.304 --> 00:06:31.145]  CREATE A MILLION JOBS IN THE U.S.
[00:06:31.245 --> 00:06:37.308]  BY ALLOWING AMERICAN SMALL BUSINESSES TO SELL GOODS OVER ITS PLATFORM TO THE CHINESE MARKET.
[00:06:37.789 --> 00:06:43.912]  FIAT-CHRYSLER SAID IT WAS INVESTING A BILLION DOLLARS TO MODERNIZE THEIR PLANTS IN MICHIGAN AND OHIO.
[00:06:43.932 --> 00:06:45.333]  THAT'S 2,000 JOBS.
[00:06:46.033 --> 00:06:49.235]  FORD ANNOUNCED THAT IT WAS CANCELING A PLAN FOR ITS MEXICO PLANT.
[00:06:50.015 --> 00:06:54.776]  Announcing $700 million in investments to create 700 new jobs in the U.S.
[00:06:55.336 --> 00:07:06.740]  And Trump said that Sprint called him December 28th to inform him that the telecommunications giant was planning on bringing 5,000 jobs back to the United States.
[00:07:06.780 --> 00:07:15.502]  And of course we know that Carrier reached a deal with Donald Trump as well and VP-elect Mike Pence to keep about 1,000 jobs in Indiana.
[00:07:15.962 --> 00:07:21.926]  So we can see the effect that Donald Trump is having and just with this slogan to make America great again.
[00:07:22.066 --> 00:07:27.510]  And I think that it is that you're making it more attractive to do business here in the United States.
[00:07:27.870 --> 00:07:33.194]  But I also think a lot of these companies truly understand they could see the bottoming out of the middle class.
[00:07:33.234 --> 00:07:36.516]  They could see what would happen if you're moving all these jobs over the seas.
[00:07:36.556 --> 00:07:41.920]  There's going to be no one available to buy your products if you have the collapse of the United States of America.
[00:07:42.580 --> 00:07:51.673]  I think the globalists have really lost this battle and a lot of people who do care about this country are starting to see that it needs saving and it does need to be made great again.
[00:07:52.093 --> 00:07:59.464]  Now, speaking of moving some jobs and boosting the economy in some areas, we have representative
[00:08:00.184 --> 00:08:00.885]  Chaffetz.
[00:08:01.205 --> 00:08:03.046]  I'm probably saying his name wrong.
[00:08:03.086 --> 00:08:03.907]  Jason Chaffetz.
[00:08:04.287 --> 00:08:12.313]  He's saying one solution to the federal government being too expensive and out of touch is moving parts of it away from Washington, D.C.
[00:08:12.953 --> 00:08:14.674]  So he says this is the
[00:08:15.555 --> 00:08:22.300]  Computers and other technologies mean there's no reason that a federal agency headquarters have to be physically located in D.C.
[00:08:22.800 --> 00:08:24.021]  Housing prices in D.C.
[00:08:24.061 --> 00:08:25.522]  are among the highest in the country.
[00:08:25.923 --> 00:08:28.725]  It puts upward pressure on the real estate supply and demand.
[00:08:28.745 --> 00:08:33.228]  So then they have to pay these people a ridiculous amount of money so they can afford to live there.
[00:08:33.808 --> 00:08:42.675]  So he says relocating to Kansas, for example, could mean they could pay lower salaries to their employees without lowering their standard of living.
[00:08:43.455 --> 00:08:54.158]  Federal regulators would be more likely to see and experience the impact of their actions because members of Congress would actually be spending time in their home districts and listening to their constituents.
[00:08:54.798 --> 00:09:00.780]  And of course, newly relocated jobs would provide an economic boost in areas that actually need them.
[00:09:01.020 --> 00:09:05.782]  Federal taxes would more likely be spent in communities from which they are collected.
[00:09:06.282 --> 00:09:06.742]  So this is
[00:09:07.262 --> 00:09:09.104]  Pretty, pretty exciting.
[00:09:09.164 --> 00:09:15.951]  Now, this is just a proposal rather than a mandate on the executive branch to just kind of put this idea out there.
[00:09:16.291 --> 00:09:21.717]  Granted, it's kind of nice knowing that all the goblins are going to be there in D.C.
