[00:00:10.265 --> 00:00:10.766]  News.
[00:00:11.327 --> 00:00:12.168]  Analysis.
[00:00:12.669 --> 00:00:13.329]  Reports.
[00:00:14.091 --> 00:00:16.234]  It's the Alex Jones Show.
[00:00:17.035 --> 00:00:19.798]  And now, your host, David Knight.
[00:00:22.438 --> 00:00:23.680]  Welcome to the Alex Jones Show.
[00:00:23.740 --> 00:00:25.362]  I'm David Knight here with Owen Schroer.
[00:00:25.623 --> 00:00:28.187]  We have a big list of news.
[00:00:28.307 --> 00:00:29.789]  A lot of big wins that are happening.
[00:00:29.809 --> 00:00:31.171]  Let me tell you some of the things that are happening.
[00:00:31.672 --> 00:00:32.233]  We've got U.S.
[00:00:32.273 --> 00:00:33.515]  home sales falling.
[00:00:33.835 --> 00:00:37.461]  Well, that doesn't sound like too good of news, except when you realize that it's because
[00:00:38.536 --> 00:00:43.401]  The shrinking number of inventory because so many people are buying houses.
[00:00:43.441 --> 00:00:45.743]  The price is going up and the inventory is shrinking.
[00:00:45.803 --> 00:00:47.665]  So this is a strong economy, quite frankly.
[00:00:47.985 --> 00:00:51.829]  We've also got the Tea Party winning an eight-year battle with the IRS, finally.
[00:00:52.489 --> 00:00:53.450]  They have gotten approved.
[00:00:53.510 --> 00:00:54.051]  Why is that?
[00:00:54.271 --> 00:00:55.572]  It's a change in administration.
[00:00:55.592 --> 00:01:00.697]  We've got black women in Georgia taking up firearms, just as we've seen women in Chicago training.
[00:01:00.957 --> 00:01:02.179]  They're starting to realize
[00:01:02.779 --> 00:01:05.161]  That you have to be able to protect yourself.
[00:01:05.201 --> 00:01:14.089]  They understand that this is something that is going to equalize them against domestic violence, against sexual assaults, against the kind of violence that they encounter in the streets.
[00:01:14.349 --> 00:01:15.210]  So this is a good thing.
[00:01:15.490 --> 00:01:16.691]  People taking control of their lives.
[00:01:16.731 --> 00:01:17.712]  And then this, out of Maine.
[00:01:17.732 --> 00:01:22.396]  The first of its kind food sovereignty law just legalized without a local food trade.
[00:01:22.636 --> 00:01:26.980]  You can buy raw milk in Maine without the government trying to arrest you.
[00:01:27.600 --> 00:01:39.645]  Meanwhile we see a former plunge protection team, that's the people in the government that are supposed to manipulate the stock market to try to maintain it at a high level, inflate it, saying blockchain is freaking the government out.
[00:01:39.685 --> 00:01:42.046]  So we got a lot of different things that are happening that are good news.
[00:01:42.106 --> 00:01:42.887]  So what's happening?
[00:01:43.587 --> 00:01:47.049]  Overall, we see now an article that's up on Infowars.com.
[00:01:47.089 --> 00:01:55.654]  A pastor has said that he had a long-term meeting with a senior Republican senator who told him that there is a plan to take out Donald Trump.
[00:01:55.694 --> 00:01:57.175]  And we're going to play this clip for you.
[00:01:57.635 --> 00:02:01.777]  He said, there's a plot on Capitol Hill to take out the president, I said, by impeachment or by indictment?
[00:02:01.937 --> 00:02:02.898]  And the senator said, no.
[00:02:03.598 --> 00:02:07.721]  To take him out, he'll be removed suddenly from office.
[00:02:07.781 --> 00:02:08.601]  This is the pastor.
[00:02:08.621 --> 00:02:10.963]  If you remember, a couple of weeks ago we had the
[00:02:11.903 --> 00:02:15.187]  A picture of a lot of pastors meeting with Donald Trump in the Oval Office.
[00:02:15.448 --> 00:02:17.230]  They were laying hands on him and praying for him.
[00:02:17.490 --> 00:02:19.413]  This is the pastor who tweeted that out.
[00:02:19.893 --> 00:02:26.902]  So he had said that he tried to put this out on CBN and they cut the segment so he went out to other means to try to get this information out.
[00:02:27.042 --> 00:02:28.102]  So we're going to talk about that.
[00:02:28.142 --> 00:02:28.843]  That's the key story.
[00:02:29.043 --> 00:02:32.704]  When we see all these wins here, now we see that they want to take him out.
[00:02:32.764 --> 00:02:32.944]  Owen?
[00:02:33.204 --> 00:02:39.406]  Well, and now you see more musicians coming out and talking about using witchcraft against Donald Trump.
[00:02:39.446 --> 00:02:43.987]  The latest in the pop tarts, or excuse me, pop stars, is Lena Del Rey.
[00:02:44.567 --> 00:02:48.449]  And, you know, I don't know if they're witchcraft, you know.
[00:02:48.509 --> 00:02:52.110]  I mean, look, you've got the pastor over here warning about a plan to take out Trump.
[00:02:53.070 --> 00:02:55.070]  He's raising awareness saying we need to pray for Trump.
[00:02:55.471 --> 00:02:57.511]  I pray for Trump every night when I say my nightly prayers.
[00:02:57.551 --> 00:02:58.751]  I pray for the InfoWars staff.
[00:02:58.791 --> 00:02:59.671]  I pray for everything.
[00:03:00.372 --> 00:03:03.192]  So I guess what these people do, David, is they pray to the devil.
[00:03:03.272 --> 00:03:04.633]  They pray to Satan.
[00:03:05.173 --> 00:03:09.394]  They do their little witchcraft ceremonies, whatever it is, and I guess burn a Trump effigy.
[00:03:09.734 --> 00:03:11.854]  Kathy Griffin holds up a decapitated Trump head.
[00:03:12.174 --> 00:03:13.435]  This is their witchcraft.
[00:03:13.455 --> 00:03:15.815]  This is how they pray against Trump.
[00:03:16.395 --> 00:03:17.395]  And it's not surprising.
[00:03:17.415 --> 00:03:18.356]  They pray to their God.
[00:03:18.576 --> 00:03:19.576]  Of course they want to kill Trump.
[00:03:20.336 --> 00:03:21.857]  Yeah, and so that's what I'm saying though.
[00:03:21.877 --> 00:03:25.060]  So, I mean, should I really be worried about these prayers to a witch?
[00:03:25.260 --> 00:03:30.545]  You know, should I really be worried about pop-tarts like Lana Del Rey worshipping Satan to try to take Trump out?
[00:03:31.446 --> 00:03:38.172]  Obviously, their God has no say over our God, but what worries me about this, David, is what it does to the youth.
[00:03:39.212 --> 00:03:40.753]  That looks up to Lena Del Rey.
[00:03:41.674 --> 00:03:44.096]  That thinks Lena Del Rey is an idol, an icon.
[00:03:44.576 --> 00:03:45.597]  She can do no wrong.
[00:03:46.218 --> 00:03:48.800]  You know, she's probably in a relationship with some other celebrity.
[00:03:48.860 --> 00:03:50.661]  So now, they're pop culture.
[00:03:51.342 --> 00:03:52.783]  No, this is not pop culture.
[00:03:52.803 --> 00:03:55.225]  These are Satan worshippers who hate you.
[00:03:55.685 --> 00:03:57.767]  They hate you, and they hate your family.
[00:03:58.087 --> 00:03:59.768]  And that's why they want to kill Donald Trump.
[00:03:59.968 --> 00:04:01.650]  And that's what that pastor is saying, David.
[00:04:02.310 --> 00:04:02.771]  Newsflash!
[00:04:02.791 --> 00:04:03.671]  You heard it here first.
[00:04:03.831 --> 00:04:05.393]  MTV is satanic, okay?
[00:04:05.653 --> 00:04:06.994]  The music industry is satanic.
[00:04:07.014 --> 00:04:09.176]  We've been telling people that for a very long time.
[00:04:09.477 --> 00:04:12.539]  And now they just become more and more overt in this.
[00:04:12.559 --> 00:04:15.022]  But we're going to take a look at this plan to take out Trump.
[00:04:15.042 --> 00:04:18.144]  You know, quite frankly, we've got commentators pointing out how
[00:04:19.285 --> 00:04:24.188]  The Democrats want you to listen to what Trump says, but not look at what is happening.
[00:04:24.248 --> 00:04:24.948]  What he does.
[00:04:24.988 --> 00:04:27.290]  And that was the list that I began with in this segment.
[00:04:27.690 --> 00:04:29.391]  The good things that are happening in this country.
[00:04:29.411 --> 00:04:30.752]  The things that are being turned around.
[00:04:31.132 --> 00:04:31.772]  Free speech.
[00:04:32.132 --> 00:04:34.254]  Freedom to buy your own food.
[00:04:35.074 --> 00:04:38.555]  Maybe we should have the government decide what we should put in our bodies, right?
[00:04:38.795 --> 00:04:43.096]  That's something for conservatives to think about if you actually side with Jeff Sessions.
[00:04:43.136 --> 00:04:48.617]  This is a guy who has gone off the rails, isn't doing anything to shut down the criminals in Washington.
[00:04:48.677 --> 00:04:52.878]  Instead, he's trying to fight this 50-year-old drug war that was created by the UN.
[00:04:52.898 --> 00:05:00.020]  Well, if you can do that, then you should be able to tell people that you can't buy and sell milk and eggs if you're going to give that kind of power to the government.
[00:05:00.040 --> 00:05:00.980]  Stay with us, we'll be right back.
[00:05:12.290 --> 00:05:13.154]  We need funding.
[00:05:13.194 --> 00:05:14.259]  The enemy's after us.
[00:05:14.359 --> 00:05:15.002]  We got grapefruit.
[00:05:16.061 --> 00:05:22.926]  See, to fund ourselves, I sell really great products at very affordable prices, so you like them, and you use them, and you want to order them more.
[00:05:22.946 --> 00:05:24.767]  See, I don't think like a globalist.
[00:05:24.847 --> 00:05:28.089]  I treat you how I want to be treated, and you treat me like that, and I love you.
[00:05:28.129 --> 00:05:28.750]  You're awesome.
