[00:00:05.188 --> 00:00:07.212]  Important instructions will follow.
[00:00:20.652 --> 00:00:26.654]  This message is transmitted at the request of the President of the United States of America and the Office of Homeland Security.
[00:00:27.195 --> 00:00:31.897]  In compliance with the United Nations, the President of the United States has declared martial law.
[00:00:32.517 --> 00:00:33.857]  Curfew is now in place.
[00:00:34.198 --> 00:00:35.298]  Return to your homes.
[00:01:12.085 --> 00:01:16.006]  If you are receiving this transmission, you are the resistance.
[00:01:17.086 --> 00:01:18.447]  It's Alex Jones.
[00:01:22.099 --> 00:01:30.846]  Ladies and gentlemen, words cannot describe the incredible times that we're all living in right now.
[00:01:32.647 --> 00:01:47.118]  And now, all over mainstream news, all over the halls of government, at major universities, inside our religious centers, the open discussion is here.
[00:01:49.315 --> 00:02:01.165]  Like so many times in history, you drift into war, you drift into enslavement, you drift into civil unrest.
[00:02:02.626 --> 00:02:08.031]  And we are now drifting deeper and deeper and deeper.
[00:02:10.914 --> 00:02:24.478]  Into a situation that, if the powder keg touches off, will make the five years of martial law, murder, carnage, starvation, death look tame in Venezuela.
[00:02:27.559 --> 00:02:40.083]  The corrupt political class in this country has decided to go authoritarian and has decided to completely abridge and demolish what's left of our Bill of Rights and Constitution.
[00:02:42.329 --> 00:02:49.090]  They have weaponized the colleges, they have weaponized the primary schools, they have weaponized the TV, the media.
[00:02:50.450 --> 00:03:00.892]  They are creating mass mental illness, total division, and openly waging war against President Trump and patriots in the government.
[00:03:02.093 --> 00:03:05.253]  Attempt to turn the economy back on.
[00:03:05.273 --> 00:03:09.674]  Tabby Cannon has a powerful
[00:03:12.102 --> 00:03:18.304]  Article that's linked up on Infowars.com, PrisonPlanet.com, DrugsReport.com.
[00:03:19.105 --> 00:03:20.665]  After the coup, what then?
[00:03:20.685 --> 00:03:29.069]  And it breaks down the facts that there is an ongoing admitted coup, and they're saying they're involved in a coup.
[00:03:29.789 --> 00:03:31.630]  It's a high-tech, 21st century coup.
[00:03:34.030 --> 00:03:37.692]  And the exact same type of coup is going on against Benjamin Netanyahu,
[00:03:39.212 --> 00:03:42.615]  Whether you love him or you hate him, it's the same globalist interest.
[00:03:44.296 --> 00:03:52.623]  George Soros, the Vatican, the globalists, who are openly directing it, and that's in mainstream news, Jerusalem Post, Reuters.
[00:03:55.205 --> 00:04:00.429]  That Netanyahu's been declared an enemy of the Israel state, they've got his emails, where he's trying to overthrow it.
[00:04:00.709 --> 00:04:02.731]  And he's trying to overthrow the United States and Europe!
[00:04:03.877 --> 00:04:06.579]  And because Muslims are 1.5 billion.
[00:04:07.320 --> 00:04:08.981]  In 10 years, they'll be 3 billion.
[00:04:10.282 --> 00:04:11.683]  They're growing exponentially.
[00:04:12.144 --> 00:04:13.225]  The deal's been made.
[00:04:13.245 --> 00:04:25.595]  So all you Israel haters, you bought into mainly a bunch of globalist, Soros, left-wing garbage that's super popular with all the SJWs.
[00:04:25.775 --> 00:04:26.636]  They all hate Israel.
[00:04:29.161 --> 00:04:36.149]  Linda Sorcerer is their religious leader, and then you got all the white supremacists and Nazis running around hating Benjamin Netanyahu too.
[00:04:36.449 --> 00:04:39.733]  You don't know the facts, the players, you don't know anything.
[00:04:40.113 --> 00:04:46.400]  I've told you a thousand times, the whole situation with Israel is very fluid, with different players, just like us.
[00:04:46.721 --> 00:04:49.304]  And now, we're going to give you the exclusive.
[00:04:50.467 --> 00:04:58.935]  The exclusive on who McMaster's working for and the espionage he's been involved in to a corporate multinational power.
[00:04:59.576 --> 00:05:02.178]  Roger Stowe's gonna give you the biggest story he's ever broken.
[00:05:02.198 --> 00:05:10.846]  If you are receiving this transmission, you are a victim.
[00:05:14.361 --> 00:05:16.042]  What are they gearing Antifa up?
[00:05:16.362 --> 00:05:21.125]  Why has Soros doubled the amount of money since Trump was elected in January, since he did previously?
[00:05:21.605 --> 00:05:22.746]  What are they gearing up for?
[00:05:22.786 --> 00:05:23.807]  They're calling for violence.
[00:05:23.827 --> 00:05:24.887]  They're calling for Trump's death.
[00:05:25.268 --> 00:05:26.789]  They're calling for it in mainstream news.
[00:05:27.810 --> 00:05:34.631]  They're calling, whether it's Al Gore or whether it's Clapper and Brennan, they're saying something big is about to happen.
[00:05:34.931 --> 00:05:35.812]  It's not impeachment.
[00:05:35.832 --> 00:05:36.832]  We're going to remove him.
[00:05:37.152 --> 00:05:40.453]  We've got to bipartisanly come together for his removal.
[00:05:40.573 --> 00:05:42.333]  Don't do anything when we remove him.
[00:05:42.873 --> 00:05:44.953]  Suddenly Republican leadership is turning against Trump.
[00:05:45.574 --> 00:05:52.355]  As they raise more money than ever raised, as the Democratic Party is being made extinct, they prepare for the killer blow.
[00:05:53.115 --> 00:05:57.057]  And James Leslie Rawls, our expert to break this down, survivalblog.com.
[00:05:57.117 --> 00:06:01.559]  James, this ties into your big lengthy investigative reports.
[00:06:02.419 --> 00:06:05.380]  Antifa Part 1 and 2, the Antifa threat spiral.
[00:06:05.681 --> 00:06:06.661]  Break it down for us.
[00:06:06.961 --> 00:06:08.522]  What are the globalists getting ready to do?
[00:06:10.143 --> 00:06:20.027]  Well Alex, I think it's pretty clear that the Antifa movement is being used as kind of a shock troops for
[00:06:21.016 --> 00:06:24.119]  They're their goal of destabilizing the government.
[00:06:24.540 --> 00:06:33.989]  They want to have a wave of protests and a followed by a wave of domestic terrorism in this country.
[00:06:34.669 --> 00:06:36.011]  They want to destabilize.
[00:06:36.571 --> 00:06:41.116]  They want to try to create a counter
[00:06:41.876 --> 00:06:59.840]  Action by the Trump administration, they're hoping for a Kent State type event, where it would demoralize the American populace, turn the populace against the Trump administration, and part of their overall campaign to get Trump out of office.
[00:07:01.981 --> 00:07:07.342]  And I think that if you look at Antifa, how they were set up,
[00:07:08.314 --> 00:07:12.836]  How they interact between their cells.
[00:07:13.496 --> 00:07:21.860]  It's very similar to what we saw in the late 1960s and early 1970s with the radicalization of the anti-war movement.
[00:07:22.960 --> 00:07:28.843]  And that spun off a number of incredibly radical terrorist groups.
[00:07:29.703 --> 00:07:30.864]  A lot of them were cellular.
[00:07:32.260 --> 00:07:45.803]  There was some interaction between cells and in fact there was some interaction internationally with groups like the PLO and the Red Army Faction in Germany, the Italian Red Brigades and so forth.
[00:07:46.524 --> 00:07:51.585]  I think we're going to see a very similar era here in the United States in the very near future.
[00:08:05.262 --> 00:08:16.478]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought.
[00:08:17.159 --> 00:08:19.901]  By the military industrial commons.
[00:08:20.061 --> 00:08:25.426]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:08:25.826 --> 00:08:31.931]  The first reports say that President Kennedy has been seriously wounded by the shooting.
[00:08:32.031 --> 00:08:33.132]  It is a big idea.
[00:08:33.252 --> 00:08:36.054]  A new world order.
[00:08:36.775 --> 00:08:42.700]  It was almost as if they were planned in motion.
[00:08:42.800 --> 00:08:43.941]  It's just pancakes.
[00:08:47.134 --> 00:09:01.245]  Are you with us, or are you with the terrorists?
[00:09:01.285 --> 00:09:08.591]  I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:09:13.608 --> 00:09:21.690]  1776 will commence again if you try to take our firearms!
[00:09:21.770 --> 00:09:22.810]  Do you understand?
[00:09:22.830 --> 00:09:25.730]  Live from the InfoWars.com studios, it's Alex Jones.
[00:09:43.718 --> 00:09:47.120]  Ladies and gentlemen, we are broadcasting worldwide.
[00:09:47.180 --> 00:09:50.202]  This is the main transmission, weekdays 11 a.m.
[00:09:50.222 --> 00:09:50.802]  to 3 p.m.
[00:09:50.842 --> 00:09:52.663]  Central, InfoWars Live.
[00:09:52.723 --> 00:09:54.044]  Yours truly, Alex Jones.
[00:09:56.665 --> 00:09:59.867]  It is 8-8, the 8th day of August 2017.
[00:10:00.447 --> 00:10:06.711]  And all over MSM, they're saying, yes, there's a coup.
[00:10:07.251 --> 00:10:08.752]  Yes, we're going to remove Trump.
[00:10:09.713 --> 00:10:23.846]  Yes, we've got 90 plus percent of the registered voters, that means people on the jury rolls, in the District of Criminals, in Swamp Central, in the Swamp Command Base.
[00:10:25.131 --> 00:10:42.769]  We have a grand jury in panel sending out the subpoenas to Trump and his family and his associates and the Deputy Attorney General says, oh, the special prosecutor and the grand jury can look at everything non-Russia related if we find a bounced check.
[00:10:43.630 --> 00:10:53.541]  We're gonna say the President's indicted, and then use that, even though he is under the separation of powers, to stop witch hunts, under the Constitution, protected.
[00:10:54.221 --> 00:10:55.242]  They can't convict him.
[00:10:55.583 --> 00:11:02.891]  They'll use that to beat him over the head, just like they're doing with Benjamin Netanyahu right now, who says he will not be toppled.
[00:11:04.178 --> 00:11:14.276]  And say what you want about Benjamin Netanyahu, the facts are there's been a decades-long leftist Soros campaign to demonize Benjamin Netanyahu.
[00:11:15.396 --> 00:11:30.380]  And now, the very leftist groups funded by George Soros are openly trying to topple him with another corruption case started out as, again, an investigation into foreign governments buying him off, and of course they didn't find that.
[00:11:31.121 --> 00:11:33.621]  So, what do you say, what do you want about Israel?
[00:11:33.641 --> 00:11:35.222]  It's certainly not selling out to other governments.
[00:11:35.922 --> 00:11:37.162]  It's the other way around many times.
[00:11:37.242 --> 00:11:40.784]  Israel does look out for its interests and does burrow into U.S.
[00:11:40.864 --> 00:11:42.944]  interests, certainly, and it's very irritating.
[00:11:44.505 --> 00:11:46.965]  But that's what governments do if they're sticking up for their country.
[00:11:48.586 --> 00:11:49.446]  But what did they find?
[00:11:50.146 --> 00:11:59.309]  Oh, somebody might have given him a gift ten years ago of a piece of pottery, or somebody gave him tickets to a show.
[00:11:59.489 --> 00:12:01.570]  I mean, it's ridiculous.
[00:12:02.490 --> 00:12:04.191]  And it's the same thing with Trump now.
[00:12:07.742 --> 00:12:11.983]  They're looking to indict his wife for using public funds for personal expenses.
[00:12:12.583 --> 00:12:14.424]  Yes, she might have paid a phone bill!
[00:12:14.444 --> 00:12:17.504]  Dun, dun, dun!
[00:12:18.044 --> 00:12:21.185]  I mean, if Netanyahu did something, I'd say throw him in prison!
[00:12:21.225 --> 00:12:21.765]  I don't care!
[00:12:22.385 --> 00:12:23.285]  I'm not a Likudnik!
[00:12:24.186 --> 00:12:25.286]  I just study facts.
[00:12:26.906 --> 00:12:32.648]  And the very same global interests that are trying to bring down Trump are trying to bring down Netanyahu.
[00:12:32.828 --> 00:12:33.848]  And what is Trump doing?
[00:12:34.679 --> 00:12:36.060]  Four trillion in the stock market.
[00:12:36.360 --> 00:12:37.741]  Four hundred million in new jobs.
[00:12:38.202 --> 00:12:39.503]  Over a million new jobs.
[00:12:41.184 --> 00:12:42.745]  Over a thousand companies back.
