[00:00:18.752 --> 00:00:20.333]  Welcome to Infowars Nightly News.
[00:00:20.413 --> 00:00:21.093]  I'm David Knight.
[00:00:21.153 --> 00:00:23.115]  It's Monday, February the 6th, 2017.
[00:00:24.055 --> 00:00:25.296]  Here are our top stories.
[00:00:28.418 --> 00:00:34.681]  Tonight, President Donald Trump tells Iran they are playing with fire.
[00:00:35.262 --> 00:00:44.167]  This after a series of ballistic missiles were tested in Iran last week, prompting Washington to impose new sanctions on Tehran.
[00:00:45.307 --> 00:00:51.991]  Meanwhile, the Iranian government says it will only take 7 minutes for their missiles to hit Tel Aviv.
[00:00:53.873 --> 00:00:51.991]  10.
[00:00:54.033 --> 00:00:58.936]  Possession of false documents and fake social security numbers is no problem.
[00:00:59.036 --> 00:01:05.400]  This, according to the President of the California State Senate, who says half his family are in the U.S.
[00:01:05.800 --> 00:01:06.341]  illegally.
[00:01:08.842 --> 00:01:12.385]  All that plus Trump's no-BS pick for EU ambassador.
[00:01:17.264 --> 00:01:20.099]  That's up next on the Info Wars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.342 --> 00:03:05.523]  Last Friday, Iran fired a missile.
[00:03:05.664 --> 00:03:06.684]  Now, this was part of a test.
[00:03:06.784 --> 00:03:10.327]  They said that this was not a test or a message for President Trump.
[00:03:11.007 --> 00:03:16.551]  Nevertheless, and of course we have the Iranian president saying that Trump is new to politics and still has a lot to learn.
[00:03:17.251 --> 00:03:19.393]  Maybe, maybe not.
[00:03:19.813 --> 00:03:23.035]  Maybe they should learn that Donald Trump means what he says.
[00:03:23.135 --> 00:03:26.738]  People continue to think that he doesn't really mean what he's talking about.
[00:03:27.338 --> 00:03:30.200]  Now, Iran said on Monday that this was not intended to send a message.
[00:03:30.260 --> 00:03:30.780]  Nevertheless,
[00:03:31.721 --> 00:03:40.531]  After they launched that missile on Saturday, they pointed out on their official news sources, they said only seven minutes are needed for an Iranian missile to hit Tel Aviv.
[00:03:41.260 --> 00:03:45.584]  This was put out by a senior member of the Iranian Parliament's National Security and Foreign Policy Commission.
[00:03:46.044 --> 00:03:54.171]  It also was given to the semi-official Fars News Agency and that was done the day after the test was done.
[00:03:54.651 --> 00:03:57.454]  Now this is not the first time the Iranians have done a test.
[00:03:57.494 --> 00:04:01.897]  This is the first time since Donald Trump has been president that they've done one of these tests.
[00:04:01.937 --> 00:04:07.322]  But of course these are in direct violation of agreements as well as in direct violation of UN prohibitions.
[00:04:07.802 --> 00:04:12.705]  Meanwhile, the Washington Post says Trump wants to push back against Iran, but Iran is now more powerful than ever.
[00:04:13.505 --> 00:04:16.147]  And evidently, that's what the Iranians think as well.
[00:04:16.167 --> 00:04:17.308]  I'm not sure that that's true.
[00:04:17.868 --> 00:04:21.130]  This, of course, will be portrayed as anti-Islamic.
[00:04:21.570 --> 00:04:29.535]  Nevertheless, even the Washington Post points out in the opening sentence here, President Trump's tough talk on Iran is winning him friends in the Arab world.
[00:04:30.275 --> 00:04:32.597]  We have to understand that the Arab world is not monolithic.
[00:04:33.393 --> 00:04:35.875]  The Islamic religion is not monolithic either.
[00:04:36.235 --> 00:04:44.021]  There are a lot of people, especially in Islam, especially amongst Arabs in the Middle East, who would like to see Iran kept in its place.
[00:04:44.061 --> 00:04:46.183]  They consider it to be as dangerous as the U.S.
[00:04:46.423 --> 00:04:48.365]  and Israel consider it to be dangerous.
[00:04:48.385 --> 00:04:52.228]  So this is not something that is simply America or Israel.
[00:04:52.288 --> 00:04:54.810]  This is also Arabs who are concerned about this.
[00:04:55.310 --> 00:05:08.377]  Now today, Donald Trump went to CENTCOM in Tampa's MacDill Air Force Base, and of course they are the group that has been tasked with the Middle East, and he talked about terrorism, foreign and domestic.
[00:05:08.437 --> 00:05:09.958]  He said that the U.S.
[00:05:09.998 --> 00:05:13.000]  and its allies will defeat radical Islamic terrorism.
[00:05:13.040 --> 00:05:14.240]  Here's what Donald Trump had to say.
[00:05:15.001 --> 00:05:22.024]  We're up against an enemy that celebrates death and totally worships destruction.
[00:05:22.044 --> 00:05:22.745]  You've seen that.
[00:05:23.783 --> 00:05:30.669]  We will defeat radical Islamic terrorism and we will not allow it to take root in our country.
[00:05:31.089 --> 00:05:42.559]  We need strong programs so that people that love us and want to love our country and will end up loving our country are allowed in.
[00:05:43.699 --> 00:05:48.664]  Not people that want to destroy us and destroy our country.
[00:05:49.451 --> 00:05:54.054]  Donald Trump had said that Iran was put on notice after they did that missile test.
[00:05:54.094 --> 00:06:01.859]  And of course, the way that he put them on notice was to go to Central Command to talk about how he's going to defeat radical Islamic terrorism domestically and abroad.
[00:06:02.299 --> 00:06:08.684]  And also, as you just heard, he said, we're going to let in people who love us, who love our country, not people who want to destroy us and destroy our country.
[00:06:09.344 --> 00:06:20.130]  So we have to understand if these countries are dangerous enough that we have to send bombs and send troops, then maybe we ought to be careful about those who come into this country.
[00:06:20.170 --> 00:06:29.995]  He also pointed out to those at Central Command that he was going to give them the tools and resources that they needed to do the job, and pointed out how he was not going to just give a blank check to the military-industrial complex.
[00:06:30.015 --> 00:06:36.818]  And of course, we've already seen Trump save $700 million by negotiating the contract, renegotiating the contract on the F-35 program.
[00:06:38.729 --> 00:06:45.297]  He also pointed out, as he believed, that Iran was acting this way because they were emboldened by the weakness of Barack Obama.
[00:06:45.337 --> 00:06:46.118]  I believe that's true.
[00:06:46.158 --> 00:06:47.880]  He said, Iran is playing with fire.
[00:06:47.900 --> 00:06:51.765]  They don't appreciate how kind President Obama was to them.
