[00:00:00.169 --> 00:00:02.772]  Nascent Iodine is essential.
[00:00:02.972 --> 00:00:03.953]  Survival Shield X2.
[00:00:03.993 --> 00:00:09.618]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:00:09.638 --> 00:00:11.560]  It's got a five-star rating.
[00:00:11.821 --> 00:00:13.843]  It's a win-win in fullwarslife.com.
[00:00:15.686 --> 00:00:21.190]  InfoWars is proud to announce the official InfoWars Live app, available now for iPhone and Android.
[00:00:21.350 --> 00:00:29.536]  InfoWars Live allows you to watch a live, high-definition feed of the Alex Jones Show 24-7 and get the latest breaking InfoWars reports straight to your phone.
[00:00:29.796 --> 00:00:32.718]  Want to read the latest exclusives on InfoWars.com?
[00:00:32.818 --> 00:00:34.499]  Or do you want to catch up on world news?
[00:00:34.639 --> 00:00:37.641]  Now you can do so with InfoWars Live anywhere you go.
[00:00:37.761 --> 00:00:39.963]  You can browse the news, share content, and more.
[00:00:40.083 --> 00:00:43.085]  And best of all, it's free to download at InfoWars.com.
[00:00:43.325 --> 00:00:48.047]  The app is brand new, this is the first release, and it was completely built from the ground up.
[00:00:48.247 --> 00:00:51.849]  We've seen example after example of cable news networks attempting to deceive you.
[00:00:52.089 --> 00:01:00.713]  In short, the mainstream media is being covertly manipulated by well-financed political forces who are trying to sway public opinion and in a natural direction that only serves establishment agendas.
[00:01:00.934 --> 00:01:05.716]  But InfoWars Live is the solution to the controlled press that is rapidly losing influence.
[00:01:05.976 --> 00:01:13.323]  So download InfoWars Live today at InfoWars.com and learn what's really going on instead of being spoon-fed lies by the mainstream media.
[00:01:31.127 --> 00:01:32.148]  It's 11 p.m.
[00:01:32.208 --> 00:01:37.471]  Central America, and we're one day and one hour closer to victory against the globalist forces.
[00:01:37.931 --> 00:01:45.356]  And now, Darren McBreen and Rob Doo will interview Ben Garrison, Leanne McAdoo, and of course, take your phone calls.
[00:01:45.376 --> 00:01:46.917]  Well, it's 11 o'clock.
[00:01:46.937 --> 00:01:47.217]  Thank you.
[00:01:55.060 --> 00:01:58.762]  And we are 12 hours into our 30-hour broadcast.
[00:01:58.802 --> 00:02:01.083]  Not quite halfway there, but close.
[00:02:01.864 --> 00:02:07.167]  We've got a whole other day tomorrow going into about 8 o'clock, maybe 9 o'clock, maybe 10 o'clock.
[00:02:07.187 --> 00:02:07.487]  Who knows?
[00:02:07.527 --> 00:02:08.307]  We'll see how we feel.
[00:02:08.988 --> 00:02:10.409]  Hello, I'm your host Rob Dood.
[00:02:11.280 --> 00:02:12.841]  Riding shotgun with me is Darren McBreen.
[00:02:12.861 --> 00:02:16.643]  We're going to have Ben Garrison joining us to talk about his book.
[00:02:17.504 --> 00:02:18.865]  His book of amazing graphics.
[00:02:18.905 --> 00:02:21.006]  I wish it was bigger because his stuff is so great.
[00:02:21.106 --> 00:02:24.188]  You can find out more about him at grrgraphics.com.
[00:02:24.869 --> 00:02:28.131]  He's going to join us in about 15 minutes.
[00:02:29.071 --> 00:02:33.674]  We're going to ask him about this latest issue with Colbert.
[00:02:35.536 --> 00:02:40.199]  Basically saying that Trump's mouth is a cock holster.
[00:02:41.223 --> 00:02:41.843]  For Putin.
[00:02:42.303 --> 00:02:44.064]  What if somebody said that about Obama?
[00:02:44.584 --> 00:02:45.104]  Oh, I wonder.
[00:02:45.324 --> 00:02:45.944]  Back in the day.
[00:02:46.164 --> 00:02:51.105]  You know, because, well, it came out in a new book that we do have reason to think Obama could be gay.
[00:02:52.345 --> 00:02:53.666]  Obama's sex secrets lay bare.
[00:02:53.706 --> 00:03:02.788]  How he considered a gay fling, had passionate sex and cocaine with one white girl, ooh, proposed twice to another, and cheated on Michelle before they were married.
[00:03:03.408 --> 00:03:04.708]  Was that before Michelle's operation?
[00:03:05.488 --> 00:03:05.928]  We don't know.
[00:03:08.109 --> 00:03:08.709]  It's fake news.
[00:03:09.029 --> 00:03:09.209]  Yeah.
[00:03:10.799 --> 00:03:12.339]  You might want to give me a little headroom on that.
[00:03:13.220 --> 00:03:13.940]  There you go.
[00:03:13.960 --> 00:03:16.560]  We got Marcos Morales in there and Wes.
[00:03:18.061 --> 00:03:19.141]  Hey, and Leanne McAdoo.
[00:03:19.301 --> 00:03:20.481]  Leanne McAdoo is going to join us.
[00:03:20.541 --> 00:03:21.061]  Wonder Woman.
[00:03:21.222 --> 00:03:22.002]  She'll be here in about an hour.
[00:03:22.022 --> 00:03:22.922]  I can't see who else is in there.
[00:03:23.602 --> 00:03:25.583]  But we're going to have a great show for you.
[00:03:28.443 --> 00:03:28.923]  I want to talk.
[00:03:28.983 --> 00:03:29.764]  Oh, Harrison's in there.
[00:03:29.784 --> 00:03:30.264]  All right.
[00:03:30.284 --> 00:03:35.405]  Harrison's one of our newest editors slash production people, which we're going to be hiring a few more.
[00:03:36.650 --> 00:03:37.872]  And we're going to take some calls too.
[00:03:37.892 --> 00:03:48.090]  We'll have Ben on for about 20 minutes and start taking calls so you guys can ask Ben some questions because I'm sure people who like his artwork are really going to be interested in talking to this man.
[00:03:48.511 --> 00:03:49.432]  He lives up in Montana.
[00:03:50.046 --> 00:03:54.907]  Well, you know, there's a lot of truth in comedy and satire.
[00:03:55.728 --> 00:04:04.610]  Ben Garrison brings out a lot of truth or he definitely sheds a lot of light on the corruption in Washington and around the world.
[00:04:05.470 --> 00:04:07.211]  And that's a good thing.
[00:04:07.251 --> 00:04:11.112]  He's using his talents to wake up people or at least generate debate.
[00:04:11.632 --> 00:04:16.694]  But political satire can be used for good or it can be used for evil.
[00:04:17.734 --> 00:04:18.236]  That is true.
[00:04:18.256 --> 00:04:23.567]  We do know that the establishment, they love using satire to push their agenda.
[00:04:24.028 --> 00:04:27.536]  And unfortunately, right now, in modern day America,
[00:04:28.880 --> 00:04:33.421]  Millions of people across the country, they rely on their news.
[00:04:33.521 --> 00:04:38.342]  They say that their most credible news source comes from late night television.
[00:04:38.782 --> 00:04:47.624]  So they're watching late night comedy, they're watching Saturday Night Live, Stephen Colbert, John Oliver, The Daily Show, Jimmy Kimmel.
[00:04:47.824 --> 00:04:51.465]  That's where they're getting their news, right?
[00:04:51.525 --> 00:04:53.506]  So it's going to be interesting to talk to
[00:04:54.506 --> 00:04:55.887]  I'd like to play a clip today about
[00:05:13.619 --> 00:05:20.022]  Sore loser Hillary Clinton who can't just face the fact that she was a horrible, corrupt candidate who had no personality.
[00:05:21.003 --> 00:05:23.584]  She emitted beings from her mouth several times.
[00:05:23.624 --> 00:05:24.785]  She had uncontrollable coughing.
[00:05:25.085 --> 00:05:25.845]  She lied.
[00:05:26.186 --> 00:05:26.966]  She cheated.
[00:05:26.986 --> 00:05:30.348]  Yet, it's somehow Donald Trump and the FBI's fault.
[00:05:30.468 --> 00:05:32.189]  She's now joined the resistance.
[00:05:33.029 --> 00:05:37.972]  Hillary, you're lucky the FBI did not arrest you and Huma Abedin.
[00:05:38.982 --> 00:05:39.903]  And Anthony Weiner.
[00:05:40.084 --> 00:05:40.584]  Give it time.
[00:05:40.885 --> 00:05:42.006]  Okay?
[00:05:42.307 --> 00:05:45.691]  You should be praying on your knees, thanking God that you're not in jail right now.
[00:05:45.712 --> 00:05:46.573]  Lock her up.
[00:05:46.613 --> 00:05:47.995]  Because they should have arrested you.
[00:05:49.016 --> 00:05:49.697]  And guys, I don't know.
[00:05:50.178 --> 00:05:51.279]  I was looking at Darren's shot.
[00:05:51.520 --> 00:05:54.123]  We might need to brighten that camera up just a little bit.
[00:05:55.100 --> 00:05:56.441]  We don't use this studio that often.
[00:05:56.461 --> 00:06:00.103]  This is the radio room that gets used on the Sunday show.
[00:06:00.243 --> 00:06:04.205]  This was Alex's first studio when we moved to this location.
[00:06:04.225 --> 00:06:06.807]  In fact, I started just after they moved in here.
[00:06:06.827 --> 00:06:08.148]  They moved in here January of 2009.
[00:06:08.248 --> 00:06:10.489]  I started early February of 2009.
[00:06:10.629 --> 00:06:13.531]  This was a very small building at the time.
[00:06:14.311 --> 00:06:14.952]  I've seen it grow.
[00:06:15.672 --> 00:06:18.713]  Since then, which is one reason why we need your support.
[00:06:19.073 --> 00:06:25.316]  And if you guys will bring in the specials folder that was walking around, I'm sure we can find it somewhere and walk that in.
[00:06:25.336 --> 00:06:27.396]  It's probably in the other studio.
[00:06:27.436 --> 00:06:28.857]  We should have one in this studio, though.
[00:06:28.877 --> 00:06:29.737]  I don't know why it's not here.
[00:06:29.777 --> 00:06:31.258]  Well, you're talking about Hillary Clinton.
[00:06:31.398 --> 00:06:33.379]  She says she's now part of the resistance.
[00:06:33.939 --> 00:06:36.580]  And she blamed pretty much everyone but herself.
[00:06:36.960 --> 00:06:37.160]  Sure.
[00:06:37.460 --> 00:06:40.801]  For the failed campaign and losing out to Donald Trump.
[00:06:41.221 --> 00:06:45.323]  She said it was because of WikiLeaks and because of Russian propaganda.
[00:06:45.643 --> 00:06:46.503]  Russian hacking!
[00:06:46.803 --> 00:06:48.444]  Yeah, because of Russian hacking.
[00:06:48.524 --> 00:06:51.925]  And even some of the mainstream media is just like, give me a break.
[00:06:52.105 --> 00:06:53.585]  We've had it hard enough of this.
[00:06:53.725 --> 00:06:57.767]  If we were so concerned about Russian hacking, Hillary, why didn't you turn your servers over?
[00:06:57.787 --> 00:07:00.907]  Why didn't the DNC turn their servers over to be examined by the FBI?
[00:07:01.128 --> 00:07:02.388]  Because that was a BS story.
[00:07:02.488 --> 00:07:02.928]  That's why.
[00:07:03.408 --> 00:07:04.048]  It's all BS.
[00:07:04.108 --> 00:07:05.789]  Everything that comes out of your mouth is BS.
[00:07:06.789 --> 00:07:09.310]  And this mouth here.
[00:07:09.670 --> 00:07:10.850]  Wait, go to this shot.
[00:07:11.551 --> 00:07:12.791]  Or let's see this on dot cam.
[00:07:14.059 --> 00:07:15.841]  This kind of looks like a BS admitter.
[00:07:16.481 --> 00:07:16.942]  Right here.
[00:07:17.462 --> 00:07:18.183]  Right there.
[00:07:18.843 --> 00:07:20.064]  She's got them lips puckered.
[00:07:20.445 --> 00:07:23.567]  That's not a, uh, what do you call it, bolster?
[00:07:23.747 --> 00:07:23.867]  No.
[00:07:23.887 --> 00:07:26.790]  Let's go to that clip of Hillary Clinton being a sore loser.
[00:07:32.555 --> 00:07:35.778]  WikiLeaks and Putin and the Russians for her loss.
