[00:00:18.717 --> 00:00:20.658]  Welcome to the Info Wars Nightly News.
[00:00:20.718 --> 00:00:22.299]  It is Friday, February 3rd, 2017.
[00:00:23.660 --> 00:00:25.661]  I'm Leanne McAdoo and here's what's coming up tonight.
[00:00:30.287 --> 00:00:36.490]  The establishment media continues to embrace anti-Trump riots across the country.
[00:00:36.810 --> 00:00:44.494]  And MSNBC calls Milo a flamethrower and blames Donald Trump for the nationwide divide.
[00:00:44.715 --> 00:00:54.680]  Meanwhile, it is George Soros who continues to fund these radical leftist groups who organize violent protests to shut down the First Amendment.
[00:00:57.262 --> 00:01:07.412]  Then, a liberal woman who was triggered over Donald Trump becoming president tries to run over a police officer.
[00:01:07.852 --> 00:01:08.853]  Are you crazy?
[00:01:08.954 --> 00:01:12.937]  Have you lost your mind?
[00:01:16.181 --> 00:01:19.244]  That's up next on the InfoWars Nightly News.
[00:01:30.330 --> 00:01:36.954]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.055 --> 00:01:44.720]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.040 --> 00:01:55.727]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.369 --> 00:03:09.114]  Today officially marks two weeks of President Donald Trump and the party of perpetual outrage.
[00:03:09.514 --> 00:03:11.776]  Doesn't seem like they're going to be stopping anytime soon.
[00:03:11.876 --> 00:03:12.857]  Everything is turned up to 11.
[00:03:13.377 --> 00:03:14.778]  It's all a five alarm fire.
[00:03:15.158 --> 00:03:19.282]  And now the Democrats are actually kind of wondering if this is such a good idea.
[00:03:19.482 --> 00:03:23.405]  Is perpetual opposition undermining a more focused message?
[00:03:24.305 --> 00:03:29.710]  You'll recall in a speech on the Senate floor Tuesday, Minority Leader Chuck Schumer defined President Trump's
[00:03:30.370 --> 00:03:30.770]  I think?
[00:03:53.522 --> 00:03:53.702]  I don't
[00:04:16.141 --> 00:04:23.685]  Is a risk because if you protest everything with outrage, nothing is going to end up sticking with the American people.
[00:04:24.226 --> 00:04:29.128]  And so they're going to kind of push back or everything's just going to kind of dull out at that point.
[00:04:29.429 --> 00:04:34.131]  If they cry wolf every 12 hours, the effect of their urgency is going to wane over time.
[00:04:34.752 --> 00:04:39.894]  Instead of presenting an alternative vision, will they end up looking simply like a party of outrage?
[00:04:40.095 --> 00:04:44.197]  Very good question posed there in this article, but that's exactly what they are looking like.
[00:04:44.937 --> 00:04:45.077]  I don't
[00:05:02.386 --> 00:05:02.566]  Are you
[00:05:25.414 --> 00:05:32.739]  These Antifa terrorists fighting ferociously against President Trump resist everything at all points.
[00:05:33.019 --> 00:05:37.241]  They are going out saying they're fighting fascism with fascism.
[00:05:37.582 --> 00:05:41.104]  So this is the Hegelian dialectic we're looking at here because what's going to happen?
[00:05:41.384 --> 00:05:46.167]  Well the state's going to come in and be fascist and shut everything down and that's exactly what now we're starting to see.
[00:05:46.487 --> 00:05:47.848]  We've got at least 10 bills
[00:05:48.268 --> 00:05:48.448]  That's
[00:06:08.937 --> 00:06:10.977]  was pursued down a Washington D.C.
[00:06:11.177 --> 00:06:21.399]  alley by a group chanting, shame, shame, shame, which is literally what they used to do when they would march witches to go burn at the stake.
[00:06:21.420 --> 00:06:23.660]  They would point at them and go, shame, shame, shame.
[00:06:23.700 --> 00:06:33.182]  So this is just crazy, ridiculous witch hunt that they are engaging in here on the left with this domestic terrorism, and they're ruining it for everyone.
[00:06:33.222 --> 00:06:33.822]  They're actually
[00:06:34.302 --> 00:06:42.526]  Fighting violently, protesting free speech to the point where now we're seeing bills being put out that could potentially limit the First Amendment.
[00:06:42.566 --> 00:06:43.606]  This is ridiculous here.
[00:06:44.447 --> 00:06:49.669]  So a lot of critics, of course, are saying that these bills could impinge on constitutional freedoms.
[00:06:49.689 --> 00:06:57.933]  A lot of them were filed before Trump was even elected, and this was in response to these violent protests, their Black Lives Matter, as well as the oil pipeline protests.
[00:06:58.433 --> 00:07:01.635]  But President Trump expressed his disgust with these displays.
[00:07:01.675 --> 00:07:03.777]  He tweeted out, They're really proving this point.
[00:07:04.177 --> 00:07:04.577]  This is key.
[00:07:04.677 --> 00:07:07.319]  And it's interesting because people are wanting to push back.
[00:07:18.422 --> 00:07:18.682]  I think?
[00:07:48.502 --> 00:07:49.283]  George Soros.
[00:07:49.423 --> 00:07:50.203]  Imagine that!
[00:07:50.944 --> 00:08:00.930]  So it's also the city of Tucson, so your taxpayer dollars going to fund this, and a major labor union and several large financial institutions.
[00:08:01.310 --> 00:08:03.451]  So this is the Global Alliance for Justice.
[00:08:03.511 --> 00:08:04.432]  It's based in Tucson.
[00:08:04.472 --> 00:08:13.798]  It's listed as an organizer and fiscal sponsor for Refuse Fascism, which is a communist group that encouraged left-wingers to shut down Yiannopoulos' event.
[00:08:14.538 --> 00:08:14.858]  I think?
[00:08:35.467 --> 00:08:38.590]  Who perpetrate violence through the policies that they support.
[00:08:38.650 --> 00:08:39.531]  So this is what they do.
